date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,預付款項（增加）減少,預收款項增加（減少）
2013-05-15,1,2013,16633.0,-26667,720,,1925,-4018.0,0.0,,74,-46,-102,-12.0,0.0,,-878,2789,,-3095.0,0.0,-20,-5460.0,-15,,,-4760,15110,75,,-4.0,-18199.0,-1081,,-11727,63,14.0,14689,-2871,878,,,2013年01月01日至2013年03月31日,307560,190494,-117066,-10953,-3747,-876,,0.0,-75000.0,-101592,-10953,,-2200,-4356,-6556,,,,,,0.0,,,,10077,99,190494,,-15.0,,-306,
2013-07-31,2,2013,-20569.0,-26667,5571,,-1328,-5611.0,0.0,,66,-205,-565,0.0,,,-1828,5349,,-3095.0,0.0,-3127,-5460.0,-30,-2800.0,,4430,17976,0,-49922.0,4.0,6566.0,-29639,,-18265,126,18.0,22818,-5475,1828,,,2013年01月01日至2013年06月30日,307560,41579,-265981,27138,3873,9353,,0.0,-175000.0,-251589,27138,-46984.0,30336,-27552,2784,,,,,,,,,,-17785,153,41579,-5.0,-20.0,,-263,
2013-11-11,3,2013,-6488.0,-53334,669,0.0,2942,-4793.0,0.0,,29,-766,-667,0.0,,,-2736,7894,0.0,-3095.0,0.0,-22017,-5460.0,-45,-2801.0,,2141,657,0,-49922.0,315.0,-13176.0,-5495,,-35430,189,-8482.0,35278,-8058,2736,47040.0,,2013年01月01日至2013年09月30日,307560,15083,-292477,11228,21209,-17767,,0.0,-175000.0,-278256,11228,-47040.0,-11195,-11312,-22507,,,,,,,,,,-28995,311,15083,-6.0,-28.0,,-985,
2014-03-21,4,2013,836.0,-33334,497,0.0,5808,,,-6273.0,64,-45,-770,0.0,,-394.0,-3741,11846,0.0,-3095.0,-346779.0,-26864,-211138.0,-60,-700.0,,996,977,50040,0.0,-21.0,-60317.0,7503,-2854.0,-578770,252,-8483.0,40012,-11417,3741,47040.0,,2013年01月01日至2013年12月31日,307560,18247,-289313,4319,-18249,-57603,,291000.0,,307706,4319,-47040.0,-58736,-4022,-62758,0.0,0.0,9806.0,,0.0,,,0.0,0.0,-61922,64,18247,-10.0,-39.0,,96,
2014-05-09,1,2014,-128267.0,0,44064,,-2092,-184977.0,,,-67,9,-133,0.0,,-19886.0,-944,4548,,-163035.0,,-12756,-14329.0,-16,,,-5456,6443,149807,,24.0,11027.0,-11801,2854.0,-139135,63,9232.0,25689,-4564,944,,,2014年01月01日至2014年03月31日,18247,10055,-8192,131316,52136,56700,,,-71000.0,78807,131316,,61491,-7840,53651,,,,76049.0,,158969.0,-137680.0,,,-74616,0,10055,,-41.0,,-453,
2014-07-30,2,2014,-243305.0,-25000,3178,,-108085,-2113.0,,,-38,-17,-269,,,-19886.0,-1987,9215,,-163035.0,,-18336,-168200.0,-30,0.0,1049.0,351,68264,199731,,-29.0,-33716.0,-9387,2854.0,-9970,110,9202.0,26019,-9276,1987,103411.0,,2014年01月01日至2014年06月30日,18247,28390,10143,240048,-80618,-71342,,,-74000.0,100731,240048,-119055.0,37743,-105828,-68085,,249.0,,76049.0,,158969.0,-137680.0,,,-311390,84,28390,0.0,-11.0,,-477,
2014-11-11,3,2014,-222459.0,0,1825,,-2511,-5366.0,,,-29,51,-403,,,-21330.0,-2933,13888,,-163035.0,-88817.0,-18336,-168200.0,-45,0.0,1048.0,-1377,128054,199794,,-29.0,-71770.0,-9200,2854.0,-82286,150,9202.0,44557,-14061,2933,119055.0,,2014年01月01日至2014年09月30日,18247,134579,116332,222703,38324,56583,,,-39500.0,160294,222703,-119055.0,58090,-1751,56339,,249.0,,79214.0,,158969.0,-137680.0,,,-166120,39,134579,-4198.0,-11.0,,-367,
2015-03-20,4,2014,-198655.0,-30000,325,,-3834,,,-7624.0,-20,38,-538,,,-21330.0,-3905,18378,-1800.0,-163035.0,-88818.0,-18336,-168200.0,-60,1050.0,,6256,116757,249777,,-29.0,-71770.0,-6257,2854.0,-77746,264,9203.0,64746,-18738,3905,119056.0,,2014年度,18247,227573,209326,203032,26795,49733,,10500.0,,260277,203032,-119056.0,45261,95,45356,30000.0,249.0,0.0,79214.0,,158969.0,-137680.0,,,-153299,-2,227573,-4200.0,-12.0,,-3,
2015-05-08,1,2015,,-115000,1943,,2688,,,469.0,-53,-35,-285,,,0.0,-975,4599,,0.0,,0,0.0,-15,,,754,-29799,49932,,0.0,0.0,-2638,0.0,2499,65,0.0,14968,-4518,975,,18843.0,2015年01月01日至2015年03月31日,227573,30745,-196828,-21554,-34259,-29741,,,-100000.0,-165068,-21554,,-27846,816,-27030,,1524.0,,0.0,201.0,0.0,0.0,,,-8187,63,30745,,0.0,,-137,
2015-08-11,2,2015,,-61000,1464,,4362,,1318.0,,15,-41,-530,,,0.0,-1944,9195,,0.0,,0,0.0,-70,,0.0,-2139,-39461,119,,0.0,0.0,4416,-2600.0,4786,79,0.0,15501,-9219,1944,0.0,-116904.0,2015年01月01日至2015年06月30日,227573,15884,-211689,109883,-57394,-41649,,,-98200.0,-159081,109883,-139870.0,-37948,3320,-34628,,1524.0,,0.0,205.0,0.0,0.0,,,-151532,34,15884,-6526.0,0.0,,-148,
