date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-15,1,2013,1741,438548.0,,-683938,298441,-493.0,,-57522,-91,-3626,1164,,-353465,,-22253.0,,36939.0,,,-10974,166313,-338218,-667508,,-10770.0,0,1015,0.0,,492,,-537.0,0.0,-231039,-1599.0,434860,9206,49702.0,,-34571,0.0,332107,-6453,-291297,20241,1756.0,-447073,269437,,4159,6850,-171076,10973,,,2013年01月01日至2013年03月31日,2540896,2182293,-358603,280876,,270063,439785,,,,1027591,,156625,280876,,709509,-989148,-279639,535272,956,,30,,,,0.0,,158909,159,2182293,-9619,-23,,-748642,,-402793,0,193847.0,3777
2013-08-01,2,2013,13761,839980.0,,-522986,267340,-1489.0,,18217,-109,-8631,3087,,252182,5944.0,,0.0,34138.0,145.0,,-28491,334700,-738680,-1012518,,-14960.0,0,5330,7728.0,,580,,462.0,,47714,-29095.0,142950,55351,99790.0,,305170,0.0,13884,1356,401335,-3983,3627.0,-1016373,538762,0.0,-38633,13505,-347630,28490,,,2013年01月01日至2013年06月30日,2540896,1318184,-1222712,671969,,2327414,2795370,,,,0,-1212581.0,-1795073,671969,,824875,458546,1283421,567680,4413,,892,,,,0.0,,2123401,-1356,1318184,-148816,9,,-712133,,-275137,-27908,,61913
2013-11-11,3,2013,16445,1351379.0,,-1985507,363647,-468.0,,93344,-217,-1100,-2444,,197813,,-23308.0,0.0,15287.0,0.0,,-52011,542106,-390864,-1676994,,-14960.0,0,6365,26289.0,,861,,,239.0,27949,-29095.0,1193525,40753,0.0,-220091.0,-13605,0.0,-381538,-19533,-958872,13321,6959.0,-1699896,850274,0.0,-33578,20072,-549143,52009,14592.0,,2013年01月01日至2013年09月30日,2540896,1447264,-1093632,984029,,1977124,2705604,126206.0,-274846.0,,953722,0.0,-979996,984029,,1607955,-1237759,370196,1182585,7069,0.0,1711,,,,0.0,,1721575,-1518,1447264,-245938,-5,,-736812,,-207582,-30537,,19762
2014-03-21,4,2013,19241,1900578.0,,-2106355,181991,-2415.0,,288939,6227,-7309,-14264,,504794,0.0,-19131.0,-24783.0,,0.0,,-46412,738197,-406670,-1813299,-2740.0,-15005.0,-327,44411,31288.0,,950,,-495.0,0.0,259236,-29095.0,288507,-6334,0.0,-224962.0,-204201,,-657517,-61975,-1902735,60144,7465.0,-1933299,1155200,0.0,-39611,25960,-721801,46404,14852.0,,2013年01月01日至2013年12月31日,2540896,1304284,-1236612,1334890,,973505,1947219,1000000.0,-274845.0,,0,-843520.0,129852,1334890,,265548,-1553797,-1288249,4513369,27575,0.0,3661,,,,0.0,,612329,-1255,1304284,-313169,-69,,-1917847,-4338.0,-36646,-99887,,9099
2014-05-09,1,2014,3729,506158.0,,-1063777,-53407,0.0,,-209965,-15,-11342,756,,-49412,2439.0,0.0,-5571.0,0.0,,,-6313,197114,25408,-186433,-65004.0,0.0,-1921,-5157,,,0,-194.0,-1878.0,,-253842,0.0,738672,57827,474766.0,,-195134,,198728,44910,-699608,-21345,1833.0,-400742,307598,,1551,6447,-190168,6320,,,2014年01月01日至2014年03月31日,1304284,1512462,208178,-34158,,-143181,103249,,,,915424,,726693,-34158,,568756,-937507,-368751,397790,9352,,1199,,,,,,137407,1135,1512462,-62582,-10,,245,,52286,-149287,0.0,29172
2014-07-30,2,2014,8694,932503.0,,-2759610,121483,0.0,-244960.0,-38857,124,-7189,6002,,249194,31953.0,,,208.0,109.0,-181311.0,-18181,412113,234910,-460537,-69143.0,0.0,-970,21553,0.0,,0,-437.0,-556.0,0.0,-27184,0.0,263453,22953,284935.0,,-386772,,252912,-51482,-761385,31420,1227.0,-1417695,615410,,-128492,13371,-402018,17469,,,2014年01月01日至2014年06月30日,1304284,1303592,-692,547953,,783950,1320637,,,,1274193,0.0,398143,547953,7500.0,56116,-215935,-159819,1585022,45234,,531,,,,,,772684,728,1303592,-152138,-105,,-17913,,123321,-505660,,40233
2014-11-12,3,2014,10863,1433197.0,,-3037562,-339272,0.0,-146316.0,-81842,-723,-9168,-7278,,207079,,-2086.0,,3269.0,,-1417.0,-25038,609765,-14978,-115661,-95635.0,0.0,-967,7519,0.0,,0,-31.0,-1688.0,0.0,-67316,0.0,805624,33143,424961.0,0.0,-437503,,224061,-98350,-1550934,71064,884.0,-1206028,923423,,-118732,20115,-594058,25025,0.0,,2014年01月01日至2014年09月30日,1304284,2205957,901673,1240036,,661811,1466259,650000.0,-627443.0,1597372.0,2223897,,1460868,1240036,7500.0,98616,-1305590,-1206974,223992,105712,,-2150,,,22925.0,,,226223,1814,2205957,-235415,-68,,7768,,-1351,-976250,,43094
2015-03-20,4,2014,14757,2329073.0,,-4248581,-214932,0.0,-265691.0,-20118,342,-8888,-25807,,348933,2285.0,0.0,0.0,2249.0,,-1470.0,-39522,804022,-363120,-713761,-95635.0,0.0,-2421,368927,0.0,,277,,-7334.0,,-182347,0.0,953598,100795,,-424844.0,-360976,,-254796,-96439,-832953,74695,418.0,-2077513,1243654,,-106281,27144,-789275,39470,0.0,,2014年度,1304284,2541070,1236786,1195330,,1768625,2851064,650000.0,-627443.0,1597372.0,771141,0.0,1908794,1195330,7500.0,546393,-1219732,-673339,4148120,113530,,8982,,,22925.0,,,1655734,1659,2541070,-332634,-110,,40467,0.0,-231242,-1129905,,74719
2015-05-08,1,2015,3596,,,-2603050,-80316,,,-294223,9,5373,32181,,-37138,0.0,-1257.0,0.0,10352.0,,,-10387,181587,96859,-285649,0.0,,-11481,2153,,,1287,0.0,0.0,3165.0,-53101,,-181757,10716,699762.0,,-566,,256071,163879,945030,-3444,,-592857,318795,,9863,10348,-187979,10427,,515874.0,2015年01月01日至2015年03月31日,2541070,1818095,-722975,257676,-763.0,1353393,1529064,,,,332134,,-1580370,257676,,-270521,1026035,755514,0,390,,-33,,,,,,1271388,320,1818095,1881,-48,,-9246,,16771,-309634,,-23528
2015-08-13,2,2015,7080,,,-2277831,19864,,,-205613,-914,5260,30758,,-44966,21821.0,,,-3608.0,48.0,-46353.0,-17856,349533,231037,-726342,0.0,,-11467,26066,,,1378,0.0,0.0,5492.0,473381,,-1031049,-125262,799564.0,,-75316,,275584,39667,1463186,-4187,,-1685721,631316,,-112244,20765,-364827,17883,,906587.0,2015年01月01日至2015年06月30日,2541070,1017122,-1523948,738184,-1151.0,1997092,2508757,,,,0,-988992.0,-2066356,738184,0.0,-1242211,2106197,863986,405000,13244,,1474,,,11006.0,712.0,504.0,1770573,-1462,1017122,-164721,-99,,-27296,,79301,-928405,,-33095
