date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-03,1,2013,-50391.0,,,,-120452,3962,,16280,-51931,3864.0,,200021.0,,-1173,-57950,,-3304,10562,-1006,-45010,,,,-232,-25698,34968.0,0.0,-62778,0.0,204202,96825,-61484,,107301.0,330000,,-13527,130024,-29459,-858132,-1855,-7462.0,184434,39293,,-18825,6131,-11541,3038,,,2013年01月01日至2013年03月31日,586157,604452,18295,163927,,-421763,-402148,,,-100661.0,256630,163927,,17443,-533127,-515684,,90568,,92.0,,,,-566075,-38,656383,-19615,0.0,-692.0,18131
2013-08-06,2,2013,-225253.0,,,,-217280,6463,,3239,-33800,,,189593.0,,-2848,-260575,,-5385,21852,10949,-164459,,,,-232,-25698,15329.0,0.0,-67015,,-135912,154937,64316,,-103972.0,830000,,22058,-447388,-176115,-482327,-69575,-13318.0,54776,81541,,-50270,12280,-24033,5463,3652.0,,2013年01月01日至2013年06月30日,586157,191455,-394702,262602,,-1638504,-1501197,,356781.0,,1178077,262602,,-90058,-1448488,-1538546,,90622,,96.0,,,,-1763799,-38,225255,-137307,906.0,,-143634
2013-11-08,3,2013,-367209.0,,200000.0,,-181676,2164,,16914,0,,,61031.0,,-2847,-433660,,-7356,37355,21950,-196973,,,,-742,-25698,6841.0,0.0,-2889,,-236674,53991,-62700,,-438150.0,880000,,12605,-97165,-16154,-567876,28112,-18730.0,29297,128321,,-78041,18391,-38818,7061,73310.0,,2013年01月01日至2013年09月30日,586157,422148,-164009,372521,,-1884879,-1690593,-419997.0,1041597.0,0.0,1669623,372521,,-617784,-1078121,-1695905,,91346,,-428.0,,,,-2063114,-38,422148,-194286,,-6093.0,-190528
2014-03-17,4,2013,-578940.0,,200000.0,,-49345,-11535,,-3645,-46601,,-27930.0,,,-2964,-626193,,-9578,53379,26873,-226688,,,,-742,-25698,5358.0,,-16331,0.0,-52913,27597,-94553,,-105890.0,1480000,0.0,63657,-202609,-119922,-207488,-20271,-24525.0,-92277,177843,0.0,-102508,11361,-55141,9125,81905.0,,2013年01月01日至2013年12月31日,586157,508156,-78001,525903,,-1153017,-961731,-420000.0,,-69797.0,1140420,525903,-8595.0,-186955,-721739,-908694,,91348,,-411.0,,,,-1487634,-251,554757,-191286,0.0,-48540.0,-107001
2014-05-08,1,2014,30591.0,,,,-150940,465,,29333,0,,-11792.0,0.0,,0,-9628,,-2342,14398,450,-18956,,,,-1857,0,0.0,-24705.0,-10370,,-64042,-90716,102743,61390.0,,0,-280000.0,-58082,143245,113089,-78495,20539,-12835.0,-40301,49193,,-23821,2587,-13776,2538,,,2014年01月01日至2014年03月31日,508156,481797,-26359,78503,,66099,67257,,265874.0,0.0,-52607,78503,,-119107,77270,-41837,,136,,480.0,,,,-11246,0,481797,-1158,,-276.0,-57531
2014-08-11,2,2014,-67469.0,,,,-217248,29694,,169,-11902,,-51001.0,0.0,,-957,-143088,,-5020,28845,-5580,-46612,,,,-1830,0,0.0,-26732.0,0,6186.0,-282396,-85591,-85604,-251461.0,,0,-600000.0,2546,271412,124060,55380,-16243,-26829.0,-69362,99270,,-51980,11283,-27924,5205,14063.0,,2014年01月01日至2014年06月30日,508156,248640,-259516,140230,,-401477,-393591,,871559.0,,216903,140230,,-664018,197666,-466352,,136,5448.0,,,-3070.0,,-533821,0,260542,-7886,,-3709.0,15759
2014-10-30,3,2014,-115441.0,,0.0,,-244647,14403,-9365.0,2207,-74600,,-51384.0,0.0,,-940,-150590,,-8135,43417,12310,-71128,,,,-1826,0,0.0,-25672.0,-55457,,-335589,-65961,-131967,-515501.0,,0,-930000.0,-37121,410082,261835,96406,7302,-41089.0,127443,149775,,-81466,16482,-42889,6906,98047.0,,2014年01月01日至2014年09月30日,508156,355633,-152523,205275,,-424481,-409724,-300000.0,1430766.0,,132205,205275,-9035.0,-1034079,534521,-499558,,560,27210.0,116.0,184820.0,-10763.0,-61368.0,-614999,0,430233,-14757,,-3874.0,80082
2015-03-17,4,2014,-152592.0,,0.0,,-174065,10026,,31447,-120278,,-7172.0,,,-1628,-220819,,-11052,59367,16180,-92905,,,-67034.0,-1837,0,0.0,-24828.0,0,22749.0,-193122,62846,-137136,-663827.0,,0,-500000.0,-2002,144810,141826,294747,-31248,-48708.0,188831,199619,3150.0,-108680,21845,-59974,10394,110522.0,,2014年度,508156,292264,-215892,295950,,-350569,-333540,-300000.0,814468.0,0.0,-70334,295950,-21510.0,-931608,454710,-476898,,562,27210.0,463.0,184820.0,-10763.0,-61368.0,-629490,-163,412542,-17029,306.0,0.0,87671
2015-05-07,1,2015,,,,,-113065,-7989,,-6802,0,,0.0,208390.0,,0,-8476,-196.0,-1267,15415,-2630,-185264,,,-29249.0,-1201,-2439,0.0,-3758.0,-671,,211861,-52506,35203,65676.0,,150000,0.0,-43365,10340,-301366,-457313,1436,,-5891,50037,,-25430,5045,-14839,2020,,35619.0,2015年01月01日至2015年03月31日,292264,323227,30963,33748,-13143.0,-608630,-608165,,516711.0,0.0,648114,33748,,-128057,-549475,-677532,,280,,-256.0,,,,-641913,-55,323227,-465,,2990.0,-6444
2015-08-11,2,2015,,,,,-119947,-9969,,-32899,0,,0.0,250890.0,,-118,-120760,-196.0,-3266,32520,-6890,-209491,-14498.0,0.0,-29249.0,-1201,-2439,,-12472.0,-19511,0.0,162380,-66040,31690,125946.0,,470000,0.0,-83491,-118393,-134543,-908842,-52498,,-14484,99757,,-49908,10021,-30579,3626,4848.0,-33245.0,2015年01月01日至2015年06月30日,292264,299825,7561,101837,-18199.0,-1187076,-1178332,,789062.0,,1216011,101837,-2511.0,-162995,-1083929,-1246924,,416,,,,0.0,,-1280169,-55,299825,-8744,,3341.0,-22064
