date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-04-26,1,2013,,254433.0,5837.0,-276929,-4612,,,-102,-2012,818,,-77555,,0.0,,,,,-1525861,377890,0.0,-309,144986,,13880,5510.0,-77657,279156,,,-11984,802,-922,2012,,2013年01月01日至2013年03月31日,3042663,1825516,-1217147,497570,,-506478,-507374,,,-633012.0,-633012,497570,,106162,-1365539,-1259377,,,,,0.0,,-1004944,1825516,-194,,-12347.0,231
2013-07-30,2,2013,,510299.0,,-394135,-4637,,,-21430,-4085,1474,,-117853,,0.0,,,,,-837305,-56299,0.0,-3544,-167102,2700.0,14467,10967.0,-139158,548465,0.0,,-22869,1203,-1512,4085,,2013年01月01日至2013年06月30日,3042663,1990761,-1051902,814950,,-196732,-132287,,,-716012.0,-716012,814950,,-443011,-1014525,-1457536,125.0,0.0,,4546.0,0.0,,-947237,1990761,-67018,,-18435.0,-22648
2013-10-31,3,2013,,746886.0,6312.0,-1595652,-2709,,,-24431,-5758,1975,,-251504,-18000.0,-200066.0,,0.0,,,-127648,149919,0.0,26,114767,,12735,15638.0,-493876,792314,50573.0,,-21411,1605,-2038,5758,,2013年01月01日至2013年09月30日,3042663,2440399,-602264,1203032,,436224,596809,,-544612.0,,-544612,1203032,,-1430069,76960,-1353109,125.0,0.0,,3384.0,-323.0,,-606223,2440399,-164305,,-24900.0,22930
2014-03-12,4,2013,,984131.0,3799.0,-281474,-2708,,,-9373,-8857,2647,,-443318,-18000.0,,,0.0,,,-341512,468232,,-4137,-205968,,-2206,15683.0,-669570,1027272,79599.0,,-14138,2007,-2694,8857,,2013年01月01日至2013年12月31日,3042663,2489594,-553069,1728883,,2284439,2437645,-1453998.0,,-713940.0,-2167938,1728883,,198304,-473673,-275369,1187.0,0.0,,2137.0,-6125.0,,708762,2489594,-159369,-200066.0,-20812.0,-4677
2014-04-24,1,2014,,193614.0,-32098.0,-259776,-3084,,,-10870,-1494,677,0.0,-139605,,-189897.0,,,,,239336,-349116,,1176,-596271,,25760,5448.0,-340372,223052,,,-31440,402,-751,1494,,2014年01月01日至2014年03月31日,2489594,1806644,-682950,446414,,-290433,-290994,,,-52145.0,-52145,446414,,-602268,-328754,-931022,,,,576.0,,,-737408,1806644,-182,,1841.0,37603
2014-08-06,2,2014,5989.0,403174.0,-8077.0,-286798,19305,0.0,,-105642,-3811,1346,0.0,-216458,,-189897.0,,,,1132.0,391785,-136627,,826,-636484,,11912,6979.0,-511997,441187,,,-43472,803,-1418,3811,,2014年01月01日至2014年06月30日,2489594,2651506,161912,948276,,574916,762167,,,98993.0,98993,948276,,-415620,-173663,-589283,0.0,,,,,,-186109,2651506,-189644,,,47896
2014-10-29,3,2014,,601172.0,-12987.0,-380128,19305,,,-384456,-5088,2106,0.0,-462200,0.0,-189897.0,,,,,-52148,-75991,,-772,-241901,,11100,3805.0,-1036553,653697,0.0,,-74353,1205,-2125,5088,,2014年01月01日至2014年09月30日,2489594,1421655,-1067939,1395816,,920343,1250611,-1744799.0,793070.0,,-951729,1395816,,-453086,-293291,-746377,0.0,,,20692.0,0.0,,-145205,1421655,-333231,,2913.0,-16660
2015-03-24,4,2014,,775541.0,287.0,-128693,18719,,,-181544,-6522,2895,,-850046,-72000.0,-189896.0,,,,,922384,-328840,,-2035,-702799,,37752,10187.0,-1293486,859363,138.0,,-106689,1607,-2895,6522,,2014年度,2489594,2043764,-445830,1980234,,2309785,2639526,-1744799.0,,282670.0,-1462129,1980234,,-449381,333132,-116249,0.0,,,25256.0,-138.0,,659292,2043764,-333368,,-231.0,56651
2015-04-29,1,2015,,,1984.0,-120799,-66,,,-10185,-1811,652,0.0,-197862,,0.0,,,,,283793,-332156,,65,162495,,-1135,,-208047,208799,,,-28459,402,-698,1811,180501.0,2015年01月01日至2015年03月31日,2043764,2669447,625683,563161,-1234.0,777344,776393,,,56386.0,56386,563161,,-454124,486855,32731,,,,0.0,,,213232,2669447,-162,,918.0,39784
2015-07-30,2,2015,,,4327.0,-177355,-66,,,37428,-5608,1195,0.0,-519163,,0.0,,,,,217611,-240095,,550,646774,,1331,,-481735,490117,,,-60229,803,-1297,5608,434702.0,2015年01月01日至2015年06月30日,2043764,3110493,1066729,1227619,4175.0,1991787,2158016,,,-443323.0,-443323,1227619,,-412725,908420,495695,,,,817.0,,,930397,3110493,-170540,,7607.0,38443
