date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,避險之衍生金融資產（增加）減少,金融資產減損損失,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-07,1,2013,,303881.0,0.0,,-558759,,,-459444,11355,,,,,,,,61626.0,-1012.0,,43261,189720,-189027,0.0,,0.0,,5,,-47413.0,-398971,37552,4934,449168,,,-298692.0,,171065,,-2757.0,,-109808,200847,,,14478,46787,-44267,,,,2013年01月01日至2013年03月31日,5147163,4983704,-163459,977950,,180935,346873,0,0.0,-267302.0,-424306,977950,,-419715,-515243,-934958,0.0,17593,0.0,,-485,,,,-631077,4983704,-121671,,,,,,,
2013-05-07,2,2013,5847.0,655226.0,0.0,,-343122,,,-306001,0,-107345.0,,-14107.0,28324.0,-2694.0,,,0.0,0.0,,88296,30257,-408591,0.0,,0.0,5175.0,0,-46512.0,0.0,199066,-73098,-39296,0,,,470832.0,,242595,,-5483.0,,-414947,443370,,0.0,24666,94040,-82158,,,,2013年01月01日至2013年06月30日,5147163,5589185,442022,1738726,,1937906,2745839,0,-353935.0,0.0,-1111194,1738726,,-531223,883110,351887,0.0,2576,0.0,,-993,,0.0,,1007113,5589185,-725775,,0.0,,,-364931.0,,-57707.0
2013-11-07,3,2013,9069.0,1170802.0,0.0,0.0,-1132943,,,-242835,-86650,-96997.0,,0.0,134192.0,-4194.0,,,-3991.0,0.0,,135107,16331,-550944,0.0,,0.0,-5486.0,0,-45622.0,0.0,1321017,-442006,-56349,0,,,1080170.0,,460897,,-8856.0,,-555776,672714,,0.0,212683,141217,-129695,,,,2013年01月01日至2013年09月30日,5147163,5508499,361336,1874433,,3928674,5107818,-2038582,616677.0,0.0,-3027893,1874433,,-847043,2909626,2062583,159793.0,4645,0.0,,12,,0.0,,3233385,5508499,-1049449,,0.0,,,-583022.0,,
2014-03-13,4,2013,,1311466.0,,,-1593408,,,-8613,-61697,-136725.0,0.0,,,,-5811.0,,22816.0,12111.0,-97576.0,184832,-25651,-922538,,0.0,0.0,-248.0,0,,,470960,-156485,-58134,449415,,,,156050.0,600745,1206227.0,-12145.0,,-856475,910846,,0.0,153909,188665,-180197,82849.0,41267.0,,2013年01月01日至2013年12月31日,5147163,4994973,-152190,2102002,,4200507,5413651,-2621308,-388485.0,,-3470571,2102002,-41267.0,-372102,2372285,2000183,689026.0,2228,,,-54,,0.0,0.0,3311649,4994973,-1115796,0.0,,,,,,
2014-05-08,1,2014,3117.0,384243.0,0.0,,-576707,,,-279499,220674,,,,,,-9292.0,,23789.0,,-26510.0,51334,49901,-68547,0.0,,,,0,,,-212805,14487,29598,200530,,,-387078.0,,50654,,-3368.0,,-44667,231844,,,74073,49765,-52832,22722.0,,,2014年01月01日至2014年03月31日,4994973,5170183,175210,356932,,58015,173838,-4940,422321.0,,111961,356932,,-238782,-328555,-567337,80049.0,91,,0.0,620,,,,-183094,5170183,-85713,,,,0.0,,,
2014-08-07,2,2014,6142.0,778958.0,0.0,,-577955,,,-198063,269329,-15889.0,,-7742.0,,0.0,,,0.0,,-56942.0,100067,-24016,-147764,0.0,,0.0,0.0,690,0.0,0.0,111183,35668,811,249935,,-2873.0,-318492.0,,129526,,-6720.0,0.0,-155204,458313,0.0,0.0,170894,98189,-100106,52341.0,,,2014年01月01日至2014年06月30日,4994973,5437437,442464,798871,,1338237,1585182,-211729,-226122.0,0.0,-716553,798871,,-184193,191546,7353,52191.0,302,0.0,,1605,,0.0,,786311,5437437,-199180,,,,,0.0,,
2014-11-06,3,2014,,1107884.0,,,-1260162,,,-193400,-155230,-76498.0,,,-57005.0,,,,2143.0,9188.0,-83316.0,150071,141049,-266190,,,-6341.0,0.0,564,,0.0,-338899,-262272,504,750059,,-4429.0,-108400.0,,234228,,-10071.0,,-219004,681136,,,254394,142352,-152878,77810.0,50857.0,,2014年01月01日至2014年09月30日,4994973,5007191,12218,1154635,,836569,1295476,-1282906,717689.0,,-746396,1154635,-50857.0,-541737,-425306,-967043,333353.0,527,,,4352,,,,140841,5007191,-383839,,,,,,,
2015-03-12,4,2014,,1530266.0,,,-2038107,,-137619.0,29477,192026,2456.0,,,,,0.0,,-32399.0,12325.0,-109856.0,199286,165730,-480312,,,-6341.0,0.0,735,,,-210709,-233164,33889,-311516,,-6287.0,-301474.0,,155189,,-13493.0,,-467229,921228,,,362357,188958,-189568,104403.0,50857.0,,2014年度,4994973,5092877,97904,1547544,,2035571,2594388,-1286916,,-318376.0,-1636168,1547544,-50857.0,-180835,-302587,-483422,2325034.0,966,,,6090,,,,1046844,5092877,-473652,,,,,,,
2015-05-07,1,2015,,,,,-1039637,,-18353.0,-269190,48469,,,,,,9793.0,,12423.0,3163.0,-34509.0,44175,-61392,-226269,,,,,2098,,,634311,-53700,-19851,-51523,,-1583.0,555947.0,,107747,,,,-208909,228576,,,147030,46814,-45649,35778.0,,448418.0,2015年01月01日至2015年03月31日,5092877,4810170,-282707,273315,-3588.0,1661841,1703525,-515,-590782.0,,-1674247,273315,,-346329,1328121,981792,0.0,4937,,,11071,,,,1430210,4810170,-31813,,,,,,,
2015-08-06,2,2015,5989.0,,,,-1501027,,55398.0,-281875,7193,,,,,,-64181.0,,67522.0,0.0,-57512.0,82694,-88604,-472051,,,-310700.0,,1916,,,603882,117742,-12566,-199723,,-2581.0,641655.0,,85202,,,,-695693,450312,,,167455,88321,-85599,60261.0,16971.0,626534.0,2015年01月01日至2015年06月30日,5092877,4716460,-376417,682154,-9226.0,2344378,2516093,-108692,,-60294.0,-1936498,682154,-41267.0,-185925,1393330,1207405,0.0,1569,,,11410,996.0,-82784.0,,1833939,4716460,-146377,,,,,,,
