date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得待出售非流動資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,468586.0,6667.0,0.0,177152,-86054,120,10186,43313,-753,,1557.0,,160.0,8712,,-15.0,,,,,-45704,43689,-43651,-240834,,-45000.0,,,-498988,-1366,,,-60.0,,,-55417,90000.0,,,-432301,-16076,70900,-70000.0,8070,535008,708594,-3712,-3876.0,-742512,211931,,241181,8813,-43002,,42999,,,2013年01月01日至2013年03月31日,1887678,3905164,2017486,382253,,,,1545737,1640818,,996666,-565366,1257912,382253,,,-306989,1096968,789979,825727,29,,,8732,,,,,,4,1258565,1226,3905164,-95078,0,,-58351.0,0.0,,,0.0,,-47419,-53180,
2013-08-12,2,2013,720720.0,6667.0,-4685636.0,118906,-80394,-65050,102893,-30833,-2469,0.0,-1155.0,0.0,160.0,4692,2191.0,,,,,,-75186,87094,8455,-541281,,,,,-998988,-6808,,,1319.0,,,628006,90000.0,,-17934.0,246665,51401,101600,-50000.0,10284,-731760,789584,1411,-7286.0,-1372834,362567,,474080,17639,-85656,,70890,156274.0,,2013年01月01日至2013年06月30日,1887678,3489952,1602274,986059,,,,2633851,2646113,,652463,-1209968,332802,986059,,-159429.0,173047,766287,939334,5540086,204,15523.0,69133.0,20270,,,,-8025.0,,-42,1660054,1355,3489952,-153770,433,-135896.0,71171.0,0.0,,0.0,0.0,,-32191,-7444,
2013-11-13,3,2013,6106539.0,8667.0,-6917110.0,-51366,-89069,-185976,73832,4770,3678,0.0,-1155.0,,190.0,-1950224,1516.0,,,,,,-113833,133558,8380,-650382,,,,,-996923,-15744,,,1348.0,,,1031062,179784.0,,-17934.0,-1291270,-57029,85600,-300000.0,10342,2334553,883015,-9333,-10654.0,-1406373,525976,,632450,29918,-131629,,97266,679815.0,,2013年01月01日至2013年09月30日,1887678,3139347,1251669,-4059858,,,,3239636,2817891,-132162.0,260210,-1271131,-589974,-4059858,82469.0,-160483.0,-1588408,2359618,771210,7701037,1347,15523.0,69133.0,26139,,,,-8025.0,,10,6877749,1112,3139347,-223707,25031,-104089.0,82422.0,4931981.0,,,0.0,,96589,-17968,
2014-03-28,4,2013,6349147.0,12000.0,-9838415.0,-36504,-1044,-69240,68219,1155,-3952,0.0,-1155.0,0.0,65.0,-2771452,1668.0,0.0,-55.0,,,,-172225,184506,42444,-737168,,,-4052536.0,,-996923,-17742,,,1750.0,233557.0,,-284698,179784.0,,-17934.0,-67115,91870,386200,0.0,-16,1696841,810104,-636,-39612.0,-6059123,706679,,654282,42824,-179621,,148708,679815.0,,2013年01月01日至2013年12月31日,955948,2478368,1522420,-4027878,,,,2159172,1783900,-132162.0,2157619,-70000,5379927,-4027878,82469.0,-160483.0,-140116,-397253,-537369,12410826,38369,15523.0,69133.0,32401,,,,-17497.0,,37,5811778,1869,2478368,-273630,27033,-89564.0,106893.0,4967371.0,248568.0,,0.0,-473520.0,50668,-135652,39599.0
2014-05-13,1,2014,102262.0,0.0,,121085,-74474,117878,-3356,-53222,-8961,0.0,0.0,-794.0,0.0,-191462,3743.0,0.0,-1477.0,,,,-64134,77068,7408,-359237,,0.0,,,-1000,-12935,,,203.0,,,-1137024,473520.0,,,658975,-131640,900,0.0,4544,-1413038,-1321414,-7960,-4306.0,117337,178870,,-152017,10527,-73230,,59368,,,2014年01月01日至2014年03月31日,2478368,3454387,976019,385060,,,,-3064130,-3020749,,3847803,-46172,3915404,385060,84000.0,,494030,-4002101,-3508071,109130,3971,,47692.0,385,,7096.0,,-31140.0,,-168,-3405809,-275,3454387,-29519,-1332,-26657.0,28697.0,,,,,,-65461,-39499,
2014-08-14,2,2014,-258892.0,4133.0,0.0,236544,-84722,115471,-1113,-85959,-22721,0.0,0.0,-2355.0,0.0,448618,7302.0,,-1560.0,,,,-120396,164934,24443,-720933,,,,,-477094,-23921,-750000.0,,203.0,383836.0,,-452560,473520.0,,0.0,1611965,464509,1200,0.0,24061,-2741715,-2425348,-26708,-7440.0,-703488,360204,,-281447,21665,-161424,,114142,0.0,,2014年01月01日至2014年06月30日,2478368,1549059,-929309,1371323,,745000.0,,-2116112,-1956324,,1292796,-129188,1865848,1371323,84000.0,-154850.0,2112945,-5181700,-3068755,309902,40164,12796.0,124443.0,-3045,,7096.0,-246366.0,-83806.0,,-176,-3327647,319,1549059,-112506,188,-46332.0,47691.0,,,,,,-123315,-134777,
2014-11-13,3,2014,-302011.0,5753.0,0.0,394086,-89735,114205,-98179,-83640,-26638,0.0,0.0,-2179.0,0.0,3023430,12605.0,,-347886.0,,,,-153122,238306,24890,-1041273,,,,,-477094,-30549,-750000.0,,481.0,383836.0,,-494450,473520.0,,0.0,965359,1510965,0,-341600.0,-485,-840989,-3634729,-42052,-10652.0,-1216909,547582,,-481415,33136,-239572,,186147,559055.0,,2014年01月01日至2014年09月30日,2478368,2395614,-82754,1766673,,745000.0,,2414381,2111671,0.0,641457,-2502292,-1305116,1766673,84000.0,-156000.0,2640278,-1993269,647009,500878,234495,12796.0,149317.0,-11587,17718.0,7096.0,-246366.0,-105051.0,,-42664,344998,712,2395614,-202920,-9311,-46332.0,47691.0,0.0,,,,,-41558,-213623,
2015-03-27,4,2014,-309610.0,5753.0,-1535501.0,491196,-86411,16933,-125837,-97158,-7888,0.0,0.0,-3736.0,0.0,3498206,1625.0,,-13.0,,,-363751.0,-162760,296457,-869,-1434490,,,0.0,,-477094,-44276,-750000.0,,3897.0,386836.0,,-1480287,473520.0,,0.0,2914830,6211068,0,-141100.0,8843,-5989830,-5483911,-36765,-54910.0,-1438447,749903,,-818324,42747,-298678,,202251,559056.0,,2014年度,2478368,1486366,-992002,2423030,,745000.0,,2121772,1872052,0.0,140241,-1526559,-1674458,2423030,84000.0,-156000.0,9344925,-9586293,-241368,1000000,298205,12796.0,160646.0,-25234,17718.0,7096.0,-246366.0,-108217.0,42472.0,-44987,-550978,3799,1486366,-212909,14965,-46332.0,47691.0,0.0,0.0,60309.0,,0.0,-24605,-128293,0.0
2015-05-11,1,2015,,,,-168492,27177,38703,95812,23601,-53788,0.0,,-3091.0,,-1047212,17638.0,,-1288.0,,,,-21158,59375,12451,-437027,,,,,0,-12099,,,237.0,,,-49531,0.0,,,-1439044,-4603841,138500,,-7028,5170200,1596510,-15817,,-464581,206071,,-195923,8577,-55822,,12896,,55198.0,2015年01月01日至2015年03月31日,1486366,3166678,1680312,452087,-2805.0,,,-106439,30153,,1801099,-172452,2238881,452087,0.0,,-6170551,5693419,-477132,454096,19977,,0.0,11579,,0.0,,0.0,,-2824,-421934,-119,3166678,-93666,-10736,0.0,0.0,,,,,,-41458,-31053,
2015-08-13,2,2015,,1166.0,-1915822.0,13638,-11524,-18809,-97397,27338,-93227,0.0,,-2766.0,,-50330,0.0,-2944.0,0.0,13.0,,,-44537,118229,35810,-768876,,,,,0,-19885,,0.0,1959.0,0.0,,366473,0.0,57755.0,,-1675430,-5882364,129500,-10000.0,-8473,8307101,845305,840,,-626575,441376,,-377393,20824,-116900,,45822,9078.0,-91846.0,2015年01月01日至2015年06月30日,1486366,4687519,3201153,1086607,-5582.0,,150000.0,2531762,2714019,,2727589,-225922,1260156,1086607,8921.0,-242745.0,-7542304,9261562,1719258,500000,175817,0.0,0.0,11982,,0.0,0.0,0.0,,-14510,1627412,93,4687519,-120257,-15952,0.0,0.0,,,,,,1606,-162044,
