date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分以成本衡量之金融資產,處分備供出售金融資產,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-14,1,2013,-59076.0,,0,,-152996,4220,-9146,-127781,103985,-2046,,,-21137,-5572,4458,217742,-36605,0.0,,-10214,-9356,,,,,,,484057,-277439,-176573,-327160,15473,-196357,1959,28466,-24096,50460,22260,,-31248,10962,-3986,,5572,,,2013年01月01日至2013年03月31日,4030237,3851091,-179146,182733,-248603,-222423,,,0.0,,-124189,182733,2322,,-794670,448590,-346080,153250.0,,31869.0,,-25344,0.0,0.0,-405156,-23587,0.0,3851091,-27766.0,-43121,8500,,
2013-08-13,2,2013,-4291.0,0.0,0,,-73386,-75121,-1213,-181972,-76473,-2684,-10101.0,,101715,-17093,21924,138410,-89049,0.0,,-16027,-8849,,,,,-5339.0,,-336942,-277413,298083,853479,-695,-586265,1623,41580,15016,101104,-38802,,-67123,23319,-20977,,17093,,,2013年01月01日至2013年06月30日,4030237,3816403,-213834,59430,-329407,-156305,,,0.0,,-37853,59430,5108,,869057,-1080501,-211444,239560.0,,126644.0,,-101156,0.0,,-215735,-23768,0.0,3816403,-169218.0,-39795,13700,,-37145.0
2013-11-12,3,2013,286458.0,3084.0,0,,299842,-236298,1661,-79849,-239414,895,-10011.0,,139979,-31940,29003,19281,-135390,0.0,,-20177,3273,,,994.0,0.0,-3669.0,,-254640,-265588,198418,579279,658,-959643,1882,62559,48344,151529,-17696,,-165192,35461,-27580,,31940,,,2013年01月01日至2013年09月30日,4030237,3483211,-547026,475837,-97900,81084,-613367.0,,0.0,,-516751,475837,8865,226554.0,972050,-1653261,-681211,361210.0,65024.0,137811.0,,-96134,0.0,,-394753,-27193,0.0,3483211,-183344.0,3105,19100,,-37145.0
2014-03-06,4,2013,-56068.0,12084.0,0,-181650.0,-196296,-219518,1463,-96421,132758,-5074,-20041.0,,-56083,-42275,39407,83047,-199039,0.0,-30000.0,-29179,7369,,,5275.0,,-693.0,0.0,251453,-277413,269810,218799,3108,-883622,2499,63114,270459,201802,-16431,,-279922,33308,-37505,,42275,,,2013年01月01日至2013年12月31日,4030237,3275650,-754587,746251,-42622,161598,-611683.0,,,0.0,-1065471,746251,3251,226554.0,161203,-689788,-528585,0.0,64922.0,450901.0,,-164202,0.0,,-584653,-32723,0.0,3275650,-208990.0,-12332,24200,,-37145.0
2014-05-13,1,2014,-63024.0,,0,-592810.0,-151184,203010,1137,6206,-205971,678,,,-79483,-16900,8031,237863,-48792,0.0,,-3365,-2480,,,1573.0,,,,-57048,0,-180887,-295088,-1140,215610,1401,-20855,-51020,45646,18084,,-22963,8629,-7550,,16900,,,2014年01月01日至2014年03月31日,3275650,3067838,-207812,130098,-476568,-402023,,,673150.0,,81913,130098,0,,-623328,154231,-469097,0.0,,0.0,,-2082,0.0,0.0,-532121,-1913,0.0,3067838,-83895.0,-4322,2900,,
2014-08-12,2,2014,18149.0,0.0,0,-620690.0,-594662,232528,-4071,388479,-399471,2395,-5164.0,,-20991,-26145,13193,72821,-106206,0.0,,-8168,4384,,,666.0,,0.0,,-290060,0,119000,-209522,136,357386,1626,-61780,-79302,92566,18084,,-55452,17299,-12230,,26145,,,2014年01月01日至2014年06月30日,3275650,3094210,-181440,246274,-372935,-194612,,,818000.0,,197976,246274,0,,-312184,-146851,-459035,0.0,,0.0,,-18201,39143.0,,-440886,-18010,0.0,3094210,-192238.0,5396,6100,,0.0
2014-11-12,3,2014,150401.0,3000.0,0,-646050.0,-386085,216848,-44,281452,-300910,2393,-1539.0,,160262,-43770,18925,-61238,-163167,0.0,,-123008,4148,,,2286.0,0.0,-2145.0,,-545271,0,353761,-294813,-1241,196382,1559,-8514,-238887,137683,13133,,-88263,26821,-17477,,43770,284371.0,,2014年01月01日至2014年09月30日,3275650,2749067,-526583,143434,-138874,-204049,0.0,,556180.0,,-87584,143434,0,-18647.0,-69572,-428312,-497884,0.0,0.0,0.0,,-22603,46477.0,,-347483,-25039,0.0,2749067,-245489.0,-32045,7890,,0.0
2015-03-12,4,2014,117226.0,15742.0,0,-791350.0,-291375,-24889,1097,9973,-187512,3778,-196281.0,0.0,207430,-52443,21696,166706,-245379,0.0,-27359.0,-127321,5277,,20970.0,5295.0,,-4074.0,0.0,-657943,0,283772,-289095,-8930,111994,2125,-20267,-207300,182061,51090,,-142070,35906,-19761,,52443,284815.0,,2014年度,3492550,3613497,120947,143457,-903676,-999362,-612492.0,,2463764.0,0.0,1065217,143457,0,-19091.0,-338362,-921683,-1260045,0.0,0.0,0.0,,-88417,159024.0,,-1142819,-46485,0.0,3613497,-221811.0,-44923,11800,,0.0
2015-05-14,1,2015,,,-114300,-25500.0,-178193,22229,3219,-4613,-148130,2330,31707.0,,31989,-9025,7889,-611249,-33029,,,-2848,-5410,,,5051.0,,,,778825,0,-778348,-645098,66,984417,-8296,-30593,-32658,43354,18309,,-66766,9533,-7826,,9025,,35748.0,2015年01月01日至2015年03月31日,3613497,2027178,-1586319,-191902,-132724,-124717,,,-674939.0,,-809688,-191902,0,,-1617031,1648468,31437,0.0,,0.0,,-580,,0.0,67185,-13175,0.0,2027178,-9206.0,22364,2400,,
2015-08-13,2,2015,,0.0,-114300,-97000.0,-196422,64145,16523,-43188,-123471,-5946,52771.0,,-63939,-17008,15221,-603242,-58369,0.0,,-9302,-2296,,,4468.0,,0.0,,647384,0,-566451,-477103,-585,1095679,-8600,9470,114993,85957,20051,,-71585,20661,-14460,,17008,,-12906.0,2015年01月01日至2015年06月30日,3613497,2507451,-1106046,-298349,93368,139756,,1194865.0,-1699198.0,,-711165,-298349,0,,-1306418,1757429,451011,0.0,,0.0,,-47250,166141.0,,438105,-16723,0.0,2507451,-48936.0,59973,7360,,0.0
