date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,4128554.0,,0,-1633977,-1612620,1706.0,,153816,11229.0,,361515,298550,-50572,100645,,-70937.0,46314,,,-90977,749552,588846,-996243,,-1899,,,-2502.0,,-107739,-2320828.0,,,0.0,-5116.0,,8478.0,3232272,5905.0,,-688260,-86006,231,0.0,3987976.0,0.0,401570,-941573,-72686,,-47561.0,,-39712,-2185.0,-2310904,3610786,,-58047,231838,-696611,92089,,,2013年01月01日至2013年03月31日,24401022,26438772,2037750,-2754606,,1477989,2291249,,,-148030.0,2281819,-2754606,,-1428725,2346026,917301,220961,243441,2392.0,429785,,-16467,,,,,-137793,16284.0,583121.0,,5045855,-19361,0.0,26438772,-208738,-149985,0.0,,-140226,,-10353.0,-404754,-123538.0,0.0,-38075.0,336425
2013-08-12,2,2013,8809606.0,0.0,0,-7354875,-16031,-16880.0,,496227,24830.0,,484445,302855,-294375,603123,,-59714.0,20000,,-1498470.0,-163201,1552253,263203,-2404614,-300.0,0,,,-2502.0,0.0,-145565,-6188226.0,,,,-13564.0,,,835774,1556521.0,,-239685,-105423,225,0.0,4291170.0,0.0,227817,-433803,529234,,,-50097.0,78025,-261673.0,-4173797,7268604,,-165043,474612,-1370599,117895,3085.0,,2013年01月01日至2013年06月30日,24401022,26000007,1598985,-4617068,,4759999,6416986,,3333309.0,0.0,749580,-4617068,-3085.0,-503074,2727522,2224448,1147013,323204,22034.0,380641,,-59702,-59482.0,,,,1699546,775.0,2393814.0,,11034054,-426982,0.0,26000007,-407368,-166480,0.0,,-653698,,-129428.0,271257,,,,205427
2013-11-11,3,2013,12452155.0,0.0,0,-14624739,-893320,-16154.0,,-796114,168335.0,,266684,271595,-323990,643860,,-75775.0,144510,,-1498470.0,-238115,2341436,-169105,-3230617,-3719.0,-12238,,,-2502.0,0.0,-243027,-9863937.0,,,2656.0,,,,2792972,1556521.0,,-149505,-237456,219,0.0,4291170.0,-814284.0,207933,-2409395,492558,,,75817.0,166487,-341881.0,-2882345,10447808,,-294105,728553,-2108245,239153,55030.0,,2013年01月01日至2013年09月30日,24401022,22219850,-2181172,-4682148,,4686347,7091222,,1231601.0,0.0,-3816069,-4682148,-55030.0,-2158474,1479689,-678785,6395427,475355,27432.0,404349,,-65056,2087091.0,,,,1324074,3389.0,5843741.0,,11773370,-377308,0.0,22219850,-590813,-113417,0.0,,-298119,,-125523.0,4881,,,,-217702
2014-03-18,4,2013,15564500.0,0.0,0,-23361989,120695,,,-1117185,4649.0,,250306,220933,-282221,235660,,,-366670,,-1498470.0,-362090,3179873,1202817,-4804130,-3721.0,-131440,,-109784.0,-2501.0,0.0,-321376,-11809812.0,,,23735.0,0.0,,,771681,1556521.0,,734902,96924,214,0.0,4291170.0,-901276.0,99833,-195818,469383,-1198982.0,,67310.0,101242,-569273.0,-3448905,13141041,1236112.0,-80669,1029246,-3754807,368175,219810.0,,2013年01月01日至2013年12月31日,24401022,23193105,-1207917,-4944175,,5808172,9829360,,2203529.0,0.0,-4770001,-4944175,-57164.0,234234,-1025199,-790965,12363463,292953,171589.0,626296,,-61918,1896290.0,,,,-1040387,41831.0,7844957.0,,14773535,-268315,0.0,23193105,-854366,-92670,,17444.0,611153,1390264.0,,49908,,,,51383
2014-05-13,1,2014,3138821.0,,-4543526,-1605181,-962159,,,379820,,-94814.0,-91859,226075,116598,182312,,135242.0,-49680,,,-92634,804533,324010,-853664,,-50254,,,0.0,,-87682,-6904768.0,,,,-6436.0,,0.0,1473159,0.0,,-862844,-142450,0,-7.0,0.0,-4212199.0,178638,-1591257,-34494,-254438.0,-4360.0,,-205086,-120990.0,-2846996,2589186,,-141425,134347,-1169115,86403,,,2014年01月01日至2014年03月31日,23193105,28816852,5623747,927011,,539236,1720878,,6481244.0,,7607497,927011,,-2200135,-144819,-2344954,11493602,25311,0.0,145684,,-307,477438.0,,121730.0,,-118006,169.0,4378214.0,,793867,19451,,28816852,-98930,-36873,,,0,0.0,,-271230,0.0,,,-469762
2014-08-12,2,2014,6165050.0,0.0,-4543528,-2974101,-1330634,,,979593,,-94814.0,196551,104471,-718411,729242,,3837.0,33088,,0.0,-212722,1638404,158265,-2082194,-229156.0,-352798,,,0.0,,-176044,-6837540.0,,,,-805.0,-72436.0,,-151564,0.0,,-350326,-424306,0,-13.0,0.0,-3132753.0,106971,-744299,-541749,-157795.0,0.0,21889.0,81007,-222224.0,-2632404,5156919,,-323602,275342,-1689412,179241,15633.0,,2014年01月01日至2014年06月30日,23193105,24054498,861393,2459095,,3940608,5886281,,-3549510.0,,-605076,2459095,-46062.0,-2677562,-60302,-2737864,13626378,240239,0.0,574082,,-78611,476144.0,,121730.0,,-332994,1454.0,5777040.0,,3427186,1606,,24054498,-451135,59793,,,-30744,28583.0,0.0,-392296,,,,59374
2014-11-12,3,2014,9787140.0,,-6353026,-19533171,-350731,,,913713,,-94814.0,52145,231920,-666613,363317,0.0,-1057.0,1558,,0.0,-309033,2522859,357251,-3596373,-326669.0,-381805,138457.0,,0.0,,-409604,-12776728.0,,139470.0,,-7553.0,,,-1410030,0.0,,3816,-460855,6347,,0.0,-1876926.0,160619,-577237,168627,83963.0,,25368.0,81314,-304271.0,-8163915,7817442,,-457465,406715,-2438490,221228,63616.0,,2014年01月01日至2014年09月30日,23193105,25811600,2618495,975409,,5189089,7999594,1500000.0,3362045.0,,5236070,975409,-63616.0,-2062564,-700391,-2762955,27839592,928539,7532.0,880871,,94023,0.0,468708.0,121730.0,,-410900,3543.0,7454495.0,,7024185,-23780,,25811600,-656859,12207,,,-308403,35438.0,0.0,-557536,,,,-471837
2015-03-24,4,2014,13531441.0,,-6254746,-13379541,-431229,,,753350,-53308.0,-94814.0,-56274,355317,-743477,1012796,,-199.0,-555479,,0.0,-434967,3598543,406771,-4797792,-232358.0,-242293,138457.0,,-1628.0,,-466134,-18387215.0,,308864.0,378407.0,,,,59613,0.0,,44476,-457289,38185,,545692.0,0.0,138236,-1008961,98607,611430.0,-27404.0,0.0,126809,-519810.0,-10913168,10558621,530348.0,-622182,555416,-3527207,347162,668661.0,,2014年度,23193105,30140282,6947177,-2405164,,5804458,9092738,1500000.0,-1665771.0,,11649116,-2405164,-65267.0,-2886413,852874,-2033539,30166171,1402661,42576.0,727899,,-172838,0.0,468708.0,121730.0,,-419229,2496.0,10508760.0,,11497902,-57378,,30140282,-776896,-220810,,18285.0,-286446,427005.0,,-547300,,,,-803469
2015-05-05,1,2015,,,-300000,-3018789,-1155664,,,-65509,,0.0,87967,40987,89252,-136760,,221.0,-49824,,,-214826,1047675,-478564,-1493677,,0,,,,,-165543,,-7961391.0,,11701.0,0.0,,,1482771,,,-1477887,-7555,88395,0.0,28689.0,0.0,-197334,2493043,-146055,251954.0,0.0,31387.0,-22033,,-6648125,2813491,,-107352,140006,-894998,96276,,3677902.0,2015年01月01日至2015年03月31日,30140282,29418129,-722153,-1592779,-144938.0,2023487,3026239,,0.0,-1018611.0,4381049,-1592779,,-3293711,4234827,941116,8588000,55742,,100,,-6750,0.0,,61640.0,,-7667,0.0,,2823617.0,4619018,-37459,,29418129,-204030,13325,,,1664,,,386253,,,,-450314
2015-08-11,2,2015,,,-300000,-6780095,-579525,,,-669217,,0.0,208164,87036,141543,-505309,,262.0,-70780,,,-452368,2148066,-442363,-3123459,0.0,-4000,,,-46828.0,,-196455,,-8764216.0,,14244.0,0.0,0.0,,1987796,,,-2080936,124949,56918,0.0,,-1377275.0,-264465,4059972,-493795,569556.0,,29406.0,-48817,,-4759473,5633569,4672.0,-208863,279303,-1998284,217283,19803.0,6020107.0,2015年01月01日至2015年06月30日,30140282,27658809,-2481473,-3196076,-229367.0,661380,3006429,,,-730763.0,2058983,-3196076,-20157.0,-4944790,5127188,182398,11173023,2842077,,210786,,-1453734,0.0,,61640.0,,-30679,71925.0,,4154979.0,6202505,-93583,,27658809,-583851,25344,,,2931,99626.0,,210746,,,,-2171832
