date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,-51183.0,,,-3999,-6848,3397,-6773,0.0,3,7792,,,-11,,-178,3189,-3453,-3441,-4000,-4269.0,,,-278,,-1451,,-558.0,7292,-25948,,1029,-614,69104,-60.0,442,-110.0,-424.0,91813,15393,,4559.0,4103,560,-3513,240,,,2013年01月01日至2013年03月31日,197698,274421,76723,39192,28722,32369,,0.0,-32035.0,-40359,39192,,-4882,49242,44360,,,,0,218,,,,-548,83199.0,-73475,,-6823,274421,-134,-330.0,,-3767,1336.0,,,13978.0,236.0,-897.0,0.0,-1425
2013-08-09,2,2013,-35070.0,3960.0,,-8379,-12395,4999,14011,0.0,3703,2030,,,906,23090.0,-716,6608,-5009,-11924,-6521,-10150.0,,0.0,-10123,,741,,-691.0,7243,-4242,,-35713,-889,19736,-14.0,562,,-440.0,121543,30925,0.0,29356.0,16578,1238,-6827,778,,,2013年01月01日至2013年06月30日,197698,305657,107959,52682,28717,42582,,-23611.0,,-37292,52682,,-37882,62852,24970,,,53849.0,5223,492,-15557.0,,,-34007,90047.0,-80298,,-10100,305657,-7038,279.0,,-4611,,,,13978.0,1413.0,-166.0,,2853
2013-11-13,3,2013,-25800.0,3960.0,,-12957,-5030,5067,10463,0.0,4104,14979,,,115,23090.0,-725,9285,-20041,-23629,-6521,-11019.0,0.0,0.0,-1086,,903,140.0,,7614,-33286,,-16474,-862,70459,-96.0,5233,,-639.0,61713,45214,0.0,29356.0,34181,1181,-9663,787,,,2013年01月01日至2013年09月30日,197698,237362,39664,39901,86772,105587,,0.0,-71512.0,-88780,39901,,-6111,97597,91486,,,95011.0,5223,909,25443.0,,,-59819,90047.0,-80298,,65686,237362,-9152,279.0,,-4451,,,-119470.0,,489.0,-4762.0,,7723
2014-03-26,4,2013,-53450.0,5364.0,,-95786,8363,22122,9784,0.0,5403,8408,,,1277,23090.0,-1010,12336,-32071,-28927,-6520,-5138.0,0.0,-133448.0,-1436,,-894,,1407.0,7562,-57783,,-26643,-692,59779,,4184,,-9050.0,200036,60319,0.0,29356.0,54338,2381,-12452,1010,1588.0,,2013年01月01日至2013年12月31日,197698,311664,113966,86675,81756,97259,,-37361.0,,-135755,86675,-1588.0,10306,53728,64034,,,175078.0,12922,1033,25443.0,,,-117321,127278.0,-113993,59.0,10584,311664,-3051,34.0,16146.0,-4015,11620.0,0.0,,13978.0,,4005.0,,10803
2014-05-13,1,2014,34809.0,,,0,12745,50,2942,,-576,-9654,,,-10,,-227,3120,-632,-8303,0,0.0,,-120684.0,-1991,,2104,227.0,0.0,24,-40175,,29056,2732,-1863,-29.0,40,0.0,0.0,-128823,15653,,0.0,13140,501,-2867,227,,,2014年01月01日至2014年03月31日,311664,448751,137087,-17195,12529,16176,,119376.0,0.0,254013,-17195,,47318,-48756,-1438,133801.0,,,353,217,,,,368,0.0,0,,33371,448751,-780,0.0,,609,-67.0,,,0.0,-17.0,1561.0,,3311
2014-08-13,2,2014,67920.0,4807.0,3377.0,121543,-556,55,-1067,,3125,-6528,,,-52,0.0,-540,7082,2918,-12774,0,0.0,,-233412.0,-2591,,1556,,-484.0,-10,-20586,,63906,2119,-170399,-9212.0,-1434,,0.0,-236528,30394,,0.0,31830,1086,-6722,540,1897.0,,2014年01月01日至2014年06月30日,311664,236011,-75653,14900,-82359,-63060,,118892.0,,240316,14900,-1897.0,63377,-209257,-145880,,,1418.0,0,814,0.0,,,-2195,0.0,0,,-77960,236011,-12577,0.0,,365,-210.0,,,0.0,-31.0,272.0,,-5272
2014-11-12,3,2014,137292.0,4807.0,,203722,2349,8,-4109,,-1956,-9045,,,-28,0.0,-742,11661,-1965,-21414,0,0.0,,-233412.0,-3625,,268,,-399.0,402,-37547,-42829.0,34182,2143,-60720,-2457.0,-505,-2114.0,0.0,-230930,45005,,0.0,75581,1660,-11301,742,1903.0,,2014年01月01日至2014年09月30日,311664,371564,59900,-29005,-251,23627,-107652.0,239623.0,,293046,-29005,-1903.0,31854,-116514,-84660,,,2883.0,19489,930,0.0,,,-16933,0.0,0,,52632,371564,-12577,0.0,17103.0,581,4662.0,,,0.0,-17.0,-2677.0,,-4872
2015-03-17,4,2014,175240.0,7505.0,,235437,-1860,12999,-10222,,4985,-12947,-1208.0,,138,0.0,-1023,16663,-9039,-26965,0,0.0,,-233411.0,-6991,,-1699,,-278.0,374,-20020,-42829.0,-28014,385,61459,-1757.0,1172,,0.0,-221755,59208,,0.0,97901,2383,-15873,1023,2138.0,,2014年度,311664,346262,34598,-49990,99928,128505,-107652.0,80000.0,,165464,-49990,-2138.0,-13222,16477,3255,,,1418.0,32773,2310,0.0,,,-28743,0.0,0,0.0,178495,346262,-12704,0.0,23677.0,786,6701.0,,,0.0,,243.0,,-1717
2015-05-08,1,2015,,,,-37793,-498,-24106,7584,,-4625,-675,,,-42,,-182,4381,4370,-7640,-1786,,-549.0,0.0,-19,0.0,70,,-2533.0,-488,5190,,-11610,-942,-36861,-884.0,-505,-10245.0,,90772,14410,,,18836,686,-4934,182,,-34020.0,2015年01月01日至2015年03月31日,346262,283530,-62732,8442,-101526,-95437,,,-16000.0,-56348,8442,,-33452,-36407,-69859,,,,7122,222,,70760.0,-45536.0,-6478,24370.0,-20786,,-103879,283530,-1155,,,-22,357.0,,,,-11.0,-1138.0,,8329
2015-08-12,2,2015,,8696.0,,-71835,16384,-23533,15738,,-5063,2914,,,-61,,-503,8507,6559,-17385,-1786,,-549.0,0.0,-422,0.0,909,,-4001.0,-3063,13631,,-21650,998,5156,-5185.0,-430,-2926.0,,273268,28669,,,33397,1380,-9164,503,0.0,-121880.0,2015年01月01日至2015年06月30日,346262,423628,77366,21542,-89093,-59510,,-37000.0,,-113368,21542,0.0,11953,28875,40828,,178.0,0.0,14572,313,,233756.0,-144205.0,-13062,42025.0,-35083,,-81052,423628,-20419,,,-532,-2202.0,,0.0,,-23.0,-3196.0,,44817
2015-11-11,3,2015,,8696.0,,-205227,23590,-19702,12354,,-626,-7092,,,-61,,-694,12558,-5129,-29371,-1786,,-549.0,0.0,-422,,557,,-6437.0,-2627,6448,0.0,-4264,3321,-35720,-18552.0,-2441,0.0,,529199,42852,,,51012,1785,-13486,694,-3467.0,-223100.0,2015年01月01日至2015年09月30日,346262,390622,44360,111963,-148730,-109614,0.0,,-119000.0,-330980,111963,3467.0,46561,-45038,1523,,178.0,0.0,14571,934,,507768.0,-302510.0,-13062,42025.0,-35083,,-221577,390622,-25630,,13043.0,-316,2041.0,,,,-35.0,,-6450.0,44242
2016-03-29,4,2015,,12174.0,,-226577,42379,39491,14510,,-10810,-6705,30.0,-7500.0,-145,,-1057,15477,2736,-35260,-24139,,-17688.0,0.0,-964,45899.0,472,,-9629.0,4845,-1636,0.0,12216,1770,-16808,-4423.0,-960,-4953.0,,854635,56058,,,70565,2854,-16129,1056,3516.0,-386811.0,2015年度,316262,605601,289339,183129,-166525,-120782,0.0,0.0,-165000.0,-401507,183129,-3516.0,103845,-20945,82900,0.0,178.0,35953.0,21008,1143,,826078.0,-470814.0,-36022,,-36177,,-303911,605601,-29614,,13043.0,-301,1163.0,,,,,-10376.0,,18799
2016-05-11,1,2016,,,,-10709,-10522,-79410,1803,,2154,-853,,-3000.0,-158,,-204,2111,1177,-5059,0,,0.0,,-25228,21071.0,64,,103.0,127,5951,,-19972,-3246,-12720,-9450.0,-253,-752.0,,85206,13184,,,15623,2534,-2131,204,,-53760.0,2016年01月01日至2016年03月31日,605601,457560,-148041,31006,-144923,-141277,,,-79000.0,-89501,31006,,-103383,-15140,-118523,,,,0,171,,100046.0,-78080.0,0,,-10375,,-172283,457560,-1515,,,105,1212.0,,,,1134.0,-2797.0,,7613
