date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付短期票券增加,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,96073.0,,,,-107778,,8626,,-175181,2047,0.0,,-40.0,,-22573,,-9114,9857,8360,-191629,0.0,-239175.0,,,,-195899.0,-20596,,,,3080,0,,625,179131,-150.0,60346,,233878,-298.0,-343886,52400,-14049,,26954,53522,-11422,9808,,,2013年01月01日至2013年03月31日,4492896,4363141,-1950,1476.0,-129755,-39837,,,341836,344115,,,,-158060.0,-136065,-39837,,-121754,409633,287879,150641.0,7577,1398.0,280010.0,0,,-6499,13653.0,-5371,,291.0,-21,,,383952,-6621,4363141,-665,,-354.0,1633,-3737.0,-23948,,-101.0,
2013-08-14,2,2013,121340.0,,,,-139028,,-50905,1099.0,29818,-59409,0.0,,-2336.0,,363,,-17313,19834,-242,-325509,-49350.0,,,,573332.0,-195899.0,-58732,,,0.0,20027,0,,97,431146,-300.0,167667,,-328501,-541.0,-475010,118817,-14018,,-28517,105089,-21744,17752,,,2013年01月01日至2013年06月30日,4492896,4202550,11944,1434.0,-290346,108915,,,368864,419124,,,,-252407.0,-183958,108915,,210556,-21687,188869,212254.0,8982,1398.0,,-22752,,-6696,13653.0,-61569,319447.0,291.0,-21,,,310209,-6260,4202550,-46268,-761483.0,48.0,1633,-654.0,-24804,,,19872.0
2013-11-13,3,2013,179927.0,,,,-403056,,-19828,13082.0,-10916,-28876,,-6578.0,-1840.0,,2232,,-25365,28990,7526,-696809,-49776.0,-818014.0,,,,-195899.0,-92562,,,,24158,0,,242,641188,-450.0,-4712,0.0,-351980,-943.0,-671241,188184,-14912,,-47736,156602,-30900,26131,,,2013年01月01日至2013年09月30日,4492896,4047619,-4301,1392.0,-445277,201589,,,758737,755815,-58043.0,,,-283357.0,-540299,201589,-30044.0,148707,225592,374299,212254.0,9141,1398.0,786080.0,-22752,,-6721,20375.0,-61473,319447.0,291.0,532,,,554226,-5296,4047619,-22353,,-142.0,1633,-654.0,-25677,,,170574.0
2014-03-24,4,2013,383268.0,,,,-346853,,-50618,82771.0,21892,13337,0.0,,-51560.0,,20348,0.0,-35402,37516,26054,-540164,-124332.0,-1040620.0,,,,-195899.0,-114561,0.0,,,23514,0,,1298,799831,-599.0,66199,,-146063,-401.0,-925864,266547,-7036,,-19901,204872,-33830,36168,,,2013年01月01日至2013年12月31日,4492896,4331395,6510,1351.0,-161501,165744,,,1334178,1325872,-58043.0,,,-465057.0,-595869,165744,-30247.0,167409,609451,776860,267648.0,9835,1414.0,1001300.0,-22752,,-6464,20340.0,-60003,319447.0,292.0,532,16176.0,,1160128,887,4331395,-24279,,,13350,-3888.0,-17078,11498.0,-345204.0,78832.0
2014-05-14,1,2014,19804.0,,,,-213675,,-45362,,-135560,-9973,0.0,,0.0,48725.0,767,-64671.0,-8934,7500,-11995,-35434,,-117447.0,-3000.0,,,0.0,-68974,-14903.0,,,0,-13403,,8,-318814,-191.0,195344,,176159,-235.0,-836411,69743,0,,-37998,44395,-10556,8509,,,2014年01月01日至2014年03月31日,4331395,3402456,-3109,0.0,-928939,5800,,,-113952,-111453,,,,-638.0,33419,5800,,60933,-197990,-137057,266331.0,4,4357.0,215153.0,0,3060.0,5,0.0,-52341,,0.0,0,,,-117253,1384,3402456,-452,,-33.0,0,0.0,-5196,,-803289.0,
2014-08-13,2,2014,11121.0,,,,-413055,,-32156,1000.0,5821,-31173,0.0,,47106.0,,1511,,-19051,17333,-27569,-216096,-60083.0,-521101.0,,,,0.0,-90046,-14903.0,,,0,-16824,-1275.0,0,-308795,-384.0,149292,,-398917,-516.0,-1195225,129194,-4813,,-52700,83619,-17645,16226,700.0,,2014年01月01日至2014年06月30日,4331395,3326890,3685,0.0,-1004505,273959,,,-388691,-338505,,,,579574.0,606980,273959,-700.0,152269,-775854,-623585,460836.0,14,11854.0,391181.0,0,,12,0.0,-244171,0.0,0.0,0,,,-612464,-2328,3326890,-49467,,142.0,92631,0.0,-3551,,-742876.0,0.0
2014-11-14,3,2014,55680.0,,,,-745315,,-20629,2811.0,104189,-58252,0.0,0.0,-31923.0,,2261,,-29224,26152,5982,-299771,-106481.0,-565652.0,,,,0.0,-116917,-14903.0,,,0,-11215,,-2205,-356483,-573.0,183385,,-463369,-804.0,-841829,199010,-9693,,-36908,119116,-27142,29237,,,2014年01月01日至2014年09月30日,4331395,3541829,6583,0.0,-789566,499599,,,-103773,-65367,-130475.0,,,332173.0,150054,499599,-30791.0,287780,-908426,-620646,720728.0,14,88812.0,866419.0,0,,40,0.0,-315858,0.0,0.0,0,,,-564966,2346,3541829,-71292,,142.0,98717,0.0,-15842,17013.0,-770195.0,-1336.0
2015-03-23,4,2014,163052.0,,,,-820134,,-14007,9659.0,154407,7079,0.0,,-34582.0,,3033,,-41855,34825,19699,-1184097,-107096.0,-194290.0,,-852.0,,0.0,-121104,-14903.0,,1565.0,79047,-84803,,105,-425525,-2619.0,-88820,,-163482,-1551.0,-972021,287246,-6248,,-16659,153509,-38957,40440,139281.0,,2014年度,4331395,3576732,-30166,0.0,-754663,610564,,,300795,231611,-130475.0,,,138934.0,-103136,610564,-31119.0,60178,-602183,-542005,720728.0,334,92052.0,582753.0,0,,234,0.0,-325034,0.0,0.0,0,0.0,,-378953,-2066,3576732,-71580,,165.0,112914,0.0,-6433,17013.0,0.0,-1792.0
2015-05-14,1,2015,,,-27845.0,,-152682,,8381,,-43259,-15539,0.0,,,785.0,778,0.0,-8291,7892,-8408,-46281,-20400.0,-229601.0,,,,,-76721,,0.0,,1416,-17415,,2397,55016,0.0,153347,,201356,,22386,76841,88,,289,20812,-7617,8688,,-811237.0,2015年01月01日至2015年03月31日,3576732,3794642,5298,,217910,586605,-12092.0,,118721,118145,,,,253059.0,85211,614450,,93475,249302,342777,0.0,134,0.0,392073.0,-906358,,-7267,,-3636,,,-279900,,,-468460,-4061,3794642,-495,,-67.0,188249,,833,94123.0,0.0,-460.0
2015-08-12,2,2015,,,-27845.0,,-231432,,46019,1200.0,-35822,8326,,,-579.0,,1544,,-18519,16190,-7406,-216176,-92400.0,-664567.0,,,,,-111874,,-15313.0,,10707,-26609,0.0,2299,-79198,0.0,274294,,-23084,,-344854,146500,-7642,,6325,48916,-15221,15349,2997.0,-720952.0,2015年01月01日至2015年06月30日,3576732,3613048,-790,,36316,773646,-12439.0,16256.0,197448,215855,,,,436885.0,191128,801491,-2997.0,218740,-55579,163161,0.0,163,0.0,736137.0,-906358,,-6407,,-53519,,,-279900,,,-557791,-6382,3613048,-21532,,-57.0,233997,,1577,94123.0,0.0,-911.0
