date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,49667.0,-75576,-4625,-547,-4968,,-31200.0,,-277.0,,,-848,2339,54049,-2893,0,0.0,-265,2901,3.0,,,,31874,,-189433,0.0,,95807,-940,246.0,-33804,14859,-574,,621.0,28695,-2339,824,,,2013年01月01日至2013年03月31日,1254133,1280168,-519,26035,23079,-17966,-12153,,,23753.0,,23756,23079,,,-175293,90394,-84899,7.0,0,11,0.0,,,0,,-35232,17354,1280168,-3474,-1097,,,2705.0,,-26180,72663
2013-08-09,2,2013,170830.0,26450,-4388,-10318,32889,,,-21109.0,,-2870.0,,-2153,4744,67232,-515,0,0.0,-1794,6708,48.0,,,,-120005,,829809,289.0,,-1432802,180,368.0,-21641,28679,-574,,855.0,54347,-4744,2065,,,2013年01月01日至2013年06月30日,1254133,1159613,1242,-94520,220902,-362175,-353583,,,222016.0,,222064,220902,,,900424,-1645739,-745315,776.0,1754,-143,,,,7741,52.0,-574485,33032,1159613,-3848,563,,0.0,68247.0,,-121039,20794
2013-11-12,3,2013,287002.0,53697,-14852,-2721,-135622,-88774.0,,85352.0,1896.0,,,-3160,8830,34931,-9741,0,0.0,-7917,14815,333.0,,,,-185240,,1097084,0.0,,-1357030,-6810,486.0,77579,46696,-574,2295.0,1054.0,77591,-8830,3109,,,2013年01月01日至2013年09月30日,1254133,1867973,4150,613840,384173,-48251,-34327,72000.0,-81291.0,647313.0,,549581,384173,9104.0,,1161006,-1866508,-705502,779.0,1754,686,0.0,,,10515,52.0,-418500,-4737,1867973,-5094,2306,5957.0,,108458.0,,-166380,17197
2014-03-25,4,2013,422341.0,235600,-22018,-8087,-286978,-88774.0,173540.0,,2080.0,,,-4661,14921,47914,-25117,-73041,0.0,-9224,20265,333.0,,,,254154,-29141.0,443736,0.0,-7182.0,-1599416,-3610,-3191.0,134121,59021,-574,2295.0,1055.0,126886,-14921,4519,9550.0,,2013年01月01日至2013年12月31日,1254133,1474228,-1454,220095,509955,-237285,-216280,72000.0,-81291.0,409400.0,,275345,509955,32397.0,-9550.0,710296,-1858872,-1148576,7038.0,42481,-697,0.0,,,6401,,-726235,-3856,1474228,-6084,6646,5969.0,,165142.0,,-200430,46094
2014-05-13,1,2014,277972.0,-169854,6588,8445,-20715,,54873.0,,-361.0,,,-1755,3730,61538,-1313,-226135,,-5250,42634,-220.0,,,,-311884,-2168.0,-978410,,-10584.0,1185860,3098,0.0,42963,14063,-6646,,0.0,43316,-3730,1767,,,2014年01月01日至2014年03月31日,1474228,1318819,-1333,-155409,-114316,-254720,-249462,,,7782.0,,-5190,-114316,4567.0,,-1230272,817154,-413118,1142.0,218240,-1077,,,,151776,,-135146,-66440,1318819,-1528,5143,,,16908.0,,-39147,-24013
2014-08-13,2,2014,277649.0,-225753,13458,221,-18685,,,13082.0,1356.0,,,-4196,7397,9086,-2827,-244719,,-8243,-13101,97.0,,,,2424,-2168.0,-1704629,0.0,-11850.0,3095819,4621,0.0,4739,27934,-6646,,0.0,74449,-7397,4118,,,2014年01月01日至2014年06月30日,1474228,2245654,611,771426,-118847,1227086,1237470,,,-455564.0,,-469485,-118847,10158.0,,-1994998,3073666,1078668,1593.0,240379,-1077,,,,150713,0.0,1356317,-44489,2245654,-2987,-4539,,,29300.0,,-17325,-20348
2014-11-12,3,2014,330288.0,-230172,14613,554,-10696,0.0,,138293.0,44.0,,,-8173,9490,48026,-9330,-278638,,-8254,12229,134.0,,1333.0,,74585,-39441.0,-1850096,400.0,-11850.0,3553943,-1780,0.0,131485,41831,-6646,1300.0,0.0,97054,-9490,8344,4362.0,,2014年01月01日至2014年09月30日,1474228,2363116,3511,888888,-226219,1569983,1586657,0.0,-242459.0,-566990.0,,-860606,-226219,11340.0,-4362.0,-2124087,3606675,1482588,4911.0,269120,-2358,,,,150679,0.0,1812876,-39417,2363116,-7184,-3063,0.0,,22110.0,,-17344,-5356
2015-03-20,4,2014,363011.0,-268221,35953,-4375,-1922,0.0,185165.0,,-12.0,,,-12355,10881,144341,-11555,-300623,,-8689,-19712,370.0,,,3065.0,65658,-58055.0,-1795007,,-14766.0,3429379,3067,0.0,282802,54379,-6646,1300.0,0.0,120462,-10881,10703,4362.0,,2014年度,1474228,2425022,3590,950794,-260687,1458895,1484414,0.0,-242459.0,-620334.0,,-935244,-260687,12426.0,-4362.0,-2101463,3483553,1382090,5098.0,297584,-2256,,96404.0,-15431.0,150588,,1745101,-51487,2425022,-14638,-339,0.0,,65140.0,,-41936,17627
2015-05-13,1,2015,,-118609,3532,899,2452,,19202.0,,-4.0,,,-3193,972,-47778,-849,-1000,,0,20627,,-918.0,,120.0,-33678,0.0,-189987,,0.0,385474,1629,,24084,8906,339,,,26011,-972,3240,,53962.0,2015年01月01日至2015年03月31日,2425022,2351474,4327,-73548,-99893,-30409,-28632,,,-18527.0,,-19445,-99893,1533.0,,-327317,344616,17299,0.0,3375,124,,,,-65,,71261,1102,2351474,-805,-12789,,,7509.0,,-15132,-20722
2015-08-06,2,2015,,-108814,5782,1365,-8024,,,32424.0,-9.0,,,-6357,1803,-77472,-1968,-3000,,-1683,-1429,-927.0,,,1252.0,-6237,0.0,-175233,218.0,-792.0,390079,1958,,38841,17715,339,,,49505,-1803,6403,,56169.0,2015年01月01日至2015年06月30日,2425022,2330109,-940,-94913,-186807,-96093,-91485,,,41530.0,,39811,-186807,2145.0,,-332490,371643,39153,0.0,5422,1954,,,,-99,,95322,819,2330109,-2805,510,,,,-8638.0,-12254,-50845
2015-11-10,3,2015,,-81834,6600,3454,-7112,,,47172.0,-14.0,,,-8747,3782,83817,-4594,-5000,,-1848,930,0.0,-906.0,,1003.0,81668,0.0,-134386,0.0,-840.0,315143,2047,,60138,25983,339,1756.0,,69383,-3782,8794,4475.0,118434.0,2015年01月01日至2015年09月30日,2425022,2271983,16590,-153039,-221219,-30512,-23031,,0.0,,-264736.0,-266482,-221219,2995.0,-4475.0,-209469,289223,79754,504.0,7890,1587,,,,17,,198188,-1968,2271983,-3699,6946,,,3443.0,,-109462,5265
