date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-04-30,1,2013,,21231.0,,,-4500,31129,-21246,,1941,3014,,,,,,,-2485,416,11079,-7640,,,0.0,-12604.0,,,347.0,,,,1297.0,-1899,,,,3240,-12,10096,,,1351,22123,,324,-416,2485,,,2013年01月01日至2013年03月31日,1006070,1017772,556,,11702,-46028,3772,1749,0.0,-4500,-46028,,,36298,-9752,26546,20351,,,,-212,,,,,,,,,0.0,47777,,,1017772,-46,0,,,,,,,162.0,0.0,283.0,-53.0,0.0
2013-08-13,2,2013,,20804.0,,,-9000,-6455,-18592,,-1251,-87156,,,,,,,-5187,2382,29383,-2879,,,-414.0,-144096.0,,,-9047.0,,0.0,,1268.0,-13092,,,,8796,647,6098,,,-130355,44191,,934,-2382,5187,,,2013年01月01日至2013年06月30日,1006070,762222,2678,,-243848,-52055,-139550,-142256,0.0,-3326,-52055,,,1737,-112742,-111005,15716,,,,-15337,,,,,,,,,0.0,-90201,,,762222,-99,0,,,,,,5674.0,190.0,0.0,,,50.0
2013-11-12,3,2013,,21295.0,,,-15000,-49349,-22788,,268467,-55558,,,,,,,-5187,2382,17812,-47714,,,-414.0,-38363.0,,,352.0,,-10.0,,1450.0,-16791,,,,10097,4014,-22046,,,-30670,60142,,1189,-2382,5187,,,2013年01月01日至2013年09月30日,1006070,1083204,2678,,77134,-41098,97960,96243,0.0,-7968,-41098,,,233229,-117183,116046,59786,,20226.0,2092.0,-59598,,,,,,,,,,137341,,,1083204,-1088,-360,,,,,,7042.0,,-529.0,,-7507.0,
2014-03-18,4,2013,,-853136.0,,,-58500,-18686,-2862,,2300,-39156,,,,-4289.0,-180048.0,0.0,-14995,5378,19994,-73852,-338.0,,-187.0,0.0,,,357.0,,-10.0,,-475.0,10165,,,,580,-81,42702,-305.0,,729777,83159,,972,-5378,14995,265.0,,2013年01月01日至2013年12月31日,1006070,1524943,2678,,518873,782018,-186275,-194941,0.0,-44623,782018,,-265.0,-134367,10544,-123823,793772,,0.0,2092.0,-746046,0.0,,,,,,14831.0,,,-976959,-118480.0,,1524943,-951,-360,,,,,,13887.0,0.0,-3966.0,,-2042.0,
2014-05-13,1,2014,,19142.0,,,0,-28975,187349,,59,-5143,,,,37039.0,,,-8767,0,13018,-2654,,-35421.0,,-1125.0,,,2202.0,2000.0,,,427.0,50,,,,-3380,4816,-359,,,298,15825,,168,0,8767,,,2014年01月01日至2014年03月31日,1524943,1720450,9138,,195507,-8231,174095,165328,0.0,8096,-8231,,,-27480,181897,154417,53,,,,-53,,,,,,,,,,173559,,,1720450,0,459,,,,,,6096.0,170.0,,,0.0,1979.0
2014-08-12,2,2014,,23752.0,,,0,-7074,186084,,-3827,-17605,,0.0,,37039.0,286.0,,-19043,53,8921,-3264,,-35421.0,0.0,0.0,,,2206.0,,,-1831.0,0.0,-4516,,,,1756,4998,-18766,208.0,,-9909,31474,,216,-53,19043,,,2014年01月01日至2014年06月30日,1524943,1540633,6021,,15690,-17340,148902,147670,,-132224,-17340,,,-4147,145405,141258,62,,,,-62,,,,,,,34735.0,,,165010,,,1540633,-17758,2979,,,,,,-132224.0,0.0,-378.0,,-41229.0,0.0
2014-11-12,3,2014,,-1019.0,,,-845,-142998,186442,,45333,-217758,,,,37039.0,,,-30595,181,25877,-92738,,-35421.0,-59.0,0.0,,,1690.0,,0.0,-413.0,0.0,-61876,-94888.0,,,-8862,4049,1289,,,204710,50155,,1642,-181,30595,,,2014年01月01日至2014年09月30日,1524943,1373918,8148,,-151025,-1297,-231730,-196697,-20000.0,-149882,-1297,,,-102478,-91903,-194381,240355,,0.0,0.0,-39720,,,,,,,33785.0,,,-195400,,,1373918,-65447,7857,,,,,,-129037.0,,-377.0,,0.0,117050.0
2015-03-20,4,2014,,14513.0,,,-3380,-145199,186697,,59609,13792,-36300.0,,,37039.0,4077.0,0.0,-41513,412,73537,-105061,-26000.0,-190593.0,-80.0,0.0,,,16198.0,,0.0,-960.0,,-91366,-94888.0,,,-5038,-463,9324,0.0,,-2167,69472,,476,-412,41513,1633.0,,2014年度,1524943,1412194,3146,,-112749,-12974,-34790,-7405,-20000.0,-149329,-12974,,-1633.0,-127391,118447,-8944,240364,26002.0,0.0,0.0,-40584,0.0,,,-2.0,,,26218.0,,,5569,0.0,,1412194,-68486,4843,,,,,,-125949.0,0.0,-379.0,,0.0,84159.0
2015-05-12,1,2015,,,,,-2535,-19642,-4957,,-933,-222953,,,,0.0,2835.0,,-6105,214,8485,-8145,,-48664.0,-31.0,,0.0,,215.0,0.0,,-186.0,0.0,-82315,,,,-4257,3697,-2368,-2086.0,,-101374,18372,,253,-214,6105,,2233.0,2015年01月01日至2015年03月31日,1412194,905692,-14175,,-506502,-78350,-408658,-411931,,-4955,-78350,,,-21135,-314679,-335814,524,,,,-252,,,,,,,,880.0,,-333581,,,905692,-2618,876,,,,,,-2420.0,0.0,,,-45752.0,0.0
2015-08-12,2,2015,,,,,-5069,-13380,-11256,,-4582,-194292,,,,0.0,5665.0,,-11466,412,-18337,-10394,,-320505.0,-161.0,,,0.0,0.0,,,-1696.0,,-35758,,,,-1290,1335,-8439,-8495.0,,-132886,36860,,506,-412,11466,,29560.0,2015年01月01日至2015年06月30日,1412194,834789,-4795,,-577405,-138478,-418258,-385075,,-7924,-138478,,,-17917,-258240,-276157,524,,,308766.0,-252,,,,,,,,1434.0,0.0,-246597,,,834789,-44237,2630,,,,,,-2855.0,,0.0,,-110854.0,
