date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-10,1,2013,-273397.0,101467,,-1073960,1499968,589943,-13680,-724,,,,,-2671.0,,-368845,15882,1358428,-549594,-78522,-369513,,,0.0,,-5530,0.0,,-17471,221,,-213.0,-1598.0,0.0,1085233,,-1557297,-161231,-430702,,,1949.0,73945,298954,-931747,,0.0,-497324,157837,-12864,279054,18365,,2013年01月01日至2013年03月31日,85867210,94091283,8224073,3922081,,3057317,2825880,,3734375,,3734383,3922081,12844,-18365,-2201320,1378516,-822804,,156,299,979451,398,,30682,,,,,,-1096201,94091283,-53118,2750,109261,,169444
2013-08-05,2,2013,-808317.0,115956,,1557629,1601460,221020,-124199,-5033,,,-4428.0,,,,-834349,51432,2017885,-848637,-146391,-882066,,,-41216.0,-80491.0,-20121,-37.0,,-79721,465,17783.0,,,34248.0,2897521,0.0,1336900,430222,-4049345,0.0,,4264.0,-676798,609221,-1444085,,0.0,-1301490,291018,-43401,570703,69190,,2013年01月01日至2013年06月30日,85867210,107225081,21357871,11065389,,12977818,13014016,,7007450,,7038966,11065389,38651,-69190,3545002,-788058,2756944,,7493,299,1188593,948,,33664,0.0,0.0,,,,1948627,107225081,-632690,1816,449683,13268.0,330590
2013-11-04,3,2013,-1472448.0,141847,,1814607,571067,632203,-183403,17267,,,,,-2383.0,,-1249972,88526,1112692,-1248503,-166545,-919693,,,-72063.0,-69046.0,-22661,-34.0,,-48467,12388,17084.0,,,52355.0,920134,0.0,2492108,948842,-4428241,0.0,,6169.0,-1050545,910388,-890211,,0.0,-1985479,418269,-76239,1281444,1709997,,2013年01月01日至2013年09月30日,85867210,107616875,21749665,20100486,,22949213,20715911,-12074279.0,10756970,,-1261695,20100486,57454,-138764,5911196,-3823323,2087873,,26614,299,1229268,1509,,34408,0.0,0.0,,,,615425,107616875,-681900,-10003,449683,26142.0,187331
2014-03-21,4,2013,-1659605.0,322344,,3376421,1186065,736536,-33922,7485,,,,,-4148.0,,-1755482,146816,1724131,-1628684,-626407,-1377363,,,-72743.0,-91571.0,-324414,-43.0,,-79110,94732,17521.0,,,68800.0,4532449,0.0,819786,1054687,-983242,0.0,,8235.0,-2214302,1182191,-1418009,,0.0,-2150963,544639,-125582,1991816,1738796,,2013年01月01日至2013年12月31日,85867210,132997726,47130516,29546822,,39572721,36910468,-12074279.0,19983850,,8047966,29546822,75799,-161905,6003150,3020101,9023251,,43510,299,1469999,3137,6119.0,48008,0.0,0.0,,,,7363646,132997726,-942777,9155,478110,26142.0,-263240
2014-04-30,1,2014,-305251.0,3304,-651000.0,-31303,-42953,-139288,-233831,15770,,,,,0.0,1572.0,-615533,82099,1424271,-602933,-788752,-290000,,,,-76094.0,-256432,-97.0,,13593,50471,,-6584.0,0.0,9026.0,-3520772,33097485.0,3576307,-269477,-1828193,,,2669.0,31181898,303702,276847,,,-483744,425437,-95187,414477,51828,,2014年01月01日至2014年03月31日,132997726,166999036,34001310,11500964,,9140266,8858937,,0,-7137750.0,-7745125,11500964,18659,-51828,3154678,-5491454,-2336776,,63462,0,21357,111,,7839,,,,,,-2642027,166999036,-89789,-5586,0,-262.0,-142552
2014-07-31,2,2014,-987358.0,19012,-651000.0,3781231,-295569,-105331,-344609,8900,,,0.0,4212.0,,,-1427765,195526,-730522,-1290118,-1101317,-299516,,,0.0,-125304.0,-192033,-299564.0,,55325,62461,43524.0,,,12394.0,-6170323,33097485.0,4713061,-348001,-1364205,0.0,,20566.0,31204161,607225,722003,,0.0,-627471,694160,-179639,1364147,201262,,2014年01月01日至2014年06月30日,132997726,190138131,57140405,25654177,,22183997,24459922,,5028046,,4482769,25654177,37878,-116827,8070426,-8277323,-206897,,67505,932241,20941,1319,,-701966,256223.0,0.0,,102000.0,,-1194255,190138131,-3661695,32218,263020,-262.0,-824620
2014-11-06,3,2014,-1467526.0,27482,-651000.0,8621600,-979430,68398,-847946,7885,,,0.0,1597.0,,,-2322611,342811,876089,-3073986,-1579285,-3271101,,,0.0,-202396.0,-182497,-622543.0,,14445,208987,46094.0,,,-159877.0,-11333860,33097485.0,8614475,-1381152,-3637084,0.0,,23666.0,26513937,958315,-891016,,0.0,-777250,1079725,-307746,2023564,303233,,2014年01月01日至2014年09月30日,132997726,185070345,52072619,40567742,,33925717,36697428,-23448412.0,14436372,,-9243124,40567742,49985,-201049,15954872,-18357660,-2402788,,90747,930174,411849,1561,,-894939,634620.0,0.0,,411668.0,,-3870314,185070345,-4790762,18461,263020,164835.0,-668324
2015-03-19,4,2014,-1635441.0,41835,-651000.0,11673202,-839604,-730994,-309172,13932,,,,,-1425.0,,-3125381,478782,3825023,-9828126,-1857157,-4344406,,,0.0,-204887.0,-795756,-1923564.0,,26806,223003,50406.0,,-35360.0,0.0,-8836098,33097485.0,1883426,-1456969,-483221,0.0,,62085.0,17801767,1312641,-3783596,,0.0,-983941,1453158,-485217,2752253,355312,,2014年度,132997726,192797506,59799780,52349955,,44329774,47195931,-23448412.0,17109093,,-6156784,52349955,63935,-238877,11444682,-14963265,-3518583,,105504,935500,827975,2775,0.0,-928953,824381.0,0.0,,959768.0,,-5154024,192797506,-5488505,40242,263372,560126.0,-711574
2015-04-30,1,2015,,7338,0.0,-4986432,2350299,-165633,-126987,-21869,,,,,-32657.0,0.0,-815708,155030,-557715,-4510686,-75048,-1384012,,,-753422.0,-40331.0,-1451687,,-691197.0,44311,28076,,-1945.0,0.0,9086.0,-5643225,0.0,5189687,-144874,-888098,,,,-6955301,414281,1770021,,20725.0,-77716,640440,-132980,694732,63295,297251.0,2015年01月01日至2015年03月31日,192797506,196143151,3345645,8142183,13630.0,5999970,5648948,,4773129,0.0,4858691,8142183,16760,-48394,-115491,-2674995,-2790486,,2793,24219,855847,481,,-10039,,,,,1063731.0,-2493235,196143151,-274025,-78395,56200,59431.0,-137005
2015-07-31,2,2015,,27547,0.0,-5128998,2019155,308164,-165823,-29701,,,,,-30430.0,0.0,-1623035,254662,-883178,-5976486,-379335,-3457035,,,-1254664.0,-285047.0,-1766624,,-1330601.0,-28018,29624,0.0,-2941.0,,3121.0,-11021248,-1105005.0,4090420,26717,417241,,,,-12135998,836576,2554711,,20506.0,-218720,1335519,-189678,1722405,378389,674189.0,2015年01月01日至2015年06月30日,192797506,195824210,3026704,15549335,8506.0,4554419,8848375,,11330289,,11491461,15549335,33096,-298173,-724892,-6650257,-7375149,,3861,23964,1872910,5841,,-419467,0.0,,,,1497320.0,-6700960,195824210,-6205072,-55570,851478,134489.0,-454293
2015-10-30,3,2015,,29371,0.0,-6481084,1856357,962736,-626089,-17336,,,,,-35297.0,0.0,-2238214,417076,2639711,-8379402,-1198997,-6906875,,,-1773790.0,-459409.0,-1895402,,-1578221.0,-28545,30132,2555.0,,-27537.0,,-11389931,-1895647.0,3809013,97296,-2822275,,,,-17744614,1356624,-426072,,21864.0,-373626,2053785,-407494,2531310,663445,561434.0,2015年01月01日至2015年09月30日,192797506,159115861,-33681645,24623511,8430.0,5212177,10038193,-34403228.0,10339590,,-23788919,24623511,32302,-366078,-1620945,-13525807,-15146752,,9182,33721,3913798,6344,,-1224250,299121.0,248000.0,,,1850906.0,-14585318,159115861,-7613277,74538,851478,242032.0,-117797
2016-03-17,4,2015,,36340,0.0,-4247755,2075440,1288894,-489315,-26700,-16411.0,,,,-30944.0,,-2817091,545218,1897013,-9368345,-1518260,-10825598,-266458.0,,-1773290.0,-480926.0,-2025250,,-2079078.0,184018,30132,15382.0,,-18088.0,,792360,-14922171.0,226012,-37181,-866371,,,,-32781055,2076791,-2072298,673561.0,21824.0,-658079,3056971,-533631,3134028,787318,1552418.0,2015年度,192797506,153279687,-39517819,29368493,11161.0,23375878,27721202,-34403228.0,2395130,,-32009655,29368493,37279,-478971,-2785569,-414140,-3199709,,21279,33708,6943493,13405,,-1394606,,280103.0,,,2250587.0,-1647291,153279687,-7733039,136005,851478,219387.0,162455
2016-04-29,1,2016,,0,,-3337896,312356,-520113,345415,-2234,78429.0,,,,0.0,3907.0,-617646,134483,-2031141,-1874280,-362437,-984108,,-731.0,0.0,-48423.0,-121655,,-893491.0,-228457,0,,-422.0,-50579.0,0.0,-2879132,,6900736,-34354,679234,,,,-3350724,725781,268464,,0.0,-128151,933013,-145755,579926,115249,706499.0,2016年01月01日至2016年03月31日,153279687,155962828,2683141,5278187,718.0,7958437,7642437,,66178,,106569,5278187,10505,-102902,3006857,-1349106,1657751,,56046,0,596545,3428,,-17846,,,,,328482.0,2364250,155962828,-233420,-10966,5257,40813.0,-153872
2016-08-03,2,2016,,0,,2634966,-118429,909627,-174753,-25177,78429.0,715563.0,,,0.0,8517.0,-1265290,260518,-1396106,-4038815,-627484,-3100913,-14184102.0,-731.0,0.0,-1630443.0,-231743,,-1369394.0,-177444,0,10330.0,0.0,-65537.0,0.0,-8456650,-2406378.0,13231234,414541,-3590835,,,,-9579850,1469592,1110785,318904.0,12348.0,-195043,1905743,-271020,1105540,209503,1990018.0,2016年01月01日至2016年06月30日,153279687,159929490,6649803,13029675,-447.0,20168677,20714794,,11301823,,-2542918,13029675,18919,-209503,17164744,-11469643,5695101,290000.0,57370,0,3174149,4281,,70640,,,,,320300.0,7685119,159213927,-1590140,36433,71172,39031.0,-318190
