date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,-6720.0,,4909,5248,,-8084,2610,-3002.0,,,-1172,2058,9585,-6819,,,,85.0,-895,193,-1623.0,,4202,-29260,-5906.0,-4891,154943,-684,-29.0,-8809,14322,-1920.0,-807,1081,278,-341,1172,,,2013年01月01日至2013年03月31日,543872,627008,-24853,83136,61862,,115167,118248,,,,0,-33000,-32807,61862,,-45181,108287,63106,,90.0,-162,0,,56386,0.0,,627008,-3912,2275,348,-54223,-542,
2013-08-09,2,2013,39411.0,,-4070,-2058,,-901,3414,,-316.0,,-2118,4076,-19914,-14516,,,,0.0,-1403,204,-2864.0,,49373,-145106,-11898.0,-4504,159876,106,-71.0,-18008,31039,1308.0,-1154,3994,559,-636,2118,,,2013年01月01日至2013年06月30日,543872,550144,-3136,6272,105692,,86990,135503,,,0.0,90000,-133000,-42796,105692,,-165242,155642,-9600,,267.0,1936,0,,29811,0.0,,550144,-49995,4116,348,-53915,-579,
2013-11-08,3,2013,56184.0,,15402,-7042,,6561,3240,,-256.0,,-3106,6361,-50338,-20243,,,,-2252.0,3387,180,-2778.0,,31654,-107325,-15432.0,-5286,93365,4995,-28.0,-23286,45805,2552.0,-3056,3815,834,-1188,3106,2890.0,,2013年01月01日至2013年09月30日,543872,688318,1307,144446,189211,,212592,267368,,-218202.0,0.0,396500,-173000,5478,189211,-2890.0,-103556,125529,21973,,3070.0,0,0,,78157,0.0,,688318,-59584,226,445,2373,-827,
2014-03-25,4,2013,64009.0,,10153,5730,,30999,4474,,-366.0,,-4929,9301,-24415,-22027,0.0,0.0,,-562.0,-3853,193,-3219.0,,6663,-53164,-15715.0,-5991,-10120,4001,-30.0,-24434,61028,-731.0,-892,2911,819,-2201,4929,2890.0,,2013年01月01日至2013年12月31日,543872,823069,-1068,279197,275201,,248438,304327,,-218202.0,0.0,737117,-439500,79608,275201,-2890.0,-44479,9596,-34883,,3498.0,1350,-264,,29126,-10000.0,,823069,-61507,446,1158,-260,-1758,
2014-04-30,1,2014,-7723.0,,-40779,2230,,384,713,,-458.0,,-1707,2777,10457,-8670,0.0,0.0,,,-329,286,-32.0,,-10178,-90641,0.0,-924,187682,2667,-34.0,-9290,14645,,9336,509,324,-1136,1707,0.0,,2014年01月01日至2014年03月31日,823069,980274,-847,157205,79738,,170752,170205,,0.0,0.0,286000,-301000,-14714,79738,0.0,-33988,132178,98190,,92.0,104,-1396,0.0,90467,0.0,,980274,-24,-22050,247,-60272,-222,98006.0
2014-08-13,2,2014,13985.0,,-37567,-6013,96278.0,-3323,1052,,-74725.0,,-3296,4549,-4161,-20293,0.0,0.0,,,-179,733,34.0,,420,-101100,0.0,1068,165259,-1129,-35.0,-964,28739,,22499,1204,681,-2282,3296,0.0,,2014年01月01日至2014年06月30日,823069,831788,2018,8719,95500,,72842,90012,,0.0,0.0,567269,-627000,-58998,95500,-6.0,-140957,121484,-19473,,222.0,426,-4348,0.0,-5488,0.0,,831788,-18184,-16326,523,-60604,-2480,
2014-11-07,3,2014,28524.0,,-21892,-2239,99096.0,-11174,1119,,-180398.0,,-6380,5787,10645,-24424,0.0,0.0,,0.0,-159,44,-6850.0,,-52970,-3176,0.0,496,-13211,-1951,-43.0,-116293,42150,,22498,1474,1074,-3260,6380,0.0,,2014年01月01日至2014年09月30日,823069,663548,-980,-159521,171054,,40808,72530,,0.0,0.0,747275,-842000,-94681,171054,-1282.0,-35789,-91259,-127048,,452.0,667,-4348,0.0,-98524,,,663548,-34842,-10002,523,-44505,-4169,
2015-03-13,4,2014,47303.0,,-30066,3125,,15339,734,,-184118.0,103439.0,-7526,7053,-13071,-35959,0.0,0.0,-183.0,-939.0,-95,109,-129.0,,-41410,19727,0.0,2672,-67115,-3899,-851.0,-119624,55814,,22498,2763,1575,-4271,7526,1282.0,,2014年度,823069,671192,-2985,-151877,198026,,110683,141037,,-140115.0,0.0,1232141,-1222000,-129865,198026,-1282.0,6821,-111113,-104292,,655.0,543,-4348,0.0,-56989,0.0,,671192,-34891,-10682,6473,-25046,-2390,
2015-05-12,1,2015,,,-11563,-3923,-1532.0,5316,318,,-2010.0,,-1117,1626,-18709,-6177,0.0,0.0,-308.0,,195,-20,663.0,,-19738,-85203,0.0,-1158,186642,-1004,,-13715,12855,,0,436,409,-1370,1117,0.0,16444.0,2015年01月01日至2015年03月31日,671192,767606,4131,96414,42713,-8.0,135760,136054,,0.0,0.0,384098,-391000,-6922,42713,0.0,-92616,169513,76897,,0.0,138,0,0.0,93341,0.0,,767606,-41,-2229,0,7218,-4351,
2015-08-14,2,2015,,,-9201,-7841,-2502.0,-24216,-1037,,-10754.0,,-2413,3123,-29251,-13661,,,-308.0,,-149,15136,,-2849.0,31808,-209387,,-2290,316801,-63949,,-30475,25181,,-106,-473,812,-2624,2413,,36898.0,2015年01月01日至2015年06月30日,671192,730313,4113,59121,61260,-8.0,96342,118894,,,,711369,-722000,22505,61260,0.0,-245102,265838,20736,18000.0,0.0,67,0,,57634,,,730313,-22341,5974,663,-9838,-401,
