date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-09,1,2013,,77921.0,,,,-97372,3804,11749,756,6744,,1355.0,-2878,7916,-13810,-75496,0.0,,-1323,2109.0,,18,0.0,-46737,-36009.0,10178,89945,,-13097,3795.0,0,118532,-4492,-204.0,,-76819,71009,-1101,550,-6474,2878,,,2013年01月01日至2013年03月31日,538566,505913,-32653,137381,,142049,164757,,,,-141822,-84073,137381,,-88746,38201,-50545,,0,,,520,-250,27376,,505913,-19112,-2410,,,,,-39305,,
2013-08-12,2,2013,,155598.0,0.0,-174700.0,,-47650,15264,-15234,-38,-38692,,0.0,-1459,15284,-3255,-144419,0.0,0.0,-1892,610.0,38004.0,105,0.0,-95614,-36009.0,120852,89982,,-13584,,-218,-139228,-2240,-496.0,,-110712,140337,-10141,1100,-5070,1459,,,2013年01月01日至2013年06月30日,538566,452990,-85576,319480,,152363,228748,,,2070371.0,-2253024,-123972,319480,,43888,-290218,-246330,163998.0,6732,,1066.0,1517,-706,-90732,2407.0,452990,-72774,-3492,,-22481.0,,,-19529,-57708.0,85509.0
2013-11-08,3,2013,4879.0,291669.0,,-174700.0,-71228.0,-48581,12605,4212,-55790,109173,0.0,0.0,-2570,24612,288,-285451,0.0,0.0,-2352,0.0,38004.0,104,0.0,-25100,-36009.0,75498,89917,0.0,-11910,,-5168,-24746,20976,-612.0,,-252543,203653,197,1572,-14345,2570,,,2013年01月01日至2013年09月30日,538566,778783,240217,371647,,538803,675062,,-113510.0,4053120.0,-4004126,-46331,371647,,18607,-6861,11746,199746.0,10455,,6420.0,1759,-1092,303415,2407.0,778783,-124484,-2956,,-22481.0,59405.0,,-44176,-92583.0,110968.0
2014-03-20,4,2013,5966.0,359797.0,,-179700.0,-81484.0,2846,-4177,-11438,4506,121499,,,-5599,30270,-24310,-338987,0.0,,-3360,,43295.0,168,0.0,-18030,-36009.0,61265,89950,0.0,-6064,,-18837,-96859,41684,-8950.0,,-320574,271870,7424,2154,-29705,5599,,,2013年01月01日至2013年12月31日,538566,789522,250956,564171,,789009,976476,,-149687.0,5883092.0,-5910786,-193169,564171,,37659,14849,52508,182590.0,10863,,0.0,2161,-1822,412305,2483.0,789522,-163361,-2175,2148.0,-15761.0,52341.0,,-41198,-126479.0,137389.0
2014-05-06,1,2014,,74527.0,,,-330986.0,-39529,20225,-3207,-18938,-1509,,0.0,-2488,6536,-1826,-123974,,,-2066,500.0,,21,,-50546,0.0,-20365,93,,2949,0.0,-2897,51235,-23814,-161.0,,-119688,72245,2733,616,-15740,2488,,,2014年01月01日至2014年03月31日,789522,962456,172934,145132,,94440,132923,,,1286231.0,-1221159,200008,145132,,-60313,-26423,-86736,468705.0,1197,,,-690,-1538,-12209,,962456,-25231,-654,,,,,-5809,-13490.0,18645.0
2014-08-07,2,2014,,140192.0,,0.0,-700859.0,-46080,56078,-3854,-3892,19726,,,-5908,16106,-6814,-174832,-4904.0,,-8048,720.0,0.0,34,,-68539,0.0,-33249,79912,,-1784,,-7774,-52990,-86322,-377.0,,-143152,141720,2218,2231,-23598,5908,,,2014年01月01日至2014年06月30日,789522,1008885,219363,349112,,153261,244978,,,2696721.0,-2666752,216068,349112,,-85344,-158982,-244326,814786.0,3058,56982.0,0.0,-884,-12863,-104134,0.0,1008885,-74027,-930,,0.0,,,-25261,-16096.0,688.0
2014-11-10,3,2014,0.0,225546.0,,0.0,-107613.0,-32310,13852,-5740,-6285,18905,,,-8864,25223,3887,-221076,-12229.0,,-9183,4156.0,0.0,79,,-92276,0.0,-18088,79983,,2579,,-6941,-108454,-70785,-568.0,,-201992,212453,-8919,7139,-31114,8864,,,2014年01月01日至2014年09月30日,789522,888774,99252,617492,,388807,541904,,-308694.0,3982957.0,-3931432,-91450,617492,,-54127,-247007,-301134,207446.0,3988,56842.0,0.0,-1064,-13102,-75588,0.0,888774,-130847,-395,,-7235.0,0.0,,6955,-21022.0,688.0
2015-03-19,4,2014,0.0,309709.0,,0.0,-355521.0,11053,19428,1021,-673,17384,,,-16163,35353,16923,-266033,-12305.0,,-9295,1718.0,0.0,99,,-106240,0.0,-10431,79900,,-260,,-2634,-102500,-62454,-574.0,,-245555,285096,5306,10437,-42743,16163,,,2014年度,789522,1093534,304012,844356,,730691,934540,,-315929.0,5081333.0,-5120205,-198047,844356,,809,-220334,-219525,449950.0,4352,,57191.0,-865,-14801,90184,0.0,1093534,-177269,434,0.0,-15040.0,8500.0,,9415,-23000.0,3535.0
2015-05-05,1,2015,,,,,-90569.0,-34852,31924,-3067,-1771,2589,,,-3239,8366,-5115,-23920,,,-367,2309.0,,-16,,44156,0.0,-38991,54,,-8310,,-15991,198227,3502,,,-30247,70892,-18231,2650,-11218,3239,,70292.0,2015年01月01日至2015年03月31日,1093534,1308973,215439,141509,-265.0,323951,376954,,,968913.0,-999672,-73150,141509,,-85485,250638,165153,69745.0,1451,,,-34,-914,235445,,1308973,-45024,-1238,,-5614.0,,-8500.0,-9758,-8491.0,1080.0
2015-08-10,2,2015,162.0,,,,-205190.0,-73668,23931,-888,-6526,-3065,,,-13383,18380,-15006,-110402,0.0,,-1680,1955.0,,-19,,115601,,-51397,59,,5425,,-17831,157091,-2803,,-8500.0,-109057,138460,-18894,4899,-19769,13383,,144757.0,2015年01月01日至2015年06月30日,1093534,1469455,375921,277271,-443.0,431645,540767,,,2545721.0,-2421804,68339,277271,,-120971,239710,118739,149745.0,10253,1544.0,,9358,-5213,263496,0.0,1469455,-102736,-1361,,17658.0,,,-25625,-11410.0,2638.0
2015-11-11,3,2015,162.0,,,,-223503.0,-76470,32386,-5711,-8378,-8472,372750.0,-8500.0,-20330,28612,18223,-181523,0.0,,-2061,-451.0,,-11,,141601,-75685.0,-64970,91,,-812,,-12733,161707,7838,,,-219845,207089,-16948,8947,-27488,20330,,222543.0,2015年01月01日至2015年09月30日,1093534,1795397,701863,526106,-717.0,673194,832365,,-277824.0,4266579.0,-4106443,230291,526106,,-148680,232396,83716,149745.0,10841,1544.0,,9844,-6059,306259,0.0,1795397,-152013,3229,,137325.0,,,-77338,-51411.0,2765.0
2016-03-21,4,2015,402.0,,,,-294627.0,25578,46377,28444,-6037,-46942,372750.0,,-35308,38336,-23732,-402855,0.0,,-4451,-1476.0,29299.0,-18,,140494,-75685.0,-8418,111,,10956,,-17259,141447,50967,,,-463235,279634,-13698,12144,-39520,35308,870.0,289329.0,2015年度,1093534,1824682,731148,645834,-3137.0,1127545,1313565,-226259.0,-293509.0,6134854.0,-5841714,90570,645834,-870.0,53423,324979,378402,149745.0,12735,1544.0,,10265,-7633,667731,,1824682,-182678,2335,,152882.0,0.0,-8500.0,12371,-74654.0,4446.0
2016-05-11,1,2016,,,,,-30428.0,-30660,-14668,-33354,3231,-1264,,,-7905,9370,-9705,-114380,,,-1881,4353.0,,-12,,-65644,,-22691,49992,,-7659,,-16127,-55413,10925,,,47470,69031,-4397,3140,-10442,7905,,-356.0,2016年01月01日至2016年03月31日,1824682,1669282,-155400,202133,-2704.0,-59590,-34841,,,433349.0,-638740,-133575,202133,,-97068,-139550,-236618,0.0,172954,,,-74174,-2225,-236974,,1669282,-22212,-1946,,68391.0,,0.0,-12320,-9223.0,0.0
