date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他金融資產增加,其他非流動負債增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,10811.0,-200000.0,-4516,15196,-1173.0,8097.0,-614.0,,8.0,,,,679,12286,-1092,,,0,,,,-63949,21465,,,733,128955,360,,-2255,9602,0,-58075,99,-894,,,,2013年01月01日至2013年03月31日,658701,605798,1638.0,-52903,39629,,112661,113555,,24128.0,,-175595,39629,,25165,37950,63115,10,,9,,73926,605798,0,-1216,,269.0,15463,,
2013-08-12,2,2013,20041.0,-200000.0,21141,6487,-2297.0,11498.0,-224.0,,12.0,,0.0,,1135,23384,-8807,,,0,,,,-86363,119432,,,1767,28284,360,,-11026,19250,112,-81182,198,-1319,,,,2013年01月01日至2013年06月30日,658701,760492,-536.0,101791,104481,,147552,152106,,141536.0,,-58119,104481,,153726,-126142,27584,78,,-28,0.0,47625,760492,-3235,22,,333.0,6272,,
2013-11-12,3,2013,29511.0,-200000.0,43356,-3273,,,,,,170.0,1551.0,,1464,15446,-18010,,,0,,-242.0,-147.0,-190540,130730,,,-1117,-142153,360,161.0,-18968,28608,0,-4561,297,-1521,,,,2013年01月01日至2013年09月30日,658701,631281,36.0,-27420,189822,,66466,71829,-48000.0,157698.0,,-90364,189822,,182952,-330456,-147504,50,,242,0.0,-117993,631281,-3842,-2687,,180.0,9711,-1031.0,9822.0
2014-03-18,4,2013,45341.0,-200000.0,50018,13489,361.0,,,,,,2434.0,,1825,23476,-24774,0.0,,0,,-242.0,-151.0,-81725,3351,5000.0,,-50,-87393,-57,-451.0,-32747,38723,0,-41118,395,-2020,,,,2013年01月01日至2013年12月31日,658701,858178,-837.0,199477,332319,,239842,247051,-48000.0,211883.0,,-31094,332319,,71232,-201841,-130609,828,0.0,1108,0.0,-85268,858178,-5189,-7499,9192.0,265.0,-5037,-9011.0,18364.0
2014-05-13,1,2014,7527.0,0.0,-32710,-495,244.0,,,,,,362.0,,969,749,-838,0.0,,-154,,450.0,-12.0,-31661,-30183,,-5000.0,-302,211161,417,-2591.0,-755,10089,0,-161022,110,-875,,,,2014年01月01日至2014年03月31日,858178,890021,-3271.0,31843,48794,,-1573,-586,0.0,37736.0,,33422,48794,,-79490,22583,-56907,5,0.0,144,0.0,-49380,890021,-112,-876,0.0,236.0,4183,0.0,-13704.0
2014-08-12,2,2014,27195.0,0.0,-25531,1453,510.0,,,,,,1424.0,,1624,-7337,-3988,0.0,,-3603,450.0,,-1.0,52776,-75028,,-5000.0,-976,172877,417,-2180.0,-8574,20032,0,-133236,417,-1613,,,,2014年01月01日至2014年06月30日,858178,828898,-1162.0,-29280,100344,,67197,106910,,,-76036.0,-80566,100344,,-117105,96476,-20629,26,0.0,203,0.0,6566,828898,-38100,4657,0.0,20.0,2189,-1518.0,-13390.0
2014-11-11,3,2014,28177.0,0.0,-22149,-17832,754.0,,,,,,1777.0,-11869.0,2224,6577,-7293,0.0,-70511.0,-3629,1237.0,,-14.0,-34013,35559,25000.0,,-1075,188174,281,-2758.0,-82716,29977,0,-62248,798,-2165,10140.0,,,2014年01月01日至2014年09月30日,858178,820627,-4245.0,-37551,150196,,185456,236244,-159998.0,,-13331.0,-146868,150196,,-8643,66514,57871,45,0.0,188,0.0,86048,820627,-58763,9327,0.0,224.0,-7848,-2068.0,-18220.0
2015-03-17,4,2014,29686.0,0.0,-20148,-8427,914.0,,,,,,1942.0,-16046.0,3066,19289,-7144,0.0,-11429.0,-3632,1238.0,,-36.0,8718,26760,,-5000.0,-1282,139788,0,7686.0,-25951,39473,0,-24308,1168,-3028,17067.0,,,2014年度,858178,1045776,-3900.0,187598,233473,,306489,355251,-159998.0,50823.0,,-112229,233473,,-1519,93611,92092,47,0.0,188,0.0,121778,1045776,-62801,3795,0.0,708.0,-22160,-4671.0,-14535.0
2015-05-12,1,2015,,,-18631,10309,148.0,,,,,,309.0,-3517.0,526,-7145,-5063,,-56057.0,0,0.0,,10.0,-25877,-40293,30000.0,,767,86825,403,,-64015,8094,579,-20269,362,-605,4888.0,,4285.0,2015年01月01日至2015年03月31日,1045776,797275,,-248501,56749,-391.0,39619,39654,,,-246960.0,-216960,56749,,-60935,39555,-21380,64,,-14,0.0,-17095,797275,-4318,-1475,,,-11836,-3117.0,-2966.0
2015-08-12,2,2015,,0.0,-8568,1569,284.0,,,,,,613.0,-5885.0,560,-16540,-5992,0.0,-87599.0,-180,0.0,,28.0,-27625,-17044,5000.0,,-36,19376,417,,-100273,15955,571,-5688,704,-634,7883.0,,15318.0,2015年01月01日至2015年06月30日,1045776,724394,0.0,-321382,117216,-982.0,82601,83161,,,-292170.0,-287170,117216,,-13130,-36243,-49373,729,0.0,7,0.0,-34055,724394,-7809,3364,0.0,0.0,-24292,-7543.0,12929.0
