date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-13,1,2013,504013.0,,-118000,14837,-8971,,,,,-18842,-36945,-44782,-15340,416,-21603,28518,243311,-20390,,-689,,,0.0,,-30962.0,,,1019,,2334,0.0,24633.0,,-178043,,,236488,,329822,-12779,151473,,21450,,-27122,464156,,-251191,25598,5085,-41891,39315,47.0,,2013年01月01日至2013年03月31日,2996405,3131500,13348,135095,-329610,26769,31758,,,0.0,-322019.0,-107863,-329610,,-47,174922,-317567,-142645,239,,-4445,,,,0.0,0.0,,,,361368,3131500,-2413,-12532,,,4500,
2013-08-12,2,2013,1021153.0,3737.0,-691239,166857,851,-4791.0,0.0,897.0,,-86066,-51560,142982,-223874,5434,-43768,55311,379268,-175022,,-1675,,,-9664.0,0.0,-111882.0,,,-3167,,11297,0.0,,9290.0,-236293,,-40201.0,374501,1844.0,379980,-136040,-334222,-3833.0,18549,0.0,-266078,919226,128.0,-16843,74169,4990,-40293,45368,581.0,,2013年01月01日至2013年06月30日,2996405,3112649,10224,116244,-335589,296004,303442,,,58051.0,,-292950,-335589,,-581,464206,-846328,-382122,23348,,-6199,,,,-5955.0,0.0,,,,639031,3112649,-12513,1331,,-10838.0,10138,0.0
2013-11-12,3,2013,1452856.0,3737.0,-1151847,86713,9766,,,-10712.0,-2392.0,-28716,-42456,142434,-218234,416,-69450,81044,270807,-269331,,-2326,,,0.0,0.0,0.0,,,-6457,,14568,0.0,0.0,8227.0,-255813,,-52380.0,358020,13528.0,249885,-163660,-364524,-14009.0,17461,0.0,-238881,1353688,1843.0,-2297,106209,15088,-95735,101867,57575.0,,2013年01月01日至2013年09月30日,2996405,3226508,3604,230103,-367227,661071,614973,,,487718.0,,-462894,-367227,,-20583,410162,-880818,-470656,32452,1599.0,-7208,-27784.0,,,-835.0,0.0,,-15266.0,16937.0,982200,3226508,-17609,2653,,-10838.0,9953,
2014-03-18,4,2013,1958998.0,5238.0,-1398721,254423,-6873,,,-4620.0,4567.0,-42665,-758971,139341,-227358,10390,-95958,105397,425778,-396559,0.0,-3187,,,0.0,0.0,-220253.0,,,-5096,,3096,0.0,,11403.0,-75107,,-52380.0,126064,2692.0,290037,-131213,-376832,-26542.0,27097,0.0,-588360,1749239,,-221189,195783,10131,-124872,132950,58160.0,,2013年01月01日至2013年12月31日,2996405,2584076,23209,-412329,-450123,230654,187122,,,688404.0,0.0,-480401,-450123,,-21168,348642,-1670395,-1321753,36715,1500.0,-2312,-27784.0,,,-835.0,0.0,,-15266.0,,637245,2584076,-22706,380,0.0,-10837.0,5104,
2014-05-12,1,2014,425288.0,,-430845,-228999,-36173,,,4811.0,-39840.0,39756,215983,7926,-26085,3020,-31281,25612,60992,-108069,,-604,-297130.0,,,,-25110.0,,,0,,4370,,-4430.0,,-7206,,-72387.0,170409,-13974.0,39885,-2160,184411,3011.0,-4881,,-416069,377968,,-297016,14193,2482,-24385,20112,0.0,,2014年01月01日至2014年03月31日,2584076,2564430,37720,-19646,-8809,420488,426292,,,,373920.0,-85057,-8809,,0,-27042,36855,9813,3375,,-3789,,55739.0,-2424.0,,,,,,435101,2564430,-1531,-1408,,,3195,
2014-08-12,2,2014,700757.0,1200.0,-387500,-70432,-1601,-26918.0,0.0,1561.0,,13808,-153414,2903,-10208,5989,-69028,52456,-67861,-224434,,-598,-298803.0,,-54666.0,0.0,211888.0,,,62,,-3775,,,-3978.0,15193,132892.0,-72387.0,352641,8440.0,39702,-27640,-193214,3288.0,-15493,,-308212,728381,0.0,-716163,3450,5464,-52476,36841,560.0,,2014年01月01日至2014年06月30日,2584076,2405963,-45052,-178113,83972,-36570,-5602,,,525598.0,,234530,83972,42148.0,-560,279720,-1070051,-790331,32748,,-6802,,55349.0,-2407.0,-13171.0,,,,,-89574,2405963,-15893,-8564,,0.0,8391,0.0
2014-11-11,3,2014,998441.0,1200.0,-680218,84794,-16487,,,4359.0,-32184.0,57116,807449,2360,-2008,8961,-94042,77287,156333,-383465,,-23496,,-242138.0,-429983.0,,-127590.0,,-148571.0,62,132892.0,-3711,,-3914.0,,-220952,,-192749.0,690787,-7186.0,39789,-25488,-622674,2021.0,-38499,,-1271622,1045604,0.0,-1377016,-35216,8128,-78642,94439,32398.0,,2014年01月01日至2014年09月30日,2584076,1835759,18614,-748317,436049,781745,773066,,,,278157.0,-414773,436049,42148.0,-32398,802383,-1463807,-661424,63314,0.0,-6869,0.0,55205.0,-2401.0,-23630.0,,,0.0,,337017,1835759,-39516,-16935,,11067.0,9128,
2015-02-17,4,2014,1216920.0,1200.0,-683687,200270,-27458,,,-6848.0,103539.0,16644,910657,3236,-641,12020,-116275,100569,375153,-610216,0.0,-36991,-255257.0,-251202.0,-844352.0,0.0,256046.0,,,-5,132892.0,26143,0.0,,-29966.0,-550615,,-224235.0,470310,-15960.0,39704,6604,-633490,2442.0,-27375,0.0,-1544383,1341188,,-1780641,-78678,11015,-102035,109495,32843.0,,2014年度,2584076,1845907,4919,-738169,700112,480803,484167,,,648374.0,0.0,-49742,700112,42148.0,-32843,681104,-2113969,-1432865,67284,0.0,-4988,0.0,55532.0,-2415.0,-34780.0,0.0,,0.0,,-215945,1845907,-43667,-32390,0.0,11067.0,7435,
2015-04-28,1,2015,,,0,-186741,-12942,,,6246.0,69334.0,-4566,27061,-21451,-970,1512,-20521,26739,-87981,-198019,,-530,0.0,,,,,251374.0,,-3,71724.0,-27961,,17922.0,,-12429,,-48708.0,-172676,14190.0,0,-6688,235533,1926.0,8074,,148174,270996,,277818,7928,2982,-26289,27019,0.0,247181.0,2015年01月01日至2015年03月31日,1845907,2231604,-17773,385697,177182,573482,576748,,,,-233614.0,-247978,177182,3540.0,0,-377932,530317,152385,8093,,1680,,0.0,0.0,-23947.0,,,,,399566,2231604,-3996,-3836,,-9419.0,-2116,
2015-07-29,2,2015,,0.0,270000,-58292,706,,0.0,12758.0,69334.0,-1085,54982,-23602,2169,2443,-34472,45581,-184432,-383018,,-1272,248886.0,,0.0,-3792.0,,245640.0,,-25,,-36238,,,19770.0,150880,71724.0,-75037.0,-118804,4786.0,0,-37324,120608,1308.0,-44225,,214135,531854,0.0,7294,-167875,5895,-55697,35389,346.0,304054.0,2015年01月01日至2015年06月30日,1845907,2145600,-29825,299693,566726,910836,942939,,,-858227.0,,-640846,566726,3540.0,-1750,-234321,306480,72159,8108,10479.0,345,,0.0,0.0,-48584.0,,,,,376213,2145600,-12141,-4858,,-13068.0,1785,0.0
