date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,附買回票券及債券負債增加,附買回票券及債券負債減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,,7550.0,,,173029,0.0,-3359,0.0,,-93945,13743,,52348,,,152759.0,,,,,,,-127,10537,54,,,,,,-948,,3030.0,,0.0,205562.0,1169515,,,-91614,,,,-32078,,51639,,,-163912,0.0,-195.0,,357373,850,,-50667,-1597,,-9221,,127,,,2013年01月01日至2013年03月31日,302563,2140406,,,1837843,296138,,,2009996,2019100,,,,,0,-532610,-529580,296138,,,626964,1088448,1715412,,,,,,,,,,1722962,,2140406,-10,-2113.0,,,,,,,,,,,,,,,19141,0.0,,,671767
2013-08-04,2,2013,,14486.0,,,26168,0.0,-2218,0.0,,-130583,26263,,46567,,,245209.0,,,,,,,-3510,16834,64,0.0,-18000.0,,,,-948,,1886.0,,,115152.0,3056977,,,-75235,,,,3704,0.0,38899,,,-56426,0.0,-379.0,,348332,1605,,-50000,-328,,-10825,,3510,,,2013年01月01日至2013年06月30日,302563,1914012,,,1611449,475711,,2715442.0,2715442,2832079,,,,0.0,-1367475,0,-1452389,475711,,,-751053,3092935,2341882,,6919.0,,,,,,,,2356368,,1914012,-109322,-115.0,,,,,,,,0.0,-86800.0,,,,,,32873,0.0,,,-574728
2013-11-11,3,2013,,18013.0,,0.0,92432,0.0,-95865,0.0,,101208,29780,,28764,,-429942.0,,,,,,,,-4594,17973,399,-592.0,-18000.0,,,,-1387,10000.0,0.0,-1064.0,0.0,171636.0,1089907,,,-65656,,0.0,-86800.0,6099,,53939,,,-55790,0.0,-573.0,,-337540,2303,,-50000,1634,77.0,-6786,,4594,7356.0,,2013年01月01日至2013年09月30日,302563,814604,,,512041,496869,,,1783424,1895718,,,0.0,0.0,0,-846378,-934242,496869,,-7356.0,342998,1037838,1380836,0.0,6531.0,,0.0,,,388.0,,,1398849,,814604,-117458,-2412.0,,,,,,,,,,,,,,-65276.0,37103,-510.0,,,209488
2014-03-24,4,2013,,42211.0,,0.0,48436,0.0,-96808,0.0,,1674,-31302,-508350.0,205859,,-569851.0,,,,,,,,-6454,25974,339,-1086.0,-18000.0,,,-65276.0,-3938,10000.0,0.0,-1584.0,-978017.0,,2866858,,,709118,,-4000.0,0.0,-37162,,-143696,,,5789,0.0,-1572.0,,-1629634,3824,,-32992,16392,264.0,-12384,,6454,7356.0,,2013年01月01日至2013年12月31日,302563,550991,,,248428,1751731,,,3089799,3206032,,,-134994.0,0.0,-1071498,0,-1212076,1751731,,-7356.0,-1283795,2695885,1412090,0.0,6534.0,,0.0,,,385.0,,,1454301,,550991,-117659,-818.0,,,,,,,,,,,,,,,-77823,,,,-1495939
2014-05-07,1,2014,,4541.0,,,-113994,,-103546,,-33166.0,39985,-2944,-64264.0,19947,-204488.0,1370221.0,,,,,,,,-1275,6193,44,,,,,-30139.0,0,,0.0,,0.0,-1193.0,153246,,,-507536,,,,-11045,,127705,,,4993,,0.0,,1305723,729,,-67837,-1434,328.0,-1795,,1275,,,2014年01月01日至2014年03月31日,550991,807192,,,256201,99808,,,-1056737,-1056129,,,,,7171,0,7171,99808,,,-1263843,103365,-1160478,,,,,,,,,,-1155937,,807192,-88,0.0,,,,,,,,,,,,,,,-28199,,,,-402501
2014-08-11,2,2014,,18261.0,0.0,,-110641,,-3501,,-53166.0,-159638,-30025,-80586.0,18721,,,1163230.0,,-878000.0,,,,,-20421,14471,37,-132075.0,0.0,,,-46697.0,-96,,196.0,,,273877.0,-126719,,,-734747,,,0.0,-8226,,184182,,,-217481,,0.0,,327073,1407,,15512,7832,3798.0,-5065,,20421,,,2014年01月01日至2014年06月30日,550991,450444,,,-100547,76007,,,-1303495,-1259729,0.0,,,,875642,0,875838,76007,,,-1349650,-4347,-1353997,,0.0,,,,,,,,-1335736,,450444,-59122,0.0,,,,,,,,,,,,11174.0,,,154964,,,,-255812
2014-11-13,3,2014,0.0,39333.0,0.0,,-94189,,8592,0.0,-53166.0,-87910,-43836,-113409.0,16575,,0.0,964167.0,0.0,-878000.0,0.0,0.0,,,-20597,22862,284,-132468.0,0.0,,-171.0,-46697.0,-96,0.0,0.0,-27.0,0.0,273757.0,-620464,0.0,0.0,-914188,0.0,0.0,0.0,130281,630.0,197398,0.0,0.0,21126,0.0,0.0,0.0,127326,2167,0.0,14900,16944,7269.0,-8026,,20597,5976.0,,2014年01月01日至2014年09月30日,550991,809694,0.0,0.0,258703,109111,,,-1525948,-1482475,,0.0,,,1657068,0,1657041,109111,0.0,-5976.0,-1212544,-418375,-1630919,,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,-1591586,0.0,809694,-62020,72.0,0.0,0.0,0.0,0.0,4295.0,0.0,0.0,,,0.0,,11277.0,0.0,,-12666,0.0,0.0,0.0,-133759
2015-03-17,4,2014,,49499,,1271,-307671,,-13893,,-66332,-46062,-82432,-122033,-7436,,1160694,,,-878000,,,,,-21852,26852,793,-166969,-138667,,-171,-46697,-1009,0,,-427,1643218,,-1039981,,,-797746,5000,322000,0,106260,630,197483,,,43335,,0,,1507338,3843,,24437,18775,10766,-6097,,21588,5876,,2014年度,550991,1172159,,,621168,40165,,,-2142010,-2102175,,,0,,933474,0,1255047,40165,,-5876,-1245385,-946454,-2191839,,,,,,,1040,,,-2142340,,1172159,-61202,72,,,,,4379,,,,,,,11500,,,-67967,,,,-83763
2015-05-11,1,2015,,,,,100498,,-39697,,0.0,-111422,-20172,-4288.0,-19530,0.0,-385676.0,,,,,,,,-204,11174,-125,,,,,0.0,-345,,100.0,,0.0,-328404.0,-780425,,,-60270,-5000.0,372200.0,0.0,20129,,-203,,,-3554,,,,-714425,931,,14804,14,3548.0,-5680,,204,,15463.0,2015年01月01日至2015年03月31日,1172159,614931,,,-557228,-102994,0.0,,-750336,-744846,,,,,535358,0,907658,-102994,,,147158,-804473,-657315,,,,,,,,,,-641852,,614931,-14,0.0,,,,,,,,,,,,,,,44304,,,,207511
2015-08-10,2,2015,,,0.0,,6747,,-10760,,0.0,-77291,172488,-8575.0,-11711,,,15123.0,,0.0,,,,,-2807,20607,-308,0.0,0.0,,,0.0,-615,,1000.0,,,-325768.0,-912615,,,-508461,-5000.0,,686601.0,1697,,-22907,,,-112914,,,,-311260,1834,,15006,2333,7227.0,-15491,,2807,,29194.0,2015年01月01日至2015年06月30日,1172159,1334036,,,161877,283979,0.0,,-1064546,-1037568,0.0,,,,850390,0,1537991,283979,,,-562704,-788037,-1350741,,0.0,,,,,,,,-1321547,,1334036,-14294,0.0,,,,,,,,,,,,0.0,,,95376,,,,28179
