date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-04-25,1,2013,28544.0,0.0,3165,-287,,8158,12,,450.0,-55,2069,-36,14434,725,-10262,,0.0,0.0,,,-43273.0,,-867732,-61586,,,560055,-16205,4231,-11310,,821,-53554,12443,,,-337,-13816,36,0.0,,2013年01月01日至2013年03月31日,61302,151015,89713,-50482,,-1006554,-992031,,-3000.0,,1149096,-50482,0.0,-66468,-903625,-970093,591591,,,,,,-941549,151015,-707,-29,,,,-29360
2013-08-08,2,2013,103166.0,0.0,-9308,10,,5139,6582,,424.0,-43254,4139,-160,75063,1277,-10262,,0.0,0.0,0.0,,,,-1713240,-59116,,,715330,-16295,7360,-9210,,1068,-53356,24824,,,-643,-50769,160,0.0,,2013年01月01日至2013年06月30日,61302,60276,-1026,-106858,,-1942116,-1861443,,-4000.0,,1993169,-106858,0.0,-79580,-1778171,-1857751,1281415,,,,,,-1754585,60276,-29904,-57,0.0,,,-70741
2013-11-05,3,2013,71592.0,0.0,51,867,,96454,-58,,655.0,-39758,6209,-177,120772,984,-10299,-3000.0,-419.0,0.0,0.0,,,,-2815108,391411,,1178.0,1505083,-29736,6220,-5395,-123166.0,1040,36522,36450,,,-1755,-119940,177,89821.0,,2013年01月01日至2013年09月30日,61302,299975,238673,-62551,-2997638.0,-2997638,-2847097,-170143.0,-9000.0,,3198805,-62551,-89821.0,459358,-3315496,-2856138,1872210,,,,,,-2784546,299975,-30601,-86,0.0,,,-379896
2014-03-25,4,2013,-5787.0,-400000.0,13702,1552,,1752,-1032,0.0,30.0,-8818,8378,-292,172574,1451,-23765,-3000.0,-419.0,0.0,0.0,,,,-2567963,13313,,12350.0,783622,-11879,4740,-29324,-170109.0,1351,73048,49920,,,-2888,-171326,292,108708.0,,2013年01月01日至2013年12月31日,61302,88108,26806,354787,,-2673740,-2466803,-170143.0,-108000.0,,2626047,354787,-108708.0,29238,-2845041,-2815803,2520538,50.0,0.0,,-50.0,,-2821590,88108,-35611,-116,0.0,123140.0,-247745.0,-84256
2014-05-08,1,2014,54699.0,0.0,14884,-327,,2365,-201,,-230.0,-119,2176,-168,48331,203,-3555,,0.0,0.0,-1017.0,,112.0,,-701861,-19217,3388.0,,596144,-14978,4039,873,117292.0,-95,-3375,12793,,,-601,-48230,168,,,2014年01月01日至2014年03月31日,88108,80823,-7285,15817,,-596462,-547378,,-4000.0,,592349,15817,0.0,-13558,-604336,-617894,435,19.0,,,-19.0,,-563195,80823,-854,-29,,,-6767.0,-24056
2014-08-12,2,2014,121077.0,,8555,-38,,-1681,1033,,,-485,4339,-263,100418,-118,-3555,,,,-1017.0,-881.0,30945.0,,-1280446,91753,-12350.0,,818464,-17121,1226,19428,118167.0,-168,27187,25663,,,-1220,-100881,263,,,2014年01月01日至2014年06月30日,88108,150879,62771,-16269,,-1151846,-1023359,,114000.0,,1187548,-16269,,69156,-1197323,-1128167,255965,19.0,,,-19.0,,-1007090,150879,-27606,-57,,,-6767.0,-56525
2014-11-11,3,2014,29434.0,-3880000.0,31768,1182,962.0,4239,1017,,,-487,4371,-275,139461,248,-9122,0.0,0.0,,-1017.0,170.0,0.0,33100.0,1503695,108000,-12350.0,,-1066342,-17620,2602,18761,114037.0,-1262,173305,38631,,5467.0,-1775,-140473,275,143091.0,,2014年01月01日至2014年09月30日,88108,145315,57207,1009254,2716473.0,2716473,2898935,-209407.0,186000.0,,-2832819,1009254,-143091.0,114037,1746210,1860247,2136760,19.0,,,-19.0,,1889681,145315,-41989,-85,,,-6767.0,106178
2015-03-27,4,2014,103176.0,-1880000.0,47840,1503,962.0,-8714,1079,,451.0,31852,6544,-422,173493,1498,-9410,0.0,-23390.0,0.0,-1017.0,,,,1013657,45609,-12350.0,,-418342,-17105,10768,18512,147613.0,-128,149012,52428,,5467.0,-3429,-174229,422,143090.0,,2014年度,88108,109328,21220,953878,,2187015,2405547,-209407.0,56000.0,,-2316305,953878,-143090.0,55280,1293213,1348493,134993,19.0,0.0,,9406.0,,1451669,109328,-44303,-112,,9375.0,,100209
2015-05-11,1,2015,,0.0,98185,1616,,9652,10,,-405.0,-247,2191,-209,36523,-469,-109,,,0.0,0.0,,-5788.0,,-766348,85835,24229.0,,269425,2821,-5025,8158,-62.0,-4939,60126,13491,,,-711,-36667,209,66061.0,-14806.0,2015年01月01日至2015年03月31日,109328,104289,-5039,62988,,-573865,-534582,,9000.0,,509169,62988,-66061.0,220722,-803486,-582764,231149,0.0,,,0.0,,-597570,104289,-2616,-30,,,0.0,-36896
2015-08-11,2,2015,,-135000.0,139277,2208,3313.0,6148,-2252,,,-247,4382,-400,74772,-738,-211,-3000.0,,,0.0,-949.0,31580.0,,408743,188582,-103623.0,,-258510,5427,-6881,8184,-62.0,148,115846,26991,,,-807,-75500,400,66061.0,23863.0,2015年01月01日至2015年06月30日,109328,875618,766290,544177,,1127878,1302739,,-81000.0,,-476696,544177,-66061.0,235811,498888,734699,-1237,0.0,15000.0,2950.0,0.0,-15000.0,758562,875618,-99361,-14,,,0.0,88800
