date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,3160122.0,,,-2267014,-153492,,72766,-145504,158971.0,-1826693,0.0,-16510,,-51956,395389,-961,-921541,-357846,,-510,,,-1132052,,13265,1336461,-307927,528060,-85751,-20477,177011.0,-3040245,2711435,,260150.0,-22930,30745,-444557,54986,4717.0,,2013年01月01日至2013年03月31日,22083330,19129190,,-2954140,-689956,,2880677,2886951,,,,125887.0,,-2793611,-689956,,,1012359,-595574,416785,100000,6642,0,116752,-2803,3576907,19129190,-6274,,,,,,-592623
2013-08-13,2,2013,6429144.0,1799.0,,-4575258,408980,,351407,-338961,176186.0,-2678254,,98960,,-104771,840301,7259,-2465530,-3378,,-89860,,,-765877,,7427,1192724,-682435,-50215,-36961,-76942,79851.0,-4969529,5383141,,0.0,-47526,61491,-829017,101589,27196.0,,2013年01月01日至2013年06月30日,22083330,23780326,,1696996,-563246,,7591951,7853604,,,4500000.0,75957.0,,-932685,-563246,,,3256662,-1268956,1987706,700000,21469,115440,205724,-8176,8416850,23780326,-261653,,,,-121932.0,,1040087
2013-11-11,3,2013,9622446.0,1799.0,,-7206626,525028,,764062,-340897,173617.0,-3431917,,-40384,,-172209,1244270,-5920,-3266196,-92665,,-140138,,,-683415,,-1576107,745308,-1111826,1079637,-78457,-41755,-9925.0,-6499902,8033273,,-1051.0,-71447,92236,-1257143,170304,46657.0,,2013年01月01日至2013年09月30日,22083330,23132830,,1049500,1479161,,11443123,11885589,,,4500000.0,,-273885.0,-3887801,1479161,,,849920,-65938,783982,1592500,46924,165330,255901,-9451,10406428,23132830,-442466,,,290257.0,-130821.0,,227937
2014-03-25,4,2013,12489554.0,1799.0,,-12059353,1207885,,728056,-275665,436951.0,-3357096,,-170253,,-251299,1602331,-7348,-5113301,-92663,0.0,-393964,,,517830,,-1536299,347383,-1457495,1561123,-41676,70916,-402820.0,-8174961,10723866,,259097.0,-84560,233841,-1529839,237323,75551.0,,2013年01月01日至2013年12月31日,22083330,24898172,,2814842,1840338,,17251945,17703658,,,4500000.0,,-154003.0,-6254794,1840338,,,1282141,2091625,3373766,4575722,227848,239542,161107,-15345,15863320,24898172,-451713,,,289866.0,-129826.0,,500985
2014-05-13,1,2014,3039335.0,,,-1680062,-346943,,42437,-200406,,-800594,,7729,,-92723,360757,16792,-686289,0,-90482.0,-116479,,,707146,,-508309,71749,-370815,-1298191,2863,-144984,-77847.0,-1191216,2713701,,98.0,-20069,70868,-313821,84103,0.0,,2014年01月01日至2014年03月31日,24898172,23732281,,-1165891,-628938,,789302,799103,,,,0.0,-25045.0,-780769,-628938,,,-677820,-933474,-1611294,1600000,22395,396130,1980,-2908,1428041,23732281,-9801,,182370.0,,8974.0,,-41277
2014-08-13,2,2014,6340595.0,3764.0,,-4571774,-189706,,262023,-914652,355013.0,0,1762651.0,127570,,-185354,785242,13363,-17606409,0,-90482.0,-135674,,,402685,,442732,260829,-815992,-346864,-327984,-216347,-183755.0,-15144493,5501272,,97.0,-40101,144323,-775593,184380,29519.0,,2014年01月01日至2014年06月30日,24898172,21936441,,-2961731,-132520,,7044507,7314481,,,0.0,0.0,-105042.0,5124892,-132520,,,2509471,-1403065,1106406,11542000,27321,680437,16946,-9303,7447001,21936441,-269974,,,,-148707.0,,1562335
2014-11-13,3,2014,11355868.0,3764.0,,-6121616,-458804,-500000.0,566520,-849825,33221.0,574427,,130899,,-264030,1193817,19761,-18596795,-67550,-90482.0,-180751,,,699528,58538.0,916064,494042,-1184936,88178,-2340090,-28821,-291382.0,-17138568,8485861,,-2006.0,-88052,223538,-1192670,261166,47561.0,,2014年01月01日至2014年09月30日,24898172,25156515,,258343,421846,,10679181,11133833,,,0.0,,-379070.0,6697969,421846,,,1789155,-2433036,-643881,16164000,52727,798827,48840,-9945,10711987,25156515,-454652,,,1634940.0,-87739.0,,529494
2015-03-26,4,2014,14549774.0,3764.0,,-8557254,1337340,-500000.0,594084,-1399585,-97078.0,-644975,,-55096,,-355051,1565898,35991,-20325286,-67550,-90482.0,-263422,,,906288,58538.0,337769,772842,-1500699,315058,-2531298,-74546,-362012.0,-19198925,11422313,,-1860.0,-110289,304586,-1476102,357746,67109.0,,2014年度,24898172,27144950,,2246778,48945,,15174593,15671457,186567.0,,0.0,,-378948.0,6235119,48945,324000.0,,3858681,-2785943,1072738,18584000,645629,1060004,-168926,-11971,15622512,27144950,-496864,,,1634310.0,-122445.0,,1275736
2015-05-11,1,2015,,,-1550000.0,-2381788,-3205,,-97491,494169,507063.0,0,102022.0,-228444,,-80997,389849,-5977,-458308,-623625,0.0,-62645,,,100485,,50006,-32989,-501097,-304402,830860,-162944,,-5210994,3020746,14138.0,-5.0,-33519,84242,-359574,86351,,3222172.0,2015年01月01日至2015年03月31日,27144950,40004593,,12859643,2270915,-36077.0,7687283,7709266,10013433.0,,,280107.0,0.0,10389331,2270915,,,1258016,958163,2216179,4902500,439244,821,19963,-2750,5438351,40004593,-21983,,,53082.0,-14250.0,-4694854.0,856571
2015-08-11,2,2015,,0.0,-1550000.0,-5980955,217416,,525326,662779,602150.0,0,344657.0,91462,,-178482,844137,-13446,-14612044,-694197,0.0,-114362,2438.0,,-82184,,155572,-53670,-1006535,739729,132512,-112460,,-18297976,6110651,,-9.0,-53836,170090,-939226,195156,75778.0,7063213.0,2015年01月01日至2015年06月30日,27144950,32382010,,5237060,4204082,-144255.0,16490753,16791978,10013433.0,,,129917.0,0.0,7057729,4204082,,,4184316,1340367,5524683,6502500,723736,821,-35572,-4039,12587896,32382010,-301225,,,118802.0,-113843.0,-4217521.0,2881777
