date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分持有至到期日金融資產,處分避險之衍生金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-04-23,1,2013,694874.0,,-152463.0,-19004,2083,22556,-13068,,32.0,,0.0,-255254.0,220137.0,,,,,157943,763730,-1976331,,-1996.0,,,,,5006,-14121,-7901,,,-40542,9192,,-233.0,-1365042,658551,-11296.0,0.0,,,488,-165607,,,2013年01月01日至2013年03月31日,846158,668694,,-177464,539192,,999771,1165378,,0.0,,-122295.0,-575923,539192,-74326,5638,-68688,0.0,374476,,,-96992,,,626186,,668694,,-10995,18672.0,,,-5369.0,2393.0,,-58448
2013-07-26,2,2013,1476589.0,,,-29988,-13354,1707,-31974,0.0,39.0,,303995.0,,,207398.0,,,-35688.0,315859,418098,-4849270,,0.0,,,,-45000.0,26157,-17119,30390,,,-75745,-11454,,-249.0,-4343892,1347614,42231.0,0.0,,,726,-320890,37854.0,,2013年01月01日至2013年06月30日,846158,811381,,-34777,907347,,2034490,2317526,,0.0,,-17682.0,1856527,907347,-21022,-45388,-66410,1701759.0,376674,,,-97600,106628.0,,1410179,,811381,0.0,-37203,-185322.0,,,-10800.0,-14802.0,,-65113
2013-10-25,3,2013,2392918.0,,,75834,-68168,55607,8765,0.0,22.0,,485123.0,,,205209.0,,347.0,-56436.0,493588,415788,-6925355,,,,,,-44355.0,-56297,-9874,82702,,,-108081,-38205,,-48.0,-5822366,2065047,-3950.0,0.0,,,614,-489034,57364.0,,2013年01月01日至2013年09月30日,846158,854429,,8271,1048185,,3011013,3443177,-707661.0,0.0,-11873.0,,2403836,1048185,152333,-150259,2074,2790683.0,537743,133913.0,,-85296,,380749.0,2394992,,854429,-494.0,-15072,-154625.0,,,,,3624.0,-57812
2014-03-28,4,2013,3625117.0,,,2805,-53602,26683,-24904,,-388.0,1171694.0,487604.0,,-110920.0,0.0,,480215.0,-80017.0,678206,624659,-9025347,,,,,0.0,-44708.0,-22500,-13838,33362,,,-128102,-10100,,-1943.0,-8522323,2792740,-103707.0,0.0,,,819,-671033,82089.0,,2013年01月01日至2013年12月31日,846158,2426281,,1580123,1498716,,4608931,5199333,-707661.0,1788300.0,,-109141.0,4868856,1498716,179775,-104275,75500,2410870.0,599769,,-18468.0,-82492,141213.0,,3700617,,2426281,-1458.0,-132048,-127038.0,,,,7219.0,,222575
2014-04-25,1,2014,738756.0,,-255066.0,-34270,3918,10649,41151,,,,,-232024.0,-65058.0,0.0,,-128947.0,-24042.0,191060,44397,-1572069,,-5139.0,,,,,-15030,-11180,-11978,,-31648.0,0,4510,,-1912.0,-1191048,721812,,-1606.0,,,2005,-172575,24236.0,,2014年01月01日至2014年03月31日,2426281,1813902,,-612379,575776,,1030486,1178825,,,27973.0,0.0,-496214,575776,-57632,-78075,-135707,,433993,,,-6319,,,603049,-1295.0,1813902,,-4338,,17225.0,,-5449.0,-111018.0,,-20121
2014-07-25,2,2014,2278871.0,-231746.0,,-99070,6650,-2557,-97623,,0.0,,0.0,-145619.0,,42291.0,-4743193.0,471710.0,-43935.0,399933,-47236,-180545,,,,,,-29865.0,24316,-5399,-17080,,,-42820,1617,,-1733.0,-4269827,1469610,0.0,,,,413,-354693,38521.0,,2014年01月01日至2014年06月30日,2426281,1403463,,-1022818,799088,,2526851,2843023,,,200828.0,0.0,767394,799088,-148040,-86896,-234936,1027483.0,547616,,,-9710,0.0,,2043935,-1291.0,1403463,,-2460,64004.0,0.0,,-10867.0,-21856.0,,-27600
2014-10-24,3,2014,3206374.0,-236154.0,,-4917,24104,-22938,-77535,,0.0,,344049.0,,,513.0,-9146758.0,482923.0,-65889.0,603845,113209,-304612,,,,,,-30420.0,37030,-10689,1959,,,-61805,11593,,-1897.0,-8369387,2236473,0.0,,,,614,-540238,63486.0,,2014年01月01日至2014年09月30日,2439832,607943,,-1831889,1187230,,3877077,4354253,-902219.0,,177873.0,0.0,2547212,1187230,-27247,-12104,-39351,3272157.0,551843,,,-9691,15705.0,199011.0,3167023,-1189.0,607943,-424.0,-30023,0.0,314911.0,,-16269.0,-7296.0,,546
2015-07-24,2,2015,,0.0,,47183,-1791,22000,-28377,,,,,-221051.0,-41254.0,0.0,-8665030.0,12197.0,-29036.0,450024,66021,-288415,,,,17443.0,,0.0,-49313,4098,18170,,,-32330,20934,,,-7510090,1728972,,,,,239,-424391,25026.0,2046434.0,2015年01月01日至2015年06月30日,487078,2839691,,2352613,1092088,188.0,2767156,3166529,,2416896.0,0.0,-6693.0,7029526,1092088,93486,-65479,28007,4883928.0,1028255,,,-162686,,420820.0,2074441,0.0,2839691,-8.0,25183,,35534.0,,-11224.0,-6932.0,,5945
2015-10-23,3,2015,,0.0,,191027,-6735,44863,-10379,,,,0.0,-32718.0,-39873.0,0.0,-11478036.0,25588.0,-35494.0,701790,-432837,-487311,,,,50512.0,,0.0,-16694,906,27042,984.0,,-51454,5579,-3228.0,,-7973640,2669489,,,,,348,-653339,30569.0,2931193.0,2015年01月01日至2015年09月30日,487078,1773206,,1286128,1818033,-290.0,4346067,4968853,-1454124.0,2574256.0,0.0,-1136.0,5346538,1818033,237609,-17982,219627,4328694.0,3372248,,,-508760,0.0,611934.0,3150820,0.0,1773206,-16.0,26814,,47398.0,,-16980.0,13475.0,,-26017
2016-02-26,4,2014,4195480.0,-245702.0,,-51571,27565,-70656,-43900,,0.0,0.0,378444.0,,-41645.0,0.0,-11186322.0,501983.0,-81831.0,810103,-106774,-377952,,,,3903.0,0.0,-31650.0,86158,-21131,-51969,,,-81509,-2057,,-2774.0,-10327935,3052569,0.0,0.0,,,753,-733554,83697.0,,2014年度,2439832,487078,,-1952754,1803927,,5240393,5890660,-902219.0,0.0,,155212.0,3241562,1803927,-155391,46644,-108747,3990806.0,574156,,0.0,-9748,16340.0,339468.0,4086733,,487078,-410.0,-61121,348020.0,,,-21820.0,-21122.0,,21579
2016-02-26,4,2015,,0.0,,80828,-38534,22736,36685,,0.0,,0.0,-65172.0,-90719.0,,-12636399.0,-14959.0,-42767.0,957975,-330165,-572687,,,,50984.0,,0.0,-27952,994,10616,984.0,685187.0,0,5498,-5781.0,,-8962190,3635692,,,95259.0,,438,-885261,40928.0,4190751.0,2015年度,487078,1912006,,1424928,2249892,-279.0,5693083,6537440,-1454124.0,2570586.0,0.0,-77567.0,5024200,2249892,128319,-31522,96797,3388142.0,3449038,,,-489936,,736290.0,4287548,0.0,1912006,-24.0,52543,,57028.0,39787.0,-22852.0,-1438.0,,13434
