date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-15,1,2013,23745.0,-6500,63349,-9185,-6412,,63665.0,,-1073,,-469.0,-985,785,408,-6410,-5000,,-19,-6483,-2.0,,-6653,,0.0,-19132,-30840,47271,-17148,,44510,27248,80129.0,3649,-785,985,,2013年01月01日至2013年03月31日,1137869,1389064,251195,109153,,212779,212647,0.0,,,,-6502,109153,61068,18681,79749,,,,103494,1389064,-68,0.0,,,-85159,,,56876
2013-08-09,2,2013,53581.0,-13000,81844,1973,932,,99005.0,,-124,,-914.0,-2609,1524,-827,-17721,-5000,,-199,-6206,0.0,-103.0,-26545,0.0,0.0,322219,-19100,-97005,23926,,49416,54654,80129.0,7132,-1524,2609,,2013年01月01日至2013年06月30日,1137869,1891991,754122,197520,,729636,738824,0.0,,,-11000.0,-24103,197520,644130,-156407,487723,0.0,0.0,,541304,1891991,-10273,,,,-164389,,,257194
2013-11-12,3,2013,84677.0,-19500,135580,726,3472,,,132818.0,-1428,,-1345.0,-3925,2160,821,-28450,-5000,,-198,-4637,,-147.0,-22217,,0.0,76665,-70524,7136,64423,,75525,81890,80129.0,10534,-2160,3925,,2013年01月01日至2013年09月30日,1137869,2255085,1117216,364718,,543057,567567,653350.0,-109890.0,0.0,-26000.0,497813,364718,222172,-104000,118172,0.0,0.0,,202849,2255085,-26275,,,,-259160,,,79725
2014-03-27,4,2013,101187.0,-26000,80063,2407,5060,,,192857.0,-7034,,-1818.0,-7027,2687,2444,-39610,-5000,0.0,-186,-5626,,-135.0,-36976,0.0,0.0,-156114,-74983,20575,26783,,119175,108606,80129.0,13037,-2687,7027,,2013年01月01日至2013年12月31日,1137869,2305370,1167501,453233,,549863,575807,653350.0,-109890.0,0.0,-26000.0,496019,453233,-154260,175647,21387,15124.0,-8672.0,,122574,2305370,-30284,0.0,4694.0,,43100,,,-5633
2014-05-06,1,2014,27208.0,-6500,-15447,-667,-3262,,,18297.0,-796,,,-1510,483,1796,-26342,0,,-18,1598,184.0,0.0,0,4138.0,,121895,-6238,-78586,10364,-462.0,-4721,24744,0.0,1893,-483,1510,,2014年01月01日至2014年03月31日,2305370,2335253,29883,97967,,39124,38381,,,,,-6316,97967,138998,-225792,-86794,,,,-59586,2335253,-284,,,,-154308,,,39917
2014-08-07,2,2014,51964.0,-13000,46553,238,-2369,,,56725.0,-1721,,,-3919,924,505,-57750,0,,-121,1273,164.0,0.0,-10348,,,296405,52384,-185807,8464,-990.0,-7791,50184,0.0,3497,-924,3919,,2014年01月01日至2014年06月30日,2305370,2913098,607728,235869,,627850,685301,,,,0.0,-12836,235869,863199,-465731,397468,,5.0,,449432,2913098,-60446,,,,-286019,,5424.0,468609
2014-11-06,3,2014,76791.0,-19500,42523,2078,-3478,,,58127.0,-1802,,,-6067,1318,64,-68626,0,,-197,2102,,216.0,4064,,,362954,39093,-174185,-20098,-1524.0,-4103,74368,0.0,4985,-1318,6067,,2014年01月01日至2014年09月30日,2305370,2534665,229295,401313,,532618,625038,0.0,-280000.0,,0.0,-299284,401313,650097,-503163,146934,,85.0,,223725,2534665,-97169,,,,-305402,4331.0,,204973
2015-03-24,4,2014,103293.0,-26000,40814,985,368,-1721.0,,60320.0,0,711.0,,-8791,1667,-325,-100229,0,,-4790,7127,765.0,0.0,-68359,,,90883,31538,-141025,-21299,2085.0,-90527,98226,0.0,6122,-1667,8791,,2014年度,2305370,2534353,228983,469815,,625070,716388,0.0,-280000.0,,0.0,-305235,469815,559486,-416206,143280,21820.0,-1058.0,,246573,2534353,-98442,,0.0,,-252529,,,393181
2015-05-05,1,2015,,-6500,-13871,1111,-7506,,-9573.0,0.0,-477,,,-1689,306,-3250,-8376,-5000,,-12,-1,0.0,-534.0,-15215,0.0,,108256,4222,118703,28054,,-40495,23478,,1108,-306,1689,25634.0,2015年01月01日至2015年03月31日,2534353,2872515,338162,162219,-335.0,382941,381694,,,,,-1034,162219,180975,12866,193841,,2432.0,,219475,2872515,-136,,6000.0,,-126385,-1842.0,,81592
2015-08-05,2,2015,,-13000,90555,190,-8229,,,-9325.0,-884,,,-4234,565,-13506,-33934,-5000,,-169,165,0.0,-507.0,-59412,,,467671,41110,-52261,28951,,-108724,46969,,2008,-565,4234,50085.0,2015年01月01日至2015年06月30日,2534353,3436382,902029,377906,-626.0,1031766,1068141,,,,,-7507,377906,921676,-281526,640150,,4612.0,,690235,3436382,-40044,,6000.0,,-249987,,0.0,322776
2015-11-10,3,2015,,-19500,40720,7398,-4578,,-9452.0,0.0,-2047,,,-8683,802,-16605,-50570,-5000,,-182,3315,0.0,-560.0,-45360,0.0,,304128,42408,-74173,41714,,-119050,70368,,2865,-802,8683,75416.0,2015年01月01日至2015年09月30日,2534353,2835756,301403,499337,-932.0,740118,789472,,-294000.0,5000.0,,-303060,499337,406186,-191467,214719,,6749.0,,290135,2835756,-57235,,6000.0,,-154430,-6439.0,0.0,12464
2016-03-24,4,2015,,-26000,61434,-823,-6433,,-31737.0,0.0,-2287,0.0,,-11636,1025,-5978,-94074,-5000,,-182,6673,0.0,-524.0,-49366,,,149752,-23769,-5619,28118,,-191363,92491,,3624,-1025,11636,102528.0,2015年度,2534353,2811445,277092,546566,-1402.0,757442,836446,,-294000.0,25000.0,,-283009,546566,286369,-99017,187352,131.0,10351.0,,289880,2811445,-89615,,12515.0,,-115083,-8848.0,,101177
2016-05-09,1,2016,,-6500,-57566,-722,1531,,0.0,7392.0,-1063,,,-1903,208,205,-32001,0,,0,-1456,687.0,0.0,-9861,0.0,,114354,23758,50160,-19303,,-78965,20635,,580,-208,1903,14579.0,2016年01月01日至2016年03月31日,2811445,2980959,169514,90884,-291.0,255040,255990,,,,-25000.0,-6766,90884,184805,-34278,150527,42.0,0.0,-3485.0,165106,2980959,-2645,,24047.0,-25000.0,-66666,-18474.0,,105272
2016-11-10,3,2016,,-19500,-112375,381,4239,,0.0,10358.0,-18,,,-5866,328,301,-124533,0,-47010.0,-7496,-3914,2036.0,0.0,-41934,,-6797.0,392097,70887,93393,16323,,-227525,65291,,2089,-328,5866,53622.0,2016年01月01日至2016年09月30日,2811445,2714707,-96738,291332,-847.0,470900,577938,,-322000.0,0.0,-25000.0,-340414,291332,358778,-125794,232984,3140.0,-821.0,-3485.0,286606,2714707,-112576,,24050.0,,-239749,-13235.0,,8635
2017-08-04,2,2016,,-13000,-37663,2729,-7517,,0.0,3711.0,0,424.0,,-5808,290,16191,-107024,0,,-7502,-4983,1828.0,0.0,-38282,,-6797.0,544743,88038,13163,-24954,,-157671,42521,,1240,-290,5808,29775.0,2016年01月01日至2016年06月30日,2811445,3507106,695661,215293,-568.0,849263,907253,,,,-25000.0,-12122,215293,1063836,-401651,662185,79.0,0.0,-3485.0,691960,3507106,-63508,,24050.0,,-382343,-2280.0,,466557
