date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,代收款項增加（減少）,以成本衡量之金融資產減資退回股款,借券保證金－存入增加（減少）,借券保證金－存出（增加）減少,借券擔保價款（增加）減少,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入（含財務收入）,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,存入保證金減少,存出保證金增加,存出保證金減少,客戶保證金專戶（增加）減少,庫藏股票買回成本,應付商業本票增加,應付商業本票減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付融券擔保價款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收期貨交易保證金（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應收證券借貸款項（增加）減少,應收證券融資款（增加）減少,應收轉融通擔保價款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,期貨交易人權益增加（減少）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業保證金增加,營業保證金減少,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,融券保證金增加（減少）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,轉融通保證金（增加）減少,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,附買回債券負債增加（減少）,附買回票券負債增加（減少）,附賣回債券投資（增加）減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-04-24,1,2013,-163910.0,-13526,0.0,-4018,,,240617,77229,-25972,22,-24015,-1139,-13998.0,-251,248403,-2649.0,1576,2369626,0.0,5334.0,-202959,,7951,-3925,-63,-91462,,-1122041.0,,2984.0,-499574,,0.0,-399731.0,-4912562,49758.0,183.0,-644992,6854687,3,,-2248,5000.0,,-370441,8605,-81351,25845,12847,-72666,,333288,,,2013年01月01日至2013年03月31日,5215500,4279058,500091,-936442,324193,,,1429059,1110985,,,-770329.0,-2292101,324193,,-12479713,13430415,950702,516,,39151,-436,-4541,-476904,786792,-313,4279058,7215,57452,-402115,6164443,-8282017,-648760,715436,4618,-1028,0.0,1160
2013-08-21,2,2013,-335304.0,-15595,0.0,1289,,-1139262.0,203643,129349,-18632,-359,-44599,-504,,2388,238958,-5611.0,135,2509513,0.0,9919.0,-390686,,11080,-19100,-69834,-1462,-17930.0,,,-29839.0,-22086,,1799121.0,0.0,-2774599,249436.0,-37.0,-920604,4051593,-4867,,-1805,5000.0,,-1041769,8326,-91901,51589,25816,-126479,8513.0,583247,,,2013年01月01日至2013年06月30日,5215500,4261890,22386,-953610,430763,,0.0,-1706912,-1794976,,,-964998.0,834123,430763,-13908.0,-13160834,11270399,-1890435,516,,79803,-436,-17598,-671638,-2225739,3088,4261890,8890,-377217,-65653,6280671,-9904148,-449015,1449286,10178,-18460,0.0,624
2013-11-12,3,2013,-560603.0,-18363,0.0,1776155,,199568.0,488162,-29470,40800,-330,-16565,-1780,,87665,-1584066,-8812.0,187,1098312,0.0,10302.0,-598473,,4880,-79956,-131033,-47866,-29399.0,,-53111.0,,90196,,2948836.0,,-5728465,,-37.0,-459525,3427488,-201657,,230,5000.0,,-953104,4716,-247089,78083,39132,-175597,285096.0,868023,,,2013年01月01日至2013年09月30日,5215500,5738532,-88724,523032,640676,,0.0,-736614,-1303613,-491983.0,,-954998.0,1501855,640676,-73410.0,-10604164,9220478,-1383686,660,,114967,-266,-15971,-295810,-1944289,4615,5738532,2772,-410523,1283591,6949248,-8163376,-349638,1037742,1379,-2988,,-153
2014-02-26,4,2013,-720271.0,-19311,0.0,599972,,108340.0,252964,-60793,120002,-358,-11355,388,,-8720,-133453,,158,2501245,0.0,10302.0,-1057626,234775.0,8582,-89864,-237671,-97396,-35609.0,,0.0,4545.0,-149790,,3048180.0,,-2801005,,-37.0,-165854,2783325,-1335,,736,4904.0,,-2399463,-29363,-331467,104183,52678,-233015,,1112579,322976.0,,2013年01月01日至2013年12月31日,5215500,4652370,151263,-563130,963464,,0.0,-2161444,-2932494,-491983.0,0.0,-634998.0,1921199,963464,-72799.0,-5214896,2039209,-3175687,1220,,166056,-607,8823,-112327,-3895958,4572,4652370,-36662,-431490,438077,-100813,-5349950,-699350,1922303,-2542,-23437,0.0,-766
2014-05-14,1,2014,-223206.0,-6093,0.0,-589643,,-1094918.0,34086,32489,-97938,1184,15255,-1133,,-566,205493,-3484.0,-113,555492,,0.0,-248442,,8961,-3478,26698,0,-5496.0,,-40736.0,0.0,81904,,0.0,1949431.0,346251,49820.0,0.0,-625159,-156402,-2553,,2,96.0,,-761738,33774,39030,24821,13408,-58061,,277008,,,2014年01月01日至2014年03月31日,4652370,4426782,-82208,-225588,353740,,,-2273010,-2541901,,,50000.0,1999431,353740,,1551866,-4224301,-2672435,78,,65151,-77,-12916,-505756,-2895641,-3183,4426782,41337,49944,996664,-1469681,2606650,-68,-2285852,8735,0,2906.0,-1272
2014-08-20,2,2014,-459516.0,-4878,,-586159,,-834068.0,643433,185905,142849,7,15519,-21,,2897,560221,-7012.0,-77,2374687,,0.0,-510650,,-165,-32806,-27650,0,-16495.0,,-128679.0,,102576,,1399320.0,,3556362,0.0,0.0,-652251,-1346129,-3595,,224,96.0,,-1521357,37940,-81381,49929,26987,-116685,,588015,167862.0,,2014年01月01日至2014年06月30日,4652370,4185358,-102560,-467012,972129,,0.0,-1569299,-2172265,,,-215487.0,1183833,972129,-10692.0,7090896,-9775774,-2684878,294,,102561,554,-15644,-545615,-3144394,-382,4185358,44866,-36226,1133650,-5475335,2858717,-249221,-3034003,13963,0,26272.0,-1005
2014-11-12,3,2014,-740475.0,-3976,,1820557,,-1010923.0,-143935,41126,126525,610,14603,-663,,1404,-2135589,-10608.0,1275,4008292,,0.0,-780702,,8539,-44328,66669,-184030,-19339.0,,-150191.0,,-120280,,0.0,-3598394.0,-749026,,-9.0,-318642,-558610,-5063,,214,96.0,,-1274588,31430,-226382,75529,40373,-175923,,906007,480149.0,,2014年01月01日至2014年09月30日,4652370,4716146,118918,63776,1107063,,,3160926,2008035,-502138.0,1221225.0,0.0,-2879307,1107063,-59485.0,7960063,-6318616,1641447,359,,111327,493,-16683,-304107,900972,1063,4716146,40639,-57342,3936349,1137025,539912,-199053,-3356867,10571,-2873,,-1199
2015-02-25,4,2014,-1279549.0,-4515,,-595173,,-604932.0,266585,-174293,284342,-20,16119,-189,,-12685,-58571,,-227,5362104,,0.0,-1272400,227373.0,28883,-163832,175564,-772414,-52004.0,,-192879.0,0.0,-318482,,0.0,-5397756.0,-2205948,,-9.0,-101354,849401,-1575,,-170,96.0,,-869556,34634,-713897,101057,53800,-228251,,1201248,491381.0,,2014年度,4652370,4452077,317216,-200293,1626993,,,5835882,4533466,-502138.0,548733.0,0.0,-5351161,1626993,-46191.0,7960321,-3774299,4186022,781,,269276,71,-343259,-8199,2906473,-1922,4452077,41860,-161962,1079900,-1552851,4249411,199323,-2006400,-680,0,26126.0,-1733
2015-05-13,1,2015,,-19414,,2250835,,-520221.0,352132,249781,-217517,1159,-2043,-215,,-2541,-1909647,,29,1273832,,0.0,-270331,,-5384,-2235,-51827,-51774,-992.0,,-65772.0,,-163701,,799676.0,,1474055,50019.0,,-864177,-1363264,-426,,253,0.0,,-268579,-6451,135555,29326,14507,-65835,,324100,,-238294.0,2015年01月01日至2015年03月31日,4452077,4654719,163756,202642,402124,,240000.0,-1543630,-1819646,,,816425.0,1616101,402124,,2075651,-4059127,-1983476,802,,91924,-714,-11082,-778099,-2221770,131,4654719,-4791,17751,-705624,-2546038,-258875,209244,1598541,5292,-5157,0.0,-326
2015-08-19,2,2015,,-18686,,-2779,,251421.0,-598799,1867,-111382,73,-20169,204,,-5982,-1403445,,-3727,4318898,,,-545059,,-14445,-18036,58960,-82713,-2326.0,,-120522.0,,888,,0.0,-400080.0,2775462,,,-591560,-294128,-355613,,-5970,0.0,,1565677,2946,185135,58393,28627,-121173,,712614,32655.0,-503688.0,2015年01月01日至2015年06月30日,4452077,7592852,-1113,3140775,608310,,270000.0,3217715,2653362,,0.0,152450.0,-247630,608310,-23589.0,2484945,63795,2548740,853,,99031,-582,-21478,-531781,2045052,3086,7592852,3741,-59743,-39648,-1516602,-3689839,109983,2683023,3902,-1426,0.0,106
