date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產（增加）減少,償還公司債,償還金融債券,償還長期借款,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,再保險合約資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得備供出售金融資產,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,發行金融債券,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,購買承受擔保品,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債增加,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-27,1,2013,-8017523.0,,,,,-524333,-479806.0,,119534.0,-714031.0,0.0,,-4789761.0,-5212542.0,86346,251.0,-59749,-8753340,3121512,275861,-184386,-7285279.0,-986,-698500000.0,-11483,,790105,31620988,1952901,-19394713,0,-2640214.0,-5769638,10035969,-29022395,190947,681982112.0,,1075,48759,-2322660,,,613.0,,2013年01月01日至2013年03月31日,90088317,95996938,5908621,3095450,29449454,23264026,,,9890415.0,,-581065.0,60744592,433085,5205701,3095450,,6013046,22173053,28186099,,509,0.0,-54922,17,,,60256,-6556,,20168576,104696,7838219,34819261,,-134409.0,-7963,3033398,-3355371.0,-15991,,0,,3806132.0,,,0.0,
2013-08-26,2,2013,-9007740.0,-13542416.0,,,0.0,-769563,576.0,,84549.0,-249595.0,,-4534630.0,,,-5283446,56.0,-51114,-17656881,6530174,257213,-408190,,-1360,,-18561,213184.0,1622573,8428203,-1117918,9257442,-2627580,,-403325,2487355,-245268,374517,,-7243999.0,2126,97530,-6495152,,,,,2013年01月01日至2013年06月30日,90088317,96245890,6157573,6163527,11756517,-1762527,-2420885.0,,,,-563000.0,51516764,517874,-5610889,6163527,-25089.0,19035886,-17954200,1081686,,1544,,-65066,-348,8200.0,-430.0,75950,-9090,-136466.0,-7926054,-174717,11695890,44211252,-11655.0,-341574.0,-2296316,-6337706,32852.0,-16880,,12618,,,9545672.0,1688749.0,,
2013-11-25,3,2013,-13625925.0,-14202872.0,-4700000.0,,-10000.0,503310,2725.0,,-93214.0,-380522.0,,-4084189.0,,,-7026799,-321.0,-9080,-26934467,9988410,122300,-775007,,-5570,,-24785,220180.0,2587797,49589618,754045,40893751,-995449,,-5691695,1004641,-780137,560372,,-15373243.0,2601,146251,-9547213,,,,,2013年01月01日至2013年09月30日,90088317,112471909,22383592,9022730,23718651,6989349,-4306737.0,9891239.0,,,-559000.0,70878347,618323,-677222,9022730,-103357.0,74219295,-62626751,11592544,0.0,1781,,-80786,-445,8200.0,-264.0,78980,-9889,,-2033381,-287684,-25983335,40975239,-7848.0,-1004590.0,-3098948,-1418765,-30163.0,-15809,-4984.0,18156,,,-3589059.0,14163.0,10000.0,
2014-03-24,4,2013,-18311651.0,-16104291.0,-4700000.0,-7000000.0,,-127359,,-470541.0,,,,-3185565.0,,,-11803499,,-99462,-36650093,13629346,193446,-1147305,,-33166,,-57345,117470.0,3874858,42076483,1842338,73768386,-509533,,-14258044,4768677,-1456163,751623,,-27767454.0,5518,193787,-13905297,,36597476.0,158079.0,,2013年01月01日至2013年12月31日,90088317,102344768,12256451,11885137,20968650,-651262,-4336602.0,9891653.0,0.0,,-795000.0,52569744,610822,-7449482,11885137,-106321.0,93444150,-87668898,5775252,,2452,,-81059,1888,53371.0,-20305.0,203855,-58569,,-12536399,-434857,-36231364,49164202,-7484.0,-1230346.0,-2552719,-2267711,-76109.0,-26474,-6132.0,97745,,,-1815701.0,,8570.0,
2014-05-26,1,2014,-4645895.0,-769778.0,,,,-906846,,-269234.0,,,,3334865.0,,,-3448426,,48091,-9899509,3837241,286162,-313336,,-781,,-41725,159025.0,1034246,-9769752,10957477,5063848,960807,,830534,627619,-512802,193929,,39664138.0,310,47393,-3206754,-214775.0,9993459.0,959.0,,2014年01月01日至2014年03月31日,102344768,138998698,36653930,3557034,31679078,25106189,-1315.0,0.0,4300000.0,,-58000.0,90987413,518154,5201492,3557034,,-823130,27018180,26195050,,173,,448,-110,29212.0,-4700.0,87942,-18801,,21549155,-83988,-15289275,47493131,-5053.0,,-244808,-4771515,,-12182,-151.0,12460,,,965199.0,,,-7827.0
2014-08-25,2,2014,-10026485.0,-10559413.0,,,,-1116420,,-164770.0,,,,-1577594.0,,,-29528601,,60089,-19808365,7707855,16579,-739655,,-1628,,-65636,283468.0,1335472,-27474503,3026430,27628570,-1400223,,-1557852,117240,-854536,376904,,59463635.0,-1085,93583,-7558010,-533454.0,19918680.0,100404.0,,2014年01月01日至2014年06月30日,102344768,136503464,34158696,7427661,31462191,19534571,-1315.0,0.0,4300000.0,,636000.0,84680028,421396,3534462,7427661,-50612.0,-398285,22531680,22133395,,619,,448,-268,29212.0,-4700.0,103051,-23182,,12106910,-210074,7017099,51402040,-15729.0,,-165298,-7067568,,-21964,2769.0,71824,,,4096850.0,,,-7827.0
2014-11-24,3,2014,-15818703.0,-11826440.0,0.0,-6700000.0,0.0,1372020,,-2949419.0,,,,-2139577.0,,,-32328534,,106490,-30115062,11650997,309497,-1093798,,-2820,,-85154,435174.0,1595565,-26614325,-430157,35904035,1673470,,22428168,-2049705,-3972513,570071,,43361112.0,18,139876,-10758786,,30174481.0,126577.0,,2014年01月01日至2014年09月30日,102344768,123916024,21571256,11503803,23899658,6033462,-6321856.0,0.0,12200000.0,,483000.0,68139406,394392,1334614,11503803,-142780.0,43672240,-33323878,10348362,,1222,,1776,-872,42767.0,-3052.0,132139,-31386,,-5470341,-536003,-20026057,55382226,-17450.0,-1676076.0,134188,-10130608,,-36910,21.0,88799,,,13160644.0,,0.0,-7827.0
2015-03-23,4,2014,-22178596.0,-6690470.0,0.0,-9200000.0,0.0,-1080385,,-2021907.0,,,,5130591.0,,,-30577414,,-31560,-40632213,15780313,883498,-1929571,,-473531,,-116623,307088.0,1639955,-31440147,7740493,90775221,1602037,0.0,5521176,2162157,-4238364,744617,,43906940.0,4891,185319,-15404175,,40252203.0,231807.0,,2014年度,102344768,130662345,28317577,15548565,29972580,6766078,-6321174.0,0.0,15000000.0,619000.0,0.0,65064668,458591,1699863,15548565,-231807.0,78554888,-65158779,13396109,,1329,,1328,-881,45035.0,-3052.0,290464,-63566,,-8782487,-600494,-72723661,65139086,-33560.0,-1873333.0,2139822,-8947205,,-44852,1941.0,88769,,,8153956.0,,643.0,
2015-05-25,1,2015,,5347363.0,,,,1499868,,,,,,-659347.0,,-476720.0,-2011930,,-40631,-10355095,3978681,-99032,-311108,,-673,,-13261,248819.0,126475,-16779616,-2207644,18055835,1863450,,-3854202,924213,-800980,175724,,4264.0,1718,44020,-3282367,,10054821.0,1425.0,-5789638.0,2015年01月01日至2015年03月31日,130662345,148049849,17387504,4307599,15646092,9185101,-26.0,,0.0,,778000.0,82598550,467915,2641424,4307599,-1425.0,-7016110,17683250,10667140,,782,,-8824,269,0.0,0.0,0,0,,4877502,-88818,12016633,64983384,0.0,-312888.0,272426,3647945,,15131,3037.0,0,,,-5477387.0,,,0.0
2015-08-24,2,2015,,-1091648.0,,-1700000.0,,386169,,2272862.0,,,,1060708.0,,,83651,,49479,-20760096,7876761,-341758,-612253,,-2100,,-23479,459460.0,-112174,-5726223,-28371871,4225297,1806996,,-462612,-6842106,1696830,351202,,-3306671.0,2932,84587,-8109321,,21218368.0,40496.0,-12183052.0,2015年01月01日至2015年06月30日,130662345,128853473,-1808872,8905593,-6195822,-18490670,-118.0,,3200000.0,-275000.0,,77845572,697550,3031878,8905593,-56468.0,-1868878,-13344333,-15213211,,909,,-8824,490,0.0,0.0,60891,-18717,,-27396263,-185051,24985699,50310351,0.0,-854695.0,-3441103,1146145,,6814,2989.0,0,-54.0,,2267123.0,,,-2151.0
