date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加（減少）
2013-05-14,1,2013,,661939.0,-4301499,54911,120,,-8323,-477981,24705,,-12365,-192120,,86917,0.0,-39153,493479,315266,-26068,-345245.0,,0,-645049,,-553175,-850737,30410,-1441.0,,-838057,156767,,50197,-530454,,25060,,2013年01月01日至2013年03月31日,10273721,8711431,431,-1562290,236576,-1745256,-941455,,,,705757,236576,-916377,-923593,-1839970,5352501,0,218,,,,,-1178031,8711431,-273347.0,,,,0.0,,-132891
2013-08-13,2,2013,,1347241.0,-5232302,-106544,239,,6432,-747023,62396,0.0,-13789,166695,,-375872,,-81393,1011287,478412,-43660,-345245.0,,0,-642006,,-1242087,-1093894,8024,,,-432954,316750,,101567,-1026782,,85778,,2013年01月01日至2013年06月30日,10273721,9028026,-1208,-1245695,491479,-1606572,-81223,,,,315419,491479,430583,-2350526,-1919943,5892966,0,238,,,,,-572702,9028026,-498567.0,,,,0.0,,1582414
2013-10-30,3,2013,,2020404.0,-6265383,-99139,20,,4970,-704019,44691,,-5743,260495,,-293425,,-126918,1513101,328493,-58116,-345245.0,,0,108966,,-3785064,-947057,19008,,,430334,477404,,153711,-1518707,,118963,,2013年01月01日至2013年09月30日,10273721,6322144,2844,-3951577,1075851,-4001566,-1865167,,,,-708838,1075851,-202892,-4758530,-4961422,5901790,6,262,,,,,-2941018,6322144,-617692.0,,,,0.0,,804356
2014-03-17,4,2013,0.0,2711363.0,-8012480,-1166,8,,986291,-559290,39513,,14914,1024471,,316714,,-166002,1996614,537936,-85449,-345245.0,-72282.0,6506,111203,,-3438875,-695983,41506,,,1137404,637415,,208812,-2031632,,159446,,2013年01月01日至2013年12月31日,10273721,6678664,4233,-3595057,2302357,-2797134,251292,0.0,-207388.0,,-2473263,2302357,-2108774,-2653654,-4762428,6091850,7,320,,,,,-2051065,6678664,-1016794.0,,62834.0,,0.0,23465.0,-1528886
2014-05-08,1,2014,,525782.0,-12710508,-53355,-1,,-1804,-418611,-14673,,-1705,199097,,299453,0.0,-18066,508591,-5448,-31274,0.0,,-6645,17405,,-1636369,-367068,3120,0.0,,215428,27371,,6890,-595870,,30085,,2014年01月01日至2014年03月31日,6678664,5082463,7611,-1596201,427590,-1901844,-1191790,,,,95663,427590,-390951,-1754211,-2145162,12806171,116,30,,,,,-1619380,5082463,-114184.0,,-13420.0,,,,59270
2014-08-08,2,2014,,1037042.0,-13041974,-75296,-5,0.0,-3420,229043,-61390,,6319,-806018,0.0,291555,,-40003,1006368,-126655,-66485,0.0,,-6548,0,19179.0,-3228280,-381330,29027,,,-801166,53967,,13580,-1094532,,52073,,2014年01月01日至2014年06月30日,6678664,3462320,9572,-3216344,919999,-2405173,-807537,,,,116650,919999,-82503,-2682075,-2764578,13158624,90,106,,,,,-1727536,3462320,-503104.0,,-26381.0,,,,455575
2014-11-10,3,2014,,-778409.0,-13540271,-107480,4,,-17886,577414,-24537,,31805,-529727,,281628,,-62337,1494636,40856,-88621,0.0,,-6344,-5575,,-3910500,-458012,-6134,,-2319403.0,-557276,84455,,20711,-1550775,,66554,,2014年01月01日至2014年09月30日,6678664,3751969,9639,-2926695,3725547,-1730369,420849,,-352902.0,148543.0,-679906,3725547,549189,-3075478,-2526289,13533083,89,234,,,,,-3304698,3751969,-600443.0,,-40599.0,-468359.0,,,1148012
2015-03-06,4,2014,,-2474326.0,-14165428,-69642,16,,-7979,823411,-4795,,53817,-1761769,,141810,,-86606,2028463,256033,-104845,0.0,0.0,-6326,-4271,,-3793945,109846,-76791,,-4572518.0,-1774710,114772,,30461,-1989589,,96069,,2014年度,6678664,4926339,5141,-1752325,7087941,-767828,2663993,,-352902.0,236170.0,534180,7087941,963872,-2913494,-1949622,15284699,90,265,,,,,-4423948,4926339,-1442232.0,,-9861.0,-468359.0,,12022.0,884507
2015-05-11,1,2015,,,-1875023,-10869,0,,-1796,33652,-25972,,27978,1057971,,-40315,,-32598,464222,-46438,-35257,,,-309,-3976,,238805,-463303,1506,,,1052899,35499,,7865,-544615,,34161,481625.0,2015年01月01日至2015年03月31日,4926339,5705762,5141,779423,1078536,-103655,790840,,,183502.0,-123383,1078536,-1001173,231852,-769321,1568138,0,1805,,,,,-287696,5705762,-349880.0,,-12368.0,,,,-516639
2015-08-06,2,2015,,,-2381901,-6617,-2,,-8547,-100734,15550,,59466,1122412,,30450,,-60123,919412,-115129,-50226,,,-292,-6014,,-38175,-473849,-31452,,-1353044.0,1122237,67579,860.0,15605,-980525,,54801,-341558.0,2015年01月01日至2015年06月30日,4926339,8416076,16113,3489737,3061507,1081325,2825944,,,53748.0,1401304,3061507,254453,-148458,105995,3729457,1266,3095,,,,,-235563,8416076,-764094.0,50097.0,-24388.0,,,,683431
2015-11-05,3,2015,,,-8943329,79594,-849,,-21277,-59034,342940,0.0,97717,-514904,,-576670,,-94089,1372402,81267,-87160,,,-292,-39088,,641504,195299,-67754,,-1353044.0,-549610,101145,4121.0,23454,-1404887,,91322,39456.0,2015年01月01日至2015年09月30日,4926339,7192888,-9176,2266549,4627474,2541624,5658765,,-382865.0,56003.0,193268,4627474,1075066,-83231,991835,9463459,1069,3177,,,,,1031291,7192888,-1712254.0,-4121.0,-38075.0,0.0,,,393470
2016-02-25,4,2015,,,-9704064,234954,-3827,,-1737,-38242,406500,,106367,-1877241,,-670377,,-133600,1805569,-93844,-111651,,,-233,-103833,,465198,-193550,68381,,-3274523.0,-1965253,134976,4121.0,31473,-1819569,,125193,-1448041.0,2015年度,4926339,5699232,-10848,772893,7581937,3216753,6855342,,-382865.0,56163.0,-384763,7581937,898223,-176777,721446,9646003,1073,3746,,5033.0,-480.0,,-726595,5699232,-1819020.0,-4121.0,-13578.0,0.0,,0.0,353409
