date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,預付設備款增加
2013-05-10,1,2013,,63058.0,,-60000,-58243,,,11322,-6206,-469.0,26237.0,-178.0,0.0,99.0,,-284,4708,1458,-44785,,-80000,,-223,,,,486,-75.0,-60457,,-29543,2555,31076,-550.0,-106078,57895,,-1527.0,231,-4730,312,,,2013年01月01日至2013年03月31日,464656,300333,-934,-164323,11342,,-22071,-11617,,22368,,-37632,11342,,-75140,-10877,-86017,,18906,,,956,,,,-22959,,300333,-6036,,-34.0,,
2013-08-09,2,2013,,110308.0,,-60000,-41926,,,12087,-5454,,,,0.0,911.0,-487.0,-812,9204,2877,-28317,,-93477,,-259,,,,1692,0.0,-37648,,-19134,1280,-33020,-1093.0,33673,114684,18.0,-1786.0,469,-7922,666,,,2013年01月01日至2013年06月30日,464656,466669,-12149,2013,38051,,7489,21128,,17974,,-42026,38051,,-48836,-78395,-127231,1160.0,154955,,-32.0,-2748,,,,-16923,,466669,-6383,,-68.0,,-1300.0
2013-11-06,3,2013,-157.0,179924.0,,-120000,-39697,-6620.0,-18228.0,10809,-26948,,,,-109.0,,,-1658,14142,-995,-44493,-150000.0,-94053,-29479.0,-455,-48630.0,,,3762,,-19132,,-26210,456,-67844,-1632.0,-112078,170868,19621.0,-1896.0,689,-12083,1062,2364.0,,2013年01月01日至2013年09月30日,464656,548544,2546,83888,42166,,35481,51287,,205480,0.0,161480,42166,-4602.0,-36755,-134048,-170803,1446.0,260315,,,-3008,,,,9121,,548544,-7149,-2658.0,-102.0,76000.0,
2014-03-06,4,2013,,224838.0,-68309.0,-120000,-20438,,-11328.0,38676,-13242,-137.0,,,-12.0,,,-3046,19222,6947,-64679,-150000.0,-94987,,-493,61037.0,,-58619.0,763,,-25136,,52594,609,-86319,-2200.0,2226,227290,9436.0,-1896.0,913,-16512,2649,5825.0,,2013年01月01日至2013年12月31日,464656,746429,-8144,281773,61147,,205816,226604,,179093,,66784,61147,-5825.0,78540,-137921,-59381,1446.0,309069,,-157.0,-4521,,,,165457,2009.0,746429,-12750,-3666.0,,76000.0,-536.0
2014-05-08,1,2014,,48123.0,,0,-21403,,12766.0,-15239,5607,-34.0,0.0,,,1029.0,,-1880,5247,47,-5459,,-182639,,-183,,,,215,,-4277,,72959,24,-17570,-446.0,-151294,54309,-9730.0,11896.0,230,-3932,1187,296.0,,2014年01月01日至2014年03月31日,746429,635231,-6892,-111198,55285,,134566,137961,,-94517,,-94517,55285,-296.0,26131,8422,34553,,43704,,4.0,-2354,,,,82676,,635231,-946,-460.0,,,-7746.0
2014-08-07,2,2014,,106741.0,,0,-14643,,12653.0,-18157,-11329,,,,0.0,1027.0,,-4279,9983,-7423,-31334,,-356179,,-385,,,,-690,,41444,,-3563,-558,46456,-917.0,-202061,108360,-9777.0,11896.0,464,-8313,4000,614.0,,2014年01月01日至2014年06月30日,746429,758960,2125,12531,93988,,247204,254165,,-25189,,-25189,93988,-1964.0,-47684,101120,53436,229.0,180649,,-185.0,-6011,9498.0,,2180.0,160177,,758960,-3262,-1062.0,-69.0,,-7746.0
2014-11-04,3,2014,-1505.0,148468.0,,0,22284,0.0,13177.0,-19374,-322,-103.0,,,0.0,1006.0,,-6102,14995,436,-43366,0.0,-560622,0.0,-717,9298.0,,,19474,,44004,,-38286,2207,-13729,-1356.0,-218166,157084,-9872.0,11896.0,705,-12955,6018,8637.0,,2014年01月01日至2014年09月30日,746429,741814,-8904,-4615,142899,,299343,301893,,0,-86228.0,-86228,142899,-8637.0,-44500,55026,10526,229.0,322227,61525.0,,-17445,,,,158994,,741814,-4250,-1197.0,0.0,0.0,-7746.0
2015-03-06,4,2014,,150936.0,0.0,-23000,11228,,13798.0,-21549,-886,-137.0,,,0.0,1004.0,,-7355,19572,10938,-48663,0.0,-718798,2408.0,-769,,,,19641,,59669,,-131243,2069,196121,-1759.0,-293391,191419,-9872.0,11896.0,946,-17215,7394,8637.0,,2014年度,746429,767063,-23716,20634,213155,,486946,493426,,0,-160859.0,-183859,213155,-8637.0,-151263,280598,129335,1629.0,468947,,-1505.0,-35707,9325.0,,,280271,0.0,767063,-5296,-3722.0,,0.0,-8474.0
2015-05-07,1,2015,,,,-36400,-46037,,-3970.0,6478,-318,-11.0,0.0,,-2.0,0.0,,-1495,4264,1054,-3234,,-65733,-57130.0,0,,,,-818,,-43861,,43546,163,-70511,,-812,33673,0.0,0.0,227,-3850,1567,0.0,25955.0,2015年01月01日至2015年03月31日,767063,875638,-332,108575,71422,-483.0,-21150,-17627,,165883,0.0,129483,71422,0.0,3656,-118660,-115004,,130347,,6.0,-8838,,,,-89049,,875638,-1240,-732.0,,,-5060.0
2015-08-03,2,2015,,,,-36400,-30387,,-3335.0,4725,-4880,-11.0,,,-3.0,0.0,276.0,-2899,8668,-4380,-22129,,-252320,-57130.0,-247,,-1.0,,-531,,37635,,-28407,36,-109554,,-18707,66991,0.0,0.0,450,-7979,2865,0.0,62365.0,2015年01月01日至2015年06月30日,767063,1029705,7710,262642,127769,-987.0,45029,55245,,277100,0.0,240700,127769,0.0,-55031,-79858,-134889,1056.0,318510,0.0,-974.0,-17721,,0.0,,-72524,,1029705,-5102,671.0,,,-6443.0
2015-10-29,3,2015,-844.0,,,-345800,21697,,-2716.0,4174,-8546,-11.0,,,0.0,259.0,,-4106,12722,21650,-29991,,-478968,-57130.0,-1434,,-2.0,,-1061,,32378,-73762.0,-8584,1047,-95119,,-156241,98536,0.0,0.0,689,-11794,4143,11581.0,31620.0,2015年01月01日至2015年09月30日,767063,742300,-28963,-24763,252361,-1472.0,223655,226829,,305735,0.0,-113827,252361,-13481.0,16851,-74003,-57152,1152.0,355992,61201.0,,-20197,,0.0,,-25532,,742300,-7104,-11675.0,,0.0,-7320.0
2016-03-10,4,2015,,,0.0,-345800,31466,,-2340.0,3138,-8906,-11.0,,,281.0,0.0,,-4991,16136,9846,-44211,0.0,-528132,-105639.0,-1538,,-9.0,,-1147,,15618,-209804.0,-38292,-631,-9045,,-201408,128508,0.0,0.0,970,-14830,5395,13756.0,71227.0,2015年度,767063,963257,-23857,196194,317144,-1597.0,374705,377771,,568655,0.0,13051,317144,-13756.0,-5927,-4673,-10600,1152.0,357426,126581.0,-844.0,-20362,,0.0,,60627,0.0,963257,-7387,-9430.0,,0.0,-7319.0
2016-04-29,1,2016,,,,-36400,-42960,,511.0,1050,-3996,0.0,,,-46.0,0.0,,-509,2898,-6754,-3768,,0,-16187.0,-35,,,,288,,7440,-129007.0,47964,-44,4625,,-2902,28737,0.0,,280,-2808,558,279.0,42444.0,2016年01月01日至2016年03月31日,963257,645334,8951,-317923,71621,-588.0,124983,128067,,0,-267843.0,-433250,71621,-279.0,5422,8580,14002,,17263,,0.0,-2299,,,,56446,,645334,-1113,4377.0,,,-129.0
2016-07-29,2,2016,,,,-36400,-42182,,956.0,831,12171,0.0,,,6.0,,0.0,-1334,5848,-3314,-11043,,0,-16187.0,-330,,0.0,,170,,78182,-162026.0,-23439,-330,-36397,,-9902,56968,0.0,,514,-5351,1318,577.0,63892.0,2016年01月01日至2016年06月30日,963257,955996,5566,-7261,111824,-1164.0,157014,164344,,47367,,-151059,111824,-1177.0,-66284,54912,-11372,371.0,17273,,-371.0,-3106,,8.0,,52520,,955996,-3874,814.0,,,0.0
2016-11-03,3,2016,,,,-291200,-63830,,-1580.0,-28,14102,0.0,,,-491.0,0.0,,-2125,9420,-11568,-19371,,-32464,-16187.0,-402,,-290842.0,,-95,,110142,-162026.0,-32874,-779,-12919,,-179592,84066,,,722,-7998,1945,9032.0,106292.0,2016年01月01日至2016年09月30日,963257,866474,26253,-96783,159004,-1738.0,274838,275792,-60263.0,333028,,-180461,159004,-8357.0,-99249,109745,10496,367.0,116114,63684.0,-367.0,-8063,,,,116788,,866474,-3933,4838.0,,0.0,0.0
