date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-13,1,2013,,156252.0,-1192557.0,0,7293,-10513,,5343,-28056,17453.0,,,,,3.0,,-857,53695,,-458,17152,-41097,-148998,-2231,23125,,,-263163,829468,-1100.0,-837750,78693,,,-403790,92863,2214,-9417,556,,2013年01月01日至2013年03月31日,2801692,1609818,-18268,-1191874,-117874,-172815,-163954,810000.0,,-204223.0,-574172,-117874,-240,858457,-1060789,-202332,12605.0,,,,,,,-46080,,1609818,,4300.0,,,0,-18131.0,,-251704
2013-08-12,2,2013,,257024.0,-1192557.0,-267418,121289,-20071,,22009,-9460,17452.0,,-5000.0,,,4.0,,-615,53987,,-2154,33945,-50469,-237993,-3025,24898,,,-399565,1422034,-1100.0,-1584260,80857,,,-631848,187523,4383,-32106,2255,,2013年01月01日至2013年06月30日,2801692,2009849,-4697,-791843,-74022,-198393,-167813,810000.0,,743838.0,88867,-74022,1141,1581684,-1932499,-350815,,,,,,0.0,,-93791,,2009849,-729.0,4145.0,,,0,-46147.0,,-390215
2013-11-06,3,2013,,413906.0,-1197557.0,-288499,56202,37651,,14753,17784,17161.0,,-5000.0,,,-90.0,,46,10433,,-2497,53933,5452,-445564,-3018,61945,,,93896,166207,-790.0,-613693,80543,,,-841017,283964,6565,-44775,2600,,2013年01月01日至2013年09月30日,2801692,2059830,-14955,-741862,-202888,34331,80732,810000.0,,740518.0,59372,-202888,2480,253533,-383819,-130286,,,0.0,,,0.0,,283620,,2059830,-4226.0,3648.0,0.0,,8390,,0.0,-392481
2014-03-24,4,2013,,592633.0,-1197557.0,-531742,30459,48918,,11786,-53781,15270.0,,-5000.0,,,,-88.0,-24318,87404,,-3891,72902,-65507,-502331,-3765,124143,,,212864,54724,,-353059,86058,,,-1056376,382798,8591,-71156,3992,,2013年01月01日至2013年12月31日,2801692,1771146,-71651,-1030546,-367566,207119,278306,810000.0,808605.0,,-115782,-367566,3690,112239,-59000,53239,,2935.0,0.0,,,0.0,,645872,,1771146,-4023.0,3451.0,0.0,,-14804,,,-528897
2014-05-12,1,2014,,96469.0,0.0,-26757,-29798,-34708,,-3552,-5222,0.0,,,,,0.0,,-216,305,-20526.0,-1221,22293,562,-107899,-228,21019,,,-182847,328316,,-10825,-3379,,,-46013,105215,1978,-10767,1222,,2014年01月01日至2014年03月31日,1771146,1945716,19322,174570,-315457,-170548,-161003,0.0,,112626.0,390569,-315457,1483,294966,-236981,57985,304700.0,,,,,,,154454,,1945716,,196.0,,,-74121,,,82856
2014-08-08,2,2014,,159187.0,0.0,-287197,90997,-60636,,-2470,-40520,27.0,,0.0,,,-30.0,,-414,711,-20526.0,-2718,44989,32180,-624536,-612,-19051,,,-485086,1973147,,-1355865,-109262,,,-114900,228668,3922,-41968,2717,,2014年01月01日至2014年06月30日,1771146,1692962,-31694,-78184,-512761,-383080,-343242,0.0,,370143.0,387616,-512761,1483,2061701,-2051369,10332,304700.0,,,,,4953.0,,169519,,1692962,-587.0,196.0,,,-67319,,,526235
2014-11-03,3,2014,,347358.0,0.0,-321895,195120,-100074,,-1543,-15802,185.0,,0.0,,,-30.0,,-403,1167,-20526.0,-3500,72511,-8760,-675003,-787,-19833,,,-461667,2126777,,-1551730,-140422,,,-140301,361276,5800,-58786,3503,,2014年01月01日至2014年09月30日,1771146,2092264,-13863,321118,-472767,-132531,-74565,0.0,,619935.0,602710,-472767,1483,2320539,-2269695,50844,304700.0,,,,,4953.0,,398202,,2092264,-2683.0,196.0,,,-57879,,,551465
2015-03-20,4,2014,,518272.0,0.0,-627933,93692,-57964,,-5074,39406,-900.0,,0.0,,,,-30.0,-2129,1638,-20526.0,-5085,99527,-78232,-120788,-1712,-19847,,,-53807,1527442,,-1165681,-9436,,,-149020,495298,7672,-94805,5088,,2014年度,1771146,1988655,5573,217509,-445693,381659,474482,0.0,346365.0,,63102,-445693,9439,1649385,-1247482,401903,344700.0,0.0,,,,4953.0,,920175,34225.0,1988655,-3106.0,196.0,,,-76139,,,-8818
2015-05-05,1,2015,,,,-34793,-149688,23992,,-5821,35222,,,,,,,,77,481,0.0,-651,22897,26311,-5045,-118,379,,,44396,-1145332,,1425411,-224160,,,-5614,134355,1437,-18779,651,207860.0,2015年01月01日至2015年03月31日,1988655,1588806,22011,-399849,-389394,-196739,-178611,,,-189014.0,-223807,-389394,8608,-1301938,1304861,2923,0.0,,,,,,,210783,-1097.0,1588806,,0.0,,,18343,,,-528
2015-08-11,2,2015,,,,-312143,-160416,24506,,-7564,13234,5206.0,,,,,0.0,,-511,953,0.0,-1607,43509,46043,-6617,-118,439,,,124561,-988289,,1222744,-31745,,,-10565,264576,2782,-41286,1607,353283.0,2015年01月01日至2015年06月30日,1988655,1242966,112,-745689,-738412,-242300,-202237,,,-226724.0,-538867,-738412,23869,-1170408,1353300,182892,0.0,,,,,,0.0,536175,-19345.0,1242966,-384.0,0.0,,,18650,,,-3319
