date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,-20751.0,,-27054,,,,,,540,-8293,,,-354.0,,-2923,1194,16653,-10461,-817,-600,,0.0,-17.0,100.0,55534,,-106430,,,,106963,,,-10932,18611,476,-906,2931,,2013年01月01日至2013年03月31日,1397997,1202236,,-195761,-71580,-100942,-103107,-100540,,-100540,-71580,-132944,122168,-10776,,617,0.0,659,,,-31527,1202236,140,153.0,,-38321.0,-32020.0,-16.0
2013-08-09,2,2013,74508.0,,-25344,,,,,,392,-9677,,,0.0,,-6063,2121,26612,-15466,-1405,-4096,,0.0,,41.0,68903,,-150343,,,,161163,,,-16366,36742,1110,-1909,6094,,2013年01月01日至2013年06月30日,1397997,1110224,7003.0,-287773,-219742,-126127,-130351,-171892,,-171892,-219742,-175295,190178,14883,,720,-256.0,1047,,,89391,1110224,39,256.0,76269.0,-39881.0,-30178.0,-33.0
2013-10-30,3,2013,199401.0,,-60117,,,,,,914,6184,,,0.0,50053.0,-8640,2899,22109,-16547,-1405,-4305,,0.0,,64.0,102546,,-176221,,132.0,,181129,-19.0,,-8917,54428,1648,-2377,8681,,2013年01月01日至2013年09月30日,1397997,961930,5823.0,-436067,-420020,-190179,-196453,-259080,,-259080,-420020,-235292,259458,24166,,9227,-256.0,31181,,,223567,961930,-30,256.0,101143.0,-35085.0,-30333.0,-49.0
2014-02-10,4,2013,186907.0,,-83756,,,,,,-953,4232,,,4875.0,3969.0,-10919,3391,28900,-50638,-1405,2202,,6.0,,172.0,134033,,-196081,,0.0,,205030,0.0,,-13548,62592,2184,-3061,10958,,2013年01月01日至2013年12月31日,1397997,925554,6840.0,-472443,-457762,-201324,-209103,-286477,,-286471,-457762,-280790,342542,61752,,10252,-256.0,31294,23452.0,50053.0,248659,925554,-118,256.0,100518.0,-65473.0,0.0,-753.0
2014-04-24,1,2014,4502.0,,2478,,,,,,-17165,-3248,,0.0,,,-1350,618,-1336,0,0,-722,,,0.0,30.0,4491,,-1831,,,,6030,,,30,10890,307,-1224,1353,,2014年01月01日至2014年03月31日,925554,902385,-34.0,-23169,-29318,-24343,-34061,2480,,2480,-29318,-16518,7273,-9245,,0,,0,,,-4743,902385,9589,0.0,,-5207.0,0.0,0.0
2014-08-07,2,2014,53427.0,0.0,-5148,,,,,,-16364,-5336,,,172.0,,-2526,1224,-11132,0,0,-3311,,-6.0,,-1030.0,1412,,-4838,,,,3185,,0.0,-743,21203,471,-626,2637,,2014年01月01日至2014年06月30日,925554,848811,355.0,-76743,-106560,-66988,-78590,10404,-8278.0,2120,-106560,-26350,893,-25457,,115,0.0,-23,,,27970,848811,9591,0.0,36034.0,,0.0,1632.0
2014-11-11,3,2014,35136.0,,-6751,,,,,,10677,-1768,,,0.0,-3961.0,-6246,1602,4197,0,0,-4230,,-6.0,,-59977.0,155,,6445,,0.0,,12614,-15217.0,0.0,76805,24534,721,-1602,6467,,2014年01月01日至2014年09月30日,925554,865421,0.0,-60133,-103825,-50024,-60902,10795,-101900.0,-91111,-103825,10371,-2584,7787,,1439,0.0,1452,135343.0,,42923,865421,6013,0.0,21264.0,,0.0,1632.0
2015-02-24,4,2014,77189.0,,3190,,77.0,1296.0,-243947.0,-52.0,-403,-4954,0.0,,0.0,0.0,-8066,1540,5750,-22646,-842,-3680,,-6.0,,-1070.0,33982,-500821.0,26372,,,,18184,-41017.0,-531.0,-586805,32881,1039,-1540,8286,,2014年度,925554,189253,-5544.0,-736301,-195452,-67693,-80487,-87547,,-87553,-195452,29236,8540,37776,,182521,0.0,3463,0.0,0.0,114965,189253,6048,0.0,91014.0,-35458.0,,1632.0
2015-05-07,1,2015,,,-3168,,23558.0,189.0,,6493.0,2894,-3953,0.0,-9468.0,,,-32,1748,-1485,-48030,-197,75,,,,,-9170,,-31806,-9800.0,-169.0,,27714,-6719.0,531.0,-50405,9695,9657,-1748,32,37025.0,2015年01月01日至2015年03月31日,189253,142092,3742.0,-47161,-47945,-15008,-14326,19737,,19737,-47945,-18491,15085,-3406,,7290,,18542,,,33619,142092,1034,,,-6402.0,,
2015-08-11,2,2015,,,-1876,,-31.0,-2161.0,,5978.0,28768,-20280,,-48982.0,,,-664,6622,-2723,-100384,-1254,340,247.0,,,,3322,,-27219,-20308.0,-14936.0,,26586,-9257.0,-596.0,-137968,18565,18843,-5079,664,67133.0,2015年01月01日至2015年06月30日,189253,51221,10993.0,-138032,-113705,-82600,-78582,85012,,85259,-113705,-35602,3592,-32010,,12652,,18836,,,35123,51221,397,,0.0,-6402.0,,0.0
2015-11-10,3,2015,,,-4859,,-21.0,319.0,,8665.0,7580,-17465,,-64358.0,,0.0,-462,11625,447,-135294,-4450,1380,262.0,,,,-11137,,-16741,-2174.0,-15528.0,,25607,-3413.0,249.0,-116291,28336,27570,-7324,462,70618.0,2015年01月01日至2015年09月30日,189253,88244,-4478.0,-101009,-132958,-98474,-91258,88978,,113309,-132958,-31743,2825,-28918,24069.0,87811,,9353,0.0,,41700,88244,-354,,0.0,-2706.0,,0.0
2016-03-07,4,2015,,,-1915,,13516.0,1811.0,0.0,8643.0,-880,-4622,,-76167.0,,36830.0,-476,17250,-738,-167689,-4462,141,,-156.0,,,-5792,0.0,253,21138.0,-15182.0,,62983,-11461.0,527.0,-160459,37787,37033,-19834,476,134385.0,2015年度,189253,94459,-5026.0,-94794,-219101,-35411,-15697,586660,-532006.0,101814,-219101,16930,52089,69019,47316.0,87859,,9436,,,203404,94459,-356,,0.0,1410.0,,0.0
2016-05-04,1,2016,,,-4458,,3611.0,2081.0,,-773.0,-4046,6312,,52502.0,,,-89,2978,-1461,-56735,-3393,0,,-148.0,,,-3232,,351,20418.0,0.0,,-17753,-25600.0,4.0,-7626,9467,8673,-10452,89,23845.0,2016年01月01日至2016年03月31日,94459,115052,-2275.0,20593,-26214,-35821,-25454,41720,-41745.0,65501,-26214,15876,-38961,-23085,65674.0,0,,0,,,760,115052,-4,,,5091.0,,
2016-08-09,2,2016,,,-1439,67673.0,11829.0,2050.0,,-935.0,-2178,-2704,,3160.0,,,-174,5853,-1801,-86153,-207,2356,417.0,,,,-11859,,-8800,-6280.0,0.0,,-29027,-27956.0,4.0,-83200,21091,16791,-16997,174,70268.0,2016年01月01日至2016年06月30日,94459,54784,21825.0,-39675,-58581,-84109,-65608,61424,-65753.0,129435,-58581,-6868,-70427,-77295,65674.0,0,,0,,,-7027,54784,-1678,,,2526.0,,
2016-11-07,3,2016,,,6467,66458.0,6573.0,2016.0,,-2579.0,-938,-3918,,-2040.0,,,-264,8449,-3851,-124931,-204,3578,546.0,,,,-22393,,15401,10814.0,0.0,70532.0,-105812,18721.0,4.0,-127165,30682,24837,-23495,264,74710.0,2016年01月01日至2016年09月30日,94459,59522,4141.0,-34937,-62390,-89328,-63324,402773,-428009.0,185407,-62390,38317,-113961,-75644,73107.0,10,,151,,,-934,59522,-2773,,,3136.0,,
