date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得待出售非流動資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-09,1,2013,,58484.0,,-80125,15885,,5078,0.0,,26077.0,-1581,1792,244,-15567,,,-4014,5726.0,0.0,,-127,-789177,,-273490,-62111,69961,-39823.0,-32,179.0,-19708,21684,2457,4532,-963,1337,,2013年01月01日至2013年03月31日,1279519,1072405,-207114,88833,,-1049658,-1049899,,1426916,-564908,862008,88833,,-410469,-786747,-1197216,,,,,-56,-1138732,0.0,1072405,-133,310.0,-46018
2013-08-06,2,2013,,63445.0,,-80183,-10156,,-12344,,,8160.0,-2739,3928,419,-31694,,-18296.0,-5977,705.0,0.0,,-720,-1190704,,-154829,21219,198782,-308146.0,-36,359.0,-56563,44065,-1545,9529,-2812,2840,,2013年01月01日至2013年06月30日,1279519,553335,-726184,212950,,-1358872,-1287749,,2381752,-1692920,688832,212950,,-225778,-1338366,-1564144,,124.0,,-124.0,-56,-1500699,0.0,553335,-71151,-23.0,-26561
2013-11-12,3,2013,,127913.0,,-171666,29,,5161,,,44324.0,-2990,5707,288,-46737,-22711.0,,-27977,163.0,0.0,,-1078,-860849,,-127697,16763,205720,-218982.0,-41,534.0,-98379,65959,-3796,15216,-5018,3136,,2013年01月01日至2013年09月30日,1279519,819383,-460136,257680,,-895619,-822558,0.0,3225912,-2692338,533574,257680,,-276905,-931246,-1208151,,124.0,,-124.0,-235,-1080238,0.0,819383,-71179,-107.0,-53327
2014-03-13,4,2013,-124.0,156251.0,,-277724,2250,-1382.0,28054,,-67887.0,45597.0,-3515,7087,501,-61263,-22711.0,,-38611,198.0,0.0,,-1252,-343447,-11412.0,-101670,312949,-56707,-80188.0,-64,712.0,-123713,86287,7520,22278,-6307,3632,,2013年01月01日至2013年12月31日,1279519,1342392,62873,264108,,-185088,-110504,-33944.0,3972414,-3487998,371173,264108,,-37679,-493184,-530863,,124.0,,,-1518,-374612,0.0,1342392,-71909,-39.0,-21166
2014-05-06,1,2014,,80693.0,,-17373,14243,,1798,0.0,,51870.0,-1067,1620,-66,-64557,,,-2452,-378.0,,,-1180,-293115,,13804,-20772,106057,48798.0,52,120.0,-68189,21197,0,7529,-1535,995,,2014年01月01日至2014年03月31日,1342392,1245618,-96774,89834,,-74735,-73669,,936451,-890235,46216,89834,,-22423,-221773,-244196,,,,,0,-163503,,1245618,-526,-78.0,-97808
2014-08-06,2,2014,,145789.0,,-32648,12739,,6867,,,90330.0,-2533,2795,-314,-92946,0.0,,-4308,-388.0,,,-2109,-188118,,7956,49144,205297,37299.0,12,242.0,-99363,39993,0,15658,-2992,2524,,2014年01月01日至2014年06月30日,1342392,974068,-368324,183975,,275887,310835,,1086402,-1630936,-544534,183975,,31561,-50490,-18929,,0.0,,0.0,0,126860,,974068,-34480,-66.0,-117719
2014-11-06,3,2014,,244204.0,,156997,-34337,,5149,,,157387.0,-3242,3542,65,-129397,0.0,,-45245,-388.0,,32406.0,-1886,-52310,,19047,248982,-60676,254081.0,27,362.0,-176528,55168,0,25133,-3452,3051,,2014年01月01日至2014年09月30日,1342392,1634421,292029,388690,,996782,1046004,-149357.0,1549697,-1961036,-528290,388690,6639.0,430537,-17427,413110,,0.0,,0.0,0,657314,,1634421,-48821,-35.0,-124212
2015-03-19,4,2014,0.0,407196.0,-3123.0,131659,-940,11588.0,-1310,,0.0,227953.0,-5504,4243,594,-193429,0.0,,-55429,66091.0,,32406.0,-1067,-353396,0.0,72169,386839,-25711,254081.0,-560,483.0,-249925,68911,0,38797,-3975,4896,,2014年度,1342392,2226546,884154,538313,,1314418,1362918,-149357.0,2306527,-2367386,-180933,538313,6750.0,589840,-172431,417409,,0.0,,,0,824605,,2226546,-49421,-45.0,-57493
2015-05-12,1,2015,,,,-164053,9853,,-496,0.0,,-1003.0,-1887,1070,-169,-22124,11539.0,,-2051,127.0,,,-224,-333791,,10942,-356596,168851,0.0,4,,-12860,16621,4053,13868,-900,2122,27165.0,2015年01月01日至2015年03月31日,2226546,1513132,-713414,95685,144.0,-518105,-518582,,453600,-635880,-182280,95685,,-510059,-131373,-641432,,,,,-1654,-614267,,1513132,-745,23.0,19657
2015-08-06,2,2015,,,,-155963,7612,,-13803,,,-14369.0,-3107,-2952,1669,-387453,11539.0,,-11322,92.0,,,-6514,-269594,,118614,-849969,175607,0.0,507,,-393750,33764,4054,28325,-3019,3744,40129.0,2015年01月01日至2015年06月30日,2226546,1121277,-1105269,142377,283.0,-868748,-788069,,1399088,-1538328,155560,142377,,-900838,-69737,-970575,294800.0,,,,-1654,-930446,,1121277,-81404,30.0,12077
