date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-13,1,2013,2456,72768.0,-678,-16454,16079,,21556,2597,-465,,,,,964,,-384,4209,36941,-52009,,,-20124,,-3533,2877.0,,,2708,18085,6454.0,21291,,6883,-15370,-5426,21393,-48339,86595,-30000.0,-20152,3567,-2631,384,,,2013年01月01日至2013年03月31日,817515,866623,49108,175659,182835,186616,-2252.0,,75472.0,-200000.0,-122329,175659,,32811,-94622,-61811,,128,9,,0.0,,10957,866623,-1534,1,,-99728,0.0,13540.0
2013-08-12,2,2013,446,150520.0,-1353,91959,1034,,22946,-17447,1168,,,,0.0,4987,,-1484,8807,11490,-134743,,-604.0,-20515,,-4233,0.0,,,4204,51238,6454.0,-18892,,16166,-15853,-14280,-24298,-141377,175723,-30000.0,-37279,7209,-8807,1484,,,2013年01月01日至2013年06月30日,817515,1104790,287275,345826,480220,520576,-3160.0,,138425.0,-200130.0,-63058,345826,,113347,-89117,24230,0.0,129,74,,0.0,,174750,1104790,-33033,1257,,-36351,-1289.0,0.0
2013-11-11,3,2013,446,235890.0,-5564,56954,21654,,29439,-14562,110,,,0.0,0.0,-63223,,-2160,14565,31129,-161526,,-606.0,-21897,-30000.0,-5713,0.0,,,-4707,67786,-191729.0,-44697,,1475,19173,-6832,83856,-473552,266192,,-49632,10745,-13045,2160,48704.0,,2013年01月01日至2013年09月30日,817515,889375,71860,519183,821881,894588,-3640.0,-456725.0,367756.0,-213065.0,-307598,519183,,43281,96234,139515,0.0,136,745,0.0,0.0,0.0,375405,889375,-110526,702,,-71201,,
2014-03-31,4,2013,273,339708.0,-10432,43376,11686,-6506.0,29874,-18275,38692,-30000.0,0.0,0.0,0.0,-65555,15285.0,-5242,20279,39627,-273368,-310.0,-607.0,-21242,,-6184,0.0,,,-2970,74648,-191729.0,3275,,334,-8540,-5897,86172,-561865,359680,,-62376,13874,-20056,3907,48703.0,,2013年01月01日至2013年12月31日,817515,1189592,372077,755001,1193894,1256499,,-456725.0,167578.0,,-299579,755001,,115551,46239,161790,0.0,422,3741,0.0,0.0,,501498,1189592,-95159,378,,-63555,,
2014-05-13,1,2014,166,64508.0,-4609,-62703,5726,,-12864,-4172,806,0.0,,,-3318.0,0,541.0,-1507,5101,27502,-44728,0.0,0.0,-3779,,2914,10373.0,,-1513.0,0,24091,0.0,-9832,,17493,6832,-9303,26733,-77185,76127,,-21370,3185,-4150,1513,0.0,,2014年01月01日至2014年03月31日,1189592,1383342,193750,234523,235458,240778,-6914.0,0.0,2211.0,0.0,7975,234523,,-67100,8847,-58253,0.0,149,-3,0.0,0.0,,6255,1383342,-2683,-646,0.0,-34146,-23996.0,0.0
2014-08-08,2,2014,166,134827.0,-9215,31927,4445,,-15325,2644,5153,30754.0,,,-1893.0,0,1070.0,-4463,10182,32670,-133442,,0.0,-6986,,87,,,,2457,63258,0.0,-3945,,3789,-45314,-17389,-37525,-199525,152976,,-30851,6787,-9931,4565,,,2014年01月01日至2014年06月30日,1189592,1548857,359265,473919,540569,643746,-10978.0,,,-5234.0,-14449,473919,,21599,13401,35000,,161,5,,,,169827,1548857,-97811,-1132,,23506,-59822.0,
2014-11-07,3,2014,761,195100.0,-12031,34283,-4558,,-11983,-13897,-30225,,,,11832.0,0,1605.0,-5787,15080,28289,-336081,0.0,0.0,-7525,0.0,2153,0.0,,0.0,2870,-22286,0.0,48325,,656,-60598,-675,15380,-373137,230440,,-57892,9867,-14422,5866,46634.0,,2014年01月01日至2014年09月30日,1189592,1037107,-152485,721157,738137,877212,-13430.0,-507472.0,0.0,-26271.0,-545774,721157,,41056,-80101,-39045,0.0,161,5,-1132.0,0.0,30754.0,156055,1037107,-177153,0,0.0,19963,-75148.0,
2015-03-27,4,2014,931,334268.0,-19292,139399,-21967,-16407.0,-7060,3501,-41275,30000.0,,,,-134915,75371.0,-8791,19093,37868,-407309,0.0,0.0,-7868,,1254,,,,1450,-75114,0.0,16538,,-514,-78944,3556,14833,-564889,308165,,-73515,12082,-19367,9001,46634.0,,2014年度,1189592,1376793,187201,932301,1193596,1334498,,-507472.0,47390.0,,-479374,932301,,107088,-39159,67929,0.0,160,56,-378.0,0.0,,402197,1376793,-177170,0,,84976,0.0,
2015-05-08,1,2015,0,,-2815,-87625,2218,-3550.0,-2928,-11968,-225,,,,,-901,553.0,-1322,5068,-28876,-104007,0.0,,-719,,1255,,-7744.0,,1100,-20508,0.0,51667,,1637,-45048,-6302,27702,-130657,80019,,-41083,2413,-4907,807,0.0,46114.0,2015年01月01日至2015年03月31日,1376793,1505377,128584,246515,141602,150243,,0.0,107674.0,,146515,246515,,-37474,-104912,-142386,49400.0,1279,-789,0.0,0.0,,-96272,1505377,-4541,0,,-51006,-23859.0,
2015-08-07,2,2015,160,,-5290,-10912,3985,0.0,5100,8686,-3111,0.0,,,,-6589,1096.0,-3747,9888,-42006,-179589,0.0,0.0,-1214,,345,,-8535.0,,2566,-73615,0.0,98203,,3979,-63559,-17693,31719,-231408,159916,,-58854,4774,-11908,4377,24430.0,113124.0,2015年01月01日至2015年06月30日,1376793,1783633,406840,464313,458992,506043,-4345.0,0.0,188991.0,,221262,464313,,93259,-164653,-71394,46096.0,1277,-454,0.0,0.0,,41730,1783633,-63950,0,,-49831,-47859.0,
