date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,39332.0,,-211265,-130807,163.0,7508.0,-24583,-11421.0,,,6173,76236,,1041.0,,,,,,-6673.0,,190.0,-4378,11789.0,40521,-35542,,,,,,,2726,,,0.0,-2767.0,,12518.0,-131253,,,85936,-6336,0.0,-20062.0,-13352,-530.0,65451,-1570.0,-50430,,-724.0,14906,50152,,,5835,-12829,4378,,,2013年01月01日至2013年03月31日,1105211,794552,-25238.0,-310659,60355,,-92392,-76163,,,,-39600.0,-273694,60355,,,-36676,-139174,-175850,0,0,,49980.0,18,,,-660.0,-136518,1885,794552,-7778,-1102,,,,,-1464.0,-74066,,20916
2013-08-09,2,2013,105121.0,,-386417,-39777,-4817.0,,-15064,,-378.0,14317.0,21864,72899,-4088.0,1041.0,,,,,,-18296.0,,963.0,-9603,23371.0,50941,-59087,,,,,,,12052,,,69.0,,,12810.0,-227798,,,319150,13772,,-114981.0,43822,-56.0,-308924,-153.0,-126636,,-1116.0,17200,103918,,,7889,-23830,9604,,,2013年01月01日至2013年06月30日,1105211,855398,-37585.0,-249813,239467,,33347,110364,,-5536.0,47064.0,0.0,-351301,239467,,,471671,-705895,-234224,108500,912,,66544.0,450,,,374.0,-129103,4515,855398,-62791,3292,,,,,,-100882,,118402
2013-11-06,3,2013,184624.0,,-459071,-52551,-4602.0,,-26455,,-3319.0,15134.0,36670,90611,-3630.0,2026.0,,0.0,,,,-22085.0,,-3039.0,-12465,35143.0,39915,-133989,,0.0,,-2055.0,,,15773,-27968.0,,69.0,0.0,,13045.0,-442193,,,569049,29309,,-144999.0,-131824,-415.0,-326831,-722.0,-138255,0.0,-1577.0,34135,158877,,,11626,-35992,12363,448.0,,2013年01月01日至2013年09月30日,1105211,1006742,-19530.0,-98469,363500,,60030,190996,,-226500.0,166480.0,0.0,-232549,363500,,-448.0,563906,-921034,-357128,483528,912,,66455.0,1626,96718.0,-12100.0,655.0,-172504,3327,1006742,-107785,8506,,-24088.0,,,,-75896,,120150
2014-03-25,4,2013,239212.0,,-631355,-55589,-4079.0,,-58808,,-1732.0,52629.0,-3780,35176,-901.0,11203.0,0.0,4714.0,,,,-24499.0,,52875.0,-16611,,45719,-142454,,,,-2055.0,,,18297,,,5013.0,0.0,0.0,12292.0,-426071,,-28999.0,550200,8908,,-5073.0,-170836,-530.0,-435103,-3416.0,-63629,,-802.0,3109,222182,126632.0,,15047,-49058,16429,447.0,,2013年01月01日至2013年12月31日,1105211,1144872,-37137.0,39661,476578,,215823,371198,,-226500.0,266217.0,0.0,-224990,476578,,-522.0,517835,-862427,-344592,415081,10478,,,-1158,96718.0,-12100.0,-2312.0,-105380,-139,1144872,-123193,651,,-24088.0,0.0,,,-46679,,195383
2014-05-05,1,2014,40832.0,,-36293,6105,-1530.0,,-5402,0.0,425.0,,1110,58016,-3290.0,3079.0,,,-9090.0,0.0,,0.0,12845.0,,-5990,13464.0,1938,-56471,,,,,,,14522,,,1156.0,0.0,,280.0,-131023,,,14046,253,,-44930.0,-8411,0.0,-70364,126.0,-12895,,-207.0,-15572,55351,302.0,,4080,-14108,3942,,,2014年01月01日至2014年03月31日,1144872,1504499,-7759.0,359627,218176,,137659,163460,,,240166.0,0.0,235602,218176,,,153904,-249452,-95548,75503,36864,,,-31733,,,-103.0,-54716,1000,1504499,-15635,694,,,0.0,-1694.0,0.0,-91716,,144828
2014-08-07,2,2014,194280.0,,-171727,120373,-3609.0,,7093,,424.0,,-2231,53885,0.0,10764.0,,,-178592.0,0.0,-4140.0,-7473.0,,-18.0,-12553,28611.0,-11800,-68593,,,,,,,62377,,,0.0,-619.0,,2352.0,-241777,,,200163,25183,,-109900.0,11395,0.0,-573870,2253.0,27929,,-496.0,-224466,108336,-23098.0,,7987,-29059,8765,,,2014年01月01日至2014年06月30日,1144872,1171176,20839.0,26304,390443,,125193,209338,,-3711.0,298536.0,,137377,390443,,,475547,-850932,-375385,128938,36240,,,-29448,,,-173.0,-181105,3109,1171176,-63851,8261,,,61.0,,,-114535,-8400.0,121660
2014-11-13,3,2014,281118.0,15000.0,-627170,96282,,,14066,,,,-2613,-17737,10142.0,,,,,-175797.0,,,8856.0,40681.0,-17987,38146.0,27481,-129268,,,-10020.0,0.0,-20000.0,,72415,,,1087.0,,,1855.0,-682257,,0.0,637541,51585,65029.0,,21208,,-861787,158.0,-34880,,372.0,-268610,155466,-103085.0,,15199,-39165,12273,6299.0,,2014年01月01日至2014年09月30日,1144872,1037056,0.0,-107816,678489,,62461,184750,,-252852.0,740661.0,-199968.0,70852,678489,,-6299.0,1033195,-1808052,-774857,397328,30744,,,-30629,0.0,0.0,,-493739,-36845,1037056,-101696,-10363,,-43243.0,24489.0,,,-122530,,255523
2015-03-17,4,2014,462853.0,15000.0,-900906,88589,,,57124,,,,-2682,-9047,-7487.0,,,,,-72805.0,,,-7392.0,60620.0,-25748,57263.0,48207,-106316,,,-10020.0,0.0,-20000.0,-22340.0,123968,,,-4744.0,,,-22946.0,-747042,,0.0,348969,110706,-75105.0,,-1979,,-1064996,,123342,,-954.0,-198553,208074,-57319.0,121.0,17889,-57481,19724,6299.0,,2014年度,1144872,1282103,18264.0,137231,850020,,73299,228221,528635.0,-252852.0,1508159.0,-985208.0,214278,850020,1660.0,-6299.0,708883,-1793535,-1084652,450000,38246,,,-29199,0.0,0.0,,-621799,-55648,1282103,-123464,-46265,10490.0,-43681.0,72015.0,,,-95597,,229369
2015-05-07,1,2015,,,-7513,79121,,,-57769,,,,6603,-151,630.0,,,,,-26496.0,,,-11699.0,14374.0,-4915,12096.0,-25106,-124372,,,,,,-4284.0,20764,,10706.0,2745.0,,,-6366.0,-24150,,,-343165,-101345,,-9771.0,-16124,,311688,478.0,-104999,,,-153798,50329,54613.0,408.0,9766,-14262,6727,,138627.0,2015年01月01日至2015年03月31日,1282103,1171492,-5950.0,-110611,17573,-51.0,30587,52597,,,248770.0,-346525.0,37706,17573,,,-316631,213028,-103603,150000,8713,,,13549,,,,35024,-15338,1171492,-14475,21049,,,7157.0,,,33318,,73038
2015-08-11,2,2015,,,-473119,-61083,,,-76675,,,,25984,3080,0.0,,,,,8076.0,,-14648.0,,28350.0,-8706,27926.0,-24737,-198447,,,,,,-12471.0,42195,,,,0.0,,16106.0,65078,11915.0,,-484463,-94690,100158.0,,-22391,,391080,-1610.0,-96053,,,-180264,105981,61933.0,773.0,18378,-29606,9999,,239456.0,2015年01月01日至2015年06月30日,1282103,1213862,-12891.0,-68241,92186,-2634.0,-198208,-69185,,,1414225.0,-1452854.0,334968,92186,,,-751780,350953,-400827,750000,9205,,,13442,,,,-161371,-28599,1213862,-109416,44456,,-3442.0,-20448.0,,,4120,,-83904
2015-11-11,3,2015,,0.0,-178567,-23165,,,-99178,,,,35290,700,0.0,,,,,-571.0,,-13356.0,,43119.0,-13527,44652.0,17094,-283049,,,0.0,,0.0,-32882.0,61583,,,2800.0,,,-16739.0,27446,11915.0,,-784275,-86105,130077.0,,-15314,,436579,-4023.0,-114152,,,-324898,167256,50249.0,1219.0,30996,-44091,13481,7138.0,334610.0,2015年01月01日至2015年09月30日,1282103,1259698,4099.0,-22405,362575,-12379.0,-32771,105044,,-249830.0,2651091.0,-3014107.0,318170,362575,,-7138.0,-887647,295506,-592141,1000000,9707,77.0,,13527,,,9418.0,-257531,-46121,1259698,-114343,3318,,-23294.0,-23912.0,,,-2115,,44422
2016-03-17,4,2015,,0.0,-761289,40850,,,-81259,,,,39058,13501,427.0,,,,0.0,2646.0,,-21700.0,,56935.0,-18992,59929.0,-4649,-482568,,,0.0,-2817.0,0.0,-74794.0,85270,,,,0.0,,-192.0,411606,11915.0,,-807661,-90101,139908.0,0.0,-22058,,566266,-7339.0,17766,,,-565500,238969,95373.0,1759.0,44471,-60043,18580,7138.0,481961.0,2015年度,1282103,1287967,-12127.0,5864,421746,-15974.0,319061,503191,0.0,-249830.0,3742531.0,-4278137.0,256952,421746,0.0,-7252.0,-1471940,1071424,-400516,1687500,7904,77.0,,-2528,,,9418.0,81445,-61367,1287967,-149805,20377,0.0,-23731.0,5732.0,,,55510,-5971.0,-555114
