date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,長期應收租賃款增加,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-06-20,1,2013,11747.0,,-2827,-3474,-5195,-93,215,390.0,0.0,,1278,5739,-8241,,-1832.0,,,,,,3066,,,-51449,-45759,-204.0,-9683,6013,,,905,-1279,,,,2013年01月01日至2013年03月31日,321258,319984,-70,-1274,59387,,-97680,-89110,0.0,,,103177.0,0.0,100350,59387,0.0,-55220,-105024,-160244,,,228.0,,,,,-148497,,319984,-7291,,,,,3393,0.0,,-57351,
2013-07-30,2,2013,25235.0,0.0,-5655,-9438,971,20,108,1491.0,0.0,,3068,7979,-88126,,-2131.0,,,,,,-75651,,,14368,40334,-402.0,-88766,13539,,,2057,-3039,,,,2013年01月01日至2013年06月30日,321258,380527,-1002,59269,100019,,45032,77089,0.0,,,52800.0,0.0,95024,100019,0.0,4548,-52713,-48165,47879.0,,1694.0,,,,,-22930,,380527,-29018,,,,,5879,0.0,,-18475,
2013-10-24,3,2013,50088.0,,-10916,-18392,-4172,486,-2316,1500.0,0.0,,4917,4359,-86678,,-5161.0,,,,,,-34946,,,-55143,-45644,-530.0,-90339,21349,,,3487,-4888,,,,2013年01月01日至2013年09月30日,321258,321557,-777,299,153385,,-13905,32222,0.0,-75442.0,,138663.0,0.0,100184,153385,0.0,-73579,-97672,-171251,47879.0,,1694.0,,,,,-121163,,321557,-41239,,,,,19418,0.0,,-10594,
2014-03-11,4,2013,51939.0,,-36178,-13228,-13955,320,-1124,-464.0,0.0,,6721,6396,-104206,,-6041.0,-13351.0,,,,,20614,-44400.0,,-102291,19613,980.0,-168462,29322,,,5146,-6696,,,,2013年01月01日至2013年12月31日,321258,601746,-1225,280488,178518,,94327,150218,316890.0,-75442.0,,95078.0,0.0,348227,178518,498.0,-114219,33980,-80239,47879.0,,1694.0,,,,,-28300,,601746,-49195,,,,,9783,,,8832,
2014-05-13,1,2014,3306.0,,-5261,-735,12431,397,-1343,-2585.0,,,1758,6139,-2211,,-816.0,,,-1547.0,,,56102,,,3329,31177,-162.0,3309,9008,,,1694,-1754,,,,2014年01月01日至2014年03月31日,601746,675942,-265,74196,29883,,124229,127103,,,,0.0,-54220.0,-59481,29883,,2829,91085,93914,,,1.0,,,8921.0,,97220,,675942,-1120,,,,,0,-7343.0,,-7282,
2014-08-13,2,2014,16810.0,,-30522,-186,18910,7,-482,-3071.0,,,3137,322,-3164,,-971.0,-137474.0,,,,,126621,,,-18774,51219,-325.0,-144680,18046,,,3456,-3165,,,,2014年01月01日至2014年06月30日,601746,542249,193,-59497,45290,,210461,224617,,,,0.0,-95078.0,-125600,45290,,-19278,181795,162517,0.0,,1.0,,,,,179327,,542249,-10991,,,,,0,-8023.0,,-14473,
2014-11-11,3,2014,33154.0,,-35784,-97,9242,-346,-709,-2626.0,,,4280,5608,-3160,,-1751.0,-138029.0,,,,,78732,,,-8030,112800,-487.0,-145566,27099,,,5127,-4314,,,,2014年01月01日至2014年09月30日,601746,414861,-233,-186885,26730,,219733,240029,,-135798.0,,0.0,-95078.0,-266660,26730,,-8717,188862,180145,0.0,,1.0,,,,,213299,243.0,414861,-15982,,,0.0,,0,-3120.0,,-11203,
2015-03-17,4,2014,59585.0,,-237976,-8765,13031,9240,-5634,-3058.0,243.0,,5757,12806,-12341,,-118646.0,42391.0,,,,,94354,0.0,,-14055,74318,-603.0,-91654,36624,,,12953,-4791,,,,2014年度,601746,543306,6711,-58440,18184,,211149,231664,0.0,-135798.0,278111.0,0.0,-95078.0,-190741,18184,0.0,-14183,168078,153895,0.0,,1.0,,,,,213480,,543306,-15724,,-2704.0,,,0,,,-7991,
2015-05-12,1,2015,,,-896,-1213,25,-4987,-2350,0.0,-475.0,,2037,-2676,-15222,,0.0,,,0.0,-179.0,,4372,,,21584,-33705,,-15401,9598,,,8076,-611,,,28691.0,2015年01月01日至2015年03月31日,543306,523600,7201,-19706,-8245,-121.0,-733,-122,,,,,0.0,-896,-8245,,15201,-35769,-20568,,,0.0,,,,0.0,8123,,523600,0,-1824.0,,,,4078,0.0,,-4111,-62.0
2015-08-13,2,2015,,,-1792,7110,-5522,-9222,-219,0.0,-475.0,,4524,-4963,-5729,-264000.0,0.0,,,,-32.0,,-39667,,,47736,-30936,,-269761,15649,,-1096.0,11313,-1641,,,39915.0,2015年01月01日至2015年06月30日,543306,340712,-2328,-202594,-31523,-241.0,-46078,-36215,,,,120000.0,0.0,118208,-31523,,45383,-89990,-44607,,,0.0,,,,0.0,-4692,,340712,-8222,2936.0,,,,9392,0.0,,-13646,
2015-11-11,3,2015,,,-2688,18491,-9200,-9363,-683,0.0,-475.0,,7031,3603,-6446,-264000.0,0.0,,0.0,3144.0,-519.0,,-57019,,-13797.0,15783,-66659,,-268565,22831,,-1206.0,14430,-2691,,2400.0,66591.0,2015年01月01日至2015年09月30日,543306,289445,9367,-253861,-3691,-362.0,-90565,-73621,,-101849.0,,220000.0,0.0,101666,-3691,,24549,-161070,-136521,,,0.0,,,,,-69930,0.0,289445,-14253,1060.0,,,,10409,0.0,,-27509,
2016-03-28,4,2015,,,-3584,4244,-13821,-8989,-828,,-475.0,,9611,3603,-6682,-264000.0,0.0,,,6348.0,0.0,4162.0,-95643,,-15938.0,24635,-85910,,-264120,30665,0.0,5556.0,16945,-3775,,2400.0,88159.0,2015年度,543306,262042,7850,-281264,-15228,-794.0,-149376,-131631,,-101849.0,0.0,250000.0,0.0,128629,-15228,,19096,-223658,-204562,,,0.0,0.0,0.0,,,-116403,,262042,-13970,1088.0,,,,10571,0.0,,-27456,
2016-05-10,1,2016,,,-896,17642,-19705,563,1166,,0.0,-411.0,2244,-3039,-1516,,,,,,62.0,,-496,,-11037.0,-10153,16495,,-402318,7571,,-3440.0,2212,-532,2434.0,,11959.0,2016年01月01日至2016年03月31日,262042,222037,7480,-40005,24994,-134.0,27285,26430,,,,,-50000.0,338067,24994,,7918,-18441,-10523,400000.0,,,,,,,1436,,222037,-1047,-5936.0,,,,2239,,-400864.0,-15901,
2016-08-15,2,2016,,,-1792,-13472,10503,-5579,844,,0.0,-263.0,6091,-3416,-4916,0.0,,,,14392.0,-93.0,,-49128,-406123.0,-11037.0,33167,-26204,,-411132,16448,,-6972.0,5892,-2706,2346.0,,34282.0,2016年01月01日至2016年06月30日,262042,249690,4353,-12352,70114,-268.0,47899,50333,,,,340000.0,,354297,70114,,13848,-67911,-54063,400000.0,,,,,,,-19781,,249690,-2074,-7756.0,,,-372874.0,2097,,,-3926,
2016-11-11,3,2016,,,-2688,-25758,9339,-3363,873,,0.0,-578.0,11757,-11191,-7460,0.0,,,,13800.0,164.0,,-46707,-406123.0,-13780.0,52509,-33230,,-410788,25741,,-8287.0,10812,-7143,170.0,2400.0,59173.0,2016年01月01日至2016年09月30日,262042,314535,9416,52493,132318,-352.0,117062,126478,,-33248.0,,380000.0,,357410,132318,,23036,-88049,-65013,400000.0,231.0,338.0,,,,,-5840,,314535,-2443,-6633.0,,,-372874.0,2807,,,-18324,
