date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他投資活動,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-04-24,1,2013,18694.0,-85702,,,,-10038,-38602.0,,-2064,-504.0,0.0,,-20696.0,-760,64,26289,-7148,-642,,,0.0,,,14743,,-47167,30023,520,,-67592,16718,,2342,-64,760,,2013年01月01日至2013年03月31日,734366,936755,202389,100307,,13647,19316,,,230045,,230045,100307,-132869,33184,-99685,,330.0,-80991,936755,-6365,0.0
2013-07-30,2,2013,44859.0,-56263,,,-70479.0,-2971,-106042.0,,5411,-503.0,,409.0,,-1789,1095,30448,-183331,-1899,6407.0,,0.0,,,41997,,-57509,151774,812,,-362254,32637,0.0,5746,-1095,1789,,2013年01月01日至2013年06月30日,734366,1443614,709248,197114,,289849,325224,414725.0,,336480,,751205,197114,-113772,197023,83251,0.0,354.0,128110,1443614,-36069,
2013-10-24,3,2013,66399.0,-37181,,,,-6831,-110747.0,0.0,4320,0.0,102.0,876.0,-70598.0,-3560,2859,17644,-236004,-2513,8133.0,,0.0,,,52885,,-34938,7699,1305,,-419760,49822,0.0,7386,-2859,3560,,2013年01月01日至2013年09月30日,734366,1221037,486671,308561,,310486,362219,411725.0,-135303.0,301879,0.0,578301,308561,-72119,59378,-12741,0.0,883.0,53658,1221037,-52434,
2014-01-23,4,2013,96382.0,2738,-63751.0,,,-3560,,0.0,-6817,,,1296.0,-70740.0,-5545,4469,24373,-288695,-2773,7536.0,,0.0,-3477.0,,18099,,12082,-172376,-525,-111.0,-429436,73135,0.0,12901,-4469,5414,,2013年01月01日至2013年12月31日,734366,1344516,610150,485307,,374788,431219,411725.0,-135303.0,552904,-188901.0,640425,485307,14709,-165179,-150470,0.0,2590.0,-54088,1344516,-57376,
2014-04-22,1,2014,33732.0,-42010,0.0,44818.0,,-4506,,,20709,,,827.0,0.0,-1571,1543,18785,-23251,-4088,1299.0,1585.0,,825.0,0.0,8188,,-76528,82653,947,,18304,18504,,961,-1543,1702,,2014年01月01日至2014年03月31日,1344516,1306620,-37896,77502,,88663,100687,,,31389,-196622.0,-163648,77502,-118538,107991,-10547,,955.0,23185,1306620,-12183,11214.0
2014-07-25,2,2014,49703.0,13971,0.0,45234.0,,-3156,,,-7873,,,1648.0,0.0,-3795,2553,-1840,-89706,-1808,-731.0,1553.0,,5346.0,0.0,586,,-19288,75423,1472,,-40841,37802,,2446,-2553,3926,,2014年01月01日至2014年06月30日,1344516,1459777,115261,263281,,325857,374119,0.0,,34853,-204321.0,-167915,263281,-5317,66452,61135,93.0,1215.0,110838,1459777,-49635,8565.0
2014-10-28,3,2014,68539.0,-17746,,,,-7246,0.0,44889.0,8494,,0.0,1307.0,0.0,-5496,3731,18717,-324367,-4880,542.0,1582.0,,5541.0,,-1962,,-14183,-17439,1789,,-278724,61547,,2917,-3731,5627,,2014年01月01日至2014年09月30日,1344516,1133455,-211061,434444,,375359,454690,0.0,-223252.0,190186,-294929.0,-326413,434444,-31929,-16364,-48293,93.0,1050.0,20246,1133455,-81227,2941.0
2015-01-28,4,2014,89810.0,28272,0.0,,,-3259,,44019.0,7818,,,1753.0,0.0,-7249,4700,56824,-366161,-5363,-428.0,,,5705.0,,-12124,,-34456,-18722,2133,-116.0,-321322,84667,,3736,-4700,7380,,2014年度,1344516,1230448,-114068,625353,,593955,684709,0.0,-223252.0,259266,-479539.0,-443525,625353,-6300,-24154,-30454,478.0,1609.0,59356,1230448,-93434,1022.0
2015-04-27,1,2015,,-30568,,0.0,,2634,,,6012,,,624.0,,-1397,775,-10901,-74353,-6362,-729.0,0.0,,618.0,,2670,,-33599,156196,-113,,-79864,22758,,983,-775,1397,21906.0,2015年01月01日至2015年03月31日,1230448,1383217,152769,93522,,214025,218660,,,29509,0.0,29509,93522,-64167,167399,103232,233.0,-86.0,125138,1383217,-5257,-1022.0
2015-07-28,2,2015,,-48401,,0.0,,5410,,,17436,,,1168.0,,-3308,1609,-24759,-86796,-7324,-105.0,0.0,,557.0,,47119,,-48625,287521,115,,-93330,50576,,2543,-1609,3308,51407.0,2015年01月01日至2015年06月30日,1230448,1531819,301371,175697,,423410,487679,,,28317,-32267.0,-3950,175697,-97026,357601,260575,233.0,-54.0,311982,1531819,-65968,-1022.0
