date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-04-25,1,2013,303740.0,,0.0,,,-2048,,-3447,,-14434.0,-77285.0,,0,,-7864.0,,,,,,,-5084,1915,119714,-187755,,-807.0,,316.0,,,-116.0,-502.0,,-46059,,,-286229,-25663,-5305.0,-8929,346920,-164164,285817,,,-9652,27420.0,-1910,,4891.0,,2013年01月01日至2013年03月31日,2676833,2513430,-163403,-169116,13253,10355,,,-132406.0,-132206,-169116,2228.0,,-396662,272393,-124269,0.0,24900,,12058,,179471,,2513430,-83,2758.0,,0.0,,-13720.0,8254.0,-2180.0
2013-08-06,2,2013,553229.0,0.0,-150000.0,,,-1598,,-3762,,38651.0,-55562.0,,0,,305.0,,,,,,,-11825,3771,196653,-289952,,-2218.0,,316.0,,0.0,-47.0,0.0,4196.0,66992,,,-88872,-1515,-33255.0,-255939,349722,-190754,561029,,,-18825,41713.0,-3921,9642.0,,,2013年01月01日至2013年06月30日,2676833,2772752,95919,-248501,316895,324943,,,-177144.0,-226875,-248501,4456.0,,-175188,195403,20215,100000.0,97220,,-24517,,573444,,2772752,-13769,7794.0,3417.0,0.0,,-13784.0,1032.0,4016.0
2013-11-05,3,2013,860661.0,,-200000.0,,,1328,,-35,,-44846.0,54479.0,,0,,340.0,,,,,,,-18835,5666,192463,-435910,,-3277.0,,316.0,,0.0,-139.0,4276.0,,-78913,,,-43396,-35817,31767.0,-225936,135460,-330886,846855,,,-11348,62790.0,-5894,16581.0,,,2013年01月01日至2013年09月30日,2676833,2457842,-218991,-403228,241609,244808,-95210.0,,-177144.0,-322177,-403228,6684.0,,17090,-229715,-212625,150000.0,104025,,-25289,,648036,,2457842,-13886,4120.0,3984.0,0.0,,-13966.0,-17113.0,10057.0
2014-03-03,4,2013,1456663.0,,-200000.0,,,-23003,,-2025,,80883.0,-325337.0,,0,,-581.0,,,,,,,-24894,7369,221316,-436411,,-3719.0,,316.0,,0.0,-144.0,,6702.0,224736,,0.0,-531871,35473,-42312.0,-132476,320594,-316706,1115467,,,5634,83369.0,-7703,19540.0,,,2013年01月01日至2013年12月31日,2676833,2389830,-287003,-905489,130569,132618,-95210.0,,-177144.0,-322182,-905489,10315.0,,-863676,445120,-418556,150000.0,116722,,-30041,,1038107,,2389830,-13886,-744.0,2348.0,0.0,287840.0,,-23008.0,371.0
2014-04-29,1,2014,320500.0,,,,,22684,,1939,,-22671.0,-43404.0,,0,,642.0,,,,,,,-7139,1690,98022,-85286,,-241.0,,0.0,,,-220.0,143.0,,-72038,,,-144017,-68493,54780.0,-56593,386163,-69968,260281,,,1594,21067.0,-1760,4812.0,,,2014年01月01日至2014年03月31日,2389830,2638634,248804,-122283,220970,245436,,,0.0,-220,-122283,956.0,,-209767,256986,47219,,15416,,-467,,367719,,2638634,-27518,42501.0,190.0,,,-173.0,-3140.0,-8633.0
2014-08-06,2,2014,542450.0,,-100000.0,,,26112,,-3096,,,-7991.0,4268.0,0,,663.0,,,,,,,-16851,3403,-12310,-136640,,-238.0,,0.0,,1056.0,0.0,,525.0,15029,-65498.0,,-363534,-57699,48616.0,-53019,643976,-183661,487771,,,9008,41384.0,-3454,12708.0,,,2014年01月01日至2014年06月30日,2389830,2734238,344408,-253393,539323,557587,,,0.0,1056,-253393,1912.0,,-389272,657802,268530,100000.0,18190,,-1893,,810980,,2734238,-27518,17034.0,1273.0,,,-591.0,23869.0,-8664.0
2014-11-04,3,2014,776884.0,,-100000.0,,,22475,,-8522,,20862.0,135373.0,,0,,450.0,,,,,,,-28478,5145,118847,-213148,,-18479.0,,0.0,,1035.0,0.0,-770.0,0.0,-2806,-65498.0,,-506478,-53546,100797.0,-42505,686714,-240614,712756,,,14843,62213.0,-5184,20979.0,,,2014年01月01日至2014年09月30日,2389830,2763252,373422,-627361,494154,505882,0.0,,0.0,1035,-627361,2868.0,,-335280,691639,356359,100000.0,57281,,-403,,1133243,,2763252,-27523,7987.0,1041.0,0.0,,-1088.0,14971.0,-11426.0
2015-02-10,4,2014,-232912.0,,-1584654.0,1114914.0,3128645.0,371593,0.0,-409097,-50784.0,-49596.0,,,0,0.0,0.0,,-1825.0,,2283.0,-2883913.0,,-106635,102191,245596,-264335,,,12185.0,,2763252.0,,,,,-659260,,-353242.0,-817901,-17496,,-580124,-1467001,2638382,1959128,,-2891.0,219954,,-95633,115915.0,,,2014年度,4698797,7014431,2315634,2246813,2410964,2780117,-546066.0,,-840840.0,-2979308,2246813,956.0,0.0,3562592,-2796376,766216,347319.0,137182,,18007,445215.0,533304,205214.0,7014431,-389435,,,,,,,
2015-04-28,1,2015,,,-105067.0,-811436.0,-2612507.0,164358,,505642,406919.0,48057.0,,,0,0.0,,,-39.0,,1210.0,,4420.0,-19527,12039,-53659,-340567,,,-6092.0,,,,,,,-277530,,-69111.0,-732740,403090,,595686,2654506,-321004,547902,0.0,-21353.0,28573,,-11979,11718.0,,596040.0,2015年01月01日至2015年03月31日,7014431,7462076,447645,231607,896525,953650,,,0.0,-74217,231607,,,-3543363,3669366,126003,100000.0,13933,28133.0,5012,,722043,-196689.0,7462076,-56864,,,,,,,
2015-08-06,2,2015,,,-142736.0,-924465.0,-2903960.0,-11072,,711134,289220.0,66649.0,,,0,0.0,,58.0,0.0,0.0,998.0,,8735.0,-45042,23833,-196576,-557568,,,-9921.0,,,,,,,-115176,,-69111.0,-2127791,-775551,,936497,4412504,-532767,1068481,0.0,51979.0,74089,,-23646,44335.0,,1076528.0,2015年01月01日至2015年06月30日,7014431,6884809,-129622,112230,461510,590500,,,0.0,138211,112230,,,-6650773,6052515,-598258,350000.0,15068,28133.0,2127,,478270,-208226.0,6884809,-149679,-65172.0,,,,,,
