date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,96514.0,0.0,,-67358,,-16494,10,1992,-1817,,,-39441,-1138,3521,7669,-627,,-250000,,-702,-2587,,-46.0,,-5.0,-47674,,15594,8081,-75,0.0,133735,-12327,10878,,-290537,84277,6432,11905,-3453,1076,,,2013年01月01日至2013年03月31日,929531,787338,-142193,-40862,,84062,86561,,,,,56613,-40862,1957,,-41766,72675,30909,0.0,238,,0,-55,0.0,0,,,127423,0.0,0.0,787338,-122,-7798,,,56659,6364
2013-08-14,2,2013,226975.0,0.0,-22300.0,-38020,,-21454,10,24723,-12618,,,-5864,-2963,7082,9252,-75603,,-360000,0.0,-4006,-4525,0.0,-46.0,-10227.0,,-118621,-8260.0,235925,27086,10902,0.0,-22898,-9700,12275,0.0,-447226,168112,10646,25016,-6921,2825,,,2013年01月01日至2013年06月30日,929531,745339,-184192,-98290,,225106,229491,,,0.0,,28676,-98290,5754,,260616,-159810,100806,0.0,238,,8236,-55,,26945,0.0,,327781,0.0,,745339,-289,-11849,0.0,2812.0,59282,13196
2013-11-12,3,2013,290916.0,0.0,-77600.0,-35430,,-22831,-562,30727,-8244,,-10035.0,-10278,-5102,10501,5472,-146026,,-360000,0.0,-4811,-19407,11930.0,0.0,-27.0,,-73353,-11060.0,130590,15151,10902,0.0,-135864,-7508,2534,0.0,-158506,253500,11040,38036,-10233,4897,7143.0,,2013年01月01日至2013年09月30日,929531,898485,-31046,-41945,,143574,142107,,,,,-21586,-41945,9233,-7143.0,151940,-258804,-106864,0.0,238,,344517,-55,0.0,-1389,27916.0,5944.0,184052,0.0,0.0,898485,-340,-7054,,2812.0,55144,-12976
2014-03-25,4,2013,304915.0,0.0,-124700.0,-4018,22.0,-47092,-64,7569,-7237,,-10059.0,-45725,-9015,14660,3384,-223690,,-560000,0.0,-6542,-42045,2969.0,0.0,0.0,-286.0,-58498,-30200.0,266808,7492,10902,0.0,-108344,-3047,19399,-624.0,-142933,336902,12294,49378,-13792,8611,9407.0,,2013年01月01日至2013年12月31日,929531,1292444,362913,106518,,512419,508765,0.0,,80000.0,,-9957,106518,12981,-9407.0,288151,-190819,97332,10000.0,621,,649524,-420,0.0,-54556,53224.0,,402247,0.0,0.0,1292444,-572,-8669,,2812.0,51974,14064
2014-05-08,1,2014,63456.0,,-49170.0,2370,-22.0,-4387,-101,20839,1274,,-25.0,-10856,-4538,2765,-1152,-113281,,-210000,,-284,-9520,,0.0,,-72.0,-98568,,13748,9545,0,,75317,587,9174,,-318018,79481,363,10545,-3210,4169,,,2014年01月01日至2014年03月31日,1292444,995752,-296692,53349,,152035,151222,,,,-80000.0,-129557,53349,2944,,46480,-12063,34417,,1032,,15468,-63,,-11733,,,97873,,,995752,-146,-6788,,,-387,4641
2014-08-13,2,2014,159305.0,,-126900.0,53818,-22.0,7265,-101,28947,-3419,0.0,-50.0,-11883,-9160,5744,-3044,-151680,,-232000,,-2770,-4371,,0.0,,-902.0,-114381,0.0,129260,42935,0,,-306781,-828,3109,,-172164,157474,-274,20631,-6171,9076,,,2014年01月01日至2014年06月30日,1292444,1128288,-164156,176431,,219169,178336,,,,-80000.0,-208117,176431,4282,,254938,-412338,-157400,,1111,,226010,-15,,-12275,,,1905,,,1128288,37928,-2731,,0.0,-1217,2798
2014-11-06,3,2014,271771.0,,-477100.0,-36508,1223.0,-19140,-785,51707,-3169,0.0,-138504.0,-18571,-13634,8890,5969,-200220,,-552000,,-1396,22103,-817.0,,-1013.0,,-176522,0.0,-17493,37065,0,,64262,-5212,-64989,,-662820,236596,-1401,36117,-7934,13550,2422.0,,2014年01月01日至2014年09月30日,1292444,1107893,-184551,299678,,430260,385770,,600000.0,,-80000.0,42040,299678,5621,-2422.0,35994,-221673,-185679,,538,,248346,-15,,-12287,0.0,0.0,86092,,,1107893,36452,-7797,,0.0,-43,-16118
2015-03-20,4,2014,361565.0,,-538450.0,16279,504.0,50813,-829,25050,8478,0.0,-142928.0,-15750,-19204,12336,1272,-256886,,-587422,,-1714,33915,0.0,-1794.0,2150.0,0.0,-134136,0.0,-242915,19028,-10953,0.0,216423,552,3501,-475.0,-388801,321965,-669,40426,-9163,18942,3242.0,,2014年度,1292444,1559606,267162,381069,,694736,646530,-21807.0,600000.0,0.0,-80000.0,-40045,381069,6959,-3242.0,-193482,97378,-96104,0.0,716,24352.0,588681,1160,,-14250,0.0,,265461,,,1559606,35185,-17831,,0.0,2006,-47424
2015-05-13,1,2015,,,-80650.0,-11446,7938.0,-26479,903,1584,-6186,,1543.0,-16090,-6360,2950,-907,-17074,,-167130,,-251,1225,,,,2003.0,-13672,,84408,-6136,-359,,-36743,-2221,6275,,-202549,87511,416,10348,-879,5573,,102397.0,2015年01月01日至2015年03月31日,1559606,1329506,-230100,-49651,,54196,49531,,,,0.0,-80840,-49651,892,,75989,-79204,-3215,,368,,140144,-361,-146062.0,-132,,,99182,,,1329506,-29,5908,,,-190,-1081
2015-08-12,2,2015,,-30400.0,-160025.0,-8895,30.0,-15091,903,23839,-8558,0.0,3422.0,-24571,-11989,6128,3682,-59822,-30000.0,-294894,,-321,-12577,,,,2003.0,48157,,101172,-5605,-1021,,-65285,-2991,7538,,-331727,172337,3741,19621,-1942,12002,,187625.0,2015年01月01日至2015年06月30日,1559606,1128175,-431431,-160617,,91513,81829,,,,0.0,-194899,-160617,892,,109520,-54699,54821,,368,,218150,-361,-146062.0,-150,,,242446,,,1128175,-376,9983,,,-4474,-19372
