date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,3628.0,,-10432,,0,-17395,75253,0.0,0.0,,,0.0,,-4,4510,,,-938,,0.0,,0.0,,0.0,-84,-1080.0,-77425,-136921,-916,,84200,,9520,44903,15295,38.0,18238,630,40,-4263,,4,,,2013年01月01日至2013年03月31日,109683,37016,-72667,90612,,-28567,-21785,,,0,-146538.0,-62338,90612,,-164440,48415,-116025,,,20340.0,,-201.0,-112397,37016,-2523,-1347,-8182,,,-1429,-8334
2013-08-09,2,2013,10432.0,,-400,,0,193235,56032,0.0,,,,-93.0,,-384,10515,,,-3278,,0.0,,0.0,,0.0,-1268,,-1162515,-150582,-913,,184500,,7435,53091,-11968,,15711,1437,79,-5578,,384,,,2013年01月01日至2013年06月30日,109683,146069,36386,126254,,-849927,-833684,,,686102,,870602,126254,,129037,-1099407,-970370,,,20350.0,,-211.0,-959938,146069,-11049,-1004,-22934,,,-11113,80262
2013-11-12,3,2013,15934.0,,12336,,0,202617,66588,0.0,,,,-54661.0,,-389,15687,,0.0,-3278,,0.0,,0.0,,0.0,-2112,,-1535490,-169404,-916,,124500,,3603,71500,15157,,-39701,2243,119,-11708,0.0,389,0.0,,2013年01月01日至2013年09月30日,109683,51546,-58137,113803,,-928868,-904553,0.0,0.0,785932,,910432,113803,0.0,398990,-1433280,-1034290,,,20350.0,,-211.0,-1018356,51546,-12996,-1515,-37895,,,-13140,350754
2014-03-25,4,2013,20563.0,0.0,212270,0.0,37,5249,370956,0.0,0.0,,,-54772.0,0.0,-751,20320,,0.0,-3719,,0.0,,0.0,,734.0,-2259,514.0,-3054820,-177768,-916,,7316128,-7192228.0,-1185,53659,12134,,-41315,3062,159,-12161,,751,203.0,,2013年01月01日至2013年12月31日,109683,144632,34949,101412,,-1610192,-1584175,0.0,0.0,2657440,-1095618.0,1686456,101412,-203.0,1186748,-2892898,-1706150,,,20350.0,0.0,-211.0,-1685587,144632,-14810,-1813,-43702,-1429.0,,-231162,1149098
2014-05-12,1,2014,7865.0,,-106421,,-281,41375,-20414,,0.0,,,0.0,,-4,6602,,,-7043,,0.0,,-562.0,,-733.0,-1759,162.0,-1427564,-253,0,1645.0,1467700,-1441700.0,4153,3335,-62437,0.0,-7677,831,71,-3613,,4,,,2014年01月01日至2014年03月31日,144632,408870,264238,-36729,,-1288981,-1284911,,,1733359,-197730.0,1560896,-36729,,379772,-1635819,-1256047,,95.0,0.0,227.0,0.0,-1248182,408870,-461,138,-17870,-5757.0,7187.0,-110588,439273
2014-08-05,2,2014,10932.0,,-109729,,-211,198816,-31624,0.0,,,,-326279.0,,-599,9018,,,-7234,,0.0,,-562.0,,-732.0,-7367,2626.0,-2156690,438328,0,,3095400,-3201400.0,3708,6842,2241,,-337291,1670,157,-7092,,599,,,2014年01月01日至2014年06月30日,144632,303301,158669,868257,,-1028799,-939860,,1200000.0,2697839,-2266348.0,1524759,868257,,397855,-2216904,-1819049,,95.0,0.0,227.0,0.0,-1808117,303301,-82446,459,-11870,-5757.0,7187.0,-25592,-133268
2014-11-10,3,2014,10801.0,,-16616,,-211,59429,-263144,0.0,,,,-326279.0,,-731,16138,,,-8791,,-45709.0,,-562.0,,-733.0,-28103,25679.0,-2144735,321325,16,,3901100,-4247000.0,3205,17823,-13469,,-317399,2545,244,-8975,0.0,731,,,2014年01月01日至2014年09月30日,144632,173242,28610,1470607,,-1027351,-916757,,1200000.0,3359253,-2839260.0,1373360,1470607,,69366,-2467531,-2398165,,95.0,64841.0,227.0,-8351.0,-2387364,173242,-102350,729,-42922,-5757.0,7187.0,-20873,-297993
2015-03-27,4,2014,18756.0,,-10735,,-3618,18477,-60130,,0.0,,,-326576.0,0.0,-1531,24901,,,-9742,,-59808.0,,-3043.0,,-733.0,-28005,26398.0,-2307375,493978,2020,,4411100,-4657000.0,-907,17556,-289,,-326450,3492,468,-12507,,1531,0.0,,2014年度,144632,141774,-2858,1574719,,-895835,-779639,,1200000.0,3545755,-3279695.0,1219427,1574719,0.0,123112,-2496226,-2373114,,95.0,74231.0,227.0,-10023.0,-2354358,141774,-105220,1222,-110466,0.0,,-31904,-379721
2015-05-12,1,2015,,,-78158,,2626,-24318,84723,,0.0,,-284410.0,,,-133,10695,,,-692,,,,0.0,,0.0,-105,656.0,582054,-89977,612,0.0,2350000,-2250000.0,3369,-42905,10780,,-283903,1044,285,-5566,,133,,11973.0,2015年01月01日至2015年03月31日,141774,182234,40460,207666,0.0,339107,358908,,,9270,-124014.0,-14744,207666,,-534292,673561,139269,,648.0,,82.0,,151242,182234,-14368,0,34775,0.0,0.0,1508,-345820
2015-08-10,2,2015,,,-110109,,3485,-24636,62532,,,,-318163.0,148402.0,,-990,22661,,,-1828,,,,-719.0,,0.0,-1112,1006.0,717180,-192664,513,,3840000,-3200000.0,-106,910,7900,,-161935,2111,592,-29324,,990,,24207.0,2015年01月01日至2015年06月30日,141774,917614,775840,252441,,293949,340247,,0.0,149270,-145444.0,643826,252441,,-759326,822925,63599,,648.0,9831.0,82.0,-157.0,87806,917614,-17964,-92,26894,0.0,0.0,4024,-432324
2015-11-09,3,2015,,,-111230,,3485,13322,133,,,,-583928.0,148839.0,,-1128,33012,,,-1828,-1000.0,-9254.0,,-824.0,,0.0,-60787,1279.0,298719,-227352,3970,,5350000,-5330000.0,4155,1490,230,,-497106,3224,918,-33185,,1128,,35585.0,2015年01月01日至2015年09月30日,141774,359232,217458,246182,,56533,107545,,994925.0,485720,-842614.0,658031,246182,,-476095,301873,-174222,,648.0,9831.0,82.0,-157.0,-138637,359232,-18955,-366,1283,-1052.0,970.0,-3467,-158960
2016-03-22,4,2015,,,-73268,,-709,-4103,85254,,0.0,,-584397.0,159526.0,,-2377,44383,805.0,,-2395,-1000.0,-9254.0,,-824.0,,0.0,-60511,39369.0,1448092,-25138,14658,,6260000,-6420000.0,10712,-25439,-21706,,-445183,4350,1245,-38909,,2377,380.0,46501.0,2015年度,141774,1238625,1096851,757286,,1715101,1792045,-701895.0,994925.0,1299920,-1606822.0,-173872,757286,-380.0,-601216,1589474,988258,,648.0,13655.0,82.0,-390.0,1034759,1238625,-40792,-412,-9525,,,113507,-524077
