date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-05-10,1,2013,34212.0,,8016,21491,-15273,-127004.0,36,2573,,,,-1555.0,2496.0,-3004,-2496.0,30685,-12038,-10097.0,-34991,0.0,,3.0,26163,,-157015,-6264,110062,36370,33617,1777,14213,3004,,,2013年01月01日至2013年03月31日,1981255,1996730,15475,46243,-51580,-54584,,,46243,,-170500,35461,-135039,42997,,52054,-15230,,2836,,-100827,1996730,0,,,,2176.0
2013-08-13,2,2013,76814.0,,14315,17723,1781,,-56,1531,-20224.0,,-6114.0,0.0,,-3923,4991.0,39403,-26783,-10097.0,-55335,0.0,-12547.0,-921.0,-19848,,-51889,10986,14511,11475,68719,1734,28411,3923,,,2013年01月01日至2013年06月30日,1981255,2149218,167963,95143,142927,152253,,-25842.0,95143,,-24863,5159,-19704,43287,,91792,-14930,,-7267,7496.0,57110,2149218,-13249,-25842.0,,-8758.0,
2013-11-11,3,2013,123170.0,,68843,11153,-2808,,-58,2325,-355905.0,,-5504.0,,,-7737,7486.0,29239,-67824,-10097.0,-91535,0.0,-12344.0,-923.0,-116764,,110739,15497,-169639,-357588,101390,2987,42751,7737,1036.0,,2013年01月01日至2013年09月30日,1981255,1831771,-149484,172788,204707,221075,,-25842.0,172788,-1036.0,192213,-267096,-74883,43612,,133477,-10974,,-10774,7496.0,48287,1831771,-24105,-25842.0,,5829.0,
2014-03-24,4,2013,168446.0,,128642,-21827,-6919,,-1291,2523,-41620.0,,-2144.0,,,-8343,9984.0,51910,-103235,-10097.0,-121167,0.0,-12503.0,-110.0,-195309,,233730,14700,-353394,-116040,130453,3184,56964,8343,1182.0,,2013年01月01日至2013年12月31日,1981255,1936906,-44349,216226,184381,200829,-138758.0,-164600.0,216226,-1182.0,368862,-552705,-183843,44167,,175754,-10185,-53873.0,-12319,7496.0,-15397,1936906,-24791,-25842.0,,15302.0,
2014-05-12,1,2014,32650.0,,-19333,77527,-4911,435.0,429,65,-195774.0,,-2221.0,,,-3274,2496.0,-1660,-19437,0.0,-73160,,-342.0,2010.0,19933,,-266987,-4544,255933,-222318,28886,1292,13096,3274,,,2014年01月01日至2014年03月31日,1936906,1911585,-25321,105662,198657,195829,,,105662,,-295346,352863,57517,1042,,67574,-1042,,-10814,,90167,1911585,-446,,,-1030.0,
2014-08-12,2,2014,60929.0,,-34321,80959,-7893,1484.0,11789,77,0.0,10134.0,-5867.0,,,-6127,4992.0,-13419,-63859,0.0,-134269,,-950.0,4112.0,53868,,-321851,-8362,233112,-58161,57800,1202,25677,6127,,,2014年01月01日至2014年06月30日,1936906,2034868,97962,152469,203167,234147,,-33625.0,152469,,-360638,381387,20749,1156,,135494,-1044,,-25683,0.0,81678,2034868,-37107,-33625.0,,11887.0,
2014-11-13,3,2014,101756.0,-300000.0,-16881,80605,-5757,,11719,89,-80432.0,,-7373.0,,,-8521,5764.0,-345,-92688,0.0,-148542,,-1117.0,5014.0,72720,,-209546,-25174,123421,-166679,87559,1217,38370,8521,2946.0,,2014年01月01日至2014年09月30日,1936906,1553798,-383108,237182,325678,380288,-208137.0,-541762.0,237182,-2946.0,-245639,286989,41350,1407,20633.0,138487,-991,,-23710,0.0,143106,1553798,-63131,-33625.0,,10154.0,
2015-03-27,4,2014,147738.0,-300000.0,30971,43521,-2592,,2703,-4796,-144848.0,,-8705.0,,,-11071,5765.0,17514,-130351,0.0,-219657,,-1763.0,6067.0,38217,-2823.0,-114498,-8910,73568,-225204,119204,1092,55525,11071,2953.0,,2014年度,1936906,1718042,-218864,378070,519620,583592,-208137.0,-530794.0,378070,-2953.0,-92326,150110,57784,1451,20633.0,218135,-828,36948.0,-25063,0.0,205522,1718042,-75043,-19834.0,,-400.0,
2015-05-11,1,2015,,,-5339,-1519,1101,1305.0,0,-1299,87566.0,,-1443.0,,,-1325,0.0,-5592,-40910,,-40301,,0.0,0.0,-61705,-61919.0,-6802,10608,149814,79518,32385,-192,12656,1325,,39428.0,2015年01月01日至2015年03月31日,1718042,1948046,230004,91409,217997,220507,,-61919.0,91409,,-432,90102,89670,0,,74606,22,,-4118,,129098,1948046,-3835,,,3506.0,
2015-08-12,2,2015,,,5728,-3165,-10475,1255.0,-11380,5157,,216587.0,-5511.0,,,-3490,1.0,-11628,-98787,,-61468,,-288.0,0.0,-82680,-61919.0,93132,-17822,76487,158055,64658,-137,25165,3490,,75683.0,2015年01月01日至2015年06月30日,1718042,2029784,311742,119303,227234,247054,,-61919.0,119303,,59183,-7115,52068,233,,107289,128,,-10642,,127751,2029784,-23310,0.0,,-4169.0,
