date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加
2013-05-07,1,2013,14152.0,,-9937,601,11862,-11784,,,,620.0,,-6383,3712,6121,-8694,,,-1680,-3.0,,,38911.0,-54573,,66718,12136,,171.0,-9757,19339,,423,-31.0,5981,,,2013年01月01日至2013年03月31日,1978998,2298539,-6909.0,319541,259512,,287398,288858,,-3132.0,,35779.0,259512,0.0,,68814,-53620,15194,,,,,,,29346,,2298539,-7410,3970,,,,,
2013-08-06,2,2013,31537.0,,24650,-1434,16675,2573,,-652674.0,,-7685.0,,-13770,6352,7893,-22932,,,-2132,,,,47488.0,8044,,65371,-166797,,-454.0,-673207,39731,,825,-31.0,7722,1168.0,,2013年01月01日至2013年06月30日,1757863,1604833,-4690.0,-153030,531907,,467928,511686,,-3132.0,,44356.0,531907,0.0,-1168.0,105856,-157614,-51758,41.0,11007.0,-8.0,,3601.0,,-20221,-386.0,1604833,-51449,664,,,,,
2013-11-13,3,2013,46837.0,,36247,-2309,11293,-7308,,-563408.0,,-10767.0,,-23587,8122,5055,-46050,,,-2921,,,,64899.0,-45397,,-35945,-168624,,-279.0,-610929,61103,,1206,-30.0,21348,1168.0,,2013年01月01日至2013年09月30日,1757863,1397556,,-360307,768967,,548207,603511,-364407.0,-3132.0,,-302640.0,768967,0.0,-1168.0,11345,-223638,-212293,42.0,11007.0,84.0,,3601.0,,-165456,29.0,1397556,-76622,-2524,,,,,
2014-03-19,4,2013,65524.0,0.0,9604,-176,7560,-188,,-605010.0,0.0,,,-34838,9819,7708,-89268,,,-10574,,,765.0,65825.0,-40153,,-91737,-57619,,-116.0,-664814,83403,,1953,-30.0,27782,0.0,,2013年01月01日至2013年12月31日,1757863,1617777,,-140086,1004532,,818734,897507,-364407.0,-3132.0,,-301714.0,1004532,0.0,0.0,-74413,-98136,-172549,81.0,12175.0,85.0,,2433.0,,-107025,276.0,1617777,-78743,1904,,,,,
2014-05-13,1,2014,13915.0,,-20415,-491,-4616,1053,,-655.0,351308.0,,0.0,-10567,1576,2683,-7642,,,-2506,0.0,,802.0,2084.0,-125197,,83427,-100036,,175.0,357908,21635,,1145,0.0,17196,,,2014年01月01日至2014年03月31日,1617777,2048599,,430822,222888,,68147,70801,,,0.0,2084.0,222888,,,58669,-224671,-166002,207.0,,-207.0,,,,-152087,98.0,2048599,-2654,-469,,,,,
2014-08-13,2,2014,30227.0,,17945,-263,-3058,-1272,,-327436.0,683938.0,0.0,,-17597,3110,-1035,-11333,,,-4357,,,2179.0,2083.0,-64452,,98285,-245996,,-351.0,303974,43249,,2418,0.0,22655,0.0,,2014年01月01日至2014年06月30日,1617777,2119133,,501356,457362,,196334,288775,,,0.0,2083.0,457362,,0.0,113169,-311983,-198814,507.0,0.0,-496.0,,0.0,,-168587,348.0,2119133,-92441,-2636,,,,,-60000.0
2014-11-13,3,2014,54084.0,,59879,-76,5590,-12145,,-1903.0,684300.0,0.0,,-25272,4634,3080,-28379,,,-4681,,,3706.0,18977.0,-99392,,198320,-395748,,-189.0,666325,64682,,3762,0.0,31481,0.0,,2014年01月01日至2014年09月30日,1617777,2060189,,442412,790555,,478247,602026,-720482.0,,0.0,-705240.0,790555,,0.0,264748,-507361,-242613,507.0,0.0,-496.0,,0.0,,-188529,1148.0,2060189,-123779,3068,,,-3735.0,,-15000.0
2015-03-13,4,2014,81926.0,,10448,-2871,-3168,-464,,0.0,679131.0,,,-32544,6127,13030,-37318,,-15000.0,-5897,,,2352.0,27924.0,-44757,,51025,-277895,,-36.0,661218,86505,604.0,5152,0.0,39795,,,2014年度,1617777,2394500,,776723,1105005,,798768,936039,-720482.0,,0.0,-696293.0,1105005,,,75095,-325987,-250892,507.0,0.0,-496.0,,0.0,,-168966,16826.0,2394500,-137271,4179,,,-3735.0,10047.0,
2015-05-12,1,2015,,,-16761,2368,24273,-5415,,,3371.0,,,-7165,1107,-2581,-11533,,,-468,,-40000.0,-1676.0,0.0,-158458,115667.0,58828,219862,-11815.0,,73981,22346,1820.0,9301,,6944,,20822.0,2015年01月01日至2015年03月31日,2394500,2830488,,435988,241596,-262.0,364588,365332,,,,0.0,241596,,,56372,46542,102914,0.0,,0.0,,,,123736,-9706.0,2830488,-744,-7440,,,,2529.0,
2015-08-13,2,2015,,,12171,2281,-573,-2634,,0.0,3905.0,,,-14243,1255,-6528,-32865,,,-1292,,,-331.0,0.0,-80317,115667.0,-41753,62033,-10757.0,,100909,46100,1820.0,22488,,15494,,54293.0,2015年01月01日至2015年06月30日,2394500,2850815,,456315,534442,102.0,407669,519854,-45735.0,,,-45735.0,534442,,,-39487,-29394,-68881,0.0,,0.0,,,,-14588,-9434.0,2850815,-112185,-5325,,,,2529.0,0.0
2015-11-13,3,2015,,,35202,2488,14265,-14718,,0.0,2719.0,,,-18128,1255,7737,-52737,,,-4085,,-120000.0,-689.0,0.0,-75983,115667.0,-29615,134066,,,-39056,69981,1820.0,35812,,19379,,90306.0,2015年01月01日至2015年09月30日,2394500,2375364,,-19136,886496,3680.0,887818,1036225,-829900.0,,,-875635.0,886496,,,13570,45853,59423,1.0,,0.0,,,,149729,-9962.0,2375364,-148407,-2274,,,-45735.0,2529.0,0.0
2016-03-15,4,2015,,,20396,-3796,-700,-5842,0.0,-11463.0,0.0,,,-23191,1255,2922,-96816,-160000.0,0.0,-5138,,-260000.0,-365.0,0.0,-74348,115667.0,21737,60236,,,-133195,95368,1820.0,49500,,24450,,120762.0,2015年度,2394500,2413793,,19293,1203914,990.0,1173201,1328358,-829900.0,,,-1023635.0,1203914,,,27432,-23750,3682,1.0,,0.0,,,100104.0,124444,-14991.0,2413793,-155157,-6154,,2529.0,-33735.0,,
2016-05-10,1,2016,,,-31987,5886,4595,-6207,,-31353.0,0.0,,,-1968,0,-3718,-12717,,,-6217,,-1662.0,87.0,,-72582,0.0,9806,64600,0.0,,30154,25015,0.0,13744,,1982,,36803.0,2016年01月01日至2016年03月31日,2413793,2695229,,281436,254897,-10474.0,255000,255850,,,,,254897,,,-27547,-8303,-35850,,,,,,80121.0,953,513.0,2695229,-850,-75,,,,0.0,
2016-08-09,2,2016,,,-4235,1876,40588,1900,,-29924.0,0.0,,,-4957,262,-24720,-21578,,,-7955,,-1662.0,-584.0,,-15393,-458065.0,-67685,137376,0.0,,-352258,49304,0.0,32477,-262.0,4893,,92242.0,2016年01月01日至2016年06月30日,2413793,2565348,,151555,530998,-9738.0,582938,708325,,,-17425.0,-54405.0,530998,15990.0,,-40674,125759,85085,95.0,,-95.0,,,161938.0,177327,396.0,2565348,-125125,-155,,,-36980.0,0.0,
2016-11-10,3,2016,,,18061,4718,10864,-18990,,,62720.0,,,-6438,864,-45341,-52134,,,-10246,,-1662.0,-5035.0,25620.0,-23972,-458065.0,-120258,276981,0.0,,-290673,73391,0.0,53657,-741.0,6355,,132008.0,2016年01月01日至2016年09月30日,2413793,1955953,,-457840,727703,-9950.0,814441,997331,-878210.0,,-45956.0,-936267.0,727703,15990.0,,-100930,238550,137620,421.0,,,-421.0,,161938.0,269628,353.0,1955953,-182890,0,-187.0,,-36980.0,0.0,
