date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付費用（增加）減少
2013-04-29,1,2013,242957.0,,-126689,79308,120304,-442,-25.0,,,,,2999.0,0,-84467,-224600,-5353,,,,,,0.0,144578,,-1281827,,,6261,781256,,-5143,,-192992,218907,,,-11178,15401.0,-10873,16573,,,2013年01月01日至2013年03月31日,5155235,5262170,-1451,106935,609348,495837,546762,,,-216549.0,-111443,609348,11883,-1281976,976433,-305543,24453,33962,9395,,,-62586,5262170,-56625,,80653.0,,,-23124,
2013-08-12,2,2013,502150.0,,-107174,118274,37933,-1439,,,,,,-9457.0,0,-46786,-444694,-5353,,,25584.0,,,0.0,564828,,-1133353,,,3328,565722,,-5590,,-439096,439667,,,-29947,30671.0,-20132,31187,,,2013年01月01日至2013年06月30日,5155235,5775195,448,619960,1085310,1387236,1618359,,,-324681.0,-281394,1085310,19073,-1199266,1230165,30899,63000,20408,16654,,,533049,5775195,-242178,,-19713.0,,,-11630,
2013-10-28,3,2013,726972.0,,-56947,284385,59779,469,2236.0,,,,,-27963.0,0,-213720,-722940,-5945,,,20993.0,0.0,,0.0,495754,,-2708443,75491.0,,1451,1839657,,-8645,,-759744,664362,,,-57054,49262.0,-30234,-55119,,,2013年01月01日至2013年09月30日,5155235,5550193,2413,394958,1676410,1996382,2405558,-385759.0,,-255523.0,-627960,1676410,24625,-2626433,2628609,2176,62097,24104,22371,,,729148,5550193,-323823,,-48775.0,,-27000.0,16989,
2014-03-17,4,2013,994585.0,-145527.0,127240,51292,6165,514,,,,11370.0,,48336.0,7679,-288081,-1020160,-5945,-583.0,-27000.0,86597.0,0.0,,,725315,,-3745245,77642.0,,3487,3563797,,-11278,0.0,-959746,885220,,,-82503,,-40228,101257,,,2013年01月01日至2013年12月31日,5155235,6797372,3562,1642137,2248310,3679104,4029604,-493933.0,,-223615.0,-789140,2248310,30170,-3530711,4317420,786709,63148,45023,28239,,,1781294,6797372,-411529,,,35621.0,,-12220,
2014-04-29,1,2014,222267.0,-105671.0,-191915,25781,48360,-1404,,,,-102.0,,6873.0,1534,32484,-50509,0,,0.0,505.0,0.0,,,173526,,-1240118,42340.0,,1204,837830,,1776,,-43117,223125,,,-15808,,-11698,59991,,,2014年01月01日至2014年03月31日,6797372,7571733,2148,774361,246978,143560,196333,,,747207.0,641434,246978,3711,-1340129,1067217,-272912,0,519,5282,,,-50645,7571733,-101066,,,1770.0,,29708,
2014-08-11,2,2014,419243.0,-359139.0,-46863,33445,13139,-1419,191.0,,,,,11829.0,3028,-210401,-255632,-602,,0.0,284.0,310.0,,,-93011,,-834069,104982.0,,-1923,125051,,-8409,,-240461,436904,,,-42560,,-23595,115322,,,2014年01月01日至2014年06月30日,6797372,7453390,533,656018,802979,424399,488943,-86679.0,,1111861.0,682481,802979,7570,-764543,31264,-733279,0,3944,7882,,,-314036,7453390,-156271,-32.0,16128.0,5634.0,,-24393,
2014-10-28,3,2014,621482.0,-950633.0,138083,97425,123420,-1072,180.0,,,,,110776.0,4411,-156675,-531065,-8101,,-16625.0,246.0,19928.0,,,-143818,,-204332,142157.0,,-986,-637918,-216.0,-10853,,-436794,649037,,,-70370,,-39312,157300,11036.0,,2014年01月01日至2014年09月30日,6797372,6477871,3549,-319501,1280074,1362866,1471316,-572736.0,,3326572.0,-1088898,1280074,12880,198522,-628762,-430240,1000000,8221,19555,,,191242,6477871,-237474,-3460.0,-3912029.0,5634.0,,67690,
2015-03-13,4,2014,779296.0,-1476804.0,177969,201110,-21146,-165,,,,1210.0,,107377.0,5779,441664,-796531,-8709,-3928361.0,-16625.0,-812.0,20919.0,,,-22669,,-845533,127715.0,,-1958,-752539,-285.0,-12007,,-678604,868247,,186.0,-89087,,-58799,199487,11036.0,,2014年度,6797372,6401364,-7236,-396008,1765270,1228840,1442538,-572736.0,,2745997.0,-1387908,1765270,14202,-562953,-539075,-1102028,1805739,9364,19136,26520.0,-14809.0,-322732,6401364,-365422,-850.0,16128.0,-15274.0,,46994,300.0
2015-04-28,1,2015,,0.0,-130523,-54797,-4884,-138,,-2179529.0,,65.0,,-2809.0,1374,-116193,-97127,8346,,0.0,-15.0,0.0,,,2624,,-1368189,-54577.0,,429,1479677,-5901.0,-43216,,-2242364,220694,,-2653.0,-16287,,-14859,37509,,202253.0,2015年01月01日至2015年03月31日,6401364,4114199,-1275,-2287165,219862,154240,282347,,,-82913.0,-82848,219862,978,-1557744,1417976,-139768,0,28755,315,0.0,,62485,4114199,-150757,-3531.0,0.0,0.0,,42380,
2015-08-10,2,2015,,-250000.0,-87896,-224680,-11544,-259,,-2261872.0,,108.0,,-23822.0,2725,-236617,-179647,15499,,0.0,-15.0,0.0,,,-37667,,-1786693,-31119.0,,-1844,2543480,-20695.0,-17882,,-2421323,434531,,664.0,-28617,,-30806,68316,,408534.0,2015年01月01日至2015年06月30日,6401364,4369210,-2836,-2032154,532766,922776,1270916,0.0,,-747098.0,-296990,532766,541,-1919096,2248712,329616,700000,28519,2907,0.0,,738150,4369210,-385650,-702.0,0.0,0.0,,5751,
