date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債增加（減少）,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,生物資產（增加）減少,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,遞延貸項增加（減少）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產證券化款項,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-04-29,1,2013,,19533.0,,,,,,,,,-22630,,,-8171,,,,,,25174,,,,,-1145,-37134,,,,,,,,,,,1751,,,,43,-14227,,-863,2063,7758,,,-4747,,,,,,,0.0,,,,,,,,-50,,,,,14.0,0.0,-4394.0,,17961,,,,0.0,,53178,,,,,,,,,,,-191693,,,,,-197,,22.0,,-9069,16517,,-430,,,,,,,,-2078.0,,863.0,,,2013年01月01日至2013年03月31日,429596,503043,4454,,73447,9058,,,,,-116709,-113844,220000,,,,,,,-7668,191467,9058,,,43884,-186319,-142435,0,423,,,,,-202,,,,,,,,,,,,,,13013.0,,,-122902,,,503043,-787.0,,,,,,,,,,,,,,,,,,0,-2429.0,,,,,,,,,
2013-08-09,2,2013,,38678.0,,,,,,,,,-45981,,,-5955,,,,,,54638,,,,,-14900,-167699,,,,,,,,,,,7326,,,,87,-10281,,-1665,4227,13310,,,-5251,,,31417.0,,,,,,,,-71857.0,,,,-2299,,,,,,,-4986.0,,-21697,,,,0.0,,97764,,,,,,,,,,,-220385,,,,,598,,-26.0,,-58864,33761,,-162,,,,,,,,-4224.0,,1665.0,0.0,,2013年01月01日至2013年06月30日,429596,368961,6389,,-60635,15895,,,,,-228263,-223251,220000,,,,,,1837.0,0,213182,15895,,0.0,76883,-354707,-277824,30000,429,,,,,-205,,,,,,,,,,,,,,,,,-239146,,,368961,-788.0,,,,,,,,,,,,,,,,,,0,-1617.0,,,,,,,,,
2013-11-11,3,2013,,56726.0,,,,25321.0,,,,,-69623,,,31821,,,,,,41473,,,,,-5014,-260238,,,,,,,,,,,1759,,-5295.0,,131,-3757,,-2032,6512,8289,,,-28655,,,,,,,-9619.0,,,,-75375.0,,,,-1648,,,,,,,,,-68642,,,27390.0,0.0,,60852,,,,,,,,,,,-63623,,,,,-49,,-43.0,,-63500,52088,,-225,,,,,,,,-6425.0,,2032.0,0.0,,2013年01月01日至2013年09月30日,429596,439190,-3563,,9594,-66912,,,,,-281088,-273874,220000,,,,,,89367.0,0,345893,-66912,13832.0,0.0,87616,-351304,-263688,77000,431,,,,,-206,,,,,,,,31417.0,,,,,,,,,-206962,,,439190,-789.0,,,,,,,,,,,,,,,,,,0,-8388.0,,,,,,,,,
2014-03-24,4,2013,,169806.0,,,,25321.0,,,,,-88781,,,53639,,,,,,78007,,,,,-3366,-27108,,,,,,,,,,,-115,,-5241.0,,175,-7984,,-3452,9140,12311,,,-66765,,,,,,,-63551.0,,,,-22968.0,,,,26181,,,,,,,,,-49373,,,27390.0,0.0,,142823,,,,,,,,,,,-212651,,,,,1079,,-56.0,,-408397,72484,,-427,,,,,,,,-9019.0,,3452.0,0.0,,2013年01月01日至2013年12月31日,429596,379344,2134,,-50252,-227767,,,,,-84639,-75394,220000,,,,,,114979.0,0,430473,-227767,13832.0,0.0,193040,-210473,-17433,157000,16817,,,,,6281,0.0,,,,,,,31417.0,,,0.0,,,,,,152373,,,379344,-226.0,,,,,,,,15000.0,,,,,,,,,,28031,,,,,-318895.0,,,,,
2014-05-07,1,2014,,-11103.0,,,,,0.0,,,,-33810,,,-35934,,,,,,8011,,,,,32498,175343,,,,16906.0,,,,,,,1938,,,,45,1207,,-603,3190,7114,,,-54395,,,,,,,0.0,,,,-25351.0,,,,-25980,,,,,0.0,0.0,0.0,1288.0,26175,,,,0.0,,-108409,,,,,,,,,,,174663,,,,,-5,,-15.0,,-159028,23744,,-140,,,,,,,,-3221.0,,337.0,,,2014年01月01日至2014年03月31日,379344,403769,-15794,,24425,-73280,,,,,184583,187804,0,,,,,,,-13278,-8244,-73280,,,-111860,384047,272187,20000,665,,,,,-14,,,,,,,,63551.0,,,,,,0.0,,,261084,,,403769,0.0,,,,,,,,,,,,,,,,,,4309,0.0,,,,-146330.0,,,,,
2014-08-08,2,2014,,87543.0,,,,,0.0,,,,-69560,,,-53478,,,,,,16957,,,,,14465,54922,,,,,,,,,,,1884,,2145.0,,10646,-6015,,-823,5353,309,,,-62018,,,,,,,0.0,,,,-24161.0,,,,-264,,,,,,,-567.0,,16220,,,,0.0,,-122792,,,,,,,,,,,163722,,,,,115,,-36.0,,-29527,49088,,-233,,,,,,,,-5451.0,,823.0,200.0,,2014年01月01日至2014年06月30日,379344,360628,-3784,,-18716,-176516,,,,,-4562,889,200000,,,,,,0.0,-137260,15064,-176516,1562.0,-200.0,-161841,251703,89862,20000,4944,,,,,-295,-3510.0,,,,,,,63551.0,,,,,,0.0,,,177405,,,360628,0.0,,,,,,,,,,,,,,,,,,26260,0.0,,,,-4919.0,,,,,
2014-11-10,3,2014,,318698.0,,,,0.0,0.0,,,,-101559,,,-46498,,,,,,14236,,,,,58010,62576,,,,,,,,,,,2090,,2144.0,,26907,-21224,,-1683,7666,5723,,,-63627,,,,,,,0.0,,,,-21247.0,,,,264,,,,,6.0,,-523.0,,38219,,,0.0,0.0,,-120421,,,,,,,,,,,74279,,,,,148,,-49.0,,-60516,74384,,27,,,,,,,,-7692.0,,1683.0,200.0,,2014年01月01日至2014年09月30日,379344,331075,-3960,,-48269,-433644,,,,,-42111,-34419,200000,,,,,,0.0,-71902,48635,-433644,1562.0,-200.0,-108958,189485,80527,20000,5027,,,,,366,-3510.0,,,,,,,43774.0,,,,,,,,,399225,,,331075,0.0,,,,,,,,,,,,,,,,,,181147,32245.0,,,,-3213.0,,,,,
2015-03-04,4,2014,266975.0,450017.0,,,,0.0,0.0,,,,-137692,,,-30114,,,,,,-5420,,,,,1131,30247,,,,,,,,,,,3254,,0.0,,34591,-28685,,-3910,9966,18757,,,-39865,,,,,,,0.0,,,,-1975.0,,,,-693,,,,,28.0,,,7690.0,63233,,,0.0,0.0,,-162432,,,,,,,,,,,277798,,,,,236,,-63.0,,27889,88839,,-419,,,,,,,,-9337.0,,3663.0,200.0,,2014年度,379344,477368,7845,,98024,-579228,,,,,34255,44986,200000,,,,,,0.0,-68467,17123,-579228,1562.0,-200.0,-191478,365675,174197,20000,34823,,,,,9295,-3510.0,,,,,,,63551.0,,,0.0,,,,,,624214,,,477368,-1394.0,,,,,,,,0.0,,,,,,,,,,35747,,,,,-8003.0,,,,,
2015-05-08,1,2015,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56528,0.0,0.0,-45753,0.0,0.0,0.0,0.0,0.0,12537,0.0,0.0,0.0,0.0,-4598,-8903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-175,0.0,39.0,0.0,968,0,0.0,-1000,1469,-4152,0.0,0.0,-266,-59000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-15861.0,0.0,0.0,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4339,0.0,0.0,0.0,0.0,0.0,-15139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67294,0.0,0.0,0.0,0.0,-22,0.0,,0.0,7937,14287,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,-5814.0,2015年01月01日至2015年03月31日,477368,362849,-2242,0.0,-114519,15816,0.0,0.0,-9.0,0.0,9256,11090,0,0.0,0.0,0.0,0.0,0.0,0.0,-70857,-127560,15816,0.0,0.0,-65499,66587,1088,0,82025,0.0,0.0,0.0,0.0,-7842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-4726,0.0,0.0,362849,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-11791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-07,2,2015,0.0,,0.0,0.0,0.0,21138.0,0.0,0.0,0.0,0.0,-80028,0.0,0.0,-55611,0.0,0.0,0.0,0.0,0.0,-8645,0.0,0.0,0.0,0.0,-9187,-14241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-430,0.0,-1003.0,0.0,1985,-2008,0.0,-1962,2642,-7402,0.0,0.0,-928,0.0,-81349.0,0.0,0.0,0.0,0.0,-4543.0,0.0,0.0,0.0,,-11547.0,0.0,0.0,759,0.0,0.0,0.0,0.0,0.0,0.0,-257.0,0.0,13460,0.0,0.0,0.0,0.0,0.0,-43924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68122,0.0,0.0,0.0,0.0,0,0.0,,0.0,93238,26609,0.0,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,-18755.0,2015年01月01日至2015年06月30日,477368,324829,-8007,0.0,-152539,21277,0.0,0.0,-16.0,0.0,-50559,-47317,0,0.0,0.0,0.0,0.0,0.0,0.0,-107358,-187816,21277,0.0,-920.0,-108738,58899,-49839,0,116810,54043.0,0.0,0.0,0.0,-6268,0.0,0.0,0.0,0.0,0.0,0.0,-21977.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-68594,0.0,0.0,324829,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
