date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-07-03,1,2013,203826.0,-1190640,-117596,-19833,,,-55781,13339,,43487,1677,-530.0,93698.0,,,,2564.0,-134749,19934,-2655,12217,39595,-16357,0.0,-71230,0.0,-1652,-2310,,,,192550,,,-1299832,-416,,0.0,-93,716676,-56315,683,5370.0,-339879,100744,-11052,1468,21812,-12208,2158,,,2013年01月01日至2013年03月31日,396489,293771,-102718,157504,,-118895,-80086,,,2982818.0,-2701516.0,316461,157504,,,-1389443,948027,-441416,1223235,,,0,10006,0,0.0,46.0,-237590,,293771,-28759,42564,,52552,-115891.0
2013-08-12,2,2013,373776.0,-2415515,-106095,-17461,,,-8072,15746,,28490,0,-10335.0,0.0,-1237.0,,,,-147050,57102,-4866,26785,201975,-154680,-2092.0,-93953,0.0,-7284,8035,,4801.0,,564205,,,-798547,38,,0.0,4921,-420708,-70025,552,11867.0,-401212,207456,-41648,1660,9572,-26169,4866,0.0,,2013年01月01日至2013年06月30日,396489,353304,-43185,422356,,-322690,-183292,,,7175658.0,-6740052.0,478742,422356,,-9076.0,-887122,-92302,-979424,2453850,4138.0,,94999,9897,-8880,0.0,46.0,-605648,,353304,-118095,76045,,-132352,-94053.0
2013-11-11,3,2013,447221.0,-3667450,23864,-29324,,,-77927,15081,,56851,0,-11582.0,,-1141.0,,,,-225036,46401,-7599,42286,48543,-456122,-2092.0,-345592,,-9643,-3793,,6549.0,,25051,,,288926,-224,50000.0,0.0,-38,-890436,-106738,602,12009.0,-681583,319423,-45800,-156,13785,-40940,7599,9955.0,,2013年01月01日至2013年09月30日,396489,461163,64674,807230,,328599,560215,,-635303.0,12670628.0,-11744489.0,369115,807230,,-9955.0,340482,-1034718,-694236,3689180,433.0,,357610,24307,-14847,0.0,46.0,-247015,,461163,-208230,37323,,45449,
2014-03-10,4,2013,887361.0,-5215035,286250,-30968,,,-33558,-11638,24150.0,30733,-797,0.0,0.0,,,,,-247639,395451,-12210,58628,124051,-543136,-2092.0,-704298,-64240.0,-31466,-39352,,8449.0,,-229209,,,1485571,-239,,0.0,-20,-628665,-297883,500,568.0,-993219,432529,-22678,-3836,18699,-59384,12210,10123.0,,2013年01月01日至2013年12月31日,396489,388956,-7533,1043558,,2301843,2562585,993984.0,-635303.0,10768344.0,-11950512.0,-1440208,1043558,,-10123.0,1771895,-1140229,631666,4589865,531.0,,574971,25584,-34254,0.0,47.0,1519027,,388956,-223691,44587,11611.0,83699,
2014-05-08,1,2014,125872.0,-923645,24355,14399,,,10583,24061,0.0,-27568,1680,0.0,9342.0,,,,,-22083,-44753,-1836,9483,-21262,-118025,,-547645,,-4065,-10767,,-1193.0,,12858,,,-300479,-107,,,444,1729093,53978,187,180.0,-609001,117797,-29862,-586,6517,-9448,1836,,,2014年01月01日至2014年03月31日,388956,610990,222034,159032,,1737361,1810262,,,39774.0,,-885064,159032,,,-288776,1814134,1525358,0,,,82817,650,-1814,,0.0,1651230,,610990,-65289,51181,,2214,
2014-08-11,2,2014,230983.0,-923645,212707,19776,,,22880,27749,,-2177,5102,0.0,,,,,,-50949,-20378,-3561,16691,-59043,-253843,0.0,-622788,,-9995,-12423,,-6519.0,,368690,,,-1013646,102,10000.0,,294,548296,-50065,114,371.0,-666132,236722,-21193,2122,13097,-15867,3546,134.0,,2014年01月01日至2014年06月30日,388956,653939,264983,520932,,523372,647111,,,1386950.0,,466786,520932,,-14429.0,-1006818,902014,-104804,0,461.0,,270982,3368,-19524,,0.0,126179,-224245.0,653939,-111552,29298,,441,
2014-11-12,3,2014,357884.0,-923645,509749,34461,,,7060,27739,,-9453,-497,-1578.0,,,,,,-69867,-6627,-5573,25284,11385,-397862,0.0,-835100,,-22180,-12423,525.0,-7260.0,,73113,,,883734,-177,0.0,,874,-394619,92014,187,562.0,-822416,359608,-3451,6663,21588,-25091,5551,21377.0,,2014年01月01日至2014年09月30日,388956,894360,505404,940837,,2019244,2244158,,-689088.0,521659.0,,-702809,940837,,-21377.0,1193927,-248490,945437,395525,461.0,,501607,11681,-37463,,0.0,1303321,-224245.0,894360,-226751,16523,,-50036,
2015-03-23,4,2014,479040.0,-1312020,655164,36204,,,-16875,24929,0.0,-26407,-1173,,,-6000.0,,14593.0,,-121722,4855,-8165,33330,93714,-537329,-270000.0,-980201,0.0,-28240,-10973,525.0,,,-383705,,,918328,-177,,,-50,89704,-97370,187,753.0,-1140446,489805,-21454,11319,30843,-32829,8134,24147.0,,2014年度,388956,886043,497087,1337462,,2209895,2446527,0.0,-689088.0,,521004.0,-666076,1337462,0.0,-21384.0,1359570,-729545,630025,799435,560.0,,801961,15172,-107843,,0.0,1109065,-224245.0,886043,-236084,42081,0.0,-323788,
2015-05-04,1,2015,,-411060,-84655,-26304,,90683.0,15325,2820,,6145,6203,0.0,,,,,,-27874,19590,-1720,8531,-17041,-96443,,-227731,,-5939,-664,,1705.0,0.0,527738,,,-1520356,33,,,-85,501919,75204,0,,-193754,134135,-33809,5831,9380,-7740,1711,,168849.0,2015年01月01日至2015年03月31日,886043,880550,-5493,174745,209.0,-292529,-225372,,,500221.0,,497831,174745,,,-1625013,1056047,-568966,406965,,,73550,1302,-4841,,,-400117,,880550,-61128,-2695,,-39353,
2015-08-10,2,2015,,-1230385,-38883,-12653,,90683.0,9326,2820,,11751,6200,,,,,,,-66536,54558,-5167,19447,-58073,-164272,-104520.0,-1007779,,-13701,-287,,1948.0,0.0,900627,-210437.0,-173115.0,-2573539,0,0.0,,10596,-227009,192176,41508,,-849813,268272,-12252,11113,19338,-16675,5149,0.0,288843.0,2015年01月01日至2015年06月30日,886043,705409,-180634,512031,431.0,-869132,-753450,,,2178611.0,,1596384,512031,,-21569.0,-2602297,1047973,-1554324,819325,127.0,,626622,8727,-48533,,,-1265481,0.0,705409,-104156,-17056,,134577,
