date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,預付款項（增加）減少,預付設備款增加
2014-04-03,4,2013,297542,102947,-128819,253,0,1570,-14742,-19862,,,-2030,0,-11547,,191905,-362390,,-2177,0,5406,-592,0,-7152,37899,-25687,5830,13688,-402786,310473,,532,,,13740,,2013年01月01日至2013年12月31日,4251925,3117860,-1134065,1136377,1011781,1395981,568072,-2508443,,,-1934965,1136377,-28402,-9536,-37938,5071,-1916,259604,3117860,-397940,,-3863,-40668
2014-11-21,3,2014,234673,52869,72214,-4851,,-1457,7435,14732,,,0,1100,-25203,988,17436,-388222,,-1682,0,-2675,0,776,-323715,505086,-692,-584371,263,-381211,261769,-396432,770,-302,,22219,,2014年01月01日至2014年09月30日,3117860,2928793,-189067,727423,100555,193631,307706,-1143478,912600,,74153,727423,636912,-1405377,-768465,6817,-3651,-533792,2928793,-114993,,-109546,
2015-03-25,4,2014,333250,93251,-18071,323,0,0,41689,18094,,,-30,0,-30763,3308,127329,-586704,,-4807,0,-2598,0,748,-268526,402506,-660,-450728,268,-583934,363224,,1155,-2517,,31163,,2014年度,3117860,3668818,550958,942209,801483,943689,307706,-1143478,1044450,,206080,942209,518715,-850485,-331770,6859,-3674,1480,3668818,-170852,,-149916,0
2015-04-23,1,2015,,-43384,-522,32,,,-35222,585,,,,471,-3283,1025,-6059,-211546,,-1031,,-4,-401,0,71326,-164048,34,63263,0,-212507,111096,-50959,532,-1816,,3103,110258,2015年01月01日至2015年03月31日,3668818,4363102,694284,313079,368327,397333,1588977,,,-1044450,544523,313079,-243142,217138,-26004,0,888,84254,4363102,-30293,,132891,
2015-08-11,2,2015,,-50596,917,-32,,0,-36219,418,,,,,-10962,1086,-43155,-311718,-158760,-1215,,-37,,83,91529,-263780,111,218070,0,-458939,225707,-353346,1160,-1878,,8883,203982,2015年01月01日至2015年06月30日,3668818,4040951,372133,512043,269737,388522,1588977,,-984450,,604490,512043,-349567,22064,-327503,13890,-13009,-123521,4040951,-125790,,65425,-1219
2015-11-06,3,2015,,-10056,-26,78,,0,-31435,962,,,,561,-16524,1808,67122,-402823,-169101,-1219,43,0,,59,55634,-193475,961,42085,-13,-547925,346662,-930096,1722,-2285,,5862,306351,2015年01月01日至2015年09月30日,3668818,3259169,-409649,904097,-30370,111943,1588977,-790851,407805,-1104450,101524,904097,-234031,-864474,-1098505,28201,-27317,-792154,3259169,-145890,,-33124,-3603
2016-03-10,4,2015,,7822,2639,-36,0,-13,-5439,547,,,2107,0,-27729,2728,-39811,-461407,-168869,-1307,0,-32,0,82,127444,-250394,-72,172770,0,-600634,462118,,2295,-3229,,24847,413433,2015年度,3668818,4798723,1129905,1317683,1636706,1798943,1588977,-790851,787805,-1452255,133644,1317683,-245444,313271,67827,28760,-25979,481260,4798723,-183855,,12559,0
2016-05-10,1,2016,,-54608,-83,-11,,13,-23177,-1900,,,,1136,-30019,907,-67210,-49248,,-3,,-49,0,23,48107,-249239,1122,198584,-41616,-6371,113695,0,539,-824,,32983,43405,2016年01月01日至2016年03月31日,4798723,5328302,529579,251740,275774,272595,0,,327435,0,327386,251740,-325985,303435,-22550,41721,-41717,20855,5328302,-28980,,100258,
2016-08-10,2,2016,,-30041,-2812,85,,13,-17700,622,17474,2668,,,-43033,2432,-204331,-148797,0,-517,,-126,,105,28105,-81868,87,162758,-41855,-9694,223160,0,1101,-2205,-76642,42731,113545,2016年01月01日至2016年06月30日,4798723,5826879,1028156,623914,879868,915984,0,,362439,0,362313,623914,-114860,293385,178525,136847,-70115,292070,5826879,,,143657,0
2016-11-07,3,2016,,-24354,-3307,169,,13,-30419,134,15215,,,4749,-52624,5144,-398329,-172939,0,-807,0,-2786,-680,0,49631,-208788,19775,161628,-93070,-33633,316325,0,1573,-4519,-105146,48443,269766,2016年01月01日至2016年09月30日,4798723,5803054,1004331,860910,1076015,1137237,0,-632681,1296783,-301038,360278,860910,-231878,238439,6561,136044,-70455,276327,5803054,,69803,119934,0
