date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,預付費用（增加）減少
2013-05-10,1,2013,620732.0,,-2363572,14937,,5089,7003,-13235,,67140.0,,-3970,169.0,,-2723,26721,11203,-563924,,0.0,,,0.0,,,999,-70830,,-28159,299,400000,,16921,221248,-113418,-26,0.0,,-482445,595159,,,3127,-29465,2486,,,2013年01月01日至2013年03月31日,760049,962597,7200.0,202548,24118,,682861,683096,,,675747,-41781,-9071,24118,,,11001,27245,38246,1350000,14824,,,-800,0,,658978,962597,-235,-8121.0,,,,-1583.0
2013-08-07,2,2013,1249747.0,,-6581429,66254,,-6421,4158,-2634,,,82020.0,-5823,343.0,,-5635,59746,16783,-1259249,-29363.0,,,0.0,0.0,,,1000,-127451,-31743.0,38238,3962,300000,0.0,-47,63158,6087,-1,0.0,,-1169096,1199200,,,6468,-81526,5372,,,2013年01月01日至2013年06月30日,760049,997918,11437.0,237869,142467,,1382002,1434316,,,785084,-552206,8180,142467,,,112565,-70463,42102,6170000,36947,0.0,,-8611,0,,1291849,997918,-52314,-13201.0,0.0,,,-3201.0
2013-11-08,3,2013,1854874.0,,-7521429,90783,300000.0,14591,4651,-27339,,,89645.0,-5930,517.0,,-6634,94223,12135,-1698190,-29363.0,,,0.0,0.0,,0.0,1000,-36948,-31743.0,-87174,-139,550000,0.0,-58,91719,-70960,0,,,-1255873,1815479,,,10565,-113872,8764,,,2013年01月01日至2013年09月30日,760049,1223506,13725.0,463457,322177,,2097411,2151377,,,1083547,-626719,-390216,322177,,,8063,-33737,-25674,6270000,38021,40180.0,,-9635,-10817,,1829200,1223506,-53966,-13869.0,0.0,-39042.0,362.0,-4800.0
2014-03-25,4,2013,2475743.0,1501.0,-9296429,160201,300000.0,21434,3449,-17076,,0.0,97030.0,-8028,-14791.0,,-7019,129236,20587,-2224360,-129363.0,,,-4717.0,0.0,,0.0,124,-5759,-31743.0,429,-51,400000,0.0,-64,-208202,-92013,0,,,-1725385,2461006,,,14771,-148940,9149,,,2013年01月01日至2013年12月31日,760049,1542092,,782043,452328,,2730024,2784017,,,1139405,-1190476,-243183,452328,,,163964,-308018,-144054,8885000,44940,40180.0,,-9282,-10817,143442.0,2331689,1542092,-53993,-20757.0,0.0,-149723.0,87836.0,-6402.0
2014-05-09,1,2014,679805.0,,-940000,-10391,,2465,8446,-13570,,,0.0,-383,178.0,,-1817,35084,-1108,-1008575,,,,,,,,876,-148818,,163346,-62,150000,,-21,25788,-74218,-1,,,-863736,625320,,,3113,-38590,662,,,2014年01月01日至2014年03月31日,1542092,1565568,-8107.0,23476,119959,,750828,750869,,,890758,-224676,137492,119959,,,161318,-210213,-48895,300000,4277,100068.0,39339.0,-16,-68,,630910,1565568,-41,1118.0,,,25000.0,-1859.0
2014-08-08,2,2014,1382858.0,1200.0,-1554000,4721,,-189,17828,-22477,,,0.0,-908,,,-4391,70166,-9519,-1553419,-9018.0,,,,,,,1216,-46867,0.0,-8690,-123,0,-100000.0,-28,-429109,-25317,-35,,,-1415029,1251625,,,7093,-77120,2081,,,2014年01月01日至2014年06月30日,1542092,1370604,-7710.0,-171488,425496,,1252884,1294578,,,1400585,-1049289,176,425496,,,13708,-527484,-513776,1380000,4412,100068.0,39339.0,185,-68,,869082,1370604,-41694,1118.0,,,64840.0,-3490.0
2014-11-10,3,2014,2047790.0,1200.0,-1994000,34993,0.0,39084,9558,-14218,,,0.0,-1292,,,-6601,103318,1401,-2004759,-21450.0,,-86583.0,,,,,1214,78047,0.0,1868,-53,150000,,88,-857441,-114848,-1,,,-1990601,1892308,39339.0,,11026,-109124,3137,,,2014年01月01日至2014年09月30日,1542092,1342473,3522.0,-199619,779045,,1996350,2038101,-62584.0,,2089768,-1660829,-206769,779045,,,46454,-835188,-788734,1380000,12802,105130.0,,-1658,-130,,1259056,1342473,-41751,1118.0,,0.0,44887.0,-5150.0
2015-03-16,4,2014,2764189.0,1200.0,-2608000,90393,0.0,-33058,6121,-13602,33629.0,,0.0,-2129,,,-11048,135490,15346,-2335306,-139569.0,,-144908.0,-1193.0,29615.0,,,383,57614,0.0,63407,-98,0,-400000.0,51,17424,-105978,-6012,,-6751.0,-2496118,2560146,39339.0,219.0,15116,-144194,6408,,,2014年度,1542092,1953743,8172.0,411651,1026278,,3889338,3932946,-62584.0,594729.0,2117926,-2104407,-996915,1026278,8477.0,,153123,-10644,142479,1580000,12673,105130.0,,255,-130,0.0,2906668,1953743,-43608,1118.0,24000.0,-21380.0,44947.0,0.0
2015-04-24,1,2015,,,-570000,-51676,,119011,1107,-59639,,,,-1350,,,-2630,28062,-5200,-1374652,,,,,,,,831,78306,,-331027,3,550000,,-13,501489,-73875,4154,,,-1250360,668631,,-2045.0,3547,-28081,1552,,700775.0,2015年01月01日至2015年03月31日,1953743,2085406,1477.0,131663,-46294,-1954.0,840267,840367,,,436539,-141502,546956,-46294,,,-383560,569446,185886,300000,23242,100017.0,0.0,3750,-17,,886661,2085406,-100,0.0,,,0.0,0.0
2015-07-24,2,2015,,0.0,-6082000,-98992,,51305,11915,7633,,,,-1500,,,-7724,63263,-9702,-1598176,0.0,,,,,2000.0,,831,91248,,-311153,-11,550000,0.0,-51,683410,-41029,-383,,,-1423630,1328289,,-1638.0,7052,-87852,5489,,1398808.0,2015年01月01日至2015年06月30日,1953743,2376048,5720.0,422305,-83975,-3254.0,1573868,1705471,,,508014,-358393,281769,-83975,,,-401546,792184,390638,5750000,69709,100017.0,0.0,3863,-17,,1789446,2376048,-131603,0.0,,,0.0,0.0
