date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他借款增加,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-03,1,2013,31007.0,,-27464,,-28977,6956,-2451,,,,-6000,,-95,1999,3910,-4975,3920,,0.0,75.0,-3257,14883,0.0,-130000.0,-20020,,-74180,,-598,-936.0,-14609,20340,-12861,2995,-1697,95,,,2013年01月01日至2013年03月31日,206908,237993,31085,56297,,-42687,-40990,,,,161935.0,,84471,56297,,,-28094,-100200,-128294,80000,163.0,85,,,-97287,,237993,0,41,1483,239.0,,-6853,-3967
2013-08-09,2,2013,55383.0,,-46167,,2137,80884,-5526,,,,-10913,,-803,4254,5543,-21037,-4735,,0.0,334.0,-83766,22622,0.0,-130000.0,34304,,43313,,-7610,-1708.0,-64422,40744,-20774,6474,-4262,803,,,2013年01月01日至2013年06月30日,206908,213537,6629,111774,,204708,218700,,-69894.0,,26861.0,,-139200,111774,,,138239,-86696,51543,80000,3165.0,-2381,,,106926,,213537,-9730,33,2983,8814.0,,-12333,-36774
2013-11-08,3,2013,96040.0,,-48220,,-1798,2355,1649,-480.0,,,-15369,,-1252,6809,2116,-24218,-3847,,,19.0,-192293,21390,0.0,-100000.0,28649,,-15954,,-1102,-2585.0,-93150,60700,-20765,9973,-6595,1252,0.0,,2013年01月01日至2013年09月30日,206908,381655,174747,156099,,37229,63802,192000.0,-69894.0,97403.0,77743.0,,228552,156099,7727.0,0.0,48011,-236348,-188337,80000,8891.0,-3957,,,-92297,,381655,-19978,346,2782,17860.0,-1101.0,-7883,-63725
2014-03-21,4,2013,128008.0,,-66943,0.0,10918,12574,-6184,-480.0,,,-18846,,-1458,9329,6368,-30418,-2266,,,-174.0,-184614,-3729,0.0,-129999.0,14891,,112839,,1131,-3229.0,-130124,81207,-9419,13405,-7851,1458,0.0,,2013年01月01日至2013年12月31日,206908,333674,126766,185905,,246344,278077,192000.0,-69894.0,97403.0,0.0,-97909.0,4178,185905,7727.0,0.0,31425,-67261,-35836,80000,8794.0,-11,,,92172,,333674,-23882,177,1492,21090.0,-2684.0,18986,-90938
2014-04-25,1,2014,24539.0,,-18750,,-44428,2033,-1912,,,,-2343,,-942,2468,-216,-5943,-282,,-936.0,0.0,129379,-14778,,0.0,-48723,,-104611,,489,-772.0,-63156,20719,-14783,3168,-1816,942,,,2014年01月01日至2014年03月31日,333674,251750,-81924,59930,,-21953,-20097,,,,0.0,-77849.0,3401,59930,,,-106668,2102,-104566,100000,0.0,4409,,,-80027,,251750,-40,-1374,270,1427.0,-5324.0,-6460,-54876
2014-08-06,2,2014,54156.0,,-20844,,-109084,93530,-1781,,,,-10459,,-1164,4990,-2882,-15140,-2009,,-456.0,0.0,123533,10987,,0.0,2627,,-116736,,5446,-1524.0,-126319,42915,-4728,7108,-3401,1164,,,2014年01月01日至2014年06月30日,333674,435285,101611,148342,,189517,205621,,,,0.0,-37861.0,41295,148342,,,-3464,6587,3123,100000,0.0,4409,,,57279,,435285,-12703,-1422,68,-739.0,,853,-101428
2014-11-07,3,2014,105670.0,,-75026,,-10597,-2276,-3432,0.0,,,-16305,-1150.0,-1309,7823,928,-23209,9395,,,569.0,89700,10254,39970.0,0.0,126,,-300635,,3984,-2279.0,-152326,65586,-42728,13298,-5194,1309,,,2014年01月01日至2014年09月30日,333674,318594,-15080,199270,,-2103,32602,0.0,-92867.0,0.0,166344.0,,138421,199270,0.0,,-4772,-267566,-272338,100000,58.0,4496,,,-166668,,318594,-29511,-763,2633,5661.0,,-14455,-114748
2015-03-23,4,2014,133764.0,,-76217,,23772,-1097,-22680,0.0,,,-24137,,-2348,10819,6056,-32433,-1970,,,2203.0,62698,-10505,,0.0,12795,,-45560,,-1785,-3386.0,-189109,88096,-26607,22478,-7663,2348,75.0,,2014年度,333674,542095,208421,238897,,315000,353797,0.0,-92867.0,0.0,145558.0,0.0,76474,238897,0.0,-75.0,21579,-40443,-18864,100000,98.0,4477,,,114900,,542095,-31134,-2776,2589,12474.0,,-6509,-137263
2015-05-08,1,2015,,,-17855,,-62602,-4787,6859,,,,-5960,-1150.0,-1008,2781,-1586,-5958,488,,-72.0,,43602,8489,,,-58607,,-47915,,11796,,-35928,24226,878,4357,-1484,1008,,41779.0,2015年01月01日至2015年03月31日,542095,556328,14233,40391,-809.0,-23745,-21582,,,,,-6653.0,75492,40391,,,-118316,14564,-103752,100000,,11147,,,-61973,,556328,-679,-944,1964,,-82.0,-656,-24946
2015-08-07,2,2015,,,-19041,,-157279,92790,3350,,,,-9999,260.0,-1264,5937,-3761,-13879,18416,100.0,426.0,,2615,17975,50000.0,,-49825,,-227002,,6142,,-135240,48692,11346,8130,-3924,1264,,87442.0,2015年01月01日至2015年06月30日,542095,473038,-69057,54689,-1402.0,-169763,-151923,,,,108648.0,,239707,54689,,,-97741,-196313,-294054,100000,67.0,12514,28.0,-28.0,-206612,,473038,-13916,-3482,2392,,-4125.0,7236,-113147
2015-11-09,3,2015,,-38662.0,-105103,,-47670,-370,3677,,,,-12652,1231.0,-1369,9514,3405,-25923,70245,100.0,510.0,,-83100,4390,50000.0,,-49277,,-576764,,10104,,-158490,73930,-2651,11827,-6374,1369,,175173.0,2015年01月01日至2015年09月30日,542095,214216,-327879,87424,-2181.0,-510102,-473512,,-97510.0,,,353483.0,337308,87424,,,-95108,-641001,-736109,175000,67.0,12749,28.0,-28.0,-560936,-1554.0,214216,-30216,-1038,3315,,-3649.0,7733,-121889
2016-03-25,4,2015,,-38662.0,-105103,,8065,-4032,-24134,,,,-14421,,-2379,14206,-3060,-130491,-939,,,439.0,-36574,-1644,50000.0,,-64300,13111.0,-27751,-88.0,7584,,-177312,98934,722,15765,-11097,2379,0.0,139092.0,2015年度,542095,896060,353965,215584,-3177.0,193091,235750,,-97510.0,,157521.0,,341246,215584,,0.0,-51977,-66949,-118926,375000,338.0,12661,28.0,-28.0,20166,-1553.0,896060,-31562,-1903,3145,1183.0,,13292,-35584
2016-05-06,1,2016,,,-16660,,-51019,37269,187,,,,-2941,-838.0,-850,3554,-900,-75869,81,,-9822.0,,-49740,55204,-30000.0,,23283,-13111.0,53028,-66.0,-3143,,-80747,24455,33327,4606,-3074,850,,18948.0,2016年01月01日至2016年03月31日,896060,821433,-74627,86625,-11131.0,165971,169116,,,,,-212291.0,-158951,86625,,,40495,23048,63543,100000,18959.0,394,,,82491,,821433,-71,1928,-91,,-14291.0,-10545,-11924
2016-08-05,2,2016,,,-16660,,-29746,33865,-3465,,,,-8460,-931.0,-444,6311,-4930,-136585,6496,113.0,-9436.0,,-50048,54200,-50000.0,,48243,-13111.0,-292104,83.0,5164,,-178238,48607,33327,7929,-5226,444,,53235.0,2016年01月01日至2016年06月30日,896060,700053,-196007,203943,-8413.0,8638,24645,,,,,-54930.0,-21477,203943,,,85038,-317571,-232533,100000,18919.0,552,0.0,0.0,-179298,,700053,-10781,2007,-244,,-17048.0,-10528,-43120
2016-11-04,3,2016,,0.0,-35404,,-15543,34130,-5341,,0.0,3020.0,-12158,,-1473,10001,-9984,-189681,15891,113.0,-8171.0,0.0,-74533,62927,0.0,-30000.0,16704,-13032.0,-152733,88.0,6071,,-222374,72757,-1022,11372,-8038,1473,,109926.0,2016年01月01日至2016年09月30日,845610,979463,133853,277286,-16066.0,169949,202605,,-134076.0,,,295629.0,196262,277286,,,69120,-253727,-184607,100000,18840.0,560,0.0,0.0,-74681,0.0,979463,-24618,818,0,,,-26257,-35697
