date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,-48,36402.0,15108,-55904,-76,-579,,,-3031,728.0,-24013,4964.0,,,,,,240,2417,-2437,-105,,-9484,-1583,-22119,-71197,-1627,-2347.0,-19117,38797,-6239,3,1459,,,2013年01月01日至2013年03月31日,332816,352142,,19326,105483,,37735,36423,,-20,105483,,34424,-139886,-105462,37,0.0,-36,-457.0,,-69060,1362,352142,-147,934,5653,0.0,-509,44079
2013-08-12,2,2013,-8,71980.0,36005,-33833,18,-147,-7129.0,,-6369,1525.0,-40199,,,,,,,371,4432,-4265,-105,261.0,-22152,249,-111416,-44319,-115,-4542.0,15313,77141,-77082,5,2973,156.0,,2013年01月01日至2013年06月30日,332816,455212,,122396,212509,,105391,124778,,167,212509,-156.0,15970,-175681,-159711,130,62722.0,-129,-10714.0,,-87731,-566,455212,-22516,11839,2319,-367.0,-352,96222
2013-11-04,3,2013,78,95913.0,12275,-80129,94,-252,-7129.0,,-10265,,-56569,0.0,,0.0,,,,123,7076,-6774,-105,261.0,-36836,-2541,-116264,74596,-5284,-6749.0,27157,114574,-70313,8,6831,4647.0,,2013年01月01日至2013年09月30日,332816,359960,1933.0,27144,217171,,213297,252160,-213612.0,-213310,217171,-4647.0,49469,-110393,-60924,172,90962.0,-170,-19294.0,,34989,-2184,359960,-50341,13573,8238,-435.0,-413,164838
2014-03-19,4,2013,208,114905.0,9592,-174977,-731,-2522,-7306.0,,-13906,,-103863,0.0,0.0,0.0,,,,355,9619,-9467,-105,261.0,-43108,-1736,2950,13035,-3103,-8924.0,-20265,151457,-41579,11,10925,5238.0,,2013年01月01日至2013年12月31日,332816,382348,2239.0,49532,254373,,283257,317843,-213612.0,-213460,254373,-5238.0,200600,-252035,-51435,220,90962.0,-218,-19294.0,,63470,-4209,382348,-50749,-709,292,-434.0,-73,203658
2014-05-12,1,2014,322,29431.0,-776,-106067,657,2035,-11.0,,-4516,0.0,-27552,-3886.0,,,,,,158,1297,-1738,-4,,-707,5001,-10758,-126295,3025,-2017.0,-31405,37544,178129,3,2627,,,2014年01月01日至2014年03月31日,382348,451115,-67.0,68767,122064,,100613,98250,,-441,122064,,-7053,-46192,-53245,48,0.0,-44,0.0,,-23814,5228,451115,-264,-3969,4318,0.0,-630,-4388
2014-08-08,2,2014,707,67742.0,29199,-213063,1612,2529,-7137.0,,-9121,,-56572,-3886.0,,,,-20000.0,,152,3431,-3679,-4,0.0,-10328,273,-102949,-60166,3107,-3908.0,-87506,74818,64771,5,6368,0.0,,2014年01月01日至2014年06月30日,382348,327555,173.0,-54793,217204,,32961,36569,,-248,217204,-39.0,-39604,-208773,-248377,93,0.0,-89,0.0,,-180635,3362,327555,-9976,1136,4707,0.0,-330,32807
2014-11-07,3,2014,915,104275.0,8576,-266064,990,2424,-7137.0,,-14337,,-78783,-3886.0,,,,-20000.0,,234,5920,-5218,-804,105.0,-12276,3606,-123201,73194,-15188,-11301.0,-120385,111779,269854,8,10111,5739.0,,2014年01月01日至2014年09月30日,382348,346473,694.0,-35875,197464,,297420,307784,-213612.0,-212910,197464,-5795.0,-53588,59633,6045,120,0.0,-116,0.0,,110320,1858,346473,-26214,10893,8104,-10000.0,-415,65884
2015-03-20,4,2014,1587,132169.0,-11829,-187403,29,2436,-7149.0,,-19996,,-128567,-3886.0,,,-37.0,-20000.0,,346,8679,-6076,-819,222.0,-19596,700,-16928,24560,-8269,-16418.0,-160096,148608,142772,12,15170,6036.0,,2014年度,382348,343916,629.0,-38432,219070,,332673,338075,-213612.0,-211009,219070,-6036.0,32306,-45470,-13164,140,0.0,-135,0.0,,119005,-242,343916,-26608,7154,909,0.0,-879,76994
2015-05-11,1,2015,0,,5910,-40261,3094,-1269,0.0,,-4830,0.0,-29714,0.0,,,,,,48,1578,-1556,-6,335.0,-6340,-1887,-63264,-45659,4068,,-29324,37141,23097,5,2609,,26494.0,2015年01月01日至2015年03月31日,343916,380653,745.0,36737,126082,-8234.0,66039,63692,,22,126082,,-30071,-58813,-88884,61,,-58,,,-62390,4890,380653,-262,-6557,7896,0.0,-345,29420
2015-08-12,2,2015,209,,36028,-41862,3280,49,0.0,6770.0,-41379,,-53633,0.0,,,,,0.0,-70,4915,-3370,-14,335.0,-15209,2917,-146040,28019,-7874,,-16415,74152,-132487,10,41038,0.0,32861.0,2015年01月01日至2015年06月30日,343916,450093,976.0,106177,232941,-10017.0,121047,98402,,1545,232941,0.0,-4314,-163086,-167400,127,30000.0,-121,-1020.0,,-134539,3420,450093,-18393,104,6149,,129,106098
2015-11-06,3,2015,209,,18909,-39494,827,31,0.0,6769.0,-46227,,-74397,0.0,,,,,0.0,-189,6747,-4795,-175,658.0,-27576,-179,-149725,112100,-10950,,10330,111241,-67772,15,44765,6090.0,51081.0,2015年01月01日至2015年09月30日,343916,449372,1670.0,105456,246221,-11717.0,288983,272742,-195809.0,-193857,246221,-6090.0,-1327,-23233,-24560,197,78315.0,-191,-17103.0,,26521,1766,449372,-34614,7746,9934,-1037.0,494,138792
2016-03-23,4,2015,400,,11250,-86181,466,2,0.0,6769.0,-51207,,-102109,0.0,,,0.0,,0.0,-180,9728,-6173,-210,1458.0,-32473,1163,-98972,88159,-4919,,-17030,147839,-109193,17,49022,6234.0,79839.0,2015年度,343916,514599,2845.0,170683,296769,-11623.0,379968,359751,-195810.0,-192255,296769,-6234.0,122654,-139511,-16857,275,78315.0,-267,-17103.0,,62982,-286,514599,-35039,3729,4265,-1528.0,829,220656
2016-05-11,1,2016,263,,-30159,-55583,191,-199,,14656.0,-4996,0.0,-29234,,,,,,,64,1215,-1840,-9,0.0,-7311,6047,-10705,-64830,9889,,5444,37080,13552,2,3221,,28966.0,2016年01月01日至2016年03月31日,514599,532322,-117.0,17723,96338,-1724.0,12904,9977,,-625,96338,,-16279,-99048,-115327,31,,-30,,20000.0,-86361,4565,532322,-294,-3300,6293,,-859,15506
2016-08-05,2,2016,608,,19092,-73899,551,-1217,-6383.0,0.0,-10651,,-46094,,,,,,,18,3316,-3686,-23,0.0,-34649,842,-52394,-18097,6865,,-33506,74283,-29686,5,10400,,64397.0,2016年01月01日至2016年06月30日,514599,604273,-65.0,89674,178534,-3418.0,123550,144154,,-370,178534,,47291,-146068,-98777,84,0.0,-72,0.0,20000.0,-34380,3035,604273,-31004,271,5099,-1090.0,-484,79583
2016-11-09,3,2016,810,,9203,-136637,664,-1295,-6383.0,0.0,-15518,,-73775,,,,,,,-58,6285,-5349,-28,4.0,-51536,3758,-51060,34876,-5307,,-65059,111961,7497,7,14154,7118.0,89955.0,2016年01月01日至2016年09月30日,514599,462573,-280.0,-52026,202679,-5029.0,225708,261193,-213611.0,-212675,202679,-7177.0,115121,-146562,-31441,112,0.0,-94,0.0,20000.0,58514,1871,462573,-56757,304,5999,-4989.0,-159,155714
