date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-06,1,2013,,3299.0,,,-8202,-29341,-15153,-5506,,,,-98,865,6533,-125891,,0.0,,938.0,,0.0,,-5.0,-533.0,,-80470,-32734.0,134254,533,-20328,6505,456.0,-84906,9215,0.0,0.0,-865,98,,,2013年01月01日至2013年03月31日,389583,323986,-65597,6424,,-4485,-3718,,,-100000.0,17261,6424,111888,-125329,-13441,150000,40580,-11646,,-10142,3692.0,323986,0,1271.0,,,3811.0,
2013-08-09,2,2013,,14046.0,-245712.0,,-4665,-91,-16062,-3271,,,,-432,2736,10484,-263655,,0.0,,-482.0,,,0.0,-5.0,6679.0,,-4071,-32734.0,-1632,4805,-29624,16905,971.0,-216878,18440,0.0,0.0,-2736,432,,,2013年01月01日至2013年06月30日,389583,396570,6987,-84770,,-124168,-116848,,110000.0,,337549,-84770,-16583,-29541,-46124,506000,40580,-11623,,-32078,3728.0,396570,-5016,1197.0,0.0,,-9389.0,
2013-11-04,3,2013,,24773.0,-256412.0,,-8306,-2878,-3617,-2538,,,,-815,5717,7908,-443732,,0.0,,-671.0,,0.0,0.0,-4.0,,16573.0,195588,-32734.0,-87542,-912,59104,13668,1491.0,-385631,27152,0.0,0.0,-5717,815,,,2013年01月01日至2013年09月30日,389583,460786,71203,2727,,182076,193268,,50000.0,,266850,2727,-98886,264654,165768,506000,42199,-12309,,190541,3831.0,460786,-6290,1197.0,0.0,,1710.0,
2014-03-21,4,2013,,33183.0,-256412.0,,-5254,4453,-17199,534,0.0,-316.0,0.0,-1288,9055,11521,-546596,0.0,,,-716.0,,0.0,1.0,,,8314.0,327894,-32734.0,-136129,-5779,92796,15541,1998.0,-496679,35738,,0.0,-6134,1288,,,2013年01月01日至2013年12月31日,389583,368287,-21296,-73566,,227936,239071,-30955.0,50000.0,,235926,-73566,-162363,441817,279454,506000,42319,-12429,,312637,910.0,368287,-6289,1197.0,,26.0,,915.0
2014-05-07,1,2014,,9249.0,,,-10631,-456,-121,-220,,116.0,,-55,929,-761,-175070,,,,25.0,,,-5.0,,,8284.0,166635,0.0,-55540,5321,58274,-1866,128.0,-166719,8370,0.0,,-929,55,,,2014年01月01日至2014年03月31日,368287,353062,-15225,16875,,152260,153135,,,0.0,-5,16875,-60843,187854,127011,0,42,5,,136260,0.0,353062,-1,0.0,,,,-34629.0
2014-08-07,2,2014,,18180.0,0.0,,-4951,-5217,-91,6847,,359.0,,-288,1903,-4151,-276795,,0.0,-24.0,-5903.0,,,-25.0,,,11915.0,1142,0.0,-31277,3903,60026,-1566,258.0,-270646,16608,,1.0,-1903,288,,,2014年01月01日至2014年06月30日,368287,408194,39907,20068,,65729,67365,,130000.0,,248975,20068,-32158,61275,29117,119000,161,-44,,47297,0.0,408194,-21,0.0,,,,-316.0
2014-11-04,3,2014,,27473.0,0.0,,-3140,-1974,61984,2050,,130.0,,-664,3031,1197,-364435,,,-24.0,-9587.0,,0.0,0.0,-25.0,,10513.0,-261810,0.0,-31591,18427,41257,1423,585.0,-362513,24840,0.0,3.0,-3031,664,,,2014年01月01日至2014年09月30日,368287,275390,-92897,27388,,-121915,-119125,,0.0,,390334,27388,46265,-220251,-173986,390359,1020,263,,-146513,0.0,275390,-423,0.0,0.0,,,-1327.0
2015-03-09,4,2014,,35502.0,0.0,,-449,1811,731,5937,0.0,-109.0,0.0,-1253,6545,7187,-463403,0.0,,-25.0,-1147.0,,-5589.0,26.0,,,-6634.0,-71285,0.0,-51049,9957,61090,2274,514.0,-470188,32853,,5.0,-6545,1253,,,2014年度,368287,377325,9038,50182,,39417,45193,0.0,0.0,,432622,50182,-40296,-195,-40491,432596,1021,2941,,-4989,0.0,377325,-484,0.0,,0.0,87.0,
2015-05-12,1,2015,,,,,-8759,2003,2287,-4450,,183.0,,-605,1029,-2116,-70458,,,,,-3465.0,,-51.0,,,33.0,31765,,-1232,967,-9917,-1344,,-73890,8135,0.0,2.0,-1029,605,,8561.0,2015年01月01日至2015年03月31日,377325,407433,30108,11457,128.0,24569,25000,,100000.0,,81545,11457,-6609,11591,4982,-18404,0,0,,13543,,407433,-7,0.0,,,-6649.0,
2015-08-03,2,2015,,,0.0,,-6556,118,3665,3235,,401.0,,-1016,2250,-4754,-157613,,-3500.0,0.0,,-3366.0,,-51.0,,,1486.0,36476,,18882,6685,6893,1313,,-162909,16177,125.0,4.0,-2250,1016,,17541.0,2015年01月01日至2015年06月30日,377325,328258,-49067,-30928,259.0,45455,53794,,110000.0,,73141,-30928,22935,44246,67181,-36808,84,1,,84722,,328258,-7105,,,,-4190.0,
2015-11-10,3,2015,700.0,,,,-6878,5734,3332,-1645,,43.0,,-1360,3476,2848,-175470,,-3500.0,0.0,,-3198.0,,,-51.0,,1423.0,151200,0.0,3424,-4461,10241,-2078,,-181235,23965,-387.0,6.0,-3476,1360,,26428.0,2015年01月01日至2015年09月30日,377325,370036,-7289,-54342,391.0,116361,130735,,110000.0,,54737,-54342,-4192,162841,158649,-55212,-490,28,,185077,,370036,-12258,,0.0,,-654.0,
2016-03-29,4,2015,,,,-73615.0,-9106,6062,1648,2017,,483.0,,-1806,6579,-3566,-191054,,-3500.0,0.0,,0.0,0.0,0.0,-1.0,0.0,1424.0,158544,,35217,-12171,8518,896,,-190909,31586,-818.0,8.0,-6579,1806,,35577.0,2015年度,377325,223247,-154078,-131215,523.0,64013,81067,,50000.0,,-23616,-131215,16111,160594,176705,0,210,28,2011.0,212282,,223247,-12281,,,,-15926.0,
2016-05-09,1,2016,,,,,-1752,3290,41,-4360,,-150.0,,-142,1506,-761,-23387,,,,,4.0,,-50.0,,,16295.0,-65242,,-16147,-419,-7274,417,,-6928,7432,-2712.0,2.0,-1506,142,,5926.0,2016年01月01日至2016年03月31日,223247,415309,192062,-9809,68.0,-81795,-80426,,300000.0,,281546,-9809,-18209,-58334,-76543,-18404,160,-160,,-70617,,415309,-5,,,,14985.0,
2016-08-09,2,2016,,,,,-5889,-2938,476,1151,,176.0,,-760,3082,-5045,-38950,,0.0,,,23.0,,-50.0,,,16482.0,-60042,,-13000,-482,-22981,417,,-22285,14549,-1986.0,5.0,-3082,760,,14730.0,2016年01月01日至2016年06月30日,223247,299401,76154,14833,139.0,-59658,-56963,,200000.0,,163142,14833,-18756,-67770,-86526,-36808,160,-160,,-71796,,299401,-373,,,,16447.0,
2016-11-09,3,2016,0.0,,,,-3386,-5501,335,-111,,537.0,,-1143,5068,-9997,-44402,,0.0,,,46.0,,,-50.0,,15509.0,-77544,,-35414,490,-21411,224,,-28687,21231,-1508.0,6.0,-5068,1143,603.0,23494.0,2016年01月01日至2016年09月30日,223247,272577,49330,-5643,204.0,-106724,-103388,,250000.0,,194738,-5643,-37771,-83468,-121239,-55212,160,-160,,-97745,,272577,-14,,,,20338.0,
