date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,,33459.0,,,-883481,-261522,-125512,,-16822,-17000,,,,206898,,8548.0,,,,,-755,37707,24282,-403516,-86000,,-1000.0,,,-24,,,-4308,,-3223,,2758,-54726,,0,4416,,-34000.0,8422,76545,4175,-6778.0,,-372016,63393,,-22114,3519,-19557.0,680,,,2013年01月01日至2013年03月31日,1651637,1857661,206024,27078,,130184,148797,990000.0,-84200,,423574,27078,,-117167,205427,88260,700000,,,49186,75032.0,1576,,,,-27326,,1851.0,,,121719,-1001,-13083,1857661,264,-7001,,,-10643,3286
2013-08-09,2,2013,7997.0,133921.0,,,-1052099,-409648,-50198,,7769,-179500,,,,177848,,-12104.0,,,,,-3459,78273,27856,-452164,-86000,0.0,,,-55451.0,-85,,,-4282,,-2903,,487,-220543,,0,49642,,-38000.0,101700,-102722,19745,-11164.0,,-735632,126073,74032.0,-32623,6993,-59397.0,2719,0.0,,2013年01月01日至2013年06月30日,1651637,1421236,-230401,14491,,140601,194244,990000.0,-50400,,336774,14491,,88353,-42521,45832,900000,0.0,,49185,,1855,,,,-27326,0.0,1851.0,,,179753,-2147,-15686,1421236,3035,-5860,115.0,-176.0,1350,520
2013-11-12,3,2013,8324.0,352243.0,954.0,,-1052100,-464412,6430,,-13324,-281000,,,,164820,,-14798.0,,41407.0,,,-6590,120237,27457,-673643,-136962,0.0,0.0,-11028.0,-45928.0,-13040,,,-13,,-2694,,3082,-63541,,0,-54541,,-10000.0,113031,-329154,-36343,-15102.0,,-1123179,196865,88966.0,7804,7924,-92375.0,4196,4986.0,,2013年01月01日至2013年09月30日,1651637,1726211,74574,-69774,,62879,148278,990000.0,457618,,1107417,-69774,,52775,-186966,-134191,1050000,0.0,,49184,0.0,2472,,,1729.0,-27612,0.0,1851.0,0.0,,218052,756,-12178,1726211,-2206,-6415,16438.0,139005.0,1610,2201
2014-03-25,4,2013,,404757.0,954.0,,-1052099,-618328,-31166,,34881,-336000,,0.0,164985.0,16879,,,3066.0,41494.0,-7121.0,,-11865,161913,34238,-851234,-76962,,,-11028.0,-97229.0,-17772,-60000.0,,-4136,,324,-48471.0,0,-83995,,0,-47897,0.0,-36000.0,-24505,187025,53112,-29890.0,,-1271675,291057,69010.0,5817,6079,-123562.0,11794,26022.0,,2013年01月01日至2013年12月31日,1651637,1638477,-13160,-136955,,253324,353736,990000.0,167100,,970953,-136955,-5497.0,-129886,215820,85934,1380000,1116.0,5961.0,49185,,2047,,401.0,1327.0,-17434,8474.0,-57629.0,,,490691,-935,-12178,1638477,-14666,2274,1488.0,139956.0,-61092,4507
2014-05-13,1,2014,2513.0,100611.0,,,0,-342751,-57435,,-2572,0,,0.0,,-9000,,5415.0,,,0.0,2329.0,-3792,41326,24037,-209678,0,,0.0,-252.0,,-377,0.0,,-257,,-3453,,4642,64731,,0,53628,45000.0,0.0,-5736,-24414,-23785,1396.0,,-194880,75970,-16702.0,-4531,1475,-32307.0,1943,,,2014年01月01日至2014年03月31日,1638477,1408155,-230322,-169492,,-151975,-117691,0.0,293700,0.0,92496,-169492,,-10433,-38377,-48810,100000,3041.0,,0,0.0,783,,,435.0,-76,,0.0,,,51801,155,0,1408155,-3920,-13235,,,-26635,-2441
2014-08-11,2,2014,5016.0,201965.0,,,-346077,-506104,45871,,-3233,0,,-7.0,0.0,-148571,,-1500.0,,,0.0,6102.0,-7831,86248,17844,-313281,-12600,0.0,,-60.0,-18114.0,-603,0.0,,1931,,-3275,,4949,-17013,,0,166844,62000.0,0.0,83792,-245373,-29170,-2313.0,,-333577,147841,12222.0,-8073,3133,-66094.0,6427,1172.0,,2014年01月01日至2014年06月30日,1638477,1382063,-256414,-301817,,-353965,-279931,0.0,467500,0.0,413284,-301817,-1109.0,290180,-470259,-180079,530000,1096.0,441.0,0,,1433,,,,-313,0.0,0.0,,,21886,878,-13210,1382063,-15539,-13101,0.0,209240.0,-39121,-4892
2014-11-11,3,2014,6599.0,326907.0,24332.0,,-347604,-572237,94034,,-6792,0,2000.0,-12942.0,0.0,62050,,0.0,480.0,0.0,-46082.0,,-13482,129108,40959,-560457,0,0.0,0.0,-60.0,-30714.0,-661,,,5484,,-3104,,55703,89301,,0,99679,50000.0,0.0,138832,-478770,-70581,-4369.0,,-564827,221209,27481.0,-24567,4445,-103667.0,14714,8041.0,,2014年01月01日至2014年09月30日,1638477,1183172,-455305,-337841,,-220930,-121767,0.0,423198,,289493,-337841,-2313.0,326081,-436914,-110833,530000,3133.0,441.0,0,0.0,4965,,,0.0,430,0.0,0.0,,,216074,2118,-13283,1183172,-18251,8312,0.0,209240.0,-59603,-4213
2015-03-26,4,2014,7346.0,397020.0,24332.0,,-347604,-604868,9018,,-65825,-73000,,-15.0,0.0,13125,,,-8217.0,0.0,-53616.0,,-19453,171248,46791,-694286,-12600,,,-61.0,-18114.0,-2920,0.0,,3498,,-1858,0.0,53757,-17481,,0,38956,38000.0,0.0,33195,11155,3047,-1822.0,-59500.0,-746943,299618,27481.0,-16647,6107,-144050.0,20685,10929.0,,2014年度,1638477,928230,-710247,-395397,,-141764,-15943,0.0,309824,,131669,-395397,-5200.0,76572,-94138,-17566,530000,33998.0,441.0,0,,4304,,3358.0,0.0,431,0.0,0.0,,,379454,1913,-13283,928230,-13385,17023,1528.0,208175.0,-65640,-4688
2015-05-08,1,2015,1025.0,,,,-558183,-166077,-81749,,49033,0,,0.0,,5573,,0.0,4493.0,,-50335.0,0.0,-4812,42516,3434,-78901,0,,0.0,-281.0,-12730.0,-85,,0.0,-522,,3549,,-8585,52393,,0,28026,5000.0,0.0,-30059,-166005,-29547,,,-146181,76254,395.0,-1379,1622,-34658.0,2789,,86663.0,2015年01月01日至2015年03月31日,928230,736187,-192043,-79451,-6572.0,-192442,-162286,0.0,302330,0.0,143146,-79451,,-76101,-93397,-169498,463000,243.0,,0,0.0,-242,,,0.0,-11,,0.0,,,-82835,525,-1831,736187,1713,-25957,,93527.0,-5239,13728
2015-08-10,2,2015,3852.0,,,,-558183,-520934,29543,,39876,0,79900.0,-8.0,0.0,7543,,-7754.0,,,-59259.0,0.0,-9497,83278,-9200,-95485,0,0.0,,-281.0,-86964.0,-265,,0.0,523,,3961,,1391,-144306,,0,120060,0.0,-25000.0,64744,-277000,-54367,,,-153621,150123,7806.0,-11146,3199,-72880.0,6977,2108.0,195576.0,2015年01月01日至2015年06月30日,928230,657057,-271173,-133295,-5323.0,-206155,-141888,0.0,102343,0.0,97803,-133295,-2108.0,220126,-424295,-204169,818000,15104.0,0.0,0,,42,,,,-1496,,,,,-8593,806,-1831,657057,-472,-19363,,277616.0,-3847,10296
2015-11-10,3,2015,1618.0,,0.0,34113.0,-558183,-642589,137569,,-252584,0,354900.0,-8.0,0.0,52425,,0.0,-7700.0,0.0,634.0,,-11210,122268,16718,-107340,0,0.0,0.0,-281.0,-11696.0,-463,,-55000.0,5125,,5183,,1581,121251,,0,239854,-50005.0,0.0,50983,-687709,-95804,,,182593,229609,7806.0,21955,5029,-110067.0,9678,2614.0,109414.0,2015年01月01日至2015年09月30日,928230,548352,-379878,102307,-9299.0,-353180,-249892,0.0,1176,,-226009,68194,-2614.0,430168,-891781,-461613,593000,17781.0,0.0,0,0.0,5,-9815.0,,0.0,-242910,0.0,,,,-352199,3041,-1831,548352,-5513,-17630,0.0,425409.0,-37166,8020
2016-03-25,4,2015,0.0,,5876.0,13867.0,-558183,-840982,84096,,-250980,0,452900.0,-15.0,0.0,-321,,,14742.0,0.0,4967.0,,-12070,148589,19848,-175408,-31680,,,-371.0,-16565.0,-400,,-211000.0,972,,15647,0.0,-10354,20666,10071.0,0,196653,-133008.0,,9002,-72952,-24814,,-70851.0,43118,273972,7806.0,21187,6551,-130101.0,10658,8634.0,3034.0,2015年度,928230,636247,-291983,70844,-23269.0,5344,-14959,,-78424,,-360293,56977,-3755.0,267535,-356372,-88837,963000,355.0,0.0,0,,-52575,,0.0,,-258529,,0.0,,,-85803,-326,-1831,636247,1011,-48736,110.0,401758.0,-35777,1379
2016-05-10,1,2016,0.0,,,0.0,-485210,-1512578,-45295,,-2622,0,,0.0,,52299,,0.0,2225.0,109.0,3213.0,0.0,-238,29393,-9088,-12759,0,,0.0,0.0,0.0,-324,,0.0,821,,-10843,3723.0,0,4659,,0,-255,0.0,-30000.0,9076,-91689,5590,,,-3691,34913,0.0,7121,1752,,238,,72473.0,2016年01月01日至2016年03月31日,636247,502522,-133725,-30268,-24450.0,-48227,-49057,0.0,77275,0.0,-72719,-30268,,-60227,-31035,-91262,1920000,231.0,,0,0.0,-193,,,0.0,0,,0.0,,,-18789,438,-4288,502522,592,3083,,0.0,728,259
2016-08-12,2,2016,0.0,,,0.0,-486309,-1647181,41923,25820.0,-3247,0,0.0,-2454.0,0.0,18142,,-1997.0,,106.0,0.0,7800.0,-985,54539,9673,-34225,0,0.0,,0.0,-65085.0,-366,,0.0,2798,0.0,-12789,,3406,-121926,,0,71145,0.0,-30000.0,38542,-263531,-15438,,,-81585,67860,0.0,-4305,3011,-56261.0,985,6053.0,115513.0,2016年01月01日至2016年06月30日,636247,402943,-233304,-80703,-68242.0,-257855,-262208,0.0,163982,0.0,96463,-80703,-6053.0,85729,-382747,-297018,2120000,434.0,902.0,0,,213,,,,0,,,,10000.0,-181505,1184,-4405,402943,-2685,2734,,19201.0,3253,1177
2016-11-09,3,2016,0.0,,0.0,0.0,-486309,-1818206,64866,25088.0,-456,0,0.0,-2454.0,0.0,27269,7706.0,-3932.0,0.0,102.0,0.0,13747.0,-5460,97076,4768,-84526,0,-11567.0,0.0,0.0,-91377.0,-393,,-50000.0,5615,0.0,-13731,,3567,86168,,0,109301,,-30000.0,37088,-526288,-54761,,,-215558,101186,0.0,-29183,4638,-98072.0,5460,6587.0,165824.0,2016年01月01日至2016年09月30日,636247,483601,-152646,-44357,-110056.0,-220113,-223598,0.0,569827,,278257,-44357,-6587.0,104494,-449559,-345065,2134103,475.0,902.0,0,0.0,656,0.0,,,0,0.0,,,10000.0,-179241,2197,-4405,483601,-8562,2186,,-12149.0,18509,1098
