date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-14,1,2013,1134.0,606450.0,,-2500000,-733572,1755330,1995400.0,,,-99902,-20555742.0,,,-345988,-992018,57797.0,,-770007,,,44939,659322,-3068833,,0,-2935794.0,,-2325.0,-4558.0,,-3505842,,,-1961453,,,994751,191049,-156800.0,-26572265,3723880,-2947121,392700,-319753,,,,2013年01月01日至2013年03月31日,25341818,18172306,-228397,8752,-7169512,8204364,,3973084,4689941,-1494,5984720.0,8641314.0,,14770347,8204364,-708911,-3411962,-4120873,1143063,562669,200000,-379692,,-2331,,,-3514423,18172306,-397104,-9406.0,1992,,185444,,
2013-08-13,2,2013,,3085915.0,0.0,-5000000,-733572,2906493,4001600.0,,,-80033,-18737190.0,,,-297574,-1432383,33260.0,,-2635204,,,51409,920458,-5195707,,-4300005,-9875671.0,,-14466.0,35194.0,,-3166878,,,-1042020,5098848.0,,-3223280,-980357,-220122.0,-39713428,7418975,-4508138,681421,-844925,,1331895.0,,2013年01月01日至2013年06月30日,25341818,20947400,-205626,1019,-4394418,13246475,,8742373,8796236,-56425,5984720.0,11909442.0,,25656179,13246475,1346777,-8882931,-7536154,2708068,650875,344280,-381978,,-4280,,,-4450239,20947400,-540833,-18641.0,51754,,1724704,,
2013-11-13,3,2013,12102.0,3430220.0,0.0,-10100000,-10977748,3893206,2008400.0,,,-247989,-17766128.0,,,-332492,-1698794,108684.0,,-3749634,,,86406,278732,-7940050,,-4300005,-11399315.0,,-19806.0,-44539.0,,-2990050,,,-775069,7497640.0,,-3310713,-648166,-267716.0,-43301311,11054160,-8671746,1295033,-1613495,,2175466.0,,2013年01月01日至2013年09月30日,25341818,25114232,118811,6438,-227586,22760063,,19686872,19812500,-2327577,20927777.0,6263743.0,,23108121,22760063,2517929,-8895712,-6377783,7953239,954070,944290,-382189,,-9183,,,-2947563,25114232,-687599,-28560.0,-51052,,1773769,,
2014-03-26,4,2013,12160.0,4982002.0,0.0,-17500000,-13623695,-703199,1900.0,,,179660,-19250936.0,,,-339758,-1436244,18715.0,,-4331277,-4667.0,,2200700,865120,-9757385,,-4300005,-11399315.0,,30655.0,-2536.0,,-2364495,,,-171805,4499306.0,,-3850530,-1182990,-339956.0,-46299968,14744325,-12726562,1413952,-2283999,,2175466.0,,2013年01月01日至2013年12月31日,25341818,24547373,-185071,5605,-794445,30957463,,25426536,25730148,-2353884,31262271.0,5012421.0,,19213867,30957463,-1554718,-8654599,-10209317,10021963,988493,1752993,-374930,,-20055,0.0,,-5227315,24547373,-195079,-28560.0,-54895,,1844215,,
2014-05-13,1,2014,0.0,-3398360.0,,-2500000,-6413487,-1177884,-5600.0,,,-124660,4490549.0,,,262633,-581129,10731.0,,-1052779,,-373934.0,539073,806945,-1876872,,-704,0.0,,-36274.0,-4676.0,,-821564,-116231.0,,-357543,,-4499306.0,-1189753,534778,-74024.0,6629327,3782549,-4979198,384929,-344984,336865.0,149416.0,,2014年01月01日至2014年03月31日,24547373,26635902,-209366,1759,2088529,10458217,,2959745,3530711,0,0.0,-429455.0,,-8307488,10458217,-1346818,-2182328,-3529146,5550000,7147,1532527,13413,,-21408,3650366.0,-2538951.0,-6927506,26635902,-712263,0.0,2774,,15903,,
2014-08-12,2,2014,,-3635482.0,,-5500000,-17106579,-167675,0.0,-1200.0,,-403421,3745291.0,0.0,,256079,-751811,0.0,-10122.0,-1107632,,-750758.0,1095407,-125318,-3478154,,-704,-1282862.0,29520.0,0.0,,7635.0,-1462601,,,1235170,0.0,-4499306.0,-4916012,16835,-102818.0,4572416,7600715,-9382042,959757,-906818,663924.0,1495413.0,,2014年01月01日至2014年06月30日,24547373,30791455,90731,12000,6244082,19164908,,8692550,9233172,-5885,9999850.0,-1513988.0,,-6895566,19164908,1220756,-7517010,-6296254,11790405,13470,3025006,14347,,-738947,3650366.0,-2538951.0,-9931736,30791455,-1793141,0.0,2259,,-78261,,
2014-11-12,3,2014,0.0,-5025442.0,15818.0,-12600000,-26449550,-1481995,11200.0,,,-450736,19812121.0,,-3800.0,635890,-782790,-7610.0,,-2007231,,-1106697.0,1659238,835471,-5433297,,-2413528,-1178458.0,,-11847.0,-15688.0,,-4114371,,,-624230,,-4499306.0,-6415880,-969407,-147585.0,18611349,11420618,-14645902,1665743,-1579047,985248.0,7083574.0,,2014年01月01日至2014年09月30日,24547373,31706517,-338848,6221,7159144,30144230,,15250735,10767684,-15075519,9974575.0,2032080.0,,-27538411,30144230,-1617920,-12733184,-14351104,19230727,20027,6165019,28156,,-1174102,3650366.0,-2538951.0,-19376546,31706517,-2006724,0.0,-918,,-143161,,
2015-03-25,4,2014,0.0,-2574822.0,15818.0,-18000000,-36898000,-1053922,16700.0,,,-793881,39768464.0,,,176953,554421,8695.0,,-3849901,120666.0,-1387839.0,2147670,3043697,-6240125,,-7053280,-1186296.0,,-28250.0,952.0,,-2939415,,,-1820797,-4499306.0,,-8086596,-1114678,-192894.0,33852763,15326343,-15515623,1949764,-2309531,1306614.0,7128769.0,,2014年度,24547373,36632716,-721212,13492,12085343,34516098,,20332582,16670467,-15069990,14966816.0,-5136088.0,,-45143699,34516098,-2890660,-12380149,-15270809,19485924,55378,8691387,31540,,-4538705,3650366.0,,-17845631,36632716,-2463737,0.0,-918,,9800,,
2015-05-13,1,2015,10309.0,,,0,-6418897,-1637020,,-21400.0,,1136101,,4254172.0,,107624,-74297,22424.0,,-770895,,-187691.0,473861,-569835,-1078502,-25000.0,0,,25271.0,0.0,-26789.0,,4173370,0.0,,1091473,,0.0,-2948156,122690,,4663517,3993941,-3141560,465070,-257535,108676.0,0.0,1147708.0,2015年01月01日至2015年03月31日,36632716,48670254,-121248,-214,12037538,9817972,-58549.0,12359080,12878916,-981,,,-1956010.0,-4415224,9817972,-496472,2409708,1913236,3988407,45846,2264685,-20635,,-323113,0.0,0.0,3060944,48670254,-370977,,-418,,-54038,,-594.0
2015-08-12,2,2015,17244.0,,,-6000000,-8515798,3267472,,-32600.0,,504886,,6733906.0,333838.0,431733,593592,108836.0,0.0,-1281001,,-411675.0,945403,-960665,-2709881,-25000.0,0,0.0,45385.0,,-20138.0,0.0,1818932,,,1866825,,0.0,-2123761,-403937,,6102238,8005621,-11392710,844020,-1394293,134591.0,1466580.0,-2429174.0,2015年01月01日至2015年06月30日,36632716,55474660,-167434,3372,18841944,25795870,-135421.0,28215808,29187017,-17465,0.0,,-3705249.0,-14515437,25795870,5430609,389712,5820321,4699094,93286,2764722,-12425,212506.0,-241019,0.0,0.0,3391147,55474660,-1178087,,16096,,-1097640,,-35667.0
