date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-30,1,2013,17309.0,-12900.0,-12112,-319,-1232,-487,,,0,,1.0,,427,0.0,-36.0,-1149,0.0,,-67796,,2594,50000,8052,-46583,30399,-925.0,-1148,16555,,,,-427,,,,2013年01月01日至2013年03月31日,142200,69817,-72383,2474,,-58299,-57872,,,-50000.0,-12936,2474,,-1435,-76220,-77655,,0.0,0.0,288,,,0.0,-60346,69817,,39.0,,,8566,,2188
2013-08-09,2,2013,36411.0,-25800.0,-6485,607,960,-884,,,0,,1.0,-7.0,937,,,-3486,0.0,1907.0,-65241,,13331,60000,13768,-79488,2937,-1971.0,-3485,33177,-77.0,,,-938,7.0,,,2013年01月01日至2013年06月30日,142200,73110,-69090,23593,,-49805,-45421,,,-50000.0,-15800,23593,,22384,-127809,-105425,,0.0,,297,,,0.0,-69014,73110,-3453.0,100.0,,,14260,,2858
2013-11-01,3,2013,46664.0,-38700.0,-1952,1047,-798,-696,,,0,,1.0,-13.0,1365,,,-6023,0.0,1906.0,-53097,,9804,60000,8523,-48488,20509,-2982.0,-7221,49814,-64.0,0.0,,-1333,13.0,6835.0,,2013年01月01日至2013年09月30日,142200,134907,-7293,38524,,34854,32793,-26226.0,,-30000.0,-34926,38524,-6835.0,10009,-62404,-52395,0.0,0.0,,363,,,0.0,-5731,134907,-3454.0,64.0,0.0,,18321,-1199.0,-2522
2014-03-19,4,2013,64887.0,-51600.0,355,-231,-277,-1234,,,3905,0.0,,-39.0,1339,,,-6624,0.0,1907.0,-125080,,6953,60000,-978,-17671,29509,-3939.0,2021,66366,-64.0,0.0,,-1255,39.0,6835.0,,2013年01月01日至2013年12月31日,142200,107874,-34326,41948,,-2426,2251,-26226.0,,-20000.0,-33921,41948,-6835.0,1209,-105793,-104584,0.0,6449.0,,668,,,-860.0,-39697,107874,-3461.0,2341.0,,0.0,8914,-4639.0,-841
2014-05-13,1,2014,15647.0,-12900.0,-16233,-1426,-1323,-110,-3335.0,,-3905,,66.0,,191,,0.0,-32718,,,-16566,,9167,0,5320,-20354,-1538,-858.0,-70979,16810,-2277.0,,219.0,-583,,,,2014年01月01日至2014年03月31日,107874,73101,-34773,6787,,-26989,-26406,,,80000.0,63195,6787,,-3550,-45290,-48840,,5812.0,,92,14768.0,,-1665.0,-33193,73101,,0.0,,,-5296,-58907.0,5989
2014-08-12,2,2014,31168.0,-22600.0,-12559,1940,-1337,-318,,712.0,495,,66.0,-21.0,647,,,-100662,,0.0,-19234,,3973,-10000,9615,-29158,-14679,-1824.0,-81511,34944,-2277.0,,495.0,-1437,21.0,,,2014年01月01日至2014年06月30日,107874,173656,65782,23158,,-20602,-14368,,,200000.0,167895,23158,,778,-69472,-68694,,5812.0,,103,14768.0,-3335.0,-1665.0,-37526,173656,-4818.0,0.0,,,-8735,-1495.0,5187
2014-11-13,3,2014,34510.0,-22600.0,-10510,2487,-1204,-914,,19.0,-3705,,176.0,-21.0,1299,,,-106106,,-3341.0,-22685,,-8265,-10000,9909,-22285,7460,-2791.0,-85350,52396,-2277.0,,,-2286,21.0,10993.0,,2014年01月01日至2014年09月30日,107874,73523,-34351,53953,,30088,28589,-32784.0,90000.0,,20911,53953,-10993.0,-15847,-44027,-59874,,5812.0,,170,14768.0,-3335.0,-1665.0,-25364,73523,-7229.0,0.0,,,-8109,0.0,-709
2015-03-20,4,2014,55006.0,-22600.0,-118,4756,-569,-93,,,95,,176.0,-44.0,1609,,,-107529,,-3340.0,-41004,,-4825,0,11663,-60683,7557,-3748.0,-76181,69676,-2277.0,,,-3044,44.0,10993.0,,2014年度,107874,95698,-12176,74004,,29294,39524,-32784.0,,90000.0,34711,74004,-10993.0,2511,-91997,-89486,,5812.0,,269,14768.0,-3335.0,-1665.0,-34480,95698,-7230.0,0.0,2829.0,,-2530,-401.0,2385
2015-05-07,1,2015,,0.0,-11836,-1317,-474,-1451,,,-4000,,-17.0,,452,,,-5929,-6521.0,1557.0,10461,,2418,-10000,-17942,-21801,3510,,-13071,17363,0.0,,,-647,,,19385.0,2015年01月01日至2015年03月31日,95698,98918,3220,30206,-883.0,10291,10938,,,20000.0,6000,30206,,-27870,-10783,-38653,,0.0,,13,0.0,0.0,0.0,-19268,98918,,,,,-185,-604.0,847
2015-08-05,2,2015,,0.0,-6956,61,-123,-94,,,-4000,,-19.0,-25.0,988,,,-10674,-26901.0,-15064.0,14168,20598.0,5673,-10000,-1530,9798,2590,,-24453,34763,0.0,,,-1402,25.0,,16896.0,2015年01月01日至2015年06月30日,95698,177712,82014,77302,-10468.0,109869,111247,,,-10000.0,-3402,77302,,-12041,29090,17049,500.0,13186.0,,269,0.0,0.0,-4035.0,33945,177712,-1.0,,,,2567,-545.0,1363
