date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得投資性不動產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損迴轉利益
2013-05-09,1,2013,-13026.0,-871,,917,-2313,,,,,,-186,1134,-222,-110.0,-1207,-25121,6103,,0.0,-1896,166,13194,,-332,3253,,128,-1060,186,,2013年01月01日至2013年03月31日,174633,198911,24278,17331,,-6390,-5516,31000,31000,17331,4253,-14074,-9821,,,,-22847,198911,,-19634,,3486.0
2013-08-08,2,2013,-4139.0,-1256,0.0,1465,308,-278.0,,,,,-386,2337,-1002,-202.0,-595,3098,-1928,-47000.0,,12253,-45824,1116,,-1204,6529,96331.0,256,-2379,386,,2013年01月01日至2013年06月30日,174633,220277,45644,15195,,74348,76341,19500,-27500,15195,10256,55029,65285,0.0,0.0,,61146,220277,0.0,-12280,,
2013-11-12,3,2013,958.0,-2080,0.0,-378,-3816,-278.0,0.0,,,,-660,3109,-1002,-202.0,670,29447,9043,-38000.0,,-3858,-41972,-7972,,-1204,9791,96331.0,383,-3073,660,,2013年01月01日至2013年09月30日,174633,182355,7722,12441,,85453,87866,-38527,-76527,12441,2449,72018,74467,0.0,0.0,,75425,182355,0.0,-12335,,
2014-03-27,4,2013,1568.0,-5521,0.0,268,527,,,,-455.0,,-843,4162,-1002,-202.0,-1718,44290,-5641,-168000.0,,-23928,-28548,5981,-471.0,-1002,13031,96365.0,510,-4177,848,,2013年01月01日至2013年12月31日,174633,108960,-65673,10188,,94829,94623,8500,-159500,10188,-35293,118160,82867,202.0,-159.0,-11752.0,84435,108960,3535.0,-1830,167.0,
2014-05-08,1,2014,2433.0,448,,1022,-12527,,0.0,,0.0,,-586,571,-140,0.0,-703,-3123,-3321,82000.0,,20251,51721,13992,,-140,3042,,128,-565,79,,2014年01月01日至2014年03月31日,108960,101219,-7741,-4593,,65817,66303,-155418,-73418,-4593,18400,50063,68463,,,,70896,101219,0.0,-19,,
2014-08-12,2,2014,4906.0,5277,,490,1752,0.0,0.0,,,,-1068,1050,-140,0.0,-1451,2527,-1641,128000.0,,6525,801,5165,,-140,5941,0.0,256,-1092,104,,2014年01月01日至2014年06月30日,108960,104486,-4474,2852,,27666,28654,-160000,-32000,2852,10651,10245,20896,,,,25802,104486,0.0,178,,
2014-11-11,3,2014,9323.0,4135,,678,-2223,0.0,,,,,-1614,1631,-759,-879.0,-197,12121,8692,142000.0,,22343,13596,5002,,-1638,8682,95.0,383,-1672,1523,,2014年01月01日至2014年09月30日,108960,170805,61845,7870,,81483,81632,-160000,-18000,7870,35848,28591,64439,,,,73762,170805,0.0,438,,
2015-03-24,4,2014,12063.0,3119,,9,-61788,,,,0.0,,-1952,2154,-932,-879.0,386,2149,2959,133000.0,,-11066,58618,13963,-10.0,-1811,11424,-45026.0,510,-2169,1952,,2014年度,108960,116683,7723,-405,,-22616,-25415,-100850,32150,-405,-4989,-32084,-37073,0.0,0.0,-115.0,-25010,116683,3016.0,-344,0.0,
2015-05-12,1,2015,,-1924,,572,3447,,,,,,-831,566,-275,,1333,-15217,-1834,10000.0,,-2733,-14468,2956,,-275,2647,36191.0,128,-574,68,2918.0,2015年01月01日至2015年03月31日,116683,85248,-31435,-11412,,-2010,-1504,-39150,-29150,-11412,-5919,12909,6990,,,,9908,85248,,-925,,
2015-08-11,2,2015,,7135,,615,6086,,,,,,-1416,1224,-275,,777,-20454,2666,35000.0,,12480,-37035,-9022,,-275,5473,-7937.0,256,-1254,1045,5823.0,2015年01月01日至2015年06月30日,116683,89930,-26753,9823,,-30328,-29820,-31150,3850,9823,22896,-68362,-45466,,,,-39643,89930,-299.0,-491,,
2015-11-10,3,2015,,-1143,,513,6572,,-1161.0,-125156.0,,,-1991,2044,-606,0.0,1236,-7874,-1377,33000.0,,18963,-42603,-9394,,-125762,8143,31732.0,342,-2075,2033,18287.0,2015年01月01日至2015年09月30日,116683,57959,-58724,7014,,19188,19529,14850,47850,7014,16956,-22728,-5772,,,,12515,57959,-299.0,8513,,
2016-03-29,4,2015,,-3056,,801,60160,,,-234377.0,,-1813.0,-2921,2998,-520,0.0,-300,-28939,-7601,31000.0,,14701,18043,-1259,,-236710,10625,-18854.0,350,-3007,2622,20722.0,2015年度,116683,30675,-86008,-5187,5.0,48852,49536,70850,101850,-5187,4850,29151,34001,,,,54723,30675,-299.0,9970,,
