date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,84021.0,,,0.0,-7227,-3344,5677,64667,0,-2539,19376,0.0,4585.0,0,-27741,0.0,,-2666,2640,18608,-104946,,,0,0.0,,-64,,,-52362.0,0.0,-226127,-202613,-34341,,-17010.0,100073.0,,-24988,,-87.0,,-87792,-134250,-63872,68018,13558,335.0,-140288,77103,68662,43560.0,-6907,10645,-2640,6694,,,2013年01月01日至2013年03月31日,658536,776041,117505,125206,,-313015,-314034,,,254316,,552200,125206,,-325463,-197798,-523261,186927,1201.0,,,,-383.0,-489,,-439240,776041,-3035,-3658,7800.0,6386,,,,74285,-33736
2013-08-12,2,2013,164016.0,4165.0,,,97543,-3344,7782,-12939,12318,46572,-176103,,0.0,-4328,-127356,0.0,,-9569,6143,34941,-159406,0.0,,0,0.0,-127950.0,-8891,-2510.0,,-30749.0,0.0,-430144,68679,-19534,,-140461.0,170237.0,,-39818,,,-87.0,-463829,-134492,-101731,74863,18346,-2488.0,-383757,152484,110179,43560.0,-6307,22992,-6234,12178,24934.0,,2013年01月01日至2013年06月30日,658536,572986,-85550,327765,,-664569,-606735,,,184608,,927835,327765,,-6310,-1092206,-1098516,572763,1661.0,,,,-603.0,9433,,-934500,572986,-88712,-12336,10670.0,7152,,,,15862,-13459
2013-11-12,3,2013,214909.0,4165.0,,0.0,78681,-3368,3635,-32979,10671,48652,-320318,,0.0,-5378,-120268,0.0,,-17865,11251,23337,-291770,-15000.0,,0,0.0,-167642.0,-9585,,-1154.0,-41445.0,0.0,38904,-294254,-19304,,-163819.0,140098.0,0.0,-35744,,,,-516752,-136150,30451,65381,18346,-2452.0,-552620,231261,97997,43560.0,-2240,36503,-10563,18856,86994.0,,2013年01月01日至2013年09月30日,658536,559736,-98800,441882,,-526843,-461369,,-480000.0,895608,,957326,441882,-40959.0,-440396,-677764,-1118160,407902,25109.0,,,-1404.0,,9112,,-903251,559736,-160761,-11835,10670.0,250,,,0.0,73721,-48788
2014-03-27,4,2013,300638.0,4165.0,,0.0,163816,-2874,6022,65382,10122,42545,-339936,,0.0,-4036,-82571,,-2592.0,-22729,16798,48971,-464473,-15000.0,-316.0,-45000,0.0,-162241.0,-14469,,1053.0,-10790.0,0.0,260578,-278801,-26979,,-521232.0,50053.0,0.0,-41465,7893.0,,,-234775,-214996,157146,80673,18346,-5884.0,-687877,306663,97212,43560.0,2223,50248,-15952,23934,87056.0,,2013年01月01日至2013年12月31日,658536,536538,-121998,743055,,213633,286124,,-480000.0,323914,,303275,743055,-41021.0,-722118,-35451,-757569,407947,24878.0,,9789.0,-869.0,,7813,,-456931,536538,-167529,-17347,15920.0,4344,0.0,,,68897,-59137
2014-05-14,1,2014,103524.0,,,,-217897,24260,44,-1445,-549,7,104278,,0.0,-3522,-12602,,,-7453,5191,-8884,-106451,,,-20874,,-88303.0,7597,,-309.0,-25042.0,,-356385,-3097,-2413,-91837.0,,0.0,-49949.0,-1006,-7893.0,0.0,,200518,22214,50392,-9528,-5196,783.0,-253821,81651,67231,0.0,4355,13899,-5966,7104,462.0,,2014年01月01日至2014年03月31日,536538,573624,37086,129592,,117771,116774,,,121878,,182020,129592,-462.0,-266945,150603,-116342,114950,0.0,,,,0.0,-350,,-12818,573624,-603,-904,0.0,-1028,,,,78480,32148
2014-08-12,2,2014,144774.0,7790.0,,,-131002,-964,-28589,74490,-1098,-50291,115803,,,-3729,-35849,,,-11830,10307,-26679,-162278,,,-20874,-19528.0,-33101.0,11799,9666.0,,0.0,19029.0,-239660,247317,20110,-310102.0,,0.0,-20758.0,-1004,-7893.0,,0.0,41405,32015,-179741,2310,-1479,1619.0,-84411,173191,86243,0.0,267,31693,-11002,11908,49597.0,,2014年01月01日至2014年06月30日,536538,1558748,1022210,318503,,353894,360693,,,551277,,779406,318503,-32790.0,-189682,87098,-102584,249759,317.0,,161181.0,,-32.0,-12781,,42190,1558748,-57302,-36404,11354.0,-6809,,,,184301,42528
2014-11-12,3,2014,231248.0,7790.0,,,-25991,9074,-23111,71325,-1647,-49236,197272,,,-2407,-41937,66426.0,,-14662,14453,2357,-186967,0.0,,-11962,-19888.0,-113637.0,10694,10777.0,0.0,0.0,3953.0,-512534,130572,43959,-617955.0,,9522.0,,-1999,-7893.0,,,-24375,51676,-381732,-80,-2477,2657.0,-136369,260833,49639,0.0,2657,45110,-14769,13582,87179.0,,2014年01月01日至2014年09月30日,536538,666606,130068,493029,,-326558,-287940,,0.0,364846,,590638,493029,-40214.0,-482056,-530161,-1012217,209978,319.0,,161181.0,-12066.0,-12.0,-12822,,-780969,666606,-124610,-34061,11338.0,-2078,,,,44236,34756
2015-03-26,4,2014,330858.0,7790.0,15564.0,,87255,-878,-20928,97154,-2196,-50836,190065,,-2920.0,-2817,0,10396.0,0.0,-25647,19502,41333,-276978,0.0,0.0,-11962,-21072.0,-130918.0,50363,,0.0,-2371.0,,-271456,93691,18762,-614158.0,,180017.0,,-1815,-5342.0,,,-139393,74726,-252238,-16011,-22238,3424.0,-229519,348169,7322,0.0,-44907,61350,-19787,21919,87388.0,,2014年度,536538,661936,125398,857360,,662295,712153,-600000.0,-384000.0,177360,,-348711,857360,-40423.0,-407896,-68169,-476065,278263,15392.0,,161181.0,-12124.0,-6207.0,-13051,5655.0,-145207,661936,-139378,-21589,15422.0,5386,,,,284828,62001
2015-05-12,1,2015,,,,,-194678,54,24980,3594,-549,1696,16682,,,-25026,-5678,,77.0,-3634,5723,-11362,-48038,,-77.0,-1515,,,31127,178.0,0.0,0.0,27922.0,-394548,-3339,-30145,-161980.0,,,-49852.0,-2393,-2551.0,,,65689,-17414,103898,804,2832,,-27935,87186,58857,,2688,16520,-6330,7421,245.0,126813.0,2015年01月01日至2015年03月31日,955095,1166433,211338,155684,916.0,-241729,-242504,,,554432,,492364,155684,-245.0,-393029,-131972,-525001,14852,,,,,,-552,,-398188,1166433,-561,-12077,,-2220,,,,2654,-609
2015-08-12,2,2015,,0.0,,,-117905,98,14287,-45634,-1098,2769,12446,,,-24492,-12697,,,-7617,13517,-25269,-85381,,-77.0,-1515,0.0,,40285,723.0,,,40240.0,-638721,102071,-11571,38209.0,,120001.0,0.0,1324,-2551.0,,,97490,24859,17261,-2101,-19549,,-59809,175082,76688,,-13205,33463,-14190,10261,60980.0,221308.0,2015年01月01日至2015年06月30日,955095,1100624,145529,293396,-1943.0,23335,74766,,,101292,,207272,293396,-14369.0,67253,-507191,-439938,15000,719.0,,0.0,,-521.0,-1552,,-218630,1100624,-108482,-6541,2766.0,-5252,,,,-44217,56752
