date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-08,1,2013,31658.0,,-30000.0,-17170,-813,-13443,15048,-349.0,-3820,-14457,,,,-207,3758,12942,-17527,,-1663,-1926,,,,0.0,5561,-115426,,,0.0,89636,8,,19903.0,-72994,-193,-11589,34684,42331,649,1.0,-21622,25564,36,1282,-3222.0,207,,2013年01月01日至2013年03月31日,470972,682899,3131.0,211927,84319,,48588,48119,,,185338.0,,172019,84319,0.0,7947,-75805,-67858,,158,0.0,20,0.0,-36200,-477,682899,262.0,,,,-13602,-7802.0,,13769
2013-08-07,2,2013,57469.0,,,-10836,-1036,-10792,15060,-36340.0,-12952,8846,,,,-624,7583,19344,-74055,0.0,-2798,-2568,,0.0,,-15378.0,6575,-112961,,,0.0,50185,-2,19876.0,,30387,635,-79869,92474,-8062,-7091,-4.0,-99246,51393,46,2446,-7290.0,624,,2013年01月01日至2013年06月30日,470972,498983,1570.0,28011,159954,,116665,156994,,,,-45960.0,-8752,159954,0.0,47694,-108123,-60429,40000.0,271,0.0,-2377,0.0,-2960,-1885,498983,-40953.0,0.0,,,-5728,,7101.0,-6798
2013-11-12,3,2013,87267.0,,,-12414,-989,-12941,15050,12835.0,-8555,-19837,-282.0,,,-1593,11829,15780,-75482,0.0,-3035,-1344,,0.0,,-15378.0,6510,-221198,,,0.0,53364,-27,,-30284.0,28180,85,-39487,133334,-73863,-191,-3.0,-48105,77246,-729,3580,-11557.0,1593,,2013年01月01日至2013年09月30日,470972,449534,643.0,-21438,201463,,37057,104329,-137991.0,,159040.0,,-26170,201463,0.0,60394,-244795,-184401,10000.0,3966,0.0,-2365,0.0,-97134,-2956,449534,-68865.0,,,,-25380,,7101.0,3709
2014-03-18,4,2013,111055.0,,,-285,-159,982,7340,9932.0,10331,7066,,,-1180.0,-2220,15942,19950,-293236,0.0,-3155,3308,0.0,0.0,,-15378.0,1312,-214282,,-3503.0,,56116,-12,49757.0,,-10750,979,-21853,190558,-50718,806,-354.0,-456185,103283,-4252,4587,-15568.0,2220,,2013年01月01日至2013年12月31日,470972,648020,,177048,298939,,309885,382406,-137991.0,,154040.0,,303398,298939,0.0,75014,-102602,-27588,268538.0,13662,0.0,-4910,0.0,83467,-7643,648020,-74741.0,,,-188141.0,-22501,,3441.0,26791
2014-05-13,1,2014,28796.0,,0.0,-18604,10,-8614,-173,486.0,-10459,-10747,,,-303.0,-501,4889,-4413,-77805,,-286,1486,,,,,4590,-98858,3070.0,-2754.0,,85037,4266,0.0,,21852,-1233,-18166,-24364,-47043,116,0.0,-68668,25572,-367,1189,-4835.0,501,,2014年01月01日至2014年03月31日,648020,602368,,-45652,84394,,-7736,-8562,,,40000.0,,35165,84394,,103243,-224995,-121752,,714,,-415,,-92956,2564,602368,325.0,,,,-17146,563.0,,19810
2014-08-12,2,2014,63632.0,,,7061,195,-8931,-664,,-16093,-3235,,-6364.0,-3750.0,-1297,10698,-5585,-101001,,-467,5682,,,,0.0,4588,-120773,3070.0,,,25181,21,42.0,,126018,-297,-127771,-70377,-61792,-782,1.0,-107333,51585,-1226,2355,,1297,,2014年01月01日至2014年06月30日,648020,588892,,-59128,145968,,-58099,-36868,-3.0,,122600.0,,111889,145968,,168493,-414961,-246468,0.0,714,,-415,,-182836,4610,588892,,,,,-20636,-7873.0,,21796
2014-11-11,3,2014,96736.0,,,-11512,782,-5274,3483,,-5149,-28638,,-7319.0,-4216.0,-1791,17699,2168,-125237,,-717,7571,,,,0.0,4680,-203995,3070.0,,,60398,604,19968.0,,135694,-1153,-122228,-71895,-123782,-301,4.0,-132043,77125,-2552,3538,-17751.0,1791,,2014年01月01日至2014年09月30日,648020,743270,,95250,230425,,29034,67818,-183992.0,,277866.0,,196091,230425,,316995,-576338,-259343,100000.0,714,,-638,,-162607,6042,743270,-40575.0,,,,-23708,-7234.0,,131285
2015-03-11,4,2014,134467.0,,,28357,2550,107,3595,,54718,7842,,-6825.0,-1206.0,-2846,24095,8652,-156343,,-1167,20592,,,,0.0,2681,-135426,3070.0,-3928.0,,42399,1480,151902.0,,187334,-1581,-230182,-185390,-148119,-1359,-222.0,-198710,103053,-9344,4751,-23920.0,2846,,2014年度,648020,831447,,183427,361838,,89837,135378,-183992.0,,274273.0,,283648,361838,,372645,-733572,-360927,65385.0,1036,,-700,,-226460,6131,831447,-48387.0,,,0.0,-44640,-41162.0,,51479
2015-05-13,1,2015,,,,-27002,-1440,-92808,2035,,-54,11933,,-4996.0,-40621.0,-743,6896,-2171,-13850,,0,-747,,,,,1842,-162100,0.0,2568.0,,63264,-1549,49971.0,,-48720,1273,67938,18587,60819,1043,,-16732,24226,924,1100,-7181.0,743,-6397.0,2015年01月01日至2015年03月31日,831447,849372,,17925,94317,-2.0,-69962,-45201,,,64000.0,,106790,94317,,-13757,-119364,-133121,,326,,0,,-139518,426,849372,-25504.0,,,,-26811,-54.0,,47
2015-08-07,2,2015,,9537.0,,1544,9299,-18587,3125,,-1487,-746,,-7264.0,-40675.0,-2446,14838,-5161,-31342,,0,7595,,,50.0,,2313,-180801,-9211.0,0.0,,29112,-1549,102997.0,,-38230,415,-23667,-11052,121985,1449,,5913,53671,-1059,2109,-14582.0,2446,44035.0,2015年01月01日至2015年06月30日,831447,974650,1003.0,143203,113402,-1.0,-23340,26505,0.0,395000.0,-102289.0,,165791,113402,,37135,-168067,-130932,-215385.0,1793,,4999,,-86897,-300,974650,-52291.0,4000.0,,,-59773,40087.0,,38332
2015-11-06,3,2015,,9537.0,,-7027,-851,-16508,3252,,-14499,-57562,,-7602.0,-40918.0,-3278,23823,6594,-61315,,-3782,-4700,,,,,2409,-186647,-9211.0,2989.0,,-5692,-532,22972.0,,-88846,4030,-85646,38057,42956,1261,,-67496,80383,-246,3106,-23948.0,3278,74363.0,2015年01月01日至2015年09月30日,831447,856590,,25143,310158,-2.0,-55686,27037,0.0,395000.0,23615.0,,141731,310158,,-112962,-244522,-357484,-323923.0,3611,,5964,,-283121,-1674,856590,-86001.0,7240.0,48015.0,,16315,-1143.0,,2131
