date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-08,1,2013,14625.0,0.0,-25000,-12861,-1929,-7481,,,0.0,31.0,0.0,-54.0,,54.0,-66,1943,0.0,-1798,,,,,,,-22391,33472,4015,-11211,-46164,,-22690,-329.0,4733,12459,,30919,59,-1949,66,,2013年01月01日至2013年03月31日,182063,34872,-147191,9873,,,-59703,-57819,,,-67221.0,-92221,9873,,5605,-87922,-82317,,50.0,6450.0,176,,-67692,34872,-1.0,,,-25613
2013-08-09,2,2013,28294.0,,-200000,-13739,-5101,4765,65.0,,,,,,,55.0,-166,3736,,-8429,,,,0.0,,-231.0,-56860,41675,-44790,-24133,26282,,-11762,-650.0,-2161,24391,,29815,58,-3776,166,,2013年01月01日至2013年06月30日,182063,32580,-149483,18136,,,-22037,-9812,,74715.0,,-125285,18136,,-36872,-19370,-56242,,50.0,6449.0,220,,-27948,32580,-8615.0,,,-1809
2013-11-06,3,2013,41890.0,,-225000,-12806,-381,-2804,790.0,,0.0,,,,,55.0,-232,5583,0.0,-11954,,,,0.0,-163.0,0.0,-71125,10147,-101993,-31759,107224,,29264,-970.0,-5618,36206,,32793,58,-5605,232,,2013年01月01日至2013年09月30日,182063,99372,-82691,15828,,,-4327,9583,-44745.0,196999.0,0.0,-72746,15828,,-140185,92050,-48135,0.0,50.0,6449.0,220,,-6245,99372,-8537.0,,,-6515
2014-03-12,4,2013,55521.0,,-325000,-10803,718,2569,178.0,,,,,,,,-335,7555,,-20491,0.0,,0.0,256.0,,99.0,75216,14421,-81150,-21444,-41322,,15085,-1158.0,-8958,48442,,34184,59,-7486,335,,2013年01月01日至2013年12月31日,182063,80947,-101116,40000,,65217.0,65217,81022,-44745.0,,137370.0,-157375,40000,,-97565,83066,-14499,75000.0,412.0,11022.0,-84,-372.0,41022,80947,-8654.0,,0.0,-993
2014-05-07,1,2014,-29973.0,,-25000,-3680,-4063,-932,,,,134.0,0.0,-1108.0,,0.0,-75,1803,,-10406,,,0.0,0.0,,,-214810,27703,-68815,19594,77907,,18134,-291.0,105229,12113,,-2094,35,-1728,75,,2014年01月01日至2014年03月31日,80947,47674,-33273,39443,,,-158237,-156583,0.0,,14735.0,19735,39443,,-26421,-139632,-166053,30000.0,115501.0,0.0,-43849,,-196026,47674,-1.0,,0.0,-13598
2014-08-06,2,2014,-16272.0,,-50000,-2288,-2139,-8563,,,,734.0,0.0,-1255.0,0.0,0.0,-173,3690,0.0,-14644,,,,,,,-152435,908,-68685,2742,10011,,16653,-576.0,101917,24155,,-2900,35,-3734,173,,2014年01月01日至2014年06月30日,80947,55808,-25139,73257,,,-158841,-153999,,51785.0,,31785,73257,,-76462,-134522,-210984,30000.0,115827.0,0.0,-43979,,-227256,55808,-1281.0,,,-2457
2014-11-12,3,2014,-2773.0,,-75000,-354,-799,-13093,,,,,,-4150.0,0.0,0.0,-241,5343,0.0,-16197,,,,,0.0,734.0,-110404,23414,-45853,-9703,107520,,-26815,-858.0,100380,35996,,-3853,35,-5435,241,,2014年01月01日至2014年09月30日,80947,85319,4372,74388,,,-21324,-12267,-33559.0,3875.0,,-74684,74388,,-46447,-37435,-83882,30000.0,115843.0,0.0,-43906,,-86655,85319,-3863.0,,,1066
2015-03-16,4,2014,14376.0,,-75000,1653,-2345,-12540,-840.0,,0.0,,,,,3625.0,-352,7068,0.0,-19726,,,,0.0,,729.0,-81247,12259,-46483,-1367,36022,,-38671,-1163.0,96848,47814,,-5784,35,-7088,352,,2014年度,80947,108711,27764,90884,,,-47736,-36946,-33559.0,57211.0,,-21348,90884,,-47641,-94565,-142206,30000.0,115845.0,0.0,-43814,,-127830,108711,-4054.0,,0.0,-1700
2015-05-13,1,2015,,,0,-3086,2281,5245,,,0.0,,0.0,833.0,,0.0,-68,1566,,-1492,,,-23663.0,0.0,-805.0,0.0,1563,-6827,43470,-8475,-26540,,41289,,-25960,11824,,-714,11,-1607,68,18319.0,2015年01月01日至2015年03月31日,108711,57434,-51277,46,-349.0,,67683,69222,0.0,,-93000.0,-93000,46,,29978,20879,50857,0.0,0.0,,22,1272.0,69176,57434,0.0,3692.0,0.0,2167
2015-08-11,2,2015,,,0,-3435,-5588,-4890,,-652.0,,,,727.0,,1272.0,-149,3149,,-3064,,,-23663.0,,-5489.0,0.0,-121303,-23067,-17848,917,120909,,51920,,-32216,23620,,-1197,11,-3208,149,37558.0,2015年01月01日至2015年06月30日,108711,70911,-37800,345,-697.0,,9667,16816,,0.0,-15251.0,-15251,345,-885.0,-49020,27933,-21087,0.0,0.0,,852,,16471,70911,-4090.0,9688.0,,-16883
