date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-03,1,2013,57746.0,-21912,,-3022,,5496,4994,,,0.0,,-1162,28,113,-3528,-36672.0,-2366,,,,1397,,,-952.0,,117455,,56157,-44826.0,,-42551.0,-31514,,-146700,5738.0,1077,-1533,,-44907,41852,,138,-30,1099,,,2013年01月01日至2013年03月31日,813489,730030,-507,-83459,4870,-38665,-38525,,,4870,,-79150,-21991,-101141,0.0,0.0,0.0,,,0.0,,,-43395,730030,-110,,16000,,,-2488
2013-08-14,2,2013,122646.0,-20794,,-9645,,230,3688,,,,,-2493,59,141,-5642,-54865.0,-4176,,-23000.0,,1467,0.0,,0.0,-675.0,102586,,148304,-44826.0,,-58932.0,-32272,,-145464,11328.0,1531,-11306,,-57146,82576,283.0,277,-62,2445,,,2013年01月01日至2013年06月30日,813489,764597,-23,-48892,-23235,8113,43839,,0.0,-23235,,-8290,-47282,-55572,0.0,0.0,0.0,,,0.0,32000.0,,67074,764597,-35664,,40500,,,-3233
2013-11-13,3,2013,154027.0,-22354,0.0,1000,,6693,2544,,,,,-3734,96,75,-8458,-56619.0,-4384,-88.0,-23000.0,,1763,0.0,,,482.0,285144,,20146,-44826.0,,-28357.0,-37322,,-171291,11401.0,5560,-6174,,-60333,122517,200.0,416,-96,3622,,,2013年01月01日至2013年09月30日,813489,741463,269,-72026,-30975,108664,145216,-120432.0,-120432.0,-30975,,-106020,128184,22164,0.0,0.0,0.0,,,0.0,32000.0,,176191,741463,-36456,,32500,,0.0,-3888
2014-03-26,4,2013,208791.0,-24763,,1537,0.0,2414,312,,,,,-5263,122,112,-10455,-56619.0,-4480,-829.0,-172000.0,,-214,,0.0,,468.0,284105,,13131,-44826.0,,-72926.0,-48522,45033.0,20660,11408.0,5603,-10874,,-171558,158604,-1777.0,562,-124,5180,13309.0,,2013年01月01日至2013年12月31日,813489,811025,-177,-2464,-64308,289414,326775,-120432.0,-120432.0,-64308,-13309.0,-130459,312751,182292,0.0,0.0,0.0,,,0.0,59500.0,,391083,811025,-37237,,70243,,,-5632
2014-05-09,1,2014,42529.0,257,,-8865,,10869,4998,,,0.0,,-1625,29,102,-1717,0.0,0,,-14880.0,,709,,,-1588.0,,-90005,,-20786,0.0,-11511.0,,662,-39375.0,-94442,3.0,0,9593,,-16681,30437,495.0,207,-29,1314,,,2014年01月01日至2014年03月31日,811025,583221,187,-227804,-14992,-211225,-211065,,,-14992,,-59884,-178718,-238602,910.0,,-910.0,,,0.0,,,-196073,583221,-131,,13000,,,-720
2014-08-13,2,2014,70124.0,-6907,,-9638,,8965,780,,,,,-3223,59,10,-4851,0.0,0,,-89380.0,,2017,0.0,,,-1436.0,3881,,-61767,0.0,-2338.0,,-2068,-45059.0,-207291,9.0,0,1040,,32692,59761,319.0,415,-59,2909,,,2014年01月01日至2014年06月30日,811025,544408,686,-266617,-42709,-299319,-292978,,0.0,-42709,,-109174,-211219,-320393,910.0,0.0,-910.0,,,,126255.0,,-250269,544408,-6282,,11000,,,-1715
2014-11-12,3,2014,54391.0,-6688,,-7140,,992,32,,,,2697.0,-4794,84,94,-8983,0.0,-120,0.0,-103738.0,,-48,,,-1439.0,0.0,-126077,-203.0,-86629,0.0,-38378.0,,1542,-45059.0,-13396,91.0,-1964,5648,,216847,88338,224.0,669,-84,4455,,,2014年01月01日至2014年09月30日,811025,754610,-661,-56415,-4202,-273356,-266837,0.0,0.0,-4202,,-174220,-142806,-317026,44025.0,3200.0,-18092.0,147908.0,-26866.0,,140880.0,,-262635,754610,-6435,-160.0,13000,,,-9138
2015-03-30,4,2014,73252.0,-7342,,-6137,,-4122,-323,,41.0,,,-6696,108,280,-12863,0.0,-247,0.0,-227694.0,,-861,,,-2508.0,0.0,-104810,-203.0,-122499,0.0,-39120.0,,-12834,-44614.0,69619,253.0,-684,9678,,195021,116390,-829.0,840,-108,6347,5935.0,,2014年度,811025,781581,-1004,-29444,-28369,-224745,-218011,0.0,0.0,-28369,-5935.0,-230531,-32363,-262894,44025.0,3040.0,-18092.0,147908.0,-26866.0,,240554.0,,-189642,781581,-6626,,16197,,,-9273
2015-05-11,1,2015,,-830,,3549,,-220,1021,1.0,,0.0,,-1804,23,-53,-5794,,-37,,,-1084.0,1565,,-1000.0,0.0,1496.0,54709,,92490,,-48835.0,,1917,-445.0,-131147,-4068.0,592,-6111,37.0,15708,27141,-312.0,128,-23,1875,,54125.0,2015年01月01日至2015年03月31日,781581,758981,384,-22600,-53830,-37255,-37045,,-1000.0,-53830,,44078,-81418,-37340,0.0,,0.0,,,,,20201.0,16785,758981,-187,,27000,,,-949
2015-08-14,2,2015,,20047,,-4219,,27470,-4141,10.0,10.0,,,-3627,48,-119,-11777,,-37,,,-75584.0,928,4.0,-1000.0,-8757.0,9430.0,59420,,98291,26516.0,-54899.0,,-29839,-445.0,-74448,-10514.0,-3404,-9253,37.0,15401,53026,-1045.0,257,-48,3720,,65919.0,2015年01月01日至2015年06月30日,781581,829160,222,47579,-71787,33293,34771,,-996.0,-71787,,87151,-46512,40639,2.0,,110.0,,,,,99701.0,106558,829160,-1430,,16000,,,-1297
