date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-15,1,2013,231239.0,,18584,,-30780,30609,26323,-2158.0,,-11084,0.0,1120,,-3831,9541,27098,-84677,,,-179304.0,0.0,0.0,,1140,1292,-173615,,393701,,614.0,,,-92261,,-68787,0.0,-266489,132617,-4612,170147,1617,-11400,3740,,,2013年01月01日至2013年03月31日,835109,984083,-67206,148974,272493,,525337,533028,,0.0,-136720.0,-136972,272493,,441282,-411986,29296,,,8563.0,0,,-4510,13.0,,260535,984083,-31,-3496,,,,,-5900.0,-68254,,-1612.0
2013-08-14,2,2013,392502.0,-89001.0,-43664,,-18431,61348,35362,2403.0,,-73240,0.0,2247,,-8528,20022,40988,-136468,-750349.0,0.0,-179304.0,0.0,0.0,,1297,1352,-15655,,240807,,914.0,,,-161368,,-54748,0.0,-1124739,268772,1676,224196,3207,-21293,8149,2718.0,,2013年01月01日至2013年06月30日,835109,1139664,-86440,304555,463389,,888297,949031,,290694.0,,500009,463389,,254533,-161393,93140,293647.0,3328.0,8563.0,0,-509.0,-3866,13.0,,485642,1139664,-47590,-5384,,,,0.0,-22512.0,51771,,-3958.0
2013-11-11,3,2013,470328.0,-535212.0,-63197,,-198156,71553,69499,20848.0,,-75175,0.0,3422,,-14725,33011,24663,-188408,-750349.0,0.0,-179304.0,0.0,-247.0,,509,2439,610318,,241761,,-22086.0,,,-63927,,-20759,0.0,-1180939,404741,12987,234386,5172,-33752,14321,37548.0,,2013年01月01日至2013年09月30日,835109,1335256,-68526,500147,1084325,,1985890,2157077,-1046339.0,64830.0,,-329467,1084325,-66472.0,243779,358645,602424,1186053.0,3981.0,8563.0,0,372.0,-5873,,,1072752,1335256,-189304,-7387,-6338.0,,,0.0,-48302.0,-51317,,
2014-03-12,4,2013,742179.0,-178133.0,-8094,,-131775,71178,70522,23670.0,,-92623,,4562,,-21766,46845,36495,-361741,-750349.0,0.0,-1002784.0,0.0,-16247.0,,209,2429,442123,,292385,,,-27086.0,,-44679,,9939,-3090.0,-2001657,537042,-542,283275,22552,-46690,21339,69191.0,,2013年01月01日至2013年12月31日,835109,1480652,-10775,645543,1538767,,2900797,3046287,-1046339.0,-1248380.0,,-290092,1538767,-66472.0,343669,421672,765341,2183747.0,153049.0,14326.0,54712,-3180.0,-4556,,,1507520,1480652,-189330,-11416,-8710.0,20000.0,,0.0,-54141.0,76084,,
2014-05-12,1,2014,367200.0,,-10423,,91229,-21333,-9805,6442.0,,-38,,564,,-10400,14152,10668,-446383,,,0.0,,10543.0,,146,335,-86444,1088818.0,-120850,,,0.0,,17136,,-41549,,757652,125916,-11683,247165,2186,-15337,9773,,,2014年01月01日至2014年03月31日,1480652,3124079,19116,1643427,50007,,113079,118771,,405325.0,,762028,50007,,-155056,-143380,-298436,349926.0,,0.0,104712,,-13890,,,68764,3124079,-128,-11846,-2450.0,,,,-5909.0,-102264,,
2014-08-13,2,2014,590113.0,-543366.0,-22787,,72494,-30555,-97876,18779.0,,0,501775.0,3144,,-25030,29407,-32569,-3585,0.0,,0.0,-127.0,,,635,860,-182039,1088818.0,-21377,,0.0,,,-75275,,-30612,,-1125170,253603,5112,359262,4387,-29586,19662,4317.0,,2014年01月01日至2014年06月30日,1480652,2606533,1091,1125881,131457,,212731,390562,,1091156.0,,2070889,131457,-827.0,-79547,-251461,-331008,879388.0,0.0,0.0,173436,82.0,-31422,16234.0,,259105,2606533,-167907,-12973,,,624072.0,8754.0,0.0,56735,-2906038.0,-4828.0
2014-11-05,3,2014,680991.0,-542304.0,5112,,86210,-13859,-312528,29292.0,,0,393739.0,5717,,-45587,46773,24367,-6527,0.0,,-414987.0,-448.0,0.0,,-1279,4397,-574753,1088818.0,71699,,,0.0,,237133,,-67582,,-3212424,384798,8326,427809,6744,-44445,29353,64377.0,,2014年01月01日至2014年09月30日,1480652,2381912,4372,901260,266952,,-74288,200499,-1046340.0,1009503.0,,4163605,266952,-60108.0,55728,-803172,-747444,4084985.0,0.0,0.0,430979,82.0,-114848,16234.0,,-66453,2381912,-324072,-6873,,,624072.0,33391.0,0.0,-179978,-4720232.0,-7224.0
2015-03-18,4,2014,1141232.0,-636418.0,57169,,34303,-40293,-732826,26518.0,,-939,,8362,-1629.0,-65243,68712,113028,-25966,-360175.0,,-414987.0,-4460.0,0.0,,-100,11146,-446412,1088818.0,-189196,,,0.0,,30467,,-50355,-1526.0,-5723184,519636,23345,700215,25298,-55407,41895,79091.0,,2014年度,1480652,3066613,75409,1585961,43041,,-437242,-178747,-1046340.0,1758231.0,,7633359,43041,-74775.0,-183564,-1179456,-1363020,6896150.0,0.0,0.0,561198,2840.0,-181273,16234.0,,-221788,3066613,-324074,-9293,-9718.0,0.0,624072.0,71444.0,0.0,-37978,-6581278.0,
2015-04-28,1,2015,,,-24090,,504796,13427,-139334,-21524.0,,-1517,,2725,,-19274,21705,-31367,-3014,,,,-5803.0,,-12.0,420,-485,-530946,0.0,178230,,,,,-24496,,-36189,,-1138865,135272,24323,99077,6483,-19714,12030,,151813.0,2015年01月01日至2015年03月31日,3066613,2540646,-2339,-525967,13020,,-670,7143,,-541078.0,,644935,13020,,165038,-322728,-157690,1208022.0,313.0,,138972,2354.0,-60991,,0.0,-5877,2540646,-129,-959,-2529.0,,,,-32660.0,-120882,-1267804.0,
2015-08-13,2,2015,,0.0,-3377,,334636,12852,-475346,-21801.0,,-40317,0.0,5393,,-34479,41550,-51335,-9106,-360173.0,,,-6232.0,,-229.0,185,3835,-1245383,0.0,653905,,,,,-23794,,-10209,,-2332457,270987,3788,165082,12430,-29638,23138,0.0,292133.0,2015年01月01日至2015年06月30日,3066613,2247378,-50122,-819235,496622,,4459,13107,,0.0,-451897.0,1560098,496622,-14202.0,658370,-1434018,-775648,2029961.0,310.0,,138972,2354.0,-64424,,0.0,-483515,2247378,-2148,2217,-5010.0,,0.0,0.0,-44838.0,-17710,-2055682.0,
