date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他借款增加,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加
2013-05-03,1,2013,415169.0,,-505049,,-370444,,153312,-1207,,,,,,,854.0,,-21851.0,,3945,,78636,96308,-444633,,-918,3448,,,104205,,-514931,-449683.0,,97702,340852,,100608,,,-445977,338192,,-18935,8745,-91208,,,,2013年01月01日至2013年03月31日,4131004,5020484,889480,371624,531537,696890,,-571955,,707612,371624,,-634361,544458,-89903,2233445,9619,,11806.0,,,751,,,0.0,,325266,5020484,-74145,387.0,,,,
2013-08-07,2,2013,894488.0,,-4356920,,100126,,-33205,-754330,,,,,,,831.0,,73278.0,,26964,,154689,58292,-921441,,-2831,5761,,,269081,-113824.0,599963,190.0,,55146,-714024,,185475,,,-908187,702140,,-46797,39672,-161076,,,,2013年01月01日至2013年06月30日,4131004,5478605,1347601,1035072,1217025,1637792,,323537,,980471,1035072,,722030,-1013798,-291768,5034357,33241,455.0,43674.0,,-20739.0,-2604,,,-5628.0,,602720,5478605,-259691,20291.0,-21524.0,,,
2013-11-11,3,2013,1220268.0,,-15843282,,275661,,-56071,-870571,3030.0,-23864.0,,,,,,,,,82434,-99546.0,238909,198281,-1213829,,-3346,-10658,,,247793,-113824.0,-182584,-449683.0,,49295,-1134487,,111414,,,-1238443,1050118,,-71848,32762,-250427,71331.0,22709.0,,2013年01月01日至2013年09月30日,4131004,4769307,638303,1870963,1029173,1510847,-1091637.0,367761,,649292,1870963,-22737.0,89331,-1669715,-1580384,17687657,43254,23329.0,47024.0,,-21051.0,1556,,,-1325.0,0.0,-360116,4769307,-325287,20603.0,-21524.0,,,0.0
2014-03-11,4,2013,1521591.0,,-13682573,,182715,-821788.0,-30773,500084,,,,21190.0,,,,-23835.0,-4981.0,,17576,-136639.0,320086,328639,-1437631,-58610.0,-3716,-15557,,,-31352,-113824.0,-37122,-449683.0,,58742,-1092912,,-137463,,47099.0,-2281698,1407881,,-76190,47558,-319779,102952.0,153741.0,,2013年01月01日至2013年12月31日,4131004,4844892,713888,2612397,3108910,3614196,-1091637.0,249688,,-441963,2612397,-22737.0,241851,-761643,-519792,14541892,61164,30676.0,67012.0,,,2577,,0.0,-1326.0,,1001799,4844892,-442200,-21638.0,14185.0,,,
2014-05-08,1,2014,424978.0,,-1120481,,-344313,-177353.0,-55274,96575,,,,,,,28803.0,,23241.0,,4677,-37940.0,84273,10725,-527465,0.0,-1400,14391,,,-22115,0.0,-248624,0.0,,-40441,1132279,,-214660,,,-679072,367452,,-22716,3469,-76767,18501.0,0.0,,2014年01月01日至2014年03月31日,4844892,6455333,1610441,481033,1032336,1209438,0.0,-214455,,1246452,481033,0.0,-688652,992079,303427,2552585,3905,0.0,0.0,,0.0,2424,,0.0,0.0,,728405,6455333,-118836,0.0,0.0,8948.0,,
2014-08-08,2,2014,829320.0,,-5131043,,28929,141971.0,-60982,-186598,,,,,,,39144.0,,-67042.0,,9584,-83758.0,169024,-1576,-898153,0.0,-9250,33199,,,-192176,0.0,50959,0.0,,-75143,-287801,,152583,,,-819085,719597,5140.0,-40155,7365,-159409,65482.0,0.0,,2014年01月01日至2014年06月30日,4844892,6640027,1795135,1285480,1153426,1549711,,6854,,1462370,1285480,0.0,-51097,-513992,-565089,6405453,12876,513.0,0.0,5853.0,,5037,,0.0,-478.0,,264231,6640027,-302358,-5140.0,141962.0,9192.0,,
2014-11-10,3,2014,1259515.0,,-8064400,,134415,-106631.0,-76854,-243222,49706.0,,,,,,,,-254394.0,7370.0,86035,-127900.0,250679,6463,-1256607,0.0,-21277,46498,555.0,,-391678,0.0,287172,,0.0,-31112,-570786,,-181909,,,-1615138,1079859,7830.0,-63759,11449,-241454,109123.0,27982.0,,2014年01月01日至2014年09月30日,4844892,5976930,1132038,2227015,1956561,2470092,-1389356.0,502813,,784152,2227015,-28441.0,371157,-1387595,-1016438,9564579,15888,513.0,0.0,-1490.0,,5701,,,-478.0,,243077,5976930,-409182,-7830.0,169961.0,9192.0,,
2015-03-20,4,2014,1639670.0,,-8932274,,135888,-302412.0,-25820,143870,48590.0,,,,,,,,-252093.0,7723.0,22700,-167735.0,333994,179680,-1873156,0.0,-26887,61975,770.0,,-348592,0.0,-430620,,0.0,-72678,-92188,,-512626,,,-2434497,1484769,10064.0,-108702,16120,-330197,177096.0,161334.0,,2014年度,4844892,5417390,572498,3007562,2901157,3503120,-1389356.0,-1116301,,-73842,3007562,-28441.0,-334576,-809536,-1144112,11193356,12328,,0.0,-1561.0,,6427,,,-578.0,,495558,5417390,-610196,-10064.0,169963.0,30766.0,0.0,
2015-05-08,1,2015,,,-1099432,,-175829,1506806.0,-4658,-231293,11677.0,,,,,,,,-29216.0,,6212,-34695.0,78336,-95386,-889593,,-745,51355,474.0,,267739,,-89961,,,956,373244,-10167.0,185424,618.0,,591801,373281,2963.0,-24764,4361,-78449,41909.0,,452512.0,2015年01月01日至2015年03月31日,5417390,6812337,1394947,657198,1334542,1440423,,169018,,-436010,657198,,-254852,585565,330713,487111,4549,,,,,1389,,,,,783225,6812337,-69341,-2963.0,6819.0,0.0,,
2015-08-07,2,2015,,,-4449732,,17779,2528056.0,-5966,-189897,10152.0,,,,,,,,,12712.0,11511,-65976.0,151429,-152189,-1538156,-148750.0,-4624,78729,,-1071.0,121042,,64124,499359.0,,-12386,-398438,-17742.0,242434,1793.0,,856200,731859,4615.0,-67713,8787,-150819,97909.0,1250.0,845680.0,2015年01月01日至2015年06月30日,5417390,7990529,2573139,1473539,1831799,2156729,,1326376,,37329,1473539,-1250.0,78318,-240808,-162490,2657866,6962,0.0,,0.0,,2919,,,0.0,,683190,7990529,-273270,-4615.0,4531.0,0.0,,
