date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-09,1,2013,17023.0,,-1572.0,8867,-1974.0,-323,4816,,-1881,,-42,3891,-3471,-4930,0.0,,,-32135.0,,0,,,-31534,-7114,334,-7716,22900,-124.0,-7167,14586,,0.0,1625,-3451,76,,,2013年01月01日至2013年03月31日,64726,124598,-2973.0,59872,4473,,6253,9628,,,377397,-311568,64257,4473,,1640,-13508,-11868,,119,,0.0,-64,,,,31660.0,,,5155,124598,,0.0,,,,,
2013-08-09,2,2013,39434.0,,-4168.0,7177,-5202.0,13414,6012,,-1699,,-110,7303,-13298,-6960,0.0,,,-36709.0,,2550,,,-1032,124,1785,47043,27,-124.0,-13589,29252,,0.0,3274,-7339,321,,,2013年01月01日至2013年06月30日,64726,80208,-2728.0,15482,7361,,109001,116019,,,668000,-750464,-66632,7361,,22376,46848,69224,20000.0,119,,,-61,,,,31660.0,,0.0,108658,80208,,-46.0,,,,,
2013-11-06,3,2013,62534.0,,-11607.0,1498,-6679.0,1834,16729,,-4426,,-145,10640,-1746,-7276,,,,-31881.0,,2550,,,7276,-8805,207,27127,39,-124.0,-10336,43940,,0.0,4904,-10643,386,,,2013年01月01日至2013年09月30日,64726,97600,913.0,32874,13818,,105197,115454,,,838298,-906932,-60241,13818,,-5390,44492,39102,20000.0,1587,,0.0,-279,,,,31660.0,,,101636,97600,,11.0,,,,,
2014-03-24,4,2013,67404.0,,-33247.0,52722,-1276.0,1436,7878,,-3597,240.0,-420,13174,-1187,-10498,-50000.0,,,,,32055,,470.0,31883,12283,5895,14558,2380,-83.0,-34280,58051,,0.0,6324,-13301,427,,,2013年01月01日至2013年12月31日,64726,132225,-2693.0,67499,4683,,186889,199763,0.0,,675445,-746121,-83923,4683,,72253,55423,127676,20000.0,1588,50019.0,,-272,-23969.0,-19.0,-53478.0,6138.0,,,195080,132225,0.0,0.0,,14442.0,,,-4431.0
2014-05-12,1,2014,17664.0,0.0,0.0,-872,-3104.0,549,-684,,-1433,,-477,2430,617,-403,,,,0.0,,4628,,,21730,6266,-5808,-6726,11257,-127.0,88332,12960,-1078.0,,1404,-2228,207,,,2014年01月01日至2014年03月31日,132225,252478,-3128.0,120253,8529,,45575,47596,,,96323,-110594,-14271,8529,,8,21395,21403,,307,,,-127,64284.0,,,28315.0,,,39067,252478,,-26.0,,,,,-2738.0
2014-08-11,2,2014,32321.0,0.0,0.0,550,-139.0,-1645,-1281,,-3039,,-1287,4370,-890,-3310,,,,0.0,,8312,,,8481,-16995,2681,7065,10764,-127.0,87428,25278,-7134.0,,2357,-4386,871,7690.0,,2014年01月01日至2014年06月30日,132225,285745,1690.0,153520,9689,,48405,44230,,,139164,-120587,18577,9689,-7690.0,-15536,17756,2220,0.0,491,,,-283,70976.0,,,31334.0,,,34541,285745,,-426.0,,,,,-9024.0
2014-11-10,3,2014,53313.0,,0.0,4747,203.0,-1851,-2798,,-3700,,-1397,6495,788,-6287,,,,0.0,,10973,,,-2331,7966,897,-16383,21572,-127.0,83048,37070,-12496.0,,3146,-6721,1333,,,2014年01月01日至2014年09月30日,132225,243241,-2439.0,111016,6276,,53600,58988,,,464163,-490583,-26420,6276,,11632,-12233,-601,0.0,685,,,-377,70976.0,-458.0,,31328.0,,,52712,243241,,300.0,,,,,-9954.0
2015-03-10,4,2014,78206.0,,0.0,10458,941.0,-328,-9278,,-4376,0.0,-1858,8541,4442,-8544,0.0,,,,,24441,,0.0,14179,4595,-2641,-6483,21141,-1072.0,59415,48636,,,4003,-8625,1874,,,2014年度,132225,168584,-8053.0,36359,7631,,110598,117349,,,572500,-710596,-138096,7631,,11012,20500,31512,0.0,685,0.0,-16959.0,442,71024.0,-458.0,0.0,31346.0,,,109718,168584,,692.0,,1820.0,,,-13761.0
2015-05-11,1,2015,,,,-12734,-2510.0,-375,10047,,-428,,-243,1487,-585,-2698,,0.0,,,,0,,,-8542,-18036,2931,44168,6563,,14810,10942,,,890,-1457,46,,8291.0,2015年01月01日至2015年03月31日,168584,174382,-216.0,5798,8768,-5714.0,31446,32857,,,57523,-97396,-39873,8768,,-33928,49726,15798,,106,,17880.0,-27,0.0,-4542.0,,,0.0,,24089,174382,,0.0,,,,,-50.0
2015-08-12,2,2015,,,,-8834,1902.0,1490,-1,,-738,,-369,2501,-581,-3843,,,,,,15801,,,43780,-68828,75,-30685,5032,,-8401,21579,17880.0,,1786,-2438,253,3890.0,33915.0,2015年01月01日至2015年06月30日,168584,118328,-78.0,-50256,20539,-5714.0,12256,10551,,,253969,-307499,-53530,20539,-3890.0,-81811,37908,-43903,,106,,,-27,0.0,-4546.0,,,0.0,,-9988,118328,,0.0,,1158.0,,,-3926.0
2015-11-11,3,2015,,,,5683,-16472.0,570,11207,,-1858,,-535,3700,-581,-3277,,,,,,15801,-360.0,,18295,-35642,3019,-4209,4914,,-10880,31860,17880.0,,2709,-3658,253,3890.0,38065.0,2015年01月01日至2015年09月30日,168584,134177,-8777.0,-34407,45946,-5714.0,84027,83542,,,200526,-307499,-106973,45946,-3890.0,-32084,31615,-469,,445,,,585,0.0,-4546.0,,,0.0,,37596,134177,,0.0,,1158.0,,,-5830.0
2016-02-15,4,2015,,,,5370,-18095.0,1501,-2470,,-3634,,-763,4249,-581,-13913,,,,,,21688,,-360.0,41560,-26107,3750,3569,12749,,-27612,42236,17880.0,,3752,-4333,315,3890.0,74757.0,2015年度,168584,124020,-4446.0,-44564,59370,-6636.0,167070,167198,,,474059,-657500,-183441,59370,-3890.0,-22122,55193,33071,,502,,,1319,0.0,-4546.0,,,0.0,,107828,124020,,0.0,,15158.0,,,-10207.0
2016-05-12,1,2016,,,-155000.0,-61687,3630.0,-779,14155,0.0,-5754,,-200,5021,11,-31075,,,,,,-13245,,1353.0,174895,-54435,-28193,-9053,14940,,-61641,60848,0.0,,2773,-5485,35,,53572.0,2016年01月01日至2016年03月31日,783136,878528,6999.0,95392,126767,-10791.0,217569,223021,,,276564,-175611,-60547,126767,,-155885,198567,42682,0.0,64,,,1304,,0.0,,,,,96254,878528,-2.0,,-6500.0,-9928.0,-6490.0,,-19739.0
2016-08-10,2,2016,,,-172500.0,-22180,,-1303,21080,0.0,-22224,-9324.0,-711,10075,-238,-56195,,,-490.0,,-16994.0,-16116,,,185284,23320,-66346,94367,-4353,,-127663,121327,0.0,-202.0,6180,-10871,1073,5049.0,111762.0,2016年01月01日至2016年06月30日,783136,916191,,133055,194651,-10599.0,527815,555901,,-6500.0,496961,-584820,-266859,194651,-5049.0,-77108,326596,249488,0.0,3519,,,5582,,0.0,,,,,361250,916191,-23337.0,,,,,30218.0,-35279.0
2016-11-09,3,2016,,,-395500.0,-14049,,7824,16455,0.0,-23959,-3341.0,-865,14429,-440,-187607,,,-490.0,,-16460.0,-18033,,,261491,-24630,-80046,144854,6745,,-191151,179258,0.0,-153.0,9979,-15353,1095,5180.0,185050.0,2016年01月01日至2016年09月30日,783136,1022686,,239550,215306,-10589.0,705158,737574,,0.0,827505,-849522,-274017,215306,-5180.0,-121490,458708,337218,150000.0,37365,,,8997,,0.0,,,,,522268,1022686,-23338.0,-41.0,-6500.0,,,29163.0,
