date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他借款減少,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,11184.0,,-6426.0,,-158121,46008.0,-10473,23019,-49922,,,-336331.0,,,-4002,1498,1848,-244443,,-1250000,-4175,-28505.0,-3582.0,0.0,,,14373,,8943,-147885,-254728.0,-25536,4518,1173633,-92969,7544.0,-868830,76008,-761867,3315,-1537,3517,,,2013年01月01日至2013年03月31日,929518,2802821,-11468,1873303,2522134,,2682338,2720080,,50000.0,,57947,2522134,919066.0,-684112,870874,186762,,78,,856622,1118,,,-1622,,50960.0,2186.0,197946,2802821,-39722,-18458,,123283.0,-81010,-483586
2013-07-30,2,2013,-38969.0,,-12955.0,,-34902,-6275.0,-3830,17048,-162007,0.0,,-336331.0,,49624.0,-8629,2913,2307,-574908,-100000.0,-2320000,-14594,-28505.0,-3727.0,30225.0,,,18540,,6518,-98594,-373963.0,-62197,7827,1539856,-29513,15253.0,-1052458,151072,-845587,5937,-2980,8133,,,2013年01月01日至2013年06月30日,871018,2962261,-21291,2091243,2562117,,3085809,3502867,,50000.0,,55585,2562117,919066.0,-455180,1434899,979719,,11765,,2265107,940,,,-10107,,,,940750,2962261,-422211,-36916,,103048.0,174384,-340415
2013-10-25,3,2013,-1308153.0,0.0,-19627.0,,-144307,47877.0,-323,19909,-272821,,,-336331.0,,49624.0,-13050,4355,2029,-740331,-100000.0,-3104388,-40946,-28505.0,-7974.0,-29178.0,,379.0,13771,,8109,684070,-373963.0,140369,-9000,953847,45485,18450.0,-1355230,222904,-1260799,9054,-4430,13089,1534099.0,,2013年01月01日至2013年09月30日,871018,785449,-3762,-85569,2818208,,3857488,2914951,-2646000.0,62000.0,,-2589856,2818208,-21585.0,-231318,1636214,1404896,,9911,,3002411,1310,,,-13023,,,,96743,785449,-600221,-55373,0.0,102395.0,157847,-181134
2014-03-28,4,2013,-1383923.0,0.0,-167177.0,,-126663,77576.0,-16304,7553,-426039,,,187327.0,,,-15348,5520,1641,-1226904,-100000.0,-3212039,-43895,-28505.0,-14293.0,-24567.0,,18186.0,32443,,35350,1203200,-373963.0,179149,4493,1180837,-44037,32567.0,-1489296,289582,-1657021,86449,-5683,15383,1553969.0,,2013年01月01日至2013年12月31日,871018,1187396,-5429,316378,2631742,,4502767,3558495,-2646000.0,82000.0,,-2698734,2631742,-21585.0,9701,2300975,2310676,,9898,3589.0,3485287,3253,746.0,-746.0,-20944,-336331.0,,,926753,1187396,-619397,-54524,83164.0,0.0,301885,-9017
2014-04-29,1,2014,-280121.0,,-2555.0,,-72551,-27905.0,3001,-5050,-136351,0.0,,,,,-365,343,1167,-110347,-15000.0,-188990,-1197,0.0,-5946.0,-5355.0,,,40567,,165,288535,0.0,-109717,70155,273470,-36362,7033.0,81413,149606,-468411,23398,-487,348,0.0,,2014年01月01日至2014年03月31日,1187396,617164,876,-570232,112588,,-540824,-540580,,-150000.0,,-111988,112588,,258772,-631819,-373047,,350,,407733,-343,,,-5205,0.0,,,-653168,617164,-105,-15313,49510.0,-29530.0,-988156,376164
2014-07-29,2,2014,-408449.0,,-2555.0,,65939,-160753.0,-857,-8937,-216174,0.0,,208635.0,,,-1194,1695,-764,-124047,-15000.0,-188990,-19653,0.0,-5946.0,-60394.0,,,39477,,867,-285717,0.0,-231659,-18456,907483,27081,3331.0,16895,294984,-987335,46754,-1805,1215,2895.0,,2014年01月01日至2014年06月30日,1187396,558568,-3199,-628828,167506,,-931881,-837884,,250000.0,,286922,167506,-2895.0,82103,-679044,-596941,,6710,3931.0,419417,459,,,2667,,,,-1005390,558568,-96302,-35190,49510.0,-18530.0,-942027,298995
2014-10-30,3,2014,-683741.0,,-70000.0,-2555.0,105905,-160317.0,3393,-1700,-341481,0.0,,208635.0,,,-1434,4419,1995,-566272,-15000.0,-213990,-41074,0.0,-5946.0,-60791.0,,0.0,33979,,2277,279648,0.0,-273017,-16641,458604,-39742,8439.0,-444530,440753,-1406750,69063,-4915,1455,23362.0,,2014年01月01日至2014年09月30日,1187396,628923,-9084,-558473,297768,,-1267362,-1190880,-1960000.0,2150000.0,,1151424,297768,-23362.0,195857,-1000764,-804907,1000000.0,6732,3931.0,445603,993,,,2046,,,,-1488648,628923,-96384,-55068,49510.0,-18530.0,-1195776,422846
2015-03-27,4,2014,-525585.0,18000.0,-70000.0,,-55308,-165233.0,64639,6185,78457,0.0,,421575.0,,,-2428,48623,3212,-719454,-15000.0,-213990,-171045,0.0,-10248.0,636.0,,0.0,32503,,2295,31835,0.0,-197777,-12954,-1471728,-96255,52108.0,-523740,582521,-1676767,92909,-11814,2385,621474.0,,2014年度,1187396,610560,-18037,-576836,2847253,,-604256,-1089820,-1960000.0,1545445.0,,547948,2847253,-23214.0,-638599,-2772889,-3411488,1000000.0,18460,3931.0,562675,7639,0.0,2675.0,9409,0.0,,,-3937073,610560,-126481,-74946,49510.0,-20000.0,-1156150,-414361
2015-04-24,1,2015,,,-70000.0,,-534537,2673.0,-3115,6686,764952,0.0,,223650.0,,,-3396,6841,-1603,-126335,0.0,0,-112056,,0.0,,1031.0,,-11694,,1505,-70607,,-392041,-7641,1383277,-72672,,-230552,172379,-216991,21514,-42993,3443,647309.0,205021.0,2015年01月01日至2015年03月31日,610560,849817,4184,239257,16584,2838.0,1453106,1470813,,,-900000.0,-981694,16584,,-880426,2129634,1249208,,5303,,0,-3160,,,0,,,,1454229,849817,-625466,-18528,0.0,0.0,115325,72598
2015-07-28,2,2015,,63415.0,-70000.0,,-355119,-103722.0,-30223,9077,815685,0.0,,289382.0,,,-5842,10884,-16141,-248206,0.0,-601713,-194087,,0.0,,6902.0,,-5982,,1757,346858,,-570237,-2616,1737639,-48600,,-933697,342216,-354764,43367,-47036,5894,652642.0,679398.0,2015年01月01日至2015年06月30日,610560,788734,26793,178174,272259,5714.0,2903994,2942444,,-1700000.0,,-1775982,272259,-5333.0,-1186821,3177608,1990787,,38235,0.0,0,78558,,139.0,0,,,,2670185,788734,-649950,-37473,0.0,253998.0,420671,-196867
