date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,,30810.0,-404798,25823,19058,,-13077,11398,,,,3948.0,,,-15735,7526,33320,-70754,,-10000.0,-1263,-382,-117583.0,,,-973.0,0.0,-457.0,-84.0,,155974,759,,,-129910.0,-3031,28327,-6210,3945.0,-193421,90414,,-14356,3195,-6913,2568,,,2013年01月01日至2013年03月31日,813708,786526,-4511.0,-27182,38984,,,,294802,311696,23282.0,,-161883,38984,,14419,227483,241902,350000,566.0,2131.0,4762.0,-131.0,,,272712,786526,-12549,-383,,0.0,,-38998.0,,18936,,,
2013-08-13,2,2013,,143186.0,-809692,47751,34068,,-2878,-16169,,,,4171.0,,,-32588,16701,29269,-101959,,-12165.0,-931,-382,-139407.0,,,,0.0,-1459.0,-60.0,,65814,145758,,,-169962.0,-1298,-11502,-14335,8570.0,-217908,177966,,-28755,6392,-16146,5439,29929.0,,2013年01月01日至2013年06月30日,813708,848831,1400.0,35123,86270,,,,469428,498458,23377.0,0.0,-245666,86270,-129.0,197903,71099,269002,712070,566.0,2330.0,2680.0,-192.0,,,412188,848831,-18323,-289,,0.0,,,,13223,,,
2013-11-13,3,2013,,196814.0,-1213823,59938,33313,,8549,-5497,,,,4328.0,7423.0,,-48412,25595,4044,-131697,,-12165.0,-1657,-782,-200076.0,,,,,-2415.0,-132.0,,95724,14208,,,-30032.0,-4633,37361,16411,13174.0,-288919,262032,,-49176,9472,-25453,57549,42941.0,,2013年01月01日至2013年09月30日,813708,889554,8816.0,75846,70662,,,,577659,570258,-110900.0,,-216938,70662,-13141.0,91236,211546,302782,1140239,568.0,2330.0,3021.0,-192.0,,,499596,889554,-24695,-1201,,-7.0,,,,34234,,,
2014-03-20,4,2013,,251495.0,-1769228,93335,31781,,578,-2057,,0.0,,-2637.0,7412.0,,-63049,34009,23683,-161031,,-12165.0,-1657,-1120,-198267.0,,,-351.0,,-2666.0,-3.0,,196527,11528,,,-100012.0,-10657,67334,26876,7383.0,-321596,343866,,-68033,12425,-33725,63371,42941.0,,2013年01月01日至2013年12月31日,813708,1059801,4191.0,246093,6507,,,,737875,740021,49258.0,,-193869,6507,-13141.0,118090,363929,482019,1650690,591.0,4340.0,3584.0,-201.0,,,733514,1059801,-31792,-1805,,-21911.0,,,,43468,,,15923.0
2014-05-14,1,2014,,55516.0,-555099,-31828,-9359,,14609,-2158,,,,1241.0,,,-14059,8900,34650,-79748,,0.0,-650,-120,-35062.0,,,0.0,169.0,,41.0,,49754,-65122,,,89889.0,3463,-32822,63,4248.0,-114298,81813,,-18276,3099,-8571,13571,,,2014年01月01日至2014年03月31日,1059801,1020266,-7029.0,-39535,-11857,,,,-40950,-35858,85915.0,,81063,-11857,,-74630,-4887,-79517,460189,0.0,0.0,796.0,0.0,,,-24001,1020266,-10092,272,,,,,,-10365,,,
2014-08-11,2,2014,,108069.0,-1160466,-36627,127,,18541,-35552,,,,-4988.0,,,-28334,17191,-5237,-117335,-55.0,-191.0,-1978,-588,-30489.0,,,,241.0,,6.0,,-167042,777,,,-29957.0,6286,-57660,-941,795.0,-145587,162454,,-40226,6052,-17046,20207,9807.0,,2014年01月01日至2014年06月30日,1059801,915387,0.0,-144414,-25796,,,,-201526,-187070,288118.0,,207936,-25796,-9807.0,-10228,-259115,-269343,1110000,0.0,224.0,1254.0,-124.0,,,-161274,915387,-17617,-391,,,,,,1953,,,
2014-11-12,3,2014,,164864.0,-1996647,15608,2597,,-25439,-24690,,,,30554.0,0.0,,-42609,24719,13532,-232855,-55.0,,-3211,-1545,0.0,,-26691.0,,,-512.0,0.0,42.0,89807,-14223,,,110072.0,-9819,-78955,-13378,-95001.0,-125658,242179,,-60961,9098,-25529,48321,13066.0,,2014年01月01日至2014年09月30日,1059801,635843,0.0,-423958,79131,,,,125545,121539,-440167.0,,-437377,79131,-13066.0,-128874,6418,-122456,1890000,594.0,,6378.0,-5481.0,6201.0,88242.0,42408,635843,-18786,4607,,-123.0,,,,31037,,,
2015-03-17,4,2014,1197.0,539363.0,-2921726,-42329,-81948,,-538,-14589,,,,19781.0,,1645.0,-56281,32185,42025,-108939,-55.0,-242055.0,-4275,-1545,-29644.0,,,-4026.0,,-258.0,3099.0,,163226,-1826,,,179708.0,-19494,-110353,-7353,-119386.0,-259921,321937,,-80622,12180,-32941,48851,13066.0,,2014年度,1059801,798801,0.0,-261000,113567,,108.0,,308588,292730,-202386.0,,-351692,113567,-13066.0,-219648,-140552,-360200,2560000,651.0,88242.0,1009.0,-5482.0,,,179163,798801,-52,1004,883.0,32970.0,328445.0,,,-89535,,,-36075.0
2015-05-12,1,2015,-138.0,,-555388,3937,-62849,,-173,3565,,,,5103.0,,6066.0,-12691,7241,14155,-1658,,-178729.0,-1574,0,,0.0,,-69.0,,616.0,-34.0,0.0,-109381,-74097,,307.0,,825,89980,25385,,-4875,65925,,-16702,3164,-7552,41719,89075.0,84814.0,2015年01月01日至2015年03月31日,798801,649206,0.0,-149595,53495,-6882.0,,74324.0,31887,11074,16201.0,,-190762,53495,,-68867,-58368,-127235,380000,,2552.0,0.0,-255.0,,,-42421,649206,-13354,1775,,-32498.0,36564.0,,,-5068,,,7523.0
2015-08-11,2,2015,-5468.0,,-977886,42341,96849,,-349,-9137,,,,0.0,,15044.0,-24170,12711,-17923,-13470,0.0,-247014.0,-2420,0,,-284613.0,,-83.0,,52.0,-41.0,0.0,-35633,-36903,,-169684.0,,4547,45072,-1537,,-75276,130850,,-35445,6225,-12796,24068,334.0,177265.0,2015年01月01日至2015年06月30日,798801,802203,,3402,125264,-17826.0,,343673.0,348248,374099,0.0,-259.0,-251647,125264,-117.0,-8190,79760,71570,930000,184.0,308236.0,2054.0,-14969.0,,,248835,802203,-37123,21475,,-33870.0,84202.0,,-195189.0,-15854,,,
