date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）,預收款項增加－處分資產
2013-05-08,1,2013,1123,120917.0,-29187,-27327,-15365,,-257.0,0.0,5634.0,-2525.0,0.0,-45,-909,26235,11792,-62203,,-625.0,-916,33151,,-728.0,-1507.0,0.0,67314,,101436,0.0,-10000.0,-29886,-15254,49838,1013.0,-66451,61641,,2440,-24758.0,909.0,,,2013年01月01日至2013年03月31日,1153006,1287278,,134272,82563,,,291392,321110,,0.0,-62546.0,-102461,82563,,73830,43800,117630,0,1582,,,,560,,,238547,-1970,1287278,-5869,,-3279,,,-48367,,30564,
2013-08-09,2,2013,434,234608.0,-235111,-30500,-11674,,-25349.0,0.0,5634.0,,1787.0,2089,-1919,53152,21700,-71188,,-1013.0,-967,56326,,-945.0,-4676.0,,17495,,22255,0.0,-30000.0,13927,-286332,31107,775.0,-73725,123844,,4791,-54030.0,1926.0,584.0,,2013年01月01日至2013年06月30日,1153006,1969966,,816960,173403,,,105768,177151,,862323.0,,763217,173403,-584.0,38617,-269477,-230860,166950,1058,,,24473.0,1611,,,3748,-3288,1969966,-19863,,-5136,,,-25707,,35448,2150.0
2013-11-08,3,2013,468,326021.0,-309601,-1461,-27870,,-6463.0,,5634.0,,6939.0,5570,-3921,83504,13238,-129715,,-1013.0,-1397,75456,,702.0,,263.0,56943,,67554,0.0,-180000.0,-5291,-197556,-42677,-10411.0,-105584,185639,,7170,-82797.0,3927.0,19576.0,,2013年01月01日至2013年09月30日,1153006,1371102,,218096,183587,,,221317,332384,,436183.0,,89125,183587,-19576.0,72944,-250168,-177224,216950,1329,,-3524.0,24473.0,1684,,,148797,-1190,1371102,-51773,,-6449,-75109.0,,-44642,,23743,
2014-03-21,4,2013,468,425107.0,-481603,-12630,-14651,,-6506.0,0.0,5634.0,,7873.0,4876,-7574,114054,-1535,-146689,,-1013.0,-1421,83054,810.0,,-998.0,,-19800,,67406,,-170000.0,12221,-228082,-43086,-11480.0,-120337,251414,,9673,-115028.0,6717.0,19577.0,,2013年01月01日至2013年12月31日,1153006,922282,,-230724,291690,,,293953,437264,,0.0,-100654.0,-402805,291690,-19577.0,85344,-364877,-279533,423750,1959,,-3524.0,26458.0,2671,0.0,16.0,145574,-4085,922282,-54577,,-10444,-75108.0,,-64892,,33912,
2014-05-09,1,2014,0,112323.0,-49196,-38626,-1974,,-556.0,0.0,,,972.0,62,-1323,26497,-7810,-34763,,0.0,-1370,6986,,-1265.0,0.0,774.0,-127689,,14360,,-40000.0,11694,17007,35293,-723.0,-34363,63715,,2521,-24949.0,2186.0,,,2014年01月01日至2014年03月31日,922282,966216,,43934,74349,,,78594,113548,,37974.0,0.0,7513,74349,,1582,-74706,-73124,60000,580,,,,13108,,,39199,1159,966216,-12191,,757,,,2657,,13718,
2014-08-08,2,2014,0,239620.0,-55976,4294,-4201,,-40098.0,,0.0,,1941.0,1864,-4056,56771,-4391,-100642,,0.0,-495,36158,,-691.0,0.0,2245.0,-127940,,13300,,-80000.0,48974,-5081,39774,-1504.0,-136115,126792,,5149,-54999.0,4919.0,732.0,,2014年01月01日至2014年06月30日,922282,994539,,72257,78174,,,204508,277088,,84922.0,,8255,78174,-732.0,41849,-82555,-40706,60000,934,,,0.0,14622,,,198914,1772,994539,-23232,,3052,,,14893,,-24987,0.0
2014-11-07,3,2014,0,325100.0,-172054,-7271,-2292,,-26203.0,2898.0,0.0,,,1159,-7093,88470,-8024,-138998,,0.0,-920,39652,,3182.0,,2545.0,-81687,,45894,50000.0,0.0,10589,23783,-16459,2864.0,-158863,193254,,7799,-87027.0,8279.0,18405.0,,2014年01月01日至2014年09月30日,922282,1208922,,286640,153135,,,337394,445920,-131971.0,242105.0,,116133,153135,-18405.0,36384,-68699,-32315,183000,1815,,0.0,0.0,17480,,,292785,2651,1208922,-48183,,2784,-58129.0,,7956,,-18343,
2015-03-20,4,2014,214,431708.0,-238298,21482,-4623,,-25858.0,,0.0,-8465.0,0.0,3368,-10137,121499,11088,-224185,,0.0,-1875,40355,0.0,-511.0,-973.0,,-42042,,30211,40000.0,0.0,48579,85175,-20883,3888.0,-259573,260416,,10015,-117500.0,7705.0,18369.0,,2014年度,922282,902754,,-19528,264861,,,690791,848523,-131967.0,,-255929.0,-461834,264861,-18369.0,98379,53575,151954,183000,1783,,0.0,0.0,18527,,0.0,583662,20347,902754,-66306,,2395,-58129.0,3425.0,35948,,-26128,
2015-05-08,1,2015,54,,-51993,-35799,-15399,,-65864.0,,,,2894.0,285,-2908,27739,-11639,-42565,,,-61,-7065,,-704.0,-2165.0,0.0,18607,,74481,,-70000.0,9984,90519,65178,,-107494,68323,,1064,-31691.0,5164.0,,85938.0,2015年01月01日至2015年03月31日,902754,1306833,,404079,40633,3183.0,,292073,322461,,203486.0,,231139,40633,,63905,131985,195890,150350,267,,,,657,,,281828,-13255,1306833,-3861,,-2211,,,-26920,,25311,
2015-08-07,2,2015,899,,-147578,-9574,-11887,,-92786.0,,-11029.0,,13591.0,1137,-6182,54515,-19349,-100741,,,-94,-10132,,-249.0,-955.0,0.0,170376,,13867,,-50000.0,84499,80530,55427,,-180238,134810,,2301,-53358.0,7372.0,368.0,169099.0,2015年01月01日至2015年06月30日,902754,1695065,,792311,88113,8751.0,,561778,638159,,359647.0,,430120,88113,-368.0,109841,271106,380947,268300,747,,,,3171,,,550046,-9181,1695065,-30763,,-11052,,,-12311,,21479,
