date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他借款增加,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得投資性不動產,取得按攤銷後成本衡量之金融資產,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,526853.0,,-2938462,,-13382,,5886,,-4833,-211408,,,,-18219.0,,,-906,73976,-430833,,,0.0,6532.0,2887867,-159496,134749,297928.0,0.0,-28687,-524815,-12304,,-8357.0,-441592,459117,-1976,3844,-81158,928,,,2013年01月01日至2013年03月31日,73613,109034,35421,409154,,3464019,3464042,,-1865314.0,-2987006,409154,,-80006,2608041,2528035,1600000,,,0.0,,,3054888,0.0,109034,-23,-12155,2977.0,,464791
2013-08-05,2,2013,1304362.0,,-6588462,,-198206,,154406,,10761,-3876,,,,0.0,,90750.0,-1230,144821,-1381308,,,-2818.0,,545172,-196268,-3255,79058.0,,-27560,131582,-148671,,-21767.0,-1377650,922335,-1792,7747,-160078,1103,2874.0,,2013年01月01日至2013年06月30日,73613,96674,23061,74576,,1684550,1684399,,335643.0,-283839,74576,-2874.0,-436295,741756,305461,6050000,0.0,,0.0,,2499.0,1609823,0.0,96674,151,4528,138285.0,,64935
2013-11-08,3,2013,1546676.0,2499.0,-9476923,,6138,,-82355,-231789.0,-13471,-6459,,,,0.0,,195750.0,-1674,215899,-2309558,,,-5339.0,,2339372,-444229,-68388,521416.0,,-23776,-89508,-6851,,-26577.0,-2290828,1387778,4812,-31696,-238301,1705,19865.0,,2013年01月01日至2013年09月30日,73613,326734,253121,-176828,,2758737,2758683,1329020.0,0.0,-214788,-176828,-19865.0,-661053,2049888,1388835,7650000,0.0,,0.0,,,2935511,-90750.0,326734,54,15716,,-215232.0,122666
2014-03-07,4,2013,1887517.0,2499.0,-12576923,,-40162,,-793,146370.0,1844,-10626,,,,0.0,,90750.0,-2445,285041,-3014937,,,0.0,4146.0,1219306,42713,-176599,452131.0,,78191,654491,-30839,,-30967.0,-2986026,1852735,10794,-28737,-318254,2401,19865.0,,2013年01月01日至2013年12月31日,73613,102721,29108,139985,,3880067,3880082,128113.0,0.0,-864933,139985,-19865.0,-215730,2068310,1852580,11450000,0.0,,0.0,-76897.0,,3740097,-90750.0,102721,-15,7313,,-220378.0,79607
2014-05-07,1,2014,521749.0,,-5738462,1299521.0,3051,,-103579,-342817.0,-4060,13650,,,-9500.0,,,,-566,63861,-383892,,,,12052.0,-479591,142690,480397,464839.0,,-101754,-645667,17740,,-7667.0,-99383,468962,237,2558,-76745,585,,,2014年01月01日至2014年03月31日,102721,32728,-69993,154792,,-249950,-250016,1280187.0,0.0,279340,154792,,512657,-1439214,-926557,3050000,,281372.0,685.0,,,-404808,,32728,66,1181,,-14932.0,100813
2014-08-11,2,2014,1069916.0,2249.0,-7238462,1299854.0,-49719,,-696,-45208.0,-11562,11874,,,-12059.0,,,0.0,-1351,129637,-667979,,,0.0,12433.0,-815252,422612,379308,0.0,-491551.0,-100342,-643400,-166552,,-11853.0,-381962,944713,5503,5169,-153730,1347,675.0,,2014年01月01日至2014年06月30日,102721,11150,-91571,167333,,283788,283571,1290492.0,,6603,167333,-675.0,628444,-1582122,-953678,5300000,,281372.0,685.0,-13417.0,,116238,,11150,217,4825,330.0,,71609
2014-11-07,3,2014,1564816.0,15666.0,-11326923,1298877.0,-21471,,-99818,-67055.0,52414,6994,,,-9500.0,,,0.0,-2021,193897,-862675,,,0.0,12351.0,50676,-732042,-4147,245168.0,,-110111,-596084,-26525,-751.0,-17365.0,-537444,1429631,2752,-65097,-229018,1945,23397.0,,2014年01月01日至2014年09月30日,102721,46357,-56364,225881,,473067,472906,2119909.0,,8013,225881,-23397.0,-832722,-485069,-1317791,7900000,,281372.0,685.0,-13417.0,,247025,0.0,46357,161,7153,37382.0,0.0,244742
2015-03-24,4,2014,2092699.0,,-12626923,1299251.0,-79063,,6133,-85227.0,-4713,21155,,,-9500.0,,,-2983.0,-4057,261758,-982636,,281372.0,,12350.0,-1125198,-565731,-5089,260745.0,,-92725,-293935,22657,,-22613.0,-655479,1901870,8848,-62020,-306034,3872,23397.0,,2014年度,102721,19604,-83117,209801,,369132,369060,0.0,-773809.0,203230,209801,-23397.0,-769934,-1163506,-1933440,12350000,,,685.0,-13417.0,15666.0,159259,0.0,19604,72,-8727,42987.0,0.0,282061
2015-05-06,1,2015,,,-3688462,365.0,163855,135013.0,-100834,-129522.0,68827,2576,,,0.0,,,10200.0,-588,66517,-179498,,,,0.0,-1788140,-82035,-1497,-142483.0,,-17386,36109,3562,,,-43747,476688,5951,2799,-73944,738,,1538604.0,2015年01月01日至2015年03月31日,19604,88738,69134,-1403798,-11422.0,-1735789,-1735779,3953194.0,,1848670,-1403798,,120342,-1990927,-1870585,1800000,,0.0,0.0,,,-331981,,88738,-10,5701,977287.0,,-20629
2015-08-07,2,2015,,0.0,-3688461,653.0,209319,135013.0,-5390,-391934.0,197661,1057,,-10200.0,0.0,,,10200.0,-1487,133540,-243156,-22525.0,,-1720.0,,2087525,-613614,-13824,,-142731.0,-17386,55197,-27372,,,-130073,956909,4497,5139,-155917,1690,625.0,559249.0,2015年01月01日至2015年06月30日,19604,167238,147634,-1117081,-20332.0,921656,921728,1542507.0,,-643949,-1117081,-625.0,-268376,1747936,1479560,1800000,,0.0,228.0,0.0,,2038809,,167238,-72,19314,564338.0,-1128307.0,24356
