date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融負債減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,8188.0,,-742475,-18037,2674,,-947,5187,34,,-17.0,,132.0,,-45.0,-860,10236,-16231,-7008,-341379,,-15924,0.0,,38,13,,0.0,480.0,3076,,,-74461,625741,-626000,653,-2973,7322,-367.0,-98877,58241,,-7221,,,-1000,11122,-10026,860,,,2013年01月01日至2013年03月31日,221839,295905,7146,74066,57932,,-22540,-22540,,,1001863,-675935,195483,57932,,,-96725,8065,-88660,622319,230,1985,338.0,,0.0,,,15,0.0,,,297616.0,,-80472,295905,0.0,0.0,-77043.0,,,,-19638.0,-3600
2013-08-08,2,2013,340217.0,,-1097511,1997,2165,,-2272,3718,69,,0.0,-36.0,-27939.0,,-391.0,-1498,19598,-44141,-13947,-346357,,-40972,-26158.0,,99,13,-3.0,,802.0,-203505,,,4113,840040,-890000,1001,72811,22406,-740.0,-59444,112183,,-11759,,,-1391,22306,-17406,1540,4648.0,,2013年01月01日至2013年06月30日,221839,535027,10513,313188,-52228,,191200,207023,0.0,,1735379,-1358659,181432,-52228,0.0,,33198,-114164,-80966,969615,996,9033,,,0.0,,,-25,0.0,,,456315.0,,259251,535027,-15823.0,0.0,178823.0,,,-33264.0,,29030
2013-11-11,3,2013,482627.0,4648.0,-1486886,-6482,-3967,,-2758,8735,103,,-55.0,,-29103.0,,-728.0,-2038,28798,-160161,-26148,-346477,,-41269,0.0,,701,80,-43.0,,802.0,-273689,,0.0,73242,1239776,-1280000,9147,34987,46890,-1080.0,-123568,165567,,5024,,,1869,34508,-29392,1962,17317.0,,2013年01月01日至2013年09月30日,221839,387031,1082,165192,40545,,380804,410215,0.0,-41627.0,2929389,-3054776,-92044,40545,0.0,,69063,-182020,-112957,1631490,1498,12960,,,,,,47,0.0,,,440403.0,,369670,387031,-29411.0,0.0,252821.0,,,,,-3109
2014-03-26,4,2013,612831.0,4648.0,-1914564,6085,-2479,,6629,8596,-133,,-76.0,,-35122.0,,-29564.0,-4427,37960,-186818,-37003,-446794,-42671.0,-89523,0.0,,-48,80,-53.0,,-2071.0,-376876,,0.0,36567,1340096,-1510000,899,70410,119695,-1670.0,-363099,219027,157.0,-3241,,1575.0,-4170,46162,-37480,4225,17317.0,,2013年01月01日至2013年12月31日,221839,320119,3740,98280,14692,,470634,500659,0.0,-41627.0,4054640,-3767345,-9255,14692,0.0,-3159.0,57031,-183895,-126864,1867074,2146,16986,639.0,,,,,28,0.0,,17906.0,430006.0,,485967,320119,-30025.0,0.0,328737.0,,,,,8497
2014-05-14,1,2014,150572.0,,-505767,-8949,3912,,-1014,8135,23,,-20.0,,32.0,,,-353,12158,-35476,-6716,-103,,-28957,,,95,22,,,580.0,176269,,,-105143,315695,-216000,-1519,-50669,-17456,-316.0,-58635,51759,-157.0,-1770,-6126.0,,-2738,11151,-11917,191,,,2014年01月01日至2014年03月31日,320119,232672,9660,-87447,-42443,,102696,102696,,,776436,-1088889,-131508,-42443,,,-123854,118421,-5433,605058,20,6258,4.0,,,,,-244,,,,5536.0,,145139,232672,,,69080.0,,,,,-6779
2014-08-07,2,2014,277803.0,0.0,-1025887,-1298,5170,-28360.0,-2513,9808,46,,-41.0,,65.0,,,-841,23773,-183476,-25510,-12407,,-68927,0.0,,120,52,0.0,,225.0,27322,,-21831.0,-17786,531979,-402000,-158,-24366,-2383,-631.0,-294116,102360,-157.0,3241,,,-2596,25880,-23358,525,2985.0,,2014年01月01日至2014年06月30日,320119,261175,239,-58944,-16717,,277983,293870,,,2331135,-2403339,-42811,-16717,,,13992,18792,32784,969479,512,14308,249.0,,,,,-274,,,,5944.0,,310587,261175,-15887.0,1000.0,128893.0,,,,,36489
2014-11-11,3,2014,416263.0,0.0,-1784392,5622,4667,-28360.0,-2356,-7284,69,,,-61.0,96.0,,,-1175,36764,-228533,-31728,-12410,,-70404,-17474.0,,111,107,-103.0,,-247.0,-179830,,-21831.0,-122371,937800,-818000,7324,-33296,22915,-1070.0,-285457,154153,-157.0,3241,,,-47,41809,-36182,709,10659.0,,2014年01月01日至2014年09月30日,320119,298201,4683,-21918,40422,,143265,172927,,-43707.0,4157300,-4078108,120274,40422,,-2366.0,-94171,-189587,-283758,1806451,631,81422,160.0,,,9766.0,-3804.0,-5718,,,,416.0,,132505,298201,-29662.0,1000.0,191693.0,,,,,18768
2015-03-23,4,2014,541344.0,0.0,-2529914,17421,3385,-28360.0,-1437,-10720,-42,,-83.0,,128.0,,-21644.0,-3306,49758,-269617,-40100,-70008,-10000.0,-71577,-84812.0,,121,137,-196.0,,-7.0,-431692,42761.0,-21831.0,-127310,1233983,-1144000,-782,-19829,-20808,-1484.0,-315046,206427,30.0,-12619,,9500.0,-6276,57170,-48335,2719,10659.0,,2014年度,320119,255491,8289,-64628,-17722,,-91453,-61674,,-43707.0,6233443,-5789509,341871,-17722,,-2366.0,-93013,-492283,-585296,2448728,631,109946,266.0,,,15524.0,-6325.0,-6926,500.0,-36.0,12.0,67067.0,,-43952,255491,-29779.0,3155.0,266180.0,,,,,20591
2015-05-12,1,2015,,,-678890,-34881,2321,,1526,17609,41,,-22.0,,33.0,,,-308,14056,-38488,-17067,-41,,-3498,,-25841.0,-2960,0,,907.0,,182937,,0.0,32402,799705,-720000,-23754,-8817,-15586,,-71145,53756,-411.0,15666,,,1582,15370,-13940,137,3442.0,128538.0,2015年01月01日至2015年03月31日,255491,272567,-11930,17076,-54245,-285.0,228096,227917,30590.0,,1031646,-1062881,-139875,-54245,,,-40506,194130,153624,499473,1789,8482,-1304.0,,,,,-455,,,157.0,,0.0,282162,272567,179.0,-25556.0,60574.0,,-1000.0,,,-15144
2015-08-11,2,2015,,2200.0,-1178907,-17775,-904,-34429.0,-553,11938,82,,,-43.0,,63.0,,-850,28330,-164084,-20858,-41,,-10349,,-22600.0,-2990,0,-202.0,,17188.0,-46365,,0.0,53601,1321901,-1212000,-24324,6619,5773,,-178605,106974,-3106.0,14876,,,-41,30857,-27669,519,3458.0,243433.0,2015年01月01日至2015年06月30日,255491,218951,-9492,-36540,13030,-569.0,259933,283695,30590.0,,2730245,-2718167,-117868,13030,,-16.0,35295,-8063,27232,961940,2045,9262,-1538.0,,,30416.0,-8681.0,-448,,,429.0,,8605.0,270665,218951,-23762.0,-25556.0,100899.0,,,,,27939
