date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,50890.0,-13290.0,-2809,,-414,0.0,1839.0,,0.0,38.0,,,,,-8011.0,,5044,2303.0,-65,,,,,,,117485,2408,4300,-39629,0.0,,,-65,55933,32496,450,-4847,,,,2013年01月01日至2013年03月31日,140641,128663,502.0,-11978,-81335,,-131335,-126488,130409,,117119,-81335,,5738,-101781,-96043,,,366.0,,-45153,,128663,,-3394,,,,-211757.0,
2013-08-12,2,2013,112594.0,-26580.0,-3572,,4528,0.0,2860.0,,0.0,77.0,,,,,-8011.0,,10867,3389.0,-3580,,,,,,,-87401,1249,8508,-52751,,,,-3580,112375,-5788,899,-9505,,,,2013年01月01日至2013年06月30日,140641,63451,,-77190,-212212,,-308037,-298532,257618,0.0,231038,-212212,,9045,-207959,-198914,,,366.0,,-86320,,63451,,-3902,,0.0,,-66624.0,
2013-11-08,3,2013,164777.0,-26580.0,-1190,,4610,,,,,,0.0,92.0,,114.0,-8011.0,,16442,1800.0,-4497,,0.0,,,0.0,,20485,3885,7463,-34953,,0.0,,7334,168770,33324,1348,-15829,,11625.0,,2013年01月01日至2013年09月30日,140641,121370,,-19271,-280829,,-176909,-161080,175084,0.0,148504,-280829,-11625.0,11210,-56238,-45028,,,366.0,,119749,,121370,,-2513,,,,-79704.0,1052.0
2014-03-25,4,2013,208990.0,-26580.0,1783,,-8050,,,,,,-60391.0,,,153.0,-8011.0,,21802,2640.0,-5301,-1592.0,0.0,,,0.0,,-66168,2510,13754,10258,,710.0,,-54880,225184,23808,1798,-21527,,11642.0,,2013年01月01日至2013年12月31日,140641,116811,,-23830,-334567,,-171639,-150107,226629,,200049,-334567,-11642.0,23069,-47599,-24530,5.0,604.0,379.0,-406.0,184460,,116811,-5.0,-20114,0.0,,,-7447.0,4312.0
2014-05-09,1,2014,26402.0,0.0,-2498,,-1607,,,,,,-10451.0,,,38.0,0.0,,5564,2306.0,-1082,0.0,0.0,,,-8995.0,,81859,485,-4119,4051,,0.0,,-20490,28896,-25148,428,-5689,,0.0,,2014年01月01日至2014年03月31日,116811,68842,,-47969,-37940,,38625,44314,0,-68410.0,-68410,-37940,0.0,-10771,66623,55852,0.0,0.0,0.0,0.0,82254,,68842,0.0,-8486,,,,7468.0,-4639.0
2014-08-11,2,2014,41915.0,0.0,-316,5300.0,-6153,,,,,,,60500.0,,76.0,-4990.0,,11083,137.0,-1641,0.0,0.0,5.0,,-13756.0,,-22282,2272,7591,-9919,-4.0,-2.0,,47330,56721,-1745,847,-12238,,0.0,,2014年01月01日至2014年06月30日,116811,155806,,38995,53747,,68053,80291,0,-81830.0,-76525,53747,0.0,6229,-21600,-15371,29.0,2122.0,7.0,-1363.0,26544,,155806,0.0,-14393,,,-5997.0,18503.0,-3316.0
2014-11-12,3,2014,86096.0,0.0,-2955,5300.0,-7514,,-4718.0,7841.0,,,,60500.0,-97184.0,,,-458.0,15695,1756.0,-2374,,,13.0,,-13756.0,,-38667,1408,814,4197,,-2.0,,46806,84602,-39575,1249,-16128,550.0,0.0,,2014年01月01日至2014年09月30日,116811,153321,14166.0,36510,37948,,-67889,-52311,50524,,55837,37948,0.0,-5453,-170902,-176355,314.0,2122.0,-279.0,-1363.0,-90259,,153321,,-21519,,,-5997.0,,
2015-03-06,4,2014,121629.0,0.0,285,,1756,,,,,,60500.0,,,,,-837.0,21921,1433.0,-18742,0.0,,5.0,,,245.0,223478,1802,-2072,6171,,680.0,,53241,112527,167782,1436,-21215,928.0,8802.0,,2014年度,116811,222156,28175.0,105345,-85133,,464139,484446,-413473,,-413468,-85133,-8802.0,3233,444717,447950,314.0,2122.0,-279.0,-1363.0,569579,7464.0,222156,-20.0,-25152,,,-5997.0,45530.0,-4926.0
2015-05-12,1,2015,,,-524,,4192,,,,,,0.0,,,,,-140.0,3878,0.0,-1637,,,,-5.0,-4150.0,,86612,-2466,-2154,-3916,,,,-5787,28073,281,132,-6155,140.0,,20636.0,2015年01月01日至2015年03月31日,222156,467856,-7772.0,245700,-53734,,59777,65792,191715,,191710,-53734,,-3894,102784,98890,,,,,119526,500.0,467856,,-3535,,,,15615.0,750.0
2015-08-12,2,2015,,,-5493,0.0,5060,,,,,,,0.0,,,,-484.0,8595,0.0,-52338,,,0.0,-5.0,-10790.0,,57580,101508,-5627,-470,0.0,,,-63128,56154,-2220,200,-10307,488.0,,72831.0,2015年01月01日至2015年06月30日,222156,357843,-1763.0,135687,-140247,0.0,92474,102431,106346,0.0,106341,-140247,,93329,76518,169847,0.0,0.0,0.0,0.0,242678,2220.0,357843,-138.0,10129,,,0.0,16568.0,721.0
