date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-14,1,2013,1422628.0,,-450000,446065,-1083315,4933.0,980710,20360,,141153.0,-327700.0,,-79047.0,,,162101,-3709292,,-55243.0,-8820,-12044.0,156292,409654,,572328,-273977.0,389301.0,,-1483881,-3074488,1706699,,-283578,5268,-159677,39499,,,2013年01月01日至2013年03月31日,9597809,10082586,,,484777,2765885,3732373,3898011,,,-694132.0,,-335209,2765885,9500.0,1725126,-2015628,-290502,399397,1004653,,,29025.0,-18559.0,,,1132126,10082586,-45460,-73947,,20225,,-19599
2013-08-13,2,2013,3730648.0,,-950000,1488932,-819033,,1254605,995,,,-287622.0,,-176379.0,-79523.0,498532.0,217912,-7769034,,-64678.0,-155299,-20388.0,281503,260289,,1123843,,,-850421.0,-4675984,-6126937,3878825,-203846.0,-675654,16450,-477889,76879,,,2013年01月01日至2013年06月30日,9597809,11205349,,,1607540,5278001,5821981,7303605,,,2260416.0,,1694584,5278001,76374.0,3867380,-5572424,-1705044,1198511,2170084,-44530.0,,,,,,2025604,11205349,-1080614,-44950,,36078,,-134845
2013-11-12,3,2013,5086970.0,,-1350000,459908,403630,,470946,32525,1188085.0,,-351004.0,,-231010.0,-110636.0,171804.0,-19599,-11008694,,,-155299,-26739.0,355734,153850,,497579,,1544731.0,,-5394009,-8310580,5785057,-183871.0,-874516,21292,-177384,118406,1481318.0,,2013年01月01日至2013年09月30日,9597809,8978708,,,-619101,7990855,10184988,10460714,-4915613.0,,-277922.0,,-2473910,7990855,,2616518,-5233629,-2617111,2819642,3231156,-41403.0,,,,,,2469859,8978708,-1698066,10648,,-294748,,-245754
2014-03-25,4,2013,6611595.0,,-2346956,271968,-54198,,778337,59060,1447110.0,,-429903.0,,-331286.0,-145229.0,238788.0,-41056,-14883511,,,-2981430,-31230.0,513822,-646686,-6920.0,2425070,,1675199.0,,-6519748,-13933781,7885172,155771.0,-1358993,26504,-218368,146212,1481318.0,,2013年01月01日至2013年12月31日,9597809,9845686,11914.0,,247877,10571264,14669213,15055320,-4915613.0,,1505674.0,,-446499,10571264,,4922485,-7050024,-2127539,3896545,4392293,-106375.0,,,,,,4484056,9845686,-1795269,-115802,,-261348,,-44223
2014-05-08,1,2014,2242204.0,,-558587,-49472,-27760,,121178,14144,112483.0,,-117131.0,,10785.0,-35621.0,75459.0,20335,-3780704,,,0,0.0,174227,922550,-11914.0,-1755861,,2503035.0,,-1493734,-2718710,2088389,0.0,-152476,5108,-80663,37317,8500.0,,2014年01月01日至2014年03月31日,9845686,10257524,32434.0,,411838,3026018,2914139,3018523,0.0,,,-2454254.0,196074,3026018,,-1571672,-678027,-2249699,700000,1179125,8740.0,,,,,0.0,-7495,10257524,-69538,47073,,5880,,-93227
2014-08-11,2,2014,3995203.0,,-946550,344438,453313,,286249,-8751,405207.0,,-296707.0,,27526.0,-78403.0,160865.0,37847,-8079815,,,-2212900,0.0,357797,591715,-11914.0,29394,,5353616.0,,-7749374,-8432365,4203987,271000.0,-814622,9660,-131900,75932,31361.0,,2014年01月01日至2014年06月30日,9845686,10075368,,26445.0,229682,6315457,3632588,4747627,0.0,,,-1395100.0,4991612,6315457,,1065288,-6628321,-5563033,1973766,2220314,-15015.0,-63257.0,,,,0.0,-1567830,10075368,-1090432,128877,,5880,,-186224
2014-11-11,3,2014,5799590.0,,-3291394,753596,884228,,573430,13471,875285.0,,-244091.0,,84949.0,-114887.0,262615.0,-2401,-12582339,,,-2212900,0.0,502085,1155171,-11914.0,-1696535,,8954185.0,,-13032251,-11319196,6323791,-424149.0,-1301654,14739,-240718,111011,1147073.0,,2014年01月01日至2014年09月30日,9845686,4423970,,32453.0,-5421716,9536040,3558096,4275069,-6881858.0,,,-449420.0,2341785,9536040,,505776,-11566337,-11060561,4356640,3773865,-24233.0,-63257.0,,,9526.0,-1938.0,-5260971,4423970,-1734339,33584,,-346368,,-162807
2015-03-24,4,2014,7537549.0,,-3291394,752492,887171,,990678,18156,975356.0,-1054924.0,-460420.0,,,-150459.0,376268.0,-36070,-16196791,-552.0,,-3228968,0.0,745889,2257019,-11914.0,-3435753,,9201949.0,,-12048556,-15530752,8577071,,-2036268,19498,-338335,149733,1147073.0,,2014年度,9845686,7288563,,21543.0,-2557123,12228936,8022648,8945251,-6881858.0,1000000.0,,-623652.0,4987051,12228936,,-717227,-10104007,-10821234,5928374,4409710,-1565.0,-63257.0,,,9526.0,-1938.0,-3283685,7288563,-1881074,-27468,1671.0,-346368,25221.0,-162873
2015-05-12,1,2015,,,-400000,-491504,34746,,-44607,-9985,90101.0,710343.0,258845.0,,,-34123.0,18153.0,15799,-3271241,0.0,,0,,198091,-1114928,-21542.0,3320831,,633624.0,,-4566098,-1918753,2237160,,-591542,4731,-9669,27754,0.0,2016380.0,2015年01月01日至2015年03月31日,7288563,9122186,,65637.0,1833623,3856462,3690313,3700746,0.0,0.0,,-1621574.0,46264,3856462,,2874821,-5046917,-2172096,1434214,1093643,-551.0,0.0,,,0.0,0.0,-155716,9122186,-28518,167079,,0,-26713.0,-100995
2015-08-11,2,2015,,,-650000,158817,225122,,5111,6675,491974.0,,-287506.0,,,-69685.0,32589.0,40822,-6667400,0.0,,0,,329137,-842941,-21542.0,4319943,,3188334.0,,-9637119,-4665958,4478845,260343.0,-1263776,9251,-30924,-63509,210360.0,3638858.0,2015年01月01日至2015年06月30日,7288563,9831889,,83714.0,2543326,7548576,4844980,5818546,0.0,0.0,,-2016806.0,2323482,7548576,,4975845,-10344733,-5368888,1801954,2288948,-2721.0,0.0,,,0.0,0.0,-1730030,9831889,-1089493,77771,,0,-14725.0,-356813
